ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
201.9 1093.1 22765.662 41.547066225660146 46.12631453799449 -27.778825 -49.139294 12170 -5.5470000000000015 6925910.0 683340.0
206.94 1082.71 22765.672 35.02168611764432 39.50299173323851 -27.779964 -49.139294 12170 -12.127 6925784.0 683338.0
208.8 1071.11 22765.681 24.634501851147558 29.016918112608657 -27.781106 -49.13930300000001 12170 -22.57 6925657.0 683335.0
203.08 1059.14 22765.691000000006 15.386542938365192 19.670241911296085 -27.782253000000004 -49.139308 12170 -31.873 6925530.0 683333.0
198.66 1048.1 22765.701 11.954358671868427 16.13916829066624 -27.783403000000003 -49.139314 12170 -35.361 6925403.0 683330.0
195.58 1038.28 22765.711 12.741399759086065 16.827492089353733 -27.784553 -49.139319 12170 -34.629 6925276.0 683328.0
205.84 1029.95 22765.721 15.629862041537272 19.616462491484693 -27.785703 -49.139319 12170 -31.796 6925148.0 683326.0
220.36 1022.04 22765.731 19.626903128754908 23.514786290172186 -27.78685 -49.139319 12170 -27.854 6925021.0 683324.0
191.19 1013.58 22765.742 22.293944215972658 26.08311008885961 -27.787994 -49.139314 12170 -25.242 6924894.0 683322.0
167.18 1005.5 22765.752 23.615014815385877 27.306582122738327 -27.789136 -49.13930300000001 12170 -23.974 6924768.0 683322.0
192.05 996.04 22765.764 25.83773196374718 29.43109817937787 -27.790275 -49.139275 12170 -21.804 6924641.0 683323.0
211.71 985.47 22765.776 26.383027916874923 29.878967632573882 -27.791414000000003 -49.139239 12170 -21.311 6924515.0 683324.0
223.66 974.55 22765.789 25.559774577431806 28.95863192440465 -27.79255 -49.139192 12170 -22.185 6924389.0 683327.0
224.43 964.07 22765.801 24.476295884274176 27.777898796918002 -27.793689 -49.13915 12170 -23.32 6924263.0 683329.0
220.63 954.69 22765.814 24.631238386349892 27.834812272874885 -27.794831 -49.139111 12170 -23.217 6924136.0 683331.0
220.35 945.09 22765.826 26.402759693192262 29.509079145388235 -27.795969 -49.139072 12170 -21.497 6924010.0 683333.0
214.64 935.59 22765.837000000003 27.62683029260559 30.63555117926696 -27.797111 -49.13905 12170 -20.326 6923884.0 683333.0
208.19 927.18 22765.849 29.312322087252262 32.222669816589146 -27.79825 -49.139031 12170 -18.694000000000006 6923757.0 683333.0
207.98 918.51 22765.86 30.756392686665592 33.56914185046781 -27.799394 -49.139017 12170 -17.303 6923631.0 683333.0
205.13 909.94 22765.871 32.39165912759775 35.10586306847265 -27.800539 -49.139006 12170 -15.722 6923504.0 683332.0
197.32 901.38 22765.882 33.72415092224454 36.33998170579484 -27.801683 -49.138989 12170 -14.443 6923377.0 683332.0
180.47 894.46 22765.894 33.18564271689121 35.70310034311697 -27.802828 -49.138964 12170 -15.035 6923250.0 683332.0
152.97 889.94 22765.906000000006 29.870585218967037 32.290013819073856 -27.803969 -49.138928 12170 -18.402 6923123.0 683334.0
148.78 885.97 22765.918 26.04988117209478 28.371883272269923 -27.805108 -49.138892 12170 -22.275 6922997.0 683335.0
146.22 882.47 22765.93 22.27217712522263 24.49675272546593 -27.806244 -49.138867 12170 -26.105 6922871.0 683336.0
123.67 878.09 22765.942000000006 18.02705188311702 20.15497557521848 -27.807375 -49.138833 12170 -30.402 6922746.0 683337.0
123.18 873.41 22765.953 14.891701287296891 16.922801005653724 -27.808503 -49.138814 12170 -33.59 6922621.0 683337.0
103.22 869.84 22765.965 11.133154849957831 13.068377251962808 -27.809625 -49.138789 12170 -37.4 6922497.0 683338.0
124.56 867.43 22765.976 7.7153830589042505 9.554556078954539 -27.810739 -49.138772 12170 -40.87 6922373.0 683338.0
170.85 863.84 22765.987 5.10296471890269 6.846690883185402 -27.81185 -49.138756 12170 -43.535 6922250.0 683337.0
178.75 860.11 22765.998 2.119546378901127 3.767825687416313 -27.812964 -49.13875 12170 -46.57100000000001 6922127.0 683336.0
186.07 858.32 22766.008 -1.2524507658669748 0.2996070950906997 -27.814081 -49.138744 12170 -49.996 6922003.0 683335.0
172.21 859.34 22766.019 -2.5676732643495943 -1.1120089165522629 -27.815194 -49.138739 12170 -51.365 6921879.0 683333.0
165.48 861.33 22766.029 -3.296866250636633 -1.936476693004053 -27.816308000000006 -49.138731 12170 -52.146 6921756.0 683333.0
137.02 864.49 22766.04 -4.972284590638188 -3.707341888773129 -27.817419 -49.138719 12170 -53.874 6921633.0 683332.0
95.52 868.45 22766.052000000003 -10.962477576925238 -9.792809665224873 -27.818531 -49.138697 12170 -59.916 6921510.0 683332.0
92.8 870.9 22766.063 -14.66367056321216 -13.589277441676655 -27.819639 -49.138672 12170 -63.669 6921387.0 683332.0
149.95 869.18 22766.075 -19.06863819578468 -18.089347798811048 -27.820747 -49.138647 12170 -68.125 6921264.0 683333.0
184.77 864.3 22766.087000000003 -19.886184633123747 -19.00277155250197 -27.821861 -49.138617 12170 -68.994 6921140.0 683334.0
195.66 855.6 22766.099 -22.194731070462808 -21.407195306192893 -27.822986 -49.138594 12170 -71.354 6921016.0 683335.0
173.39 845.11 22766.11 -28.454660471049596 -27.764723272314228 -27.824117 -49.138572 12170 -77.667 6920890.0 683335.0
150.83 835.46 22766.122000000007 -38.099589871636255 -37.5072512384355 -27.825256 -49.138556 12170 -87.365 6920764.0 683335.0
145.37 825.7 22766.134 -47.25009807698947 -46.75613260111332 -27.8264 -49.138536 12170 -96.569 6920637.0 683335.0
137.08 816.18 22766.146 -52.393606282342795 -51.9980139637912 -27.827547 -49.138517 12170 -101.766 6920510.0 683335.0
121.58 811.54 22766.157000000007 -55.280339841410544 -54.983292745786365 -27.828692 -49.1385 12170 -104.707 6920383.0 683334.0
124.64 811.55 22766.169 -56.56126924199731 -56.36182071190762 -27.829831 -49.138481 12170 -106.041 6920257.0 683334.0
156.07 808.56 22766.181 -56.63161983781744 -56.528995281472426 -27.830961 -49.138461 12170 -106.164 6920132.0 683334.0
187.55 802.6 22766.192000000006 -54.39174507992304 -54.38577243171989 -27.832083 -49.138436 12170 -103.976 6920007.0 683335.0
180.42 795.63 22766.204 -57.00851687097662 -57.098593604728144 -27.833206 -49.138419 12170 -106.645 6919883.0 683335.0
176.58 788.59 22766.215 -63.28328866203022 -63.469414777736425 -27.834325 -49.138403 12170 -112.972 6919759.0 683335.0
151.5 779.67 22766.227000000006 -68.22028580679833 -68.50263337006204 -27.835444 -49.138392 12170 -117.962 6919635.0 683334.0
138.4 771.88 22766.238 -71.55950830528093 -71.93824938170499 -27.836567 -49.138386 12170 -121.355 6919511.0 683332.0
150.03 764.64 22766.248 -73.65773080376356 -74.13286539334797 -27.837686 -49.138389 12170 -123.507 6919387.0 683330.0
159.53 757.9 22766.259 -75.80695330224617 -76.37848140499092 -27.838806 -49.138389 12170 -125.71 6919263.0 683328.0
154.53 751.15 22766.269 -79.74317580072878 -80.41109741663388 -27.839919 -49.138392 12170 -129.7 6919139.0 683326.0
147.86 745.64 22766.28 -82.92281949444488 -83.68636003172037 -27.841033000000003 -49.138392 12170 -132.933 6919016.0 683324.0
130.16 743.19 22766.291 -83.59981663921295 -84.45957862404597 -27.842147 -49.13838300000001 12170 -133.66299999999998 6918892.0 683323.0
108.47 741.69 22766.303 -81.62258843026655 -82.57839979705426 -27.843267 -49.138367 12170 -131.738 6918768.0 683323.0
138.08 743.56 22766.315 -81.18813486760561 -82.23982355074517 -27.844392 -49.138336 12170 -131.355 6918644.0 683324.0
152.41 748.28 22766.328 -77.54580940228217 -78.69380586235793 -27.845517 -49.138289 12170 -127.763 6918519.0 683327.0
150.2 753.86 22766.343 -73.40403322952972 -74.64799333533595 -27.846639 -49.138219 12170 -123.67 6918394.0 683332.0
148.85 760.46 22766.358 -69.71145289829619 -71.05042999244014 -27.847756 -49.138142 12170 -120.025 6918270.0 683338.0
132.75 770.35 22766.372000000007 -66.59294031124409 -68.02555727574864 -27.848864000000006 -49.138064 12170 -116.954 6918148.0 683343.0
135.73 782.85 22766.387 -64.58320237047748 -66.10928713973982 -27.849961 -49.13798900000001 12170 -114.991 6918026.0 683349.0
114.18 796.51 22766.401 -67.15653217389219 -68.77470762993528 -27.851042 -49.137919 12170 -117.611 6917906.0 683354.0
96.19 808.45 22766.415 -70.72528317254034 -72.4347747235742 -27.852117 -49.137853 12170 -121.226 6917787.0 683359.0
125.27 818.42 22766.429 -75.46925952490315 -77.27023923653053 -27.853186 -49.137786 12170 -126.017 6917668.0 683363.0
121.42 827.39 22766.442000000006 -75.67365707249925 -77.56535035293022 -27.854253000000003 -49.137731 12170 -126.268 6917550.0 683367.0
90.87 836.46 22766.455 -72.82627997380992 -74.80885888864738 -27.855314 -49.137689 12170 -123.468 6917432.0 683370.0
92.38 844.66 22766.467 -71.37677477778308 -73.4498088664427 -27.856372 -49.137656 12170 -122.067 6917315.0 683371.0
104.86 848.79 22766.479 -70.04284838652279 -72.20711224079453 -27.857436 -49.137625 12170 -120.782 6917197.0 683372.0
154.56 849.32 22766.491 -69.28550080002901 -71.54176901170283 -27.858508 -49.137597 12170 -120.074 6917078.0 683373.0
209.82 845.28 22766.503 -68.02173201830179 -70.37077917916767 -27.859594 -49.137572 12170 -118.86 6916958.0 683374.0
255.97 837.24 22766.514 -67.0625715535368 -69.50629097838026 -27.860697 -49.137558 12170 -117.953 6916836.0 683373.0
262.07 827.81 22766.525 -66.04137285678597 -68.58226038657978 -27.861825 -49.137567 12170 -116.986 6916711.0 683371.0
231.66 821.45 22766.534 -64.92445853814093 -67.56492368447901 -27.862972 -49.137614 12170 -115.928 6916584.0 683364.0
189.22 816.54 22766.542 -63.33170182902885 -66.07329377549132 -27.864136 -49.137664 12170 -114.395 6916455.0 683357.0
148.47 813.48 22766.551 -62.60252392468344 -65.44601726306013 -27.865311 -49.137714 12170 -113.726 6916325.0 683350.0
151.89 811.91 22766.561 -62.221052922442176 -65.16765270510729 -27.866497 -49.137747 12170 -113.404 6916193.0 683345.0
149.29 813.19 22766.572 -61.33735656648629 -64.3868907278371 -27.867686 -49.137761 12170 -112.579 6916061.0 683341.0
150.89 727.53 22766.835 -58.27702976546833 -61.28296042194068 -27.868083 -49.132858 12180 -109.166 6916010.0 683824.0
192.55 721.44 22766.824 -59.524548362875365 -62.44794182902791 -27.867117 -49.132886 12180 -110.37 6916117.0 683822.0
178.54 713.45 22766.813 -60.85145864332016 -63.69042160436743 -27.866133 -49.132906 12180 -111.651 6916226.0 683822.0
143.99 704.39 22766.802000000003 -61.83021131423185 -64.58319458659386 -27.865131 -49.132922 12180 -112.583 6916337.0 683822.0
104.71 695.78 22766.792 -62.7830022171294 -65.4475099598334 -27.864108 -49.132936 12180 -113.487 6916451.0 683823.0
79.09 691.84 22766.78 -63.43066502268934 -66.00626677515119 -27.863072 -49.132958 12180 -114.087 6916566.0 683822.0
63.27 693.97 22766.768 -64.28032782824937 -66.76702359046891 -27.862031 -49.132994 12180 -114.889 6916681.0 683821.0
68.14 701.72 22766.756 -65.68744134123835 -68.08557524442136 -27.860997 -49.133039 12180 -116.25 6916796.0 683818.0
99.02 709.17 22766.743 -67.1283590127085 -69.43887771424765 -27.859969 -49.133092 12180 -117.646 6916910.0 683814.0
137.47 716.74 22766.73 -68.77240478151614 -70.99573874199578 -27.85895 -49.133136 12180 -119.244 6917023.0 683812.0
147.73 723.79 22766.718 -70.20525470880486 -72.3423505856178 -27.857939 -49.133181 12180 -120.632 6917135.0 683809.0
149.75 728.46 22766.706 -71.25287928237907 -73.30356500992241 -27.856928000000003 -49.133222 12180 -121.634 6917247.0 683807.0
159.17 730.79 22766.695 -73.02350385595327 -74.98777943422705 -27.855917 -49.133256 12180 -123.359 6917359.0 683805.0
177.93 732.11 22766.683 -75.09690307581283 -76.97459643921437 -27.854903000000004 -49.133283 12180 -125.386 6917471.0 683804.0
177.46 731.86 22766.672 -77.74372349090595 -79.53406004764516 -27.853886 -49.133308 12180 -127.986 6917584.0 683803.0
171.5 733.21 22766.661 -79.75731855228456 -81.46012623675857 -27.852867 -49.133325 12180 -129.952 6917697.0 683803.0
175.6 737.28 22766.651 -80.96646290623414 -82.58139758723726 -27.85185 -49.13332800000001 12180 -131.112 6917810.0 683805.0
176.62 742.44 22766.642000000003 -81.11118606495026 -82.63902233427255 -27.850833 -49.133322 12180 -131.208 6917922.0 683807.0
163.32 747.72 22766.633 -80.82945851623737 -82.26985224267312 -27.849822 -49.133297 12180 -130.876 6918034.0 683811.0
128.62 753.49 22766.626 -81.89928026009541 -83.25188731243895 -27.848814 -49.133261 12180 -131.894 6918146.0 683817.0
109.19 761.6 22766.618 -81.52090616243451 -82.78667319807872 -27.847814 -49.133222 12180 -131.465 6918257.0 683822.0
118.99 772.35 22766.61 -80.9576896743067 -82.13816587683151 -27.846828 -49.133192 12180 -130.852 6918366.0 683827.0
113.57 782.6 22766.601 -79.0977280520891 -80.19420421009278 -27.84585 -49.133186 12180 -128.945 6918474.0 683829.0
104.33 791.14 22766.591 -77.21321713730043 -78.22603738198882 -27.844878 -49.133197 12180 -127.015 6918582.0 683829.0
126.98 797.7 22766.581 -76.55128502727841 -77.48122395044135 -27.843911 -49.133217 12180 -126.308 6918689.0 683829.0
104.42 801.36 22766.57 -76.39099946620426 -77.23745454165473 -27.842939 -49.133244 12180 -126.103 6918797.0 683828.0
110.23 805.17 22766.559 -77.19971390513024 -77.96268513286806 -27.841964 -49.133275 12180 -126.867 6918905.0 683827.0
132.96 810.89 22766.548 -78.2206536977707 -78.9003131433988 -27.840989 -49.133311 12180 -127.844 6919013.0 683825.0
133.01 817.13 22766.537 -79.34936813669655 -79.94554373461216 -27.840017 -49.133339 12180 -128.928 6919121.0 683824.0
108.07 824.56 22766.527 -78.86166138038908 -79.3751277223821 -27.839047 -49.133361 12180 -128.39600000000002 6919228.0 683823.0
84.1 831.6 22766.516 -77.63615046560041 -78.06596089427808 -27.838081 -49.133381 12180 -127.125 6919336.0 683823.0
111.96 835.58 22766.506 -78.85021835557835 -79.19714746273058 -27.837111 -49.133397 12180 -128.29399999999998 6919443.0 683823.0
146.77 839.52 22766.496 -79.35270744078983 -79.61598063462665 -27.836139000000006 -49.133417 12180 -128.751 6919551.0 683823.0
145.78 841.55 22766.486 -77.63119652600116 -77.81081380652267 -27.835161 -49.133431 12180 -126.984 6919659.0 683823.0
137.63 838.62 22766.476 -69.51752800167951 -69.61194018530566 -27.834172 -49.133444 12180 -118.824 6919769.0 683823.0
126.47 833.65 22766.466 -62.93128067259122 -62.93971316753211 -27.833169 -49.13345800000001 12180 -112.191 6919880.0 683823.0
155.45 828.88 22766.456 -60.773650380255184 -60.6943819373282 -27.83215 -49.133467 12180 -109.985 6919993.0 683824.0
185.58 825.05 22766.446 -62.34421592943823 -62.1762998912504 -27.831114000000003 -49.133467 12180 -111.506 6920107.0 683826.0
192.92 824.07 22766.437 -65.84939851537354 -65.59111363274225 -27.830069 -49.13345800000001 12180 -114.96 6920223.0 683829.0
