GPSALT IGRF LAT LONG Line MAGIGRF X Y
998.03 22765.762 -27.790047 -49.139281 12170 -22.165 6924667.0 683322.0
997.37 22765.763 -27.790125 -49.139278 12170 -22.034 6924658.0 683322.0
996.7 22765.763 -27.7902 -49.139278 12170 -21.913 6924650.0 683322.0
996.04 22765.764 -27.790275 -49.139275 12170 -21.804 6924641.0 683323.0
995.38 22765.765 -27.790353 -49.139272 12170 -21.71 6924633.0 683323.0
994.71 22765.766 -27.790428 -49.139272 12170 -21.631 6924625.0 683323.0
994.04 22765.766 -27.790503 -49.139269 12170 -21.567 6924616.0 683323.0
993.38 22765.767 -27.790578 -49.139267 12170 -21.514 6924608.0 683323.0
992.66 22765.768 -27.790656 -49.139264 12170 -21.455 6924599.0 683323.0
991.95 22765.769 -27.790731 -49.139261 12170 -21.402 6924591.0 683323.0
991.23 22765.77 -27.790806 -49.139258 12170 -21.356 6924582.0 683323.0
990.51 22765.77 -27.790883 -49.139258 12170 -21.315 6924574.0 683323.0
989.8 22765.771 -27.790958 -49.139256 12170 -21.282 6924566.0 683323.0
989.08 22765.772 -27.791033 -49.139253 12170 -21.259 6924557.0 683323.0
988.36 22765.773 -27.791111 -49.13925 12170 -21.246 6924549.0 683324.0
987.64 22765.774 -27.791186 -49.139247 12170 -21.245 6924540.0 683324.0
986.93 22765.774 -27.791261 -49.139244 12170 -21.256 6924532.0 683324.0
986.21 22765.775 -27.791336 -49.139242 12170 -21.278 6924524.0 683324.0
985.47 22765.776 -27.791414 -49.139239 12170 -21.311 6924515.0 683324.0
984.73 22765.777 -27.791489 -49.139236 12170 -21.351 6924507.0 683324.0
983.99 22765.778 -27.791564 -49.139233 12170 -21.395 6924498.0 683325.0
983.25 22765.779 -27.791642 -49.139228 12170 -21.444 6924490.0 683325.0
982.52 22765.78 -27.791717 -49.139225 12170 -21.494 6924482.0 683325.0
981.78 22765.78 -27.791792 -49.139222 12170 -21.545 6924473.0 683325.0
981.04 22765.781 -27.791867 -49.139219 12170 -21.596 6924465.0 683325.0
980.3 22765.782 -27.791944 -49.139217 12170 -21.648 6924456.0 683326.0
979.56 22765.783 -27.792019 -49.139214 12170 -21.7 6924448.0 683326.0
978.82 22765.784 -27.792094 -49.139208 12170 -21.753 6924440.0 683326.0
978.11 22765.785 -27.792172 -49.139206 12170 -21.822 6924431.0 683326.0
977.4 22765.785 -27.792247 -49.139203 12170 -21.893 6924423.0 683326.0
976.68 22765.786 -27.792322 -49.1392 12170 -21.966 6924414.0 683326.0
975.97 22765.787 -27.7924 -49.139197 12170 -22.039 6924406.0 683327.0
975.26 22765.788 -27.792475 -49.139194 12170 -22.113 6924398.0 683327.0
974.55 22765.789 -27.79255 -49.139192 12170 -22.185 6924389.0 683327.0
973.84 22765.79 -27.792625 -49.139189 12170 -22.256 6924381.0 683327.0
973.12 22765.79 -27.792703 -49.139186 12170 -22.327 6924372.0 683327.0
972.41 22765.791 -27.792778 -49.139183 12170 -22.399 6924364.0 683327.0
971.7 22765.792 -27.792853 -49.139178 12170 -22.473 6924355.0 683328.0
971.0 22765.793 -27.792931 -49.139175 12170 -22.549 6924347.0 683328.0
970.3 22765.794 -27.793006 -49.139175 12170 -22.629 6924339.0 683328.0
969.6 22765.795 -27.793081 -49.139172 12170 -22.713 6924330.0 683328.0
968.9 22765.795 -27.793158 -49.139169 12170 -22.8 6924322.0 683328.0
968.2 22765.796 -27.793233 -49.139167 12170 -22.886 6924313.0 683328.0
967.5 22765.797 -27.793308 -49.139164 12170 -22.971 6924305.0 683328.0
966.8 22765.798 -27.793386 -49.139161 12170 -23.051 6924297.0 683329.0
966.1 22765.799 -27.793461 -49.139158 12170 -23.127 6924288.0 683329.0
965.4 22765.8 -27.793536 -49.139156 12170 -23.197 6924280.0 683329.0
964.7 22765.8 -27.793614 -49.139153 12170 -23.261 6924271.0 683329.0
964.07 22765.801 -27.793689 -49.13915 12170 -23.32 6924263.0 683329.0
963.43 22765.802 -27.793764 -49.139147 12170 -23.373 6924255.0 683329.0
962.8 22765.803 -27.793842 -49.139144 12170 -23.422 6924246.0 683329.0
962.17 22765.804 -27.793917 -49.139142 12170 -23.465 6924238.0 683329.0
961.54 22765.805 -27.793992 -49.139139 12170 -23.5 6924229.0 683330.0
960.9 22765.805 -27.794069 -49.139139 12170 -23.523 6924221.0 683330.0
960.27 22765.806 -27.794144 -49.139136 12170 -23.535 6924212.0 683330.0
959.64 22765.807 -27.794219 -49.139133 12170 -23.534 6924204.0 683330.0
959.0 22765.808 -27.794297 -49.139131 12170 -23.522 6924196.0 683330.0
958.37 22765.809 -27.794372 -49.139128 12170 -23.503 6924187.0 683330.0
957.76 22765.809 -27.79445 -49.139125 12170 -23.477 6924179.0 683330.0
957.14 22765.81 -27.794525 -49.139122 12170 -23.444 6924170.0 683330.0
956.53 22765.811 -27.7946 -49.139119 12170 -23.403 6924162.0 683331.0
955.92 22765.812 -27.794678 -49.139117 12170 -23.352 6924153.0 683331.0
955.31 22765.813 -27.794753 -49.139114 12170 -23.29 6924145.0 683331.0
954.69 22765.814 -27.794831 -49.139111 12170 -23.217 6924136.0 683331.0
954.08 22765.814 -27.794906 -49.139108 12170 -23.135 6924128.0 683331.0
953.47 22765.815 -27.794981 -49.139106 12170 -23.047 6924120.0 683331.0
952.85 22765.816 -27.795058 -49.139103 12170 -22.953 6924111.0 683331.0
952.24 22765.817 -27.795133 -49.1391 12170 -22.853 6924103.0 683331.0
951.59 22765.818 -27.795211 -49.139097 12170 -22.745 6924094.0 683332.0
950.94 22765.818 -27.795286 -49.139094 12170 -22.63 6924086.0 683332.0
950.29 22765.819 -27.795361 -49.139092 12170 -22.508 6924077.0 683332.0
949.64 22765.82 -27.795439 -49.139089 12170 -22.382 6924069.0 683332.0
948.99 22765.821 -27.795514 -49.139086 12170 -22.254 6924061.0 683332.0
948.34 22765.822 -27.795589 -49.139083 12170 -22.123 6924052.0 683332.0
947.69 22765.822 -27.795667 -49.139083 12170 -21.992 6924044.0 683332.0
947.04 22765.823 -27.795742 -49.139081 12170 -21.863 6924035.0 683333.0
946.39 22765.824 -27.795819 -49.139078 12170 -21.736 6924027.0 683333.0
945.74 22765.825 -27.795894 -49.139075 12170 -21.613 6924018.0 683333.0
945.09 22765.826 -27.795969 -49.139072 12170 -21.497 6924010.0 683333.0
944.43 22765.827 -27.796047 -49.139069 12170 -21.39 6924002.0 683333.0
943.77 22765.827 -27.796122 -49.139069 12170 -21.295 6923993.0 683333.0
943.12 22765.828 -27.796197 -49.139067 12170 -21.21 6923985.0 683333.0
942.47 22765.829 -27.796275 -49.139064 12170 -21.134 6923976.0 683333.0
941.81 22765.83 -27.79635 -49.139064 12170 -21.064 6923968.0 683333.0
