GPSALT IGRF LAT LONG Line MAGIGRF X Y
998.03 22765.762 -27.790047 -49.139281 12170 -22.165 6924667.0 683322.0
987.64 22765.774 -27.791186 -49.139247 12170 -21.245 6924540.0 683324.0
976.68 22765.786 -27.792322 -49.1392 12170 -21.966 6924414.0 683326.0
966.1 22765.799 -27.793461 -49.139158 12170 -23.127 6924288.0 683329.0
956.53 22765.811 -27.7946 -49.139119 12170 -23.403 6924162.0 683331.0
947.04 22765.823 -27.795742 -49.139081 12170 -21.863 6924035.0 683333.0
937.39 22765.835 -27.796881 -49.139053 12170 -20.583 6923909.0 683333.0
928.84 22765.846 -27.798022 -49.139033 12170 -19.03 6923783.0 683333.0
920.26 22765.857 -27.799167 -49.139019 12170 -17.535 6923656.0 683333.0
911.64 22765.868 -27.800308 -49.139008 12170 -16.034 6923529.0 683332.0
903.1 22765.88 -27.801453 -49.138992 12170 -14.692 6923402.0 683332.0
895.65 22765.891 -27.8026 -49.138969 12170 -14.664 6923275.0 683332.0
890.73 22765.903 -27.803742 -49.138936 12170 -17.695 6923149.0 683333.0
886.73 22765.916 -27.804881 -49.138897 12170 -21.616 6923022.0 683335.0
883.24 22765.927 -27.806017 -49.138872 12170 -25.294 6922897.0 683336.0
878.99 22765.94 -27.80715 -49.138839 12170 -29.612 6922771.0 683337.0
874.47 22765.951 -27.808278 -49.138817 12170 -33.021 6922646.0 683337.0
870.37 22765.963 -27.8094 -49.138792 12170 -36.527 6922522.0 683338.0
868.1 22765.974 -27.810517 -49.138775 12170 -40.149 6922398.0 683338.0
864.57 22765.985 -27.811628 -49.138758 12170 -43.122 6922275.0 683337.0
860.88 22765.996 -27.812742 -49.13875 12170 -45.787 6922151.0 683336.0
858.42 22766.006 -27.813856 -49.138744 12170 -49.489 6922028.0 683335.0
859.09 22766.017 -27.814972 -49.138742 12170 -51.159 6921904.0 683334.0
860.84 22766.027 -27.816086 -49.138731 12170 -52.032 6921780.0 683333.0
863.76 22766.038 -27.8172 -49.138722 12170 -53.254 6921657.0 683332.0
867.65 22766.049 -27.818308 -49.138703 12170 -58.78 6921534.0 683332.0
870.84 22766.061 -27.819417 -49.138678 12170 -62.53 6921411.0 683332.0
869.76 22766.073 -27.820525 -49.138653 12170 -67.564 6921289.0 683333.0
865.53 22766.085 -27.821639 -49.138622 12170 -68.887 6921165.0 683334.0
857.59 22766.096 -27.822761 -49.138597 12170 -70.587 6921041.0 683335.0
847.12 22766.108 -27.823889 -49.138575 12170 -76.087 6920916.0 683335.0
837.37 22766.12 -27.825028 -49.138558 12170 -85.324 6920790.0 683335.0
827.71 22766.131 -27.826172 -49.138539 12170 -94.939 6920663.0 683335.0
817.91 22766.143 -27.827317 -49.138519 12170 -100.917 6920536.0 683335.0
811.85 22766.155 -27.828464 -49.138503 12170 -104.265 6920409.0 683334.0
811.56 22766.166 -27.829606 -49.138486 12170 -105.874 6920282.0 683334.0
809.55 22766.178 -27.830736 -49.138464 12170 -106.361 6920157.0 683334.0
803.91 22766.19 -27.831858 -49.138442 12170 -104.325 6920032.0 683335.0
797.01 22766.202 -27.832981 -49.138422 12170 -105.641 6919908.0 683335.0
790.12 22766.213 -27.8341 -49.138406 12170 -111.748 6919784.0 683335.0
781.39 22766.225 -27.835222 -49.138392 12170 -117.092 6919660.0 683334.0
773.38 22766.235 -27.836342 -49.138389 12170 -120.821 6919536.0 683333.0
766.03 22766.246 -27.837464 -49.138389 12170 -123.131 6919411.0 683331.0
759.24 22766.257 -27.838583 -49.138389 12170 -125.061 6919287.0 683329.0
752.48 22766.267 -27.839697 -49.138392 12170 -128.877 6919164.0 683326.0
746.53 22766.278 -27.840811 -49.138392 12170 -132.468 6919041.0 683325.0
743.58 22766.289 -27.841925 -49.138386 12170 -133.626 6918917.0 683323.0
741.84 22766.3 -27.843044 -49.138372 12170 -132.089 6918793.0 683323.0
742.88 22766.312 -27.844167 -49.138344 12170 -131.805 6918669.0 683324.0
747.23 22766.326 -27.845292 -49.1383 12170 -128.605 6918544.0 683326.0
752.67 22766.34 -27.846414 -49.138236 12170 -124.415 6918419.0 683331.0
758.98 22766.355 -27.847533 -49.138158 12170 -120.737 6918295.0 683336.0
768.09 22766.369 -27.848644 -49.138081 12170 -117.491 6918172.0 683342.0
780.23 22766.384 -27.849742 -49.138003 12170 -115.154 6918050.0 683348.0
751.09 22766.629 -27.849217 -49.133275 12180 -131.833 6918102.0 683814.0
757.8 22766.621 -27.848211 -49.133236 12180 -131.501 6918213.0 683820.0
767.92 22766.613 -27.847222 -49.1332 12180 -131.264 6918322.0 683825.0
778.89 22766.605 -27.846242 -49.133186 12180 -129.847 6918431.0 683828.0
787.88 22766.595 -27.845267 -49.133192 12180 -127.635 6918539.0 683829.0
795.42 22766.585 -27.844297 -49.133208 12180 -126.633 6918646.0 683829.0
800.11 22766.574 -27.843328 -49.133231 12180 -126.416 6918754.0 683829.0
803.3 22766.563 -27.842356 -49.133264 12180 -126.455 6918862.0 683827.0
808.46 22766.552 -27.841381 -49.133297 12180 -127.303 6918970.0 683825.0
814.71 22766.541 -27.840406 -49.133328 12180 -128.715 6919078.0 683824.0
821.45 22766.531 -27.839433 -49.133353 12180 -128.752 6919185.0 683823.0
829.11 22766.521 -27.838467 -49.133372 12180 -127.963 6919293.0 683823.0
834.23 22766.51 -27.8375 -49.133392 12180 -127.471 6919400.0 683823.0
837.63 22766.5 -27.836528 -49.133408 12180 -128.621 6919507.0 683823.0
841.25 22766.49 -27.835553 -49.133425 12180 -128.736 6919616.0 683823.0
840.39 22766.48 -27.834569 -49.133439 12180 -122.7 6919725.0 683823.0
835.68 22766.47 -27.833572 -49.133453 12180 -114.203 6919835.0 683823.0
830.75 22766.46 -27.832558 -49.133464 12180 -110.256 6919947.0 683824.0
826.37 22766.45 -27.831531 -49.133467 12180 -110.618 6920061.0 683825.0
824.0 22766.44 -27.830489 -49.133464 12180 -113.901 6920177.0 683827.0
825.26 22766.431 -27.829439 -49.133453 12180 -114.182 6920293.0 683830.0
828.46 22766.421 -27.828383 -49.133447 12180 -110.993 6920410.0 683833.0
830.2 22766.412 -27.827325 -49.133439 12180 -109.925 6920527.0 683835.0
828.57 22766.402 -27.826264 -49.133436 12180 -112.758 6920645.0 683837.0
829.96 22766.392 -27.825197 -49.133436 12180 -113.788 6920763.0 683839.0
837.99 22766.382 -27.824139 -49.133442 12180 -105.256 6920880.0 683840.0
851.6 22766.371 -27.8231 -49.133456 12180 -88.142 6920995.0 683841.0
866.85 22766.36 -27.822081 -49.133483 12180 -67.216 6921108.0 683840.0
879.67 22766.349 -27.821078 -49.133517 12180 -52.319 6921220.0 683838.0
890.86 22766.338 -27.820083 -49.133547 12180 -50.102 6921330.0 683837.0
901.2 22766.328 -27.8191 -49.133581 12180 -49.511 6921439.0 683835.0
912.29 22766.317 -27.818128 -49.133614 12180 -49.594 6921547.0 683833.0
923.91 22766.306 -27.817164 -49.133644 12180 -48.278 6921653.0 683832.0
935.41 22766.296 -27.816214 -49.133675 12180 -47.327 6921759.0 683831.0
946.96 22766.285 -27.815269 -49.133708 12180 -45.815 6921863.0 683829.0
958.14 22766.275 -27.814336 -49.133742 12180 -43.318 6921967.0 683827.0
968.04 22766.265 -27.813408 -49.133775 12180 -39.9 6922070.0 683826.0
978.29 22766.255 -27.812489 -49.133789 12180 -35.716 6922172.0 683826.0
990.48 22766.247 -27.811581 -49.133794 12180 -32.382 6922273.0 683827.0
1003.58 22766.239 -27.810683 -49.133794 12180 -29.343 6922372.0 683828.0
1019.67 22766.23 -27.809808 -49.133803 12180 -26.484 6922469.0 683829.0
1037.48 22766.221 -27.808947 -49.133822 12180 -23.206 6922564.0 683828.0
1051.95 22766.212 -27.8081 -49.133844 12180 -19.828 6922658.0 683828.0
1059.56 22766.203 -27.80725 -49.133869 12180 -16.127 6922752.0 683827.0
1060.88 22766.194 -27.806389 -49.133889 12180 -11.73 6922848.0 683826.0
1059.15 22766.186 -27.805508 -49.1339 12180 -6.751 6922945.0 683826.0
1054.53 22766.177 -27.804608 -49.133903 12180 -2.331 6923045.0 683828.0
1049.02 22766.169 -27.803683 -49.133897 12180 1.32 6923148.0 683830.0
1040.75 22766.161 -27.802733 -49.133889 12180 1.335 6923253.0 683832.0
1032.8 22766.152 -27.801756 -49.133886 12180 2.815 6923361.0 683834.0
1027.12 22766.143 -27.800756 -49.133894 12180 2.046 6923472.0 683835.0
1024.51 22766.133 -27.799736 -49.133903 12180 1.735 6923585.0 683836.0
1024.42 22766.123 -27.798714 -49.133917 12180 0.693 6923698.0 683836.0
1025.82 22766.113 -27.797686 -49.133931 12180 -0.864 6923812.0 683837.0
1029.89 22766.103 -27.796661 -49.133947 12180 -3.111 6923926.0 683837.0
1039.72 22766.093 -27.795647 -49.133967 12180 -4.856 6924038.0 683837.0
1050.16 22766.083 -27.794647 -49.133983 12180 -5.658 6924149.0 683837.0
1057.95 22766.073 -27.793653 -49.134006 12180 -5.692 6924259.0 683836.0
1060.91 22766.063 -27.792661 -49.134036 12180 -4.788 6924369.0 683835.0
1062.14 22766.052 -27.791667 -49.134067 12180 -3.272 6924479.0 683834.0
1060.27 22766.041 -27.790664 -49.1341 12180 -0.178 6924591.0 683832.0
1157.55 22766.3 -27.790369 -49.129156 12190 11.835 6924616.0 684319.0
1157.29 22766.312 -27.791394 -49.129108 12190 13.599 6924502.0 684323.0
1152.46 22766.324 -27.792431 -49.129053 12190 15.816 6924387.0 684326.0
1140.01 22766.337 -27.793483 -49.128989 12190 17.941 6924271.0 684331.0
1124.39 22766.35 -27.794556 -49.128931 12190 19.722 6924152.0 684335.0
1112.5 22766.363 -27.795656 -49.128875 12190 21.169 6924030.0 684338.0
1105.54 22766.375 -27.796772 -49.128825 12190 23.4 6923906.0 684341.0
1103.48 22766.388 -27.7979 -49.128783 12190 25.847 6923781.0 684344.0
1103.64 22766.4 -27.799025 -49.128744 12190 28.778 6923656.0 684345.0
1105.47 22766.411 -27.800153 -49.128719 12190 26.233 6923531.0 684346.0
1108.31 22766.422 -27.801272 -49.1287 12190 22.178 6923407.0 684346.0
1112.11 22766.434 -27.802389 -49.128681 12190 20.195 6923283.0 684346.0
1115.64 22766.445 -27.8035 -49.128658 12190 21.5 6923160.0 684346.0
1118.18 22766.456 -27.804606 -49.128633 12190 19.573 6923038.0 684347.0
1122.4 22766.467 -27.805703 -49.128608 12190 16.696 6922916.0 684347.0
1131.87 22766.478 -27.806789 -49.128594 12190 13.494 6922796.0 684347.0
1145.38 22766.488 -27.807853 -49.128592 12190 2.032 6922678.0 684346.0
1154.88 22766.497 -27.808903 -49.128594 12190 -6.27 6922561.0 684344.0
1158.18 22766.506 -27.809953 -49.128606 12190 -12.215 6922445.0 684341.0
1152.56 22766.515 -27.811008 -49.128617 12190 -16.643 6922328.0 684338.0
1143.1 22766.525 -27.812078 -49.128622 12190 -21.286 6922210.0 684335.0
1130.74 22766.535 -27.813167 -49.128622 12190 -25.06 6922089.0 684334.0
1117.28 22766.546 -27.814275 -49.128617 12190 -30.245 6921966.0 684332.0
1104.26 22766.556 -27.815406 -49.128611 12190 -36.304 6921841.0 684331.0
1093.3 22766.567 -27.816556 -49.128603 12190 -41.304 6921713.0 684330.0
1084.66 22766.578 -27.817722 -49.1286 12190 -47.776 6921584.0 684328.0
1077.28 22766.59 -27.818894 -49.128589 12190 -55.655 6921454.0 684327.0
1070.81 22766.601 -27.820069 -49.128575 12190 -65.503 6921324.0 684326.0
1064.57 22766.613 -27.821247 -49.128558 12190 -76.152 6921194.0 684326.0
1058.2 22766.625 -27.822422 -49.128539 12190 -86.396 6921063.0 684326.0
1051.42 22766.637 -27.823597 -49.128511 12190 -96.658 6920933.0 684327.0
1044.3 22766.65 -27.824772 -49.128472 12190 -104.771 6920803.0 684329.0
1036.85 22766.664 -27.825944 -49.128422 12190 -109.757 6920673.0 684332.0
1030.66 22766.678 -27.827114 -49.128367 12190 -112.596 6920543.0 684335.0
1026.03 22766.692 -27.828278 -49.128311 12190 -115.818 6920414.0 684339.0
1023.02 22766.705 -27.829436 -49.128261 12190 -120.442 6920286.0 684342.0
1020.1 22766.718 -27.830586 -49.128225 12190 -124.907 6920158.0 684343.0
1015.97 22766.73 -27.831731 -49.128203 12190 -125.587 6920031.0 684344.0
1010.95 22766.741 -27.832869 -49.128203 12190 -126.197 6919905.0 684342.0
1005.04 22766.751 -27.834003 -49.128211 12190 -126.938 6919779.0 684339.0
997.69 22766.761 -27.835139 -49.128219 12190 -128.853 6919654.0 684336.0
989.97 22766.772 -27.836272 -49.128219 12190 -131.436 6919528.0 684334.0
982.43 22766.784 -27.837408 -49.128206 12190 -133.065 6919402.0 684334.0
975.2 22766.795 -27.838542 -49.128183 12190 -135.206 6919276.0 684334.0
968.98 22766.808 -27.839675 -49.128158 12190 -136.569 6919151.0 684334.0
962.89 22766.819 -27.840806 -49.128139 12190 -137.023 6919026.0 684334.0
957.26 22766.831 -27.841931 -49.128119 12190 -135.1 6918901.0 684335.0
952.02 22766.843 -27.843053 -49.1281 12190 -132.938 6918777.0 684335.0
947.46 22766.854 -27.844169 -49.128083 12190 -132.025 6918653.0 684334.0
944.3 22766.866 -27.845281 -49.128072 12190 -130.889 6918530.0 684334.0
945.62 22766.877 -27.846375 -49.128064 12190 -130.72 6918408.0 684333.0
954.54 22766.887 -27.847447 -49.128056 12190 -132.398 6918290.0 684331.0
958.46 22766.898 -27.8485 -49.128053 12190 -132.82 6918173.0 684330.0
952.79 22766.908 -27.849544 -49.128056 12190 -131.597 6918057.0 684328.0
1221.49 22766.579 -27.790644 -49.123936 12200 35.908 6924578.0 684833.0
1215.01 22766.589 -27.791747 -49.123933 12200 38.989 6924455.0 684832.0
1209.18 22766.598 -27.792856 -49.12395 12200 42.186 6924333.0 684828.0
1204.82 22766.607 -27.793967 -49.123969 12200 42.917 6924209.0 684824.0
1199.86 22766.617 -27.795086 -49.123967 12200 41.685 6924085.0 684823.0
1193.81 22766.629 -27.796208 -49.123939 12200 41.433 6923961.0 684824.0
