GPSALT IGRF LAT LONG Line MAGIGRF MDT X Y
1093.52 22762.346 -27.7659 -49.199996 12050 -45.94 915.31 6927431.0 677379.0
1102.83 22762.358 -27.766919 -49.19992 12050 -43.445 922.99 6927318.0 677384.0
1114.55 22762.371 -27.767925 -49.199843 12050 -41.313 931.56 6927207.0 677390.0
1128.94 22762.383 -27.768919 -49.199793 12050 -39.905 942.37 6927097.0 677394.0
1143.5 22762.392 -27.769905 -49.199783 12050 -37.803 965.2 6926987.0 677393.0
1160.14 22762.398 -27.770879 -49.199831 12050 -35.669 1009.65 6926879.0 677387.0
1174.94 22762.403 -27.771848 -49.199894 12050 -34.056 1038.12 6926772.0 677379.0
1186.87 22762.409 -27.772817 -49.199948 12050 -34.016 1061.76 6926665.0 677372.0
1257.96 22762.558 -27.789848 -49.199998 12050 -43.707 1075.58 6924778.0 677340.0
1254.7 22762.572 -27.790921 -49.199929 12050 -37.846 1074.35 6924659.0 677345.0
1248.69 22762.584 -27.792011 -49.199877 12050 -33.929 1078.75 6924538.0 677348.0
1242.17 22762.596 -27.79312 -49.199839 12050 -32.615 1074.33 6924415.0 677350.0
1237.05 22762.608 -27.794248 -49.199808 12050 -31.244 1073.56 6924290.0 677351.0
1231.89 22762.62 -27.795391 -49.19978 12050 -29.771 1051.26 6924163.0 677352.0
1226.77 22762.632 -27.796548 -49.199754 12050 -28.991 1037.29 6924035.0 677353.0
1223.34 22762.644 -27.797718 -49.199721 12050 -27.942 1029.77 6923905.0 677354.0
1218.88 22762.656 -27.798895 -49.199693 12050 -28.124 1020.27 6923775.0 677355.0
1211.4 22762.669 -27.800074 -49.199655 12050 -28.283 1001.12 6923644.0 677357.0
1201.92 22762.682 -27.801257 -49.199626 12050 -27.431 978.12 6923513.0 677358.0
1196.06 22762.694 -27.802443 -49.199594 12050 -25.577 967.3 6923382.0 677359.0
1194.99 22762.707 -27.803628 -49.199565 12050 -24.109 962.64 6923250.0 677360.0
1192.32 22762.719 -27.804808 -49.19954 12050 -22.138 954.39 6923120.0 677360.0
1188.36 22762.731 -27.805984 -49.199518 12050 -20.126 960.51 6922989.0 677361.0
1184.62 22762.743 -27.807158 -49.199499 12050 -18.904 955.01 6922859.0 677361.0
1178.65 22762.754 -27.808331 -49.199485 12050 -17.477 949.01 6922729.0 677360.0
1172.55 22762.766 -27.809506 -49.19947 12050 -17.156 943.86 6922599.0 677360.0
1168.73 22762.778 -27.810684 -49.199443 12050 -19.058 941.01 6922468.0 677360.0
1166.06 22762.791 -27.811861 -49.199413 12050 -21.95 947.18 6922338.0 677361.0
1162.37 22762.803 -27.813037 -49.199382 12050 -23.829 942.0 6922208.0 677363.0
1156.71 22762.816 -27.814213 -49.199353 12050 -23.974 948.49 6922077.0 677363.0
1150.85 22762.827 -27.81539 -49.199345 12050 -24.98 952.26 6921947.0 677362.0
1144.91 22762.837 -27.816568 -49.199369 12050 -29.903 961.57 6921816.0 677358.0
1138.23 22762.845 -27.817749 -49.199416 12050 -32.029 955.79 6921686.0 677351.0
1132.84 22762.854 -27.818932 -49.199458 12050 -31.447 934.39 6921554.0 677345.0
1126.71 22762.864 -27.820119 -49.199487 12050 -30.855 916.98 6921423.0 677341.0
1118.5 22762.874 -27.82131 -49.199501 12050 -29.76 911.5 6921291.0 677337.0
1111.68 22762.885 -27.822506 -49.199508 12050 -26.662 895.94 6921159.0 677335.0
1105.36 22762.896 -27.823703 -49.199512 12050 -23.811 855.92 6921026.0 677332.0
1098.55 22762.907 -27.824898 -49.19952 12050 -22.913 827.06 6920893.0 677330.0
1093.54 22762.918 -27.826089 -49.199523 12050 -23.187 814.94 6920762.0 677327.0
1091.22 22762.93 -27.827273 -49.199521 12050 -26.81 813.4 6920630.0 677326.0
1087.88 22762.942 -27.82845 -49.19951 12050 -31.939 809.22 6920500.0 677325.0
1085.86 22762.954 -27.829622 -49.199488 12050 -38.308 817.72 6920370.0 677325.0
1083.96 22762.967 -27.830788 -49.199458 12050 -43.735 828.1 6920241.0 677326.0
1079.73 22762.98 -27.831951 -49.199418 12050 -47.095 803.16 6920112.0 677328.0
1074.82 22762.993 -27.833113 -49.19937 12050 -46.22 800.59 6919983.0 677331.0
1071.35 22763.007 -27.834273 -49.199316 12050 -43.917 828.08 6919854.0 677335.0
1070.25 22763.022 -27.835427 -49.199256 12050 -41.922 842.72 6919726.0 677339.0
1071.45 22763.036 -27.836574 -49.199194 12050 -41.477 875.96 6919599.0 677343.0
1072.5 22763.05 -27.837715 -49.199132 12050 -42.518 893.49 6919473.0 677347.0
1073.7 22763.064 -27.838852 -49.199065 12050 -43.64 891.79 6919347.0 677352.0
1075.0 22763.079 -27.839985 -49.198992 12050 -44.715 898.4 6919221.0 677357.0
1076.66 22763.094 -27.841114 -49.198914 12050 -45.281 891.71 6919096.0 677363.0
1078.4 22763.109 -27.842238 -49.198842 12050 -45.165 895.77 6918971.0 677368.0
1080.96 22763.123 -27.843356 -49.198779 12050 -44.919 889.71 6918847.0 677373.0
1084.31 22763.137 -27.844466 -49.19872 12050 -45.157 886.23 6918724.0 677377.0
1089.14 22763.151 -27.845567 -49.198664 12050 -47.884 904.87 6918602.0 677380.0
1094.94 22763.164 -27.846658 -49.198614 12050 -52.242 930.53 6918481.0 677384.0
1102.54 22763.176 -27.847739 -49.198586 12050 -56.996 974.1 6918361.0 677384.0
1111.35 22763.186 -27.848811 -49.198582 12050 -61.655 1022.9 6918243.0 677383.0
1116.92 22763.196 -27.849877 -49.198592 12050 -66.029 1025.31 6918124.0 677380.0
1118.34 22763.206 -27.850945 -49.198602 12050 -71.232 975.97 6918006.0 677378.0
1114.14 22763.216 -27.85202 -49.19861 12050 -76.176 925.66 6917887.0 677375.0
1106.05 22763.227 -27.853107 -49.198617 12050 -81.108 895.19 6917767.0 677373.0
1096.28 22763.237 -27.85421 -49.198625 12050 -85.239 875.23 6917644.0 677370.0
1087.53 22763.248 -27.855325 -49.198628 12050 -87.356 855.38 6917521.0 677368.0
1080.08 22763.258 -27.856448 -49.198637 12050 -87.608 841.25 6917396.0 677365.0
1074.54 22763.269 -27.857577 -49.198639 12050 -87.18 826.49 6917271.0 677363.0
1068.17 22763.281 -27.858709 -49.198627 12050 -87.141 819.16 6917146.0 677363.0
