X,Y,Z
4141.02055183053,-4198.192238267162,-59.69
4060.820551830344,-4198.092238267127,-58.81999999999999
3980.320551830344,-4198.00223826716,-57.579999999999984
3899.8105518305674,-4198.50223826716,-56.10000000000002
3819.000551830046,-4199.292238267139,-54.360000000000014
3737.880551829934,-4200.682238267153,-52.660000000000025
3656.7605518307537,-4202.662238267134,-50.639999999999986
3575.3305518301204,-4204.352238267136,-48.19
3493.6005518306047,-4205.732238267141,-45.81
3411.5505518298596,-4206.232238267141,-43.49000000000001
3329.5105518307537,-4206.132238267164,-41.20999999999998
3246.860551830381,-4205.74223826715,-39.45999999999998
3164.5105518307537,-4205.6422382671735,-37.64999999999998
3081.860551830381,-4205.842238267127,-36.889999999999986
2999.200551830232,-4205.74223826715,-37.05000000000001
2916.2405518302694,-4204.75223826716,-38.26999999999998
2833.590551829897,-4202.282238267129,-40.55000000000001
2751.2405518302694,-4198.612238267146,-42.79000000000002
2668.9005518304184,-4195.542238267139,-45.27999999999997
2586.860551830381,-4193.372238267155,-49.06999999999999
2505.130551829934,-4192.082238267118,-54.29000000000002
2424.0105518307537,-4191.3922382671735,-60.22000000000003
2343.200551830232,-4191.592238267127,-66.18
2263.000551830046,-4191.792238267139,-72.55000000000001
2183.4205518299714,-4191.702238267171,-78.82
2104.7605518307537,-4192.202238267171,-84.88
2026.1005518306047,-4193.00223826716,-90.72000000000003
1948.3605518303812,-4194.3922382671735,-96.44000000000005
1870.9205518299714,-4196.382238267164,-102.23000000000002
1793.8005518298596,-4198.0722382671665,-108.19000000000005
1717.2805518303066,-4199.762238267169,-114.13
1641.0805518301204,-4201.152238267125,-120.09000000000003
1565.1805518306792,-4202.552238267148,-125.77999999999997
1489.5905518298969,-4203.352238267136,-131.14999999999998
1414.3105518305674,-4203.852238267136,-136.76999999999998
1339.6505518304184,-4203.462238267122,-143.14
1265.2905518300831,-4201.8922382671735,-148.97000000000003
1190.9305518306792,-4200.02223826712,-153.79999999999995
1116.8805518299341,-4198.152238267125,-158.12
1042.8305518301204,-4195.982238267141,-162.48000000000002
969.4005518304184,-4195.00223826716,-167.16999999999996
895.9605518300086,-4194.922238267143,-172.12
822.8305518301204,-4194.832238267118,-176.98000000000002
750.0105518307537,-4194.452238267171,-181.61
677.4905518302694,-4193.472238267132,-186.25
604.9805518304929,-4192.49223826715,-191.0
532.4605518300086,-4192.112238267146,-195.65999999999997
460.5605518305674,-4192.622238267155,-200.39
388.6605518301949,-4194.012238267169,-205.96000000000004
317.0605518305674,-4196.312238267157,-211.79999999999995
245.77055183053017,-4199.192238267162,-217.47000000000003
174.4805518304929,-4202.672238267143,-223.0
103.50055183004588,-4205.852238267136,-228.46000000000004
32.8205518303439,-4208.74223826715,-233.27999999999997
-37.84944816958159,-4211.3222382671665,-237.51999999999998
-108.21944816969335,-4213.3222382671665,-241.58000000000004
-178.27944816928357,-4214.422238267143,-245.71000000000004
-248.32944817002863,-4214.342238267127,-250.25
-318.0794481700286,-4213.0722382671665,-255.22000000000003
-387.8294481700286,-4211.202238267171,-260.05999999999995
-457.5794481700286,-4207.852238267136,-264.62
-527.0094481697306,-4204.212238267122,-268.67999999999995
-596.4494481701404,-4199.972238267132,-272.53999999999996
-665.8894481696188,-4196.3222382671665,-276.25
-735.0194481695071,-4192.672238267143,-279.75
-804.4594481699169,-4189.3222382671665,-283.19000000000005
-873.2894481699914,-4186.27223826712,-286.75
-942.4194481698796,-4183.222238267132,-290.36
-1011.2394481692463,-4181.062238267157,-294.33000000000004
-1080.0694481693208,-4179.202238267171,-298.48
-1148.8994481693953,-4177.632238267164,-302.28999999999996
-1218.0294481692836,-4176.062238267157,-306.13
-1286.859448169358,-4174.50223826716,-310.21000000000004
-1355.3794481698424,-4172.932238267153,-314.63
-1423.8994481693953,-4171.662238267134,-319.69000000000005
-1492.109448169358,-4170.982238267141,-325.0
