LINE,X,Y,GPSALT,RAD,MAGLEV,syn_dem,MAG_REGIONAL,mag_res,ellip_pipe_magmod,ellipsoid_magmod
     L22750,476314.397794,8216562.988411,543.160526,108.086207,23993.212553,435.074319,24027.416221,135.866587,-999999,-999999
     L22750,476313.940910,8216542.966254,544.357084,106.796500,23990.709082,437.560585,24026.178200,133.891618,-999999,-999999
     L22750,476313.566711,8216522.947167,545.541282,105.496921,23989.067174,440.044361,24024.936433,132.780416,-999999,-999999
     L22750,476313.182984,8216502.928387,546.722426,104.222845,23988.739999,442.499581,24023.693152,132.985662,-999999,-999999
     L22750,476312.781606,8216482.909640,547.853643,103.988262,23989.901720,443.865381,24022.448535,134.681495,-999999,-999999
     L22750,476312.420318,8216462.892539,548.798461,106.156204,23992.466656,442.642257,24021.201240,137.782480,-999999,-999999
     L22750,476312.033645,8216442.875289,549.773980,108.329833,23996.291946,441.444146,24019.952789,142.145475,-999999,-999999
     L22750,476311.610980,8216422.857565,550.739631,110.503140,24001.193722,440.236491,24018.703397,147.586600,-999999,-999999
     L22750,476311.270924,8216402.842486,551.676438,112.717961,24006.961113,438.958477,24017.450396,153.895393,-999999,-999999
     L22750,476310.585297,8216382.819313,552.040076,117.390581,24013.719870,434.649496,24016.203287,161.196275,-999999,-999999
     L22750,476310.190710,8216362.803873,552.429968,121.954196,24021.359985,430.475772,24014.947927,169.381227,-999999,-999999
     L22750,476309.811769,8216342.789274,552.809696,126.509605,24029.715588,426.300090,24013.690475,178.283477,-999999,-999999
     L22750,476309.335241,8216322.772817,553.228310,131.160650,24038.736847,422.067660,24012.433349,187.852941,-999999,-999999
     L22750,476309.039157,8216302.760913,552.868278,133.619567,24048.210910,419.248711,24011.170625,197.877364,-999999,-999999
     L22750,476308.473580,8216282.743343,552.429781,135.849827,24057.923184,416.579954,24009.911791,208.141290,-999999,-999999
     L22750,476307.973966,8216262.727823,551.989164,138.078848,24067.760844,413.910316,24008.649760,218.532554,-999999,-999999
     L22750,476307.622980,8216242.715861,551.552464,140.318072,24077.634276,411.234391,24007.382897,228.961581,-999999,-999999
     L22750,476307.361966,8216222.706069,551.067749,141.762173,24087.460654,409.305576,24006.112492,239.345374,-999999,-999999
     L22750,476307.098373,8216202.696469,550.558268,142.775035,24097.292246,407.783233,24004.840445,249.736084,-999999,-999999
     L22750,476306.755478,8216182.685525,550.050617,143.780114,24107.250393,406.270503,24003.568248,260.255033,-999999,-999999
     L22750,476306.336373,8216162.673381,549.548342,144.782793,24117.381866,404.765548,24002.295781,270.949059,-999999,-999999
     L22750,476306.259418,8216142.668126,549.049038,145.561969,24128.069706,403.487069,24001.015040,282.201136,-999999,-999999
     L22750,476305.983969,8216122.659217,548.573798,145.991092,24139.067786,402.582706,23999.736417,293.765170,-999999,-999999
     L22750,476306.005514,8216102.656075,548.108797,146.418876,24150.544469,401.689921,23998.450608,305.809265,-999999,-999999
     L22750,476305.730998,8216082.647515,547.626558,146.843999,24162.731807,400.782559,23997.168638,318.565899,-999999,-999999
     L22750,476305.751612,8216062.644528,547.170665,147.144938,24175.203088,400.025727,23995.879671,331.607774,-999999,-999999
     L22750,476305.773158,8216042.641616,546.801235,146.182810,24188.137545,400.618425,23994.589140,345.114373,-999999,-999999
     L22750,476305.794705,8216022.638760,546.429240,145.263100,24201.560523,401.166140,23993.297061,359.111044,-999999,-999999
     L22750,476305.816251,8216002.635959,546.067246,144.343571,24215.554612,401.723675,23992.003433,373.680376,-999999,-999999
     L22750,476305.837798,8215982.633211,545.695253,143.362600,24230.220979,402.332653,23990.708258,388.923535,-999999,-999999
     L22750,476305.859344,8215962.630514,545.409608,143.317514,24245.656770,402.092094,23989.411534,404.937669,-999999,-999999
     L22750,476305.880891,8215942.627867,545.143026,143.387262,24261.875841,401.755764,23988.113262,421.736634,-999999,-999999
     L22750,476306.199430,8215922.630387,544.881676,143.455922,24278.511908,401.425754,23986.808669,438.953165,-999999,-999999
     L22750,476306.220977,8215902.627792,544.615905,143.525670,24296.029383,401.090235,23985.507379,457.053553,-999999,-999999
     L22750,476306.242524,8215882.625245,544.431279,142.738472,24313.787840,401.692808,23984.204540,475.396473,-999999,-999999
     L22750,476306.264071,8215862.622745,544.326646,141.131131,24331.110960,403.195515,23982.900153,493.305607,-999999,-999999
     L22750,476306.550081,8215842.624724,544.219775,139.492814,24348.199430,404.726961,23981.590249,510.980482,-999999,-999999
     L22750,476306.604157,8215822.622819,544.116339,137.891620,24364.489606,406.224719,23980.282356,527.859549,-999999,-999999
     L22750,476306.625705,8215802.620407,544.091477,136.529749,24380.460497,407.561728,23978.973402,544.421024,-999999,-999999
     L22750,476306.647253,8215782.618038,544.523361,137.369118,24395.066142,407.154243,23977.662899,559.618803,-999999,-999999
     L22750,476306.668801,8215762.615709,544.944036,138.076810,24408.391178,406.867226,23976.350847,573.537523,-999999,-999999
     L22750,476306.758828,8215742.614531,545.358374,138.776016,24419.415524,406.582358,23975.036310,585.156711,-999999,-999999
     L22750,476307.008887,8215722.615957,545.784477,139.530073,24428.022047,406.254404,23973.718117,594.358628,-999999,-999999
     L22750,476306.737818,8215702.609027,546.562637,137.250232,24433.551749,409.312405,23972.405340,600.488421,-999999,-999999
     L22750,476306.754995,8215682.606781,547.421144,134.415868,24435.713677,413.005275,23971.087149,603.250263,-999999,-999999
     L22750,476306.776544,8215662.604641,548.272920,131.587940,24433.963163,416.684980,23969.767352,602.101185,-999999,-999999
     L22750,476306.509295,8215642.598058,549.133298,128.751042,24427.999068,420.382256,23968.449566,596.742126,-999999,-999999
     L22750,476306.522655,8215622.595894,549.994409,127.481888,24417.747152,422.512521,23967.126692,587.094887,-999999,-999999
     L22750,476306.544205,8215602.593891,550.879308,127.623035,24402.526850,423.256273,23965.802167,572.480753,-999999,-999999
     L22750,476306.268768,8215582.587450,551.761882,127.772505,24382.878549,423.989377,23964.479517,553.442522,-999999,-999999
     L22750,476305.993331,8215562.581142,552.636478,127.912076,24358.527880,424.724403,23963.155158,529.703636,-999999,-999999
     L22750,476306.014882,8215542.579297,553.528067,128.549208,24329.915970,424.978860,23961.825826,501.702708,-999999,-999999
     L22750,476305.739446,8215522.573176,554.469958,131.669816,24297.592031,422.800142,23960.498129,469.993896,-999999,-999999
     L22750,476305.464011,8215502.567178,555.400693,134.646248,24262.648155,420.754444,23959.168724,435.666861,-999999,-999999
     L22750,476305.340236,8215482.563434,556.351903,137.668143,24225.857879,418.683760,23957.836065,399.493730,-999999,-999999
     L22750,476304.941105,8215462.555930,557.285167,140.646115,24189.770551,416.639052,23956.504510,364.027810,-999999,-999999
     L22750,476304.623298,8215442.549704,558.225756,143.555344,24154.902761,414.670412,23955.170394,329.782411,-999999,-999999
     L22750,476304.362277,8215422.544369,559.176706,146.500761,24121.438018,412.675944,23953.834013,296.941219,-999999,-999999
     L22750,476304.114253,8215402.539310,560.109745,149.402954,24091.062148,410.706791,23952.495813,267.190471,-999999,-999999
     L22750,476303.740298,8215382.532712,561.068433,152.413425,24062.620317,408.655008,23951.157032,239.376804,-999999,-999999
     L22750,476303.364996,8215362.526249,561.905956,153.310000,24036.995924,408.595956,23949.816500,214.382357,-999999,-999999
     L22750,476302.977758,8215342.519775,562.722562,153.310000,24012.435563,409.412562,23948.474304,190.453845,-999999,-999999
     L22750,476302.675049,8215322.514489,563.536850,153.310000,23988.818933,410.226850,23947.129657,167.469868,-999999,-999999
     L22750,476302.442456,8215302.510148,564.344308,153.310000,23965.629113,411.034308,23945.782740,144.913604,-999999,-999999
     L22750,476301.849468,8215282.501627,565.042526,153.512840,23942.517199,411.529686,23944.436843,122.441277,-999999,-999999
     L22750,476301.564142,8215262.496897,565.599184,154.022529,23919.081739,411.576655,23943.086837,99.643502,-999999,-999999
     L22750,476301.082287,8215242.490025,566.155917,154.524781,23895.878645,411.631136,23941.736485,77.082288,-999999,-999999
     L22750,476300.710517,8215222.484559,566.712439,155.031464,23873.531975,411.680975,23940.383574,55.377909,-999999,-999999
     L22750,476300.441612,8215202.480343,567.288086,155.527314,23852.818100,411.760772,23939.028238,35.306739,-999999,-999999
     L22750,476300.463172,8215182.479375,567.974249,155.958767,23834.849468,412.015482,23937.669404,17.978622,-999999,-999999
     L22750,476300.156804,8215162.474871,568.660556,156.395289,23819.902728,412.265267,23936.310952,3.678442,-999999,-999999
     L22750,476299.912326,8215142.471115,569.359717,156.821949,23808.540995,412.537768,23934.950424,-7.035867,-999999,-999999
     L22750,476299.653695,8215122.467283,570.038070,157.253782,23801.031202,412.784288,23933.588278,-13.896336,-999999,-999999
     L22750,476299.611432,8215102.465761,570.813211,157.693972,23797.060476,413.119238,23932.223330,-17.219178,-999999,-999999
     L22750,476299.383044,8215082.462347,571.584114,160.086003,23796.643562,411.498111,23930.857692,-16.983866,-999999,-999999
     L22750,476299.107624,8215062.458523,572.373084,162.961138,23799.505283,409.411946,23929.490582,-13.467522,-999999,-999999
     L22750,476298.822855,8215042.454682,573.143290,165.880747,23805.160048,407.262542,23928.121801,-7.156276,-999999,-999999
     L22750,476298.556786,8215022.451099,573.876448,167.607589,23813.156571,406.268859,23926.751228,1.498154,-999999,-999999
     L22750,476298.578349,8215002.450362,574.609199,169.036856,23823.129843,405.572344,23925.377876,12.126468,-999999,-999999
     L22750,476298.302932,8214982.446785,575.331818,170.520387,23834.463738,404.811431,23924.004000,24.121761,-999999,-999999
     L22750,476298.324496,8214962.446083,576.053744,171.937424,23846.794496,404.116320,23922.627466,37.110743,-999999,-999999
     L22750,476298.298623,8214942.444945,576.703377,171.608335,23859.876260,405.095042,23921.249519,50.853076,-999999,-999999
     L22750,476298.070644,8214922.441932,577.279562,169.654606,23873.382929,407.624956,23919.870531,65.025328,-999999,-999999
     L22750,476298.092209,8214902.441272,577.868903,167.739960,23887.309604,410.128943,23918.489264,79.614962,-999999,-999999
     L22750,476298.113775,8214882.440621,578.442169,165.793073,23901.006850,412.649096,23917.106446,93.976718,-999999,-999999
     L22750,476298.135340,8214862.439978,578.955411,164.686972,23914.460703,414.268439,23915.722078,108.096632,-999999,-999999
     L22750,476297.859926,8214842.436655,579.351445,165.169306,23927.751838,414.182139,23914.336622,122.060754,-999999,-999999
     L22750,476297.881492,8214822.436043,579.741248,165.704060,23940.368202,414.037188,23912.949071,135.346363,-999999,-999999
     L22750,476297.903059,8214802.435437,580.126977,166.186221,23952.727596,413.940756,23911.559970,148.376552,-999999,-999999
     L22750,476297.627647,8214782.432221,580.491963,166.722059,23964.365432,413.769904,23910.169539,160.692353,-999999,-999999
     L22750,476297.649214,8214762.431645,580.708936,167.679210,23975.658580,413.029725,23908.777255,172.659480,-999999,-999999
     L22750,476297.670781,8214742.431075,580.923357,168.685886,23986.114754,412.237471,23907.383421,183.791183,-999999,-999999
     L22750,476297.692349,8214722.430512,581.149546,169.645248,23996.074262,411.504298,23905.988035,194.427771,-999999,-999999
     L22750,476297.416939,8214702.427418,581.360878,170.590753,24005.258157,410.770125,23904.590998,204.296244,-999999,-999999
     L22750,476297.360683,8214682.426227,581.964220,171.544171,24013.936683,410.420049,23903.192383,213.656613,-999999,-999999
     L22750,476297.163099,8214662.423865,582.576597,172.498546,24022.045145,410.078051,23901.792049,222.451419,-999999,-999999
     L22750,476296.887691,8214642.420904,583.189819,173.452966,24029.721006,409.736853,23900.389955,230.816918,-999999,-999999
     L22750,476296.617274,8214622.418040,583.789252,174.439139,24037.064608,409.350113,23898.986155,238.851766,-999999,-999999
     L22750,476296.339733,8214602.415174,584.602833,174.975904,24044.144990,409.626928,23897.580634,246.625260,-999999,-999999
     L22750,476296.061471,8214582.412356,585.449043,175.477151,24051.001545,409.971892,23896.173398,254.176658,-999999,-999999
     L22750,476295.799935,8214562.409720,586.313513,176.007718,24057.805245,410.305795,23894.764485,261.676548,-999999,-999999
     L22750,476295.450436,8214542.406467,587.157429,176.488370,24064.392699,410.669059,23893.353645,268.963856,-999999,-999999
