Y X GPSALT LONG LAT MAGIGRF IGRF
473785.17 8217765.49 489.69 -51.245163 -16.120034 187.532 23522.783
473785.18 8217757.5 489.62 -51.245163 -16.120106 187.834 23522.773
473785.19 8217749.51 489.54 -51.245163 -16.120178 188.109 23522.764
473785.2 8217741.52 489.47 -51.245163 -16.12025 188.373 23522.754
473785.21 8217733.53 489.4 -51.245163 -16.120323 188.632 23522.745
473785.22 8217725.54 489.33 -51.245163 -16.120395 188.896 23522.735
473785.23 8217717.25 489.25 -51.245163 -16.12047 189.179 23522.725
473785.24 8217709.26 489.18 -51.245163 -16.120542 189.487 23522.716
473785.25 8217701.27 489.06 -51.245163 -16.120614 189.822 23522.706
473785.26 8217693.28 488.94 -51.245163 -16.120686 190.181 23522.697
473785.27 8217685.29 488.82 -51.245163 -16.120759 190.569 23522.687
473785.28 8217677.3 488.7 -51.245163 -16.120831 190.988 23522.678
473785.29 8217669.31 488.59 -51.245163 -16.120903 191.431 23522.668
473785.3 8217661.02 488.47 -51.245163 -16.120978 191.897 23522.659
473785.3 8217653.34 488.35 -51.245163 -16.121048 192.388 23522.649
473785.31 8217645.04 488.23 -51.245163 -16.121123 192.907 23522.64
473785.32 8217637.05 488.11 -51.245163 -16.121195 193.452 23522.63
473785.33 8217629.06 487.99 -51.245163 -16.121267 194.019 23522.621
473785.34 8217621.07 487.85 -51.245163 -16.121339 194.617 23522.611
473785.35 8217612.78 487.72 -51.245163 -16.121414 195.244 23522.601
473785.36 8217604.79 487.58 -51.245163 -16.121486 195.896 23522.592
473785.07 8217596.8 487.45 -51.245166 -16.121559 196.572 23522.582
473785.08 8217588.81 487.31 -51.245166 -16.121631 197.278 23522.573
473785.09 8217580.82 487.17 -51.245166 -16.121703 198.005 23522.563
473785.1 8217572.52 487.04 -51.245166 -16.121778 198.759 23522.553
473785.11 8217564.54 486.9 -51.245166 -16.12185 199.544 23522.544
473785.12 8217556.55 486.77 -51.245166 -16.121923 200.366 23522.534
473785.13 8217548.56 486.63 -51.245166 -16.121995 201.23 23522.525
473784.85 8217540.26 486.45 -51.245169 -16.12207 202.136 23522.515
473784.85 8217532.27 486.28 -51.245169 -16.122142 203.085 23522.506
473784.86 8217524.28 486.1 -51.245169 -16.122214 204.088 23522.496
473784.87 8217515.99 485.92 -51.245169 -16.122289 205.149 23522.486
473784.59 8217508.0 485.74 -51.245171 -16.122361 206.265 23522.477
473784.6 8217500.01 485.57 -51.245171 -16.122434 207.436 23522.467
473784.61 8217492.02 485.39 -51.245171 -16.122506 208.671 23522.458
473784.62 8217484.03 485.21 -51.245171 -16.122578 209.96 23522.448
473784.62 8217475.73 485.04 -51.245171 -16.122653 211.292 23522.438
473784.63 8217467.75 484.86 -51.245171 -16.122725 212.649 23522.429
473784.35 8217459.76 484.69 -51.245174 -16.122798 214.012 23522.419
473784.36 8217451.77 484.53 -51.245174 -16.12287 215.373 23522.41
473784.07 8217443.47 484.36 -51.245177 -16.122945 216.72 23522.4
473784.08 8217435.48 484.2 -51.245177 -16.123017 218.049 23522.39
473783.79 8217427.18 484.03 -51.24518 -16.123092 219.343 23522.381
473783.8 8217419.2 483.87 -51.24518 -16.123164 220.587 23522.371
473783.51 8217411.21 483.7 -51.245183 -16.123236 221.762 23522.362
