GPSALT IGRF LAT LONG Line MAGIGRF X Y
611.08 23514.173 -16.189978 -51.222166 22750 -25.656 8210031.26 476252.58
610.01 23514.182 -16.189903 -51.222166 22750 -27.857 8210039.56 476252.57
608.94 23514.192 -16.189828 -51.222163 22750 -30.029 8210047.86 476252.86
607.87 23514.202 -16.189753 -51.22216 22750 -32.171 8210056.15 476253.15
606.8 23514.212 -16.189678 -51.22216 22750 -34.288 8210064.45 476253.14
605.73 23514.222 -16.189603 -51.222158 22750 -36.364 8210072.75 476253.42
604.65 23514.232 -16.189528 -51.222155 22750 -38.399 8210081.04 476253.71
603.58 23514.241 -16.189453 -51.222152 22750 -40.396 8210089.34 476254.0
602.51 23514.251 -16.189378 -51.222152 22750 -42.352 8210097.64 476253.99
601.44 23514.261 -16.189303 -51.222149 22750 -44.25 8210105.93 476254.28
600.37 23514.271 -16.189228 -51.222146 22750 -46.092 8210114.23 476254.57
599.2 23514.281 -16.18915 -51.222146 22750 -47.897 8210122.83 476254.56
598.03 23514.291 -16.189075 -51.222141 22750 -49.632 8210131.13 476255.14
596.86 23514.301 -16.188997 -51.222141 22750 -51.334 8210139.73 476255.13
595.69 23514.311 -16.188922 -51.222138 22750 -52.972 8210148.03 476255.42
594.52 23514.321 -16.188844 -51.222135 22750 -54.563 8210156.63 476255.71
593.35 23514.331 -16.188769 -51.222133 22750 -56.093 8210164.93 476256.0
592.18 23514.341 -16.188694 -51.22213 22750 -57.565 8210173.23 476256.28
591.01 23514.351 -16.188617 -51.222127 22750 -58.98 8210181.83 476256.57
589.84 23514.361 -16.188542 -51.222124 22750 -60.323 8210190.13 476256.86
588.67 23514.371 -16.188464 -51.222124 22750 -61.614 8210198.73 476256.85
587.47 23514.381 -16.188389 -51.222121 22750 -62.823 8210207.03 476257.14
586.28 23514.391 -16.188311 -51.222116 22750 -63.952 8210215.63 476257.72
585.08 23514.401 -16.188233 -51.222113 22750 -65.003 8210224.24 476258.01
583.88 23514.412 -16.188155 -51.22211 22750 -65.975 8210232.84 476258.3
582.69 23514.421 -16.18808 -51.222108 22750 -66.863 8210241.14 476258.59
581.49 23514.432 -16.188003 -51.222105 22750 -67.682 8210249.74 476258.87
580.29 23514.442 -16.187925 -51.222102 22750 -68.443 8210258.34 476259.16
579.09 23514.452 -16.187847 -51.222096 22750 -69.162 8210266.95 476259.75
577.9 23514.462 -16.187769 -51.222094 22750 -69.878 8210275.55 476260.03
576.7 23514.472 -16.187694 -51.222091 22750 -70.6 8210283.85 476260.32
575.78 23514.482 -16.187617 -51.222088 22750 -71.357 8210292.45 476260.61
574.87 23514.493 -16.187539 -51.222083 22750 -72.162 8210301.06 476261.19
573.95 23514.503 -16.187458 -51.22208 22750 -73.055 8210309.97 476261.48
573.04 23514.514 -16.18738 -51.222074 22750 -74.04 8210318.57 476262.07
572.12 23514.524 -16.187303 -51.222071 22750 -75.143 8210327.18 476262.35
571.2 23514.534 -16.187225 -51.222066 22750 -76.368 8210335.78 476262.94
570.29 23514.544 -16.187147 -51.222063 22750 -77.736 8210344.38 476263.23
569.37 23514.555 -16.187067 -51.22206 22750 -79.247 8210353.29 476263.51
568.46 23514.565 -16.186989 -51.222055 22750 -80.883 8210361.9 476264.1
567.54 23514.575 -16.186911 -51.222052 22750 -82.655 8210370.5 476264.38
566.92 23514.586 -16.186833 -51.222046 22750 -84.541 8210379.11 476264.97
566.3 23514.596 -16.186753 -51.222041 22750 -86.548 8210388.02 476265.55
565.69 23514.607 -16.186675 -51.222035 22750 -88.66 8210396.62 476266.14
565.07 23514.617 -16.186597 -51.22203 22750 -90.875 8210405.23 476266.72
564.45 23514.627 -16.186517 -51.222024 22750 -93.182 8210414.14 476267.31
563.83 23514.638 -16.186439 -51.222019 22750 -95.561 8210422.74 476267.89
563.21 23514.648 -16.186358 -51.222013 22750 -98.009 8210431.65 476268.48
562.6 23514.659 -16.18628 -51.222008 22750 -100.489 8210440.26 476269.06
561.98 23514.669 -16.186203 -51.222002 22750 -102.982 8210448.86 476269.64
561.36 23514.68 -16.186122 -51.221996 22750 -105.457 8210457.77 476270.23
560.87 23514.69 -16.186044 -51.221991 22750 -107.875 8210466.38 476270.81
560.38 23514.7 -16.185967 -51.221985 22750 -110.223 8210474.98 476271.4
559.89 23514.711 -16.185886 -51.221977 22750 -112.47 8210483.89 476272.28
559.4 23514.721 -16.185808 -51.221971 22750 -114.59 8210492.5 476272.86
558.91 23514.732 -16.185728 -51.221963 22750 -116.541 8210501.41 476273.74
558.42 23514.742 -16.185647 -51.221958 22750 -118.297 8210510.32 476274.33
557.93 23514.753 -16.185569 -51.221952 22750 -119.833 8210518.93 476274.91
557.44 23514.763 -16.185492 -51.221944 22750 -121.133 8210527.53 476275.79
556.95 23514.774 -16.185411 -51.221938 22750 -122.203 8210536.44 476276.38
556.46 23514.784 -16.185333 -51.22193 22750 -123.025 8210545.05 476277.26
555.93 23514.795 -16.185253 -51.221924 22750 -123.621 8210553.96 476277.84
555.4 23514.805 -16.185172 -51.221916 22750 -123.997 8210562.87 476278.73
554.87 23514.816 -16.185094 -51.22191 22750 -124.184 8210571.47 476279.31
554.34 23514.826 -16.185017 -51.221902 22750 -124.203 8210580.08 476280.19
553.81 23514.837 -16.184936 -51.221894 22750 -124.094 8210588.99 476281.07
553.29 23514.847 -16.184855 -51.221888 22750 -123.892 8210597.9 476281.66
552.76 23514.858 -16.184778 -51.22188 22750 -123.614 8210606.51 476282.54
552.23 23514.868 -16.184697 -51.221874 22750 -123.316 8210615.42 476283.12
551.7 23514.879 -16.184619 -51.221866 22750 -123.007 8210624.02 476284.0
551.17 23514.889 -16.184539 -51.221858 22750 -122.721 8210632.93 476284.89
550.55 23514.9 -16.184458 -51.221852 22750 -122.486 8210641.84 476285.47
549.94 23514.91 -16.18438 -51.221844 22750 -122.296 8210650.45 476286.35
549.32 23514.921 -16.1843 -51.221835 22750 -122.168 8210659.36 476287.23
548.71 23514.931 -16.184222 -51.22183 22750 -122.109 8210667.96 476287.82
548.09 23514.942 -16.184142 -51.221821 22750 -122.128 8210676.88 476288.7
547.48 23514.953 -16.184064 -51.221813 22750 -122.236 8210685.48 476289.58
546.86 23514.963 -16.183983 -51.221808 22750 -122.455 8210694.39 476290.16
546.25 23514.974 -16.183903 -51.221799 22750 -122.777 8210703.3 476291.04
545.63 23514.985 -16.183822 -51.221791 22750 -123.205 8210712.22 476291.93
545.02 23514.995 -16.183744 -51.221785 22750 -123.744 8210720.82 476292.51
544.42 23515.006 -16.183664 -51.221777 22750 -124.39 8210729.73 476293.39
543.83 23515.016 -16.183583 -51.221771 22750 -125.139 8210738.64 476293.98
543.23 23515.027 -16.183505 -51.221763 22750 -125.96 8210747.25 476294.86
542.64 23515.037 -16.183425 -51.221758 22750 -126.849 8210756.16 476295.44
542.04 23515.048 -16.183344 -51.221749 22750 -127.778 8210765.07 476296.32
541.45 23515.059 -16.183264 -51.221744 22750 -128.75 8210773.98 476296.91
540.85 23515.069 -16.183183 -51.221738 22750 -129.741 8210782.89 476297.49
540.26 23515.08 -16.183105 -51.22173 22750 -130.726 8210791.5 476298.37
539.66 23515.09 -16.183025 -51.221724 22750 -131.708 8210800.41 476298.96
539.07 23515.101 -16.182944 -51.221716 22750 -132.666 8210809.32 476299.84
538.33 23515.112 -16.182864 -51.22171 22750 -133.606 8210818.23 476300.42
537.6 23515.122 -16.182783 -51.221702 22750 -134.514 8210827.14 476301.3
536.86 23515.133 -16.182703 -51.221696 22750 -135.399 8210836.06 476301.89
536.13 23515.144 -16.182622 -51.221691 22750 -136.271 8210844.97 476302.47
535.39 23515.154 -16.182542 -51.221685 22750 -137.136 8210853.88 476303.06
534.65 23515.165 -16.182461 -51.221677 22750 -137.999 8210862.79 476303.94
533.92 23515.176 -16.18238 -51.221671 22750 -138.872 8210871.7 476304.52
533.18 23515.186 -16.1823 -51.221666 22750 -139.74 8210880.61 476305.11
532.45 23515.197 -16.182219 -51.22166 22750 -140.615 8210889.53 476305.69
531.71 23515.208 -16.182139 -51.221652 22750 -141.51 8210898.44 476306.57
530.98 23515.218 -16.182058 -51.221649 22750 -142.441 8210907.35 476306.86
530.25 23515.229 -16.181978 -51.221644 22750 -143.397 8210916.26 476307.44
529.52 23515.239 -16.181897 -51.221638 22750 -144.384 8210925.17 476308.03
528.79 23515.25 -16.181817 -51.221635 22750 -145.425 8210934.08 476308.31
528.06 23515.261 -16.181733 -51.22163 22750 -146.531 8210943.3 476308.9
527.33 23515.271 -16.181655 -51.221624 22750 -147.713 8210951.91 476309.48
526.6 23515.282 -16.181572 -51.221621 22750 -149.01 8210961.12 476309.77
525.87 23515.293 -16.181492 -51.221616 22750 -150.425 8210970.04 476310.35
525.14 23515.304 -16.181411 -51.22161 22750 -151.99 8210978.95 476310.94
524.41 23515.314 -16.18133 -51.221605 22750 -153.72 8210987.86 476311.52
523.93 23515.325 -16.18125 -51.221602 22750 -155.633 8210996.77 476311.81
523.46 23515.336 -16.181167 -51.221599 22750 -157.723 8211005.99 476312.1
522.98 23515.346 -16.181086 -51.221596 22750 -159.988 8211014.9 476312.38
522.51 23515.357 -16.181006 -51.221591 22750 -162.419 8211023.81 476312.97
522.03 23515.368 -16.180922 -51.221588 22750 -165.005 8211033.03 476313.26
521.55 23515.378 -16.180842 -51.221585 22750 -167.711 8211041.94 476313.54
521.08 23515.389 -16.180761 -51.221583 22750 -170.514 8211050.85 476313.83
520.6 23515.4 -16.180681 -51.22158 22750 -173.394 8211059.76 476314.12
520.13 23515.411 -16.180597 -51.221574 22750 -176.348 8211068.98 476314.7
519.65 23515.421 -16.180517 -51.221571 22750 -179.376 8211077.89 476314.99
519.49 23515.432 -16.180436 -51.221571 22750 -182.471 8211086.8 476314.98
519.34 23515.442 -16.180356 -51.221566 22750 -185.611 8211095.71 476315.56
519.18 23515.453 -16.180272 -51.221566 22750 -188.803 8211104.93 476315.55
519.02 23515.464 -16.180192 -51.221563 22750 -192.025 8211113.84 476315.84
518.87 23515.475 -16.180108 -51.22156 22750 -195.269 8211123.06 476316.13
518.71 23515.485 -16.180028 -51.221558 22750 -198.481 8211131.97 476316.41
518.55 23515.496 -16.179947 -51.221555 22750 -201.631 8211140.88 476316.7
518.39 23515.506 -16.179867 -51.221555 22750 -204.679 8211149.79 476316.69
518.24 23515.517 -16.179783 -51.221552 22750 -207.571 8211159.01 476316.98
518.08 23515.528 -16.179703 -51.221549 22750 -210.25 8211167.92 476317.27
518.25 23515.538 -16.179622 -51.221549 22750 -212.648 8211176.83 476317.26
518.42 23515.549 -16.179539 -51.221546 22750 -214.693 8211186.05 476317.54
518.59 23515.56 -16.179458 -51.221546 22750 -216.335 8211194.96 476317.53
518.76 23515.571 -16.179378 -51.221544 22750 -217.541 8211203.88 476317.82
