Y X GPSALT LONG LAT MAGIGRF IGRF
473785.17 8217765.49 489.69 -51.245163 -16.120034 187.532 23522.783
473785.27 8217685.29 488.82 -51.245163 -16.120759 190.569 23522.687
473785.36 8217604.79 487.58 -51.245163 -16.121486 195.896 23522.592
473784.86 8217524.28 486.1 -51.245169 -16.122214 204.088 23522.496
473784.07 8217443.47 484.36 -51.245177 -16.122945 216.72 23522.4
473782.68 8217362.35 482.66 -51.245191 -16.123678 226.753 23522.303
473780.7 8217281.23 480.64 -51.24521 -16.124411 225.503 23522.207
473779.01 8217199.8 478.19 -51.245227 -16.125147 217.045 23522.11
473777.63 8217118.07 475.81 -51.245241 -16.125886 212.961 23522.012
473777.13 8217036.02 473.49 -51.245246 -16.126628 228.959 23521.915
473777.23 8216953.98 471.21 -51.245246 -16.12737 247.762 23521.817
473777.62 8216871.33 469.46 -51.245244 -16.128117 256.581 23521.719
473777.72 8216788.98 467.65 -51.245244 -16.128861 264.031 23521.622
473777.52 8216706.33 466.89 -51.245246 -16.129609 263.632 23521.523
473777.62 8216623.67 467.05 -51.245246 -16.130356 269.809 23521.425
473778.61 8216540.71 468.27 -51.245238 -16.131106 265.226 23521.327
473781.08 8216458.06 470.55 -51.245216 -16.131853 270.754 23521.23
473784.75 8216375.71 472.79 -51.245182 -16.132597 280.298 23521.133
473787.82 8216293.37 475.28 -51.245155 -16.133342 287.088 23521.036
473789.99 8216211.33 479.07 -51.245135 -16.134084 291.977 23520.939
473791.28 8216129.6 484.29 -51.245124 -16.134822 296.126 23520.842
473791.97 8216048.48 490.22 -51.245119 -16.135556 295.801 23520.746
473791.77 8215967.67 496.18 -51.245121 -16.136286 289.389 23520.65
473791.57 8215887.47 502.55 -51.245124 -16.137011 275.922 23520.555
473791.66 8215807.89 508.82 -51.245124 -16.137731 266.023 23520.461
473791.16 8215729.23 514.88 -51.24513 -16.138442 263.56 23520.367
473790.36 8215650.57 520.72 -51.245138 -16.139153 261.721 23520.274
473788.97 8215572.83 526.44 -51.245152 -16.139856 256.425 23520.181
473786.98 8215495.39 532.23 -51.245171 -16.140556 247.13 23520.089
