GPSALT IGRF LAT LONG Line MAGIGRF X Y
611.08 23514.173 -16.189978 -51.222166 22750 -25.656 8210031.26 476252.58
607.87 23514.202 -16.189753 -51.22216 22750 -32.171 8210056.15 476253.15
604.65 23514.232 -16.189528 -51.222155 22750 -38.399 8210081.04 476253.71
601.44 23514.261 -16.189303 -51.222149 22750 -44.25 8210105.93 476254.28
598.03 23514.291 -16.189075 -51.222141 22750 -49.632 8210131.13 476255.14
594.52 23514.321 -16.188844 -51.222135 22750 -54.563 8210156.63 476255.71
591.01 23514.351 -16.188617 -51.222127 22750 -58.98 8210181.83 476256.57
587.47 23514.381 -16.188389 -51.222121 22750 -62.823 8210207.03 476257.14
583.88 23514.412 -16.188155 -51.22211 22750 -65.975 8210232.84 476258.3
580.29 23514.442 -16.187925 -51.222102 22750 -68.443 8210258.34 476259.16
576.7 23514.472 -16.187694 -51.222091 22750 -70.6 8210283.85 476260.32
573.95 23514.503 -16.187458 -51.22208 22750 -73.055 8210309.97 476261.48
571.2 23514.534 -16.187225 -51.222066 22750 -76.368 8210335.78 476262.94
568.46 23514.565 -16.186989 -51.222055 22750 -80.883 8210361.9 476264.1
566.3 23514.596 -16.186753 -51.222041 22750 -86.548 8210388.02 476265.55
564.45 23514.627 -16.186517 -51.222024 22750 -93.182 8210414.14 476267.31
562.6 23514.659 -16.18628 -51.222008 22750 -100.489 8210440.26 476269.06
560.87 23514.69 -16.186044 -51.221991 22750 -107.875 8210466.38 476270.81
559.4 23514.721 -16.185808 -51.221971 22750 -114.59 8210492.5 476272.86
557.93 23514.753 -16.185569 -51.221952 22750 -119.833 8210518.93 476274.91
556.46 23514.784 -16.185333 -51.22193 22750 -123.025 8210545.05 476277.26
554.87 23514.816 -16.185094 -51.22191 22750 -124.184 8210571.47 476279.31
553.29 23514.847 -16.184855 -51.221888 22750 -123.892 8210597.9 476281.66
551.7 23514.879 -16.184619 -51.221866 22750 -123.007 8210624.02 476284.0
549.94 23514.91 -16.18438 -51.221844 22750 -122.296 8210650.45 476286.35
548.09 23514.942 -16.184142 -51.221821 22750 -122.128 8210676.88 476288.7
546.25 23514.974 -16.183903 -51.221799 22750 -122.777 8210703.3 476291.04
544.42 23515.006 -16.183664 -51.221777 22750 -124.39 8210729.73 476293.39
542.64 23515.037 -16.183425 -51.221758 22750 -126.849 8210756.16 476295.44
540.85 23515.069 -16.183183 -51.221738 22750 -129.741 8210782.89 476297.49
539.07 23515.101 -16.182944 -51.221716 22750 -132.666 8210809.32 476299.84
536.86 23515.133 -16.182703 -51.221696 22750 -135.399 8210836.06 476301.89
534.65 23515.165 -16.182461 -51.221677 22750 -137.999 8210862.79 476303.94
532.45 23515.197 -16.182219 -51.22166 22750 -140.615 8210889.53 476305.69
530.25 23515.229 -16.181978 -51.221644 22750 -143.397 8210916.26 476307.44
528.06 23515.261 -16.181733 -51.22163 22750 -146.531 8210943.3 476308.9
525.87 23515.293 -16.181492 -51.221616 22750 -150.425 8210970.04 476310.35
523.93 23515.325 -16.18125 -51.221602 22750 -155.633 8210996.77 476311.81
522.51 23515.357 -16.181006 -51.221591 22750 -162.419 8211023.81 476312.97
521.08 23515.389 -16.180761 -51.221583 22750 -170.514 8211050.85 476313.83
519.65 23515.421 -16.180517 -51.221571 22750 -179.376 8211077.89 476314.99
519.18 23515.453 -16.180272 -51.221566 22750 -188.803 8211104.93 476315.55
518.71 23515.485 -16.180028 -51.221558 22750 -198.481 8211131.97 476316.41
518.24 23515.517 -16.179783 -51.221552 22750 -207.571 8211159.01 476316.98
518.42 23515.549 -16.179539 -51.221546 22750 -214.693 8211186.05 476317.54
518.94 23515.581 -16.179294 -51.221541 22750 -218.298 8211213.09 476318.11
519.45 23515.613 -16.179053 -51.221538 22750 -217.972 8211239.83 476318.38
520.28 23515.645 -16.178808 -51.221535 22750 -214.759 8211266.87 476318.64
521.74 23515.677 -16.178567 -51.221535 22750 -210.243 8211293.6 476318.62
523.2 23515.708 -16.178325 -51.221535 22750 -205.541 8211320.33 476318.59
524.66 23515.74 -16.178083 -51.221535 22750 -201.057 8211347.06 476318.56
526.92 23515.771 -16.177844 -51.221541 22750 -196.837 8211373.49 476317.94
529.18 23515.802 -16.177606 -51.221546 22750 -193.034 8211399.91 476317.31
531.44 23515.833 -16.177367 -51.221552 22750 -190.026 8211426.34 476316.69
533.88 23515.864 -16.177131 -51.221558 22750 -187.869 8211452.45 476316.07
536.42 23515.894 -16.176894 -51.221566 22750 -186.088 8211478.57 476315.15
538.96 23515.925 -16.176658 -51.221574 22750 -184.014 8211504.69 476314.23
541.53 23515.956 -16.176422 -51.22158 22750 -180.958 8211530.8 476313.61
544.17 23515.985 -16.176192 -51.221591 22750 -176.756 8211556.31 476312.39
546.8 23516.016 -16.175958 -51.221599 22750 -171.484 8211582.12 476311.47
549.44 23516.046 -16.175728 -51.221608 22750 -165.281 8211607.62 476310.56
551.97 23516.075 -16.175497 -51.221619 22750 -158.29 8211633.12 476309.34
554.5 23516.105 -16.175267 -51.221627 22750 -150.754 8211658.62 476308.42
557.03 23516.135 -16.175039 -51.221638 22750 -143.199 8211683.82 476307.21
559.4 23516.165 -16.174808 -51.221649 22750 -136.109 8211709.32 476305.99
561.69 23516.194 -16.174581 -51.221658 22750 -129.932 8211734.52 476305.07
563.97 23516.223 -16.174356 -51.221669 22750 -124.915 8211759.4 476303.86
566.18 23516.253 -16.174128 -51.221677 22750 -121.14 8211784.6 476302.94
568.2 23516.282 -16.173903 -51.221688 22750 -118.578 8211809.49 476301.73
570.23 23516.311 -16.173678 -51.221699 22750 -116.914 8211834.37 476300.51
572.25 23516.34 -16.173453 -51.221708 22750 -115.827 8211859.26 476299.59
574.56 23516.369 -16.173233 -51.221713 22750 -114.977 8211883.53 476298.97
576.87 23516.398 -16.173011 -51.221716 22750 -114.023 8211908.12 476298.65
579.18 23516.427 -16.172789 -51.221719 22750 -112.728 8211932.7 476298.33
581.54 23516.455 -16.172569 -51.221721 22750 -110.812 8211956.97 476298.0
583.92 23516.484 -16.17235 -51.221721 22750 -108.137 8211981.24 476297.98
586.3 23516.512 -16.172133 -51.221721 22750 -104.677 8212005.21 476297.95
588.7 23516.541 -16.171914 -51.221721 22750 -100.474 8212029.49 476297.93
591.14 23516.569 -16.171697 -51.221721 22750 -95.716 8212053.45 476297.9
593.57 23516.597 -16.171483 -51.221721 22750 -90.527 8212077.11 476297.87
596.01 23516.626 -16.171267 -51.221721 22750 -85.019 8212101.08 476297.85
598.52 23516.653 -16.171056 -51.221724 22750 -79.231 8212124.43 476297.53
601.03 23516.681 -16.170842 -51.221724 22750 -73.052 8212148.09 476297.5
603.53 23516.709 -16.170628 -51.221724 22750 -66.62 8212171.75 476297.48
606.08 23516.736 -16.170417 -51.221727 22750 -59.796 8212195.1 476297.15
608.65 23516.764 -16.170206 -51.22173 22750 -52.466 8212218.46 476296.83
611.22 23516.792 -16.169994 -51.22173 22750 -44.533 8212241.81 476296.81
613.78 23516.819 -16.169786 -51.221735 22750 -35.882 8212264.85 476296.19
616.34 23516.846 -16.169578 -51.221738 22750 -26.595 8212287.9 476295.87
618.89 23516.873 -16.169369 -51.221741 22750 -16.853 8212310.94 476295.54
621.45 23516.9 -16.169161 -51.221744 22750 -6.844 8212333.99 476295.22
623.75 23516.927 -16.168956 -51.221749 22750 3.32 8212356.72 476294.6
626.05 23516.954 -16.16875 -51.221752 22750 13.647 8212379.46 476294.28
628.35 23516.98 -16.168544 -51.221755 22750 24.231 8212402.2 476293.96
630.45 23517.007 -16.168342 -51.22176 22750 35.153 8212424.63 476293.34
632.45 23517.033 -16.168139 -51.221763 22750 46.476 8212447.06 476293.02
634.44 23517.06 -16.167933 -51.221769 22750 58.183 8212469.8 476292.4
636.26 23517.086 -16.167731 -51.221774 22750 70.186 8212492.23 476291.78
637.73 23517.113 -16.167528 -51.22178 22750 82.361 8212514.66 476291.17
639.2 23517.139 -16.167325 -51.221785 22750 94.591 8212537.09 476290.55
640.67 23517.165 -16.167122 -51.221788 22750 106.707 8212559.52 476290.23
641.48 23517.192 -16.166919 -51.221796 22750 118.509 8212581.95 476289.31
642.28 23517.218 -16.166719 -51.221799 22750 129.913 8212604.07 476288.99
643.09 23517.244 -16.166517 -51.221805 22750 140.942 8212626.5 476288.37
643.42 23517.271 -16.166314 -51.221813 22750 151.736 8212648.93 476287.46
643.51 23517.297 -16.166111 -51.221819 22750 162.534 8212671.36 476286.84
643.59 23517.323 -16.165908 -51.221827 22750 173.539 8212693.79 476285.92
643.46 23517.35 -16.165706 -51.221833 22750 184.718 8212716.22 476285.31
642.91 23517.376 -16.165503 -51.221838 22750 196.045 8212738.65 476284.69
642.35 23517.402 -16.1653 -51.221846 22750 207.604 8212761.08 476283.77
641.79 23517.429 -16.165097 -51.221852 22750 219.606 8212783.51 476283.15
640.98 23517.455 -16.164894 -51.22186 22750 232.104 8212805.94 476282.24
640.17 23517.482 -16.164689 -51.221869 22750 244.97 8212828.67 476281.32
639.36 23517.508 -16.164483 -51.221877 22750 258.048 8212851.41 476280.41
638.38 23517.535 -16.164281 -51.221885 22750 271.413 8212873.84 476279.49
637.3 23517.561 -16.164075 -51.221891 22750 285.374 8212896.58 476278.88
636.23 23517.588 -16.163869 -51.221899 22750 300.218 8212919.32 476277.96
635.29 23517.615 -16.163664 -51.221908 22750 315.878 8212942.05 476277.04
634.58 23517.641 -16.163458 -51.221916 22750 332.03 8212964.79 476276.13
633.88 23517.668 -16.163253 -51.221924 22750 348.798 8212987.53 476275.21
633.18 23517.695 -16.163047 -51.221933 22750 366.86 8213010.26 476274.3
632.66 23517.721 -16.162842 -51.221941 22750 386.475 8213033.0 476273.38
632.14 23517.748 -16.162633 -51.221952 22750 407.128 8213056.04 476272.17
631.61 23517.775 -16.162428 -51.22196 22750 427.736 8213078.78 476271.25
630.99 23517.802 -16.162219 -51.221969 22750 447.429 8213101.82 476270.34
630.33 23517.829 -16.162014 -51.22198 22750 465.775 8213124.56 476269.13
629.66 23517.856 -16.161806 -51.221988 22750 482.617 8213147.61 476268.21
628.9 23517.883 -16.161597 -51.221996 22750 498.087 8213170.65 476267.29
627.96 23517.91 -16.161389 -51.222005 22750 512.43 8213193.69 476266.38
627.02 23517.937 -16.161181 -51.22201 22750 525.797 8213216.74 476265.76
626.08 23517.964 -16.160972 -51.222016 22750 538.186 8213239.78 476265.14
625.07 23517.991 -16.160764 -51.222021 22750 549.532 8213262.83 476264.52
624.06 23518.019 -16.160553 -51.222024 22750 559.945 8213286.18 476264.2
623.05 23518.046 -16.160342 -51.222027 22750 569.457 8213309.53 476263.88
621.97 23518.074 -16.160131 -51.222027 22750 578.134 8213332.88 476263.85
620.85 23518.101 -16.159919 -51.222027 22750 586.141 8213356.24 476263.83
619.73 23518.129 -16.159706 -51.222027 22750 593.434 8213379.9 476263.8
618.61 23518.157 -16.159494 -51.222024 22750 599.928 8213403.25 476264.07
617.47 23518.185 -16.159281 -51.222024 22750 605.787 8213426.91 476264.05
616.32 23518.213 -16.159067 -51.222021 22750 611.157 8213450.57 476264.32
615.18 23518.241 -16.158853 -51.222019 22750 616.173 8213474.23 476264.59
613.97 23518.27 -16.158636 -51.222016 22750 620.784 8213498.2 476264.86
612.77 23518.298 -16.158422 -51.22201 22750 624.913 8213521.86 476265.43
611.56 23518.326 -16.158206 -51.222005 22750 628.782 8213545.82 476266.0
610.34 23518.354 -16.157992 -51.222002 22750 632.465 8213569.48 476266.27
609.12 23518.383 -16.157772 -51.221996 22750 636.014 8213593.76 476266.84
