 ALTURA GPSALT LAT LONG Line mag_res2 mag_res1 MAGIGRF X Y
0 203.02 -208.70000000000005 -16.161580999999998 -51.239999 22710 -147.3183003931219 -241.4822541339184 106.402 8213170.33 474342.7
1 198.78 -200.58000000000004 -16.160356 -51.239952 22710 -128.5336415907701 -226.36792844993917 130.35299999999998 8213305.84 474347.59
2 195.15 -192.28999999999996 -16.159128 -51.239913 22710 -100.96475730472994 -202.48399309794704 163.114 8213441.66 474351.59
3 193.16 -184.85000000000002 -16.157897 -51.239885 22710 -80.2789064747117 -185.49950406525065 189.02200000000002 8213577.78 474354.4
4 185.3 -175.90999999999997 -16.156664000000003 -51.239874 22710 -64.03561264054159 -172.9783300049692 210.52700000000002 8213714.21 474355.43
5 180.27 -166.64999999999998 -16.155428 -51.239885 22710 -48.18578052163281 -160.87524307548904 231.687 8213850.94 474354.08
6 174.78 -159.04999999999995 -16.154189000000002 -51.239921 22710 -35.316287878144095 -151.77939575891511 249.92 8213987.98 474350.06
7 171.01 -152.36 -16.15295 -51.239988000000004 22710 -29.993047392714402 -150.25209452207451 260.657 8214125.01 474342.77
8 104.79 -20.649999999999977 -16.120947 -51.23571 22720 -153.7479564921626 -367.65803122851344 266.846 8217665.58 474796.05
9 105.52 -17.670000000000016 -16.122097 -51.235721000000005 22720 -143.7310715680515 -354.1711184361884 271.95799999999997 8217538.37 474795.01
10 102.42 -17.730000000000018 -16.12325 -51.235735 22720 -117.78384038683271 -324.7474561233225 292.993 8217410.85 474793.67
11 97.91 -19.269999999999982 -16.1244 -51.235755 22720 -104.58473794229451 -308.0844679714888 301.301 8217283.64 474791.74
12 97.66 -22.00999999999999 -16.125547 -51.235774 22720 -83.4063955539309 -283.4505091999349 317.6 8217156.73 474789.8
13 102.78 -25.529999999999973 -16.126689000000002 -51.235783000000005 22720 -89.64684096033238 -286.2442773110197 306.486 8217030.45 474789.06
14 107.16 -28.05000000000001 -16.127828 -51.235774 22720 -74.36548146372814 -267.51222552133953 316.878 8216904.47 474790.09
15 102.47 -29.360000000000014 -16.128967000000003 -51.235741 22720 -52.42961966912043 -242.10717593788263 333.88300000000004 8216778.49 474793.8
16 98.33 -31.339999999999975 -16.130103 -51.235699 22720 -34.01896743164241 -220.2296674053688 347.361 8216652.82 474798.4
17 97.84 -33.410000000000025 -16.131239 -51.235655 22720 -22.723056254420328 -205.4651028854837 353.72 8216527.16 474803.3
18 98.88 -35.55000000000001 -16.132375 -51.235613 22720 -15.692558876263377 -194.96781822533325 355.81800000000004 8216401.49 474807.89
19 98.15 -36.77999999999997 -16.133514 -51.235583 22720 -8.895188001930137 -184.7032609404029 357.689 8216275.51 474811.31
20 97.66 -38.52999999999997 -16.134653 -51.235563 22720 -4.528787086042826 -176.87822852292265 357.148 8216149.54 474813.53
21 100.64 -41.55000000000001 -16.135789000000003 -51.235555 22720 -5.0884196261773695 -173.99564242473775 351.711 8216023.87 474814.56
22 103.88 -45.95999999999998 -16.136925 -51.23556 22720 -34.04058450594039 -199.51552925300314 317.904 8215898.19 474814.11
23 107.35 -49.25 -16.138059 -51.235599 22720 -46.78787134069631 -208.8635803346648 300.369 8215772.82 474810.1
24 107.6 -52.19999999999999 -16.139192 -51.235655 22720 -40.17987799391926 -198.86870456967506 302.217 8215647.45 474804.3
25 102.75 -53.24000000000001 -16.140322 -51.23573 22720 -27.609545723414897 -182.93397589210542 310.07099999999997 8215522.38 474796.43
26 102.78 -56.110000000000014 -16.141453 -51.23581 22720 -10.18950501217165 -162.15367955643933 322.784 8215397.31 474787.96
27 111.16 -63.10000000000002 -16.142572 -51.235898999999996 22720 0.06917191249897314 -148.574510443542 328.397 8215273.47 474778.6
28 118.45 -71.45999999999998 -16.143683 -51.235991 22720 1.2312269473949868 -144.11945457595675 324.954 8215150.56 474768.94
29 123.17 -80.05000000000001 -16.144783 -51.236084999999996 22720 -5.575558264453548 -147.6686572780195 313.594 8215028.87 474758.98
30 128.69 -89.25 -16.145870000000002 -51.236174 22720 -10.066393280138868 -148.93965960060774 304.6 8214908.71 474749.61
31 136.22 -99.21000000000004 -16.146942000000003 -51.236258 22720 -13.177896920147816 -148.86955803858223 297.036 8214790.1 474740.84
32 143.5 -108.79999999999995 -16.148003 -51.236335 22720 -7.353458327329349 -139.89279040571284 298.44599999999997 8214672.71 474732.66
33 148.04 -116.92999999999995 -16.149053 -51.23641 22720 -0.31811012116071424 -129.7367330564685 301.11 8214556.55 474724.77
34 150.7 -123.85000000000002 -16.150095 -51.236471 22720 4.0773360136611245 -122.23571579925402 301.147 8214441.32 474718.37
35 153.89 -130.23000000000002 -16.151128 -51.236499 22720 3.1774776558719964 -120.03051299843031 295.869 8214327.01 474715.54
36 156.48 -137.24 -16.152153 -51.236496 22720 -3.431027532758833 -123.53694875337806 284.868 8214213.63 474715.96
37 157.61 -143.92999999999995 -16.153172 -51.236471 22720 -11.597505417102695 -128.60181039600678 272.296 8214100.87 474718.77
38 163.34 -149.70000000000005 -16.154189000000002 -51.236416 22720 -18.714259218926145 -132.6027190278391 260.735 8213988.41 474724.83
39 167.97 -155.35000000000002 -16.1552 -51.236346000000005 22720 -28.99115503592094 -139.7706383714202 246.015 8213876.58 474732.39
40 171.01 -161.48000000000002 -16.156206 -51.236263 22720 -44.059883766278006 -151.73691967668344 226.50400000000002 8213765.36 474741.42
41 175.44 -168.23000000000002 -16.157206 -51.236171 22720 -54.399272391262315 -158.9843236683765 211.732 8213654.75 474751.35
42 183.84 -175.76999999999998 -16.158206 -51.236065999999994 22720 -53.61212867665364 -155.0952547336816 208.06400000000002 8213544.15 474762.76
43 190.12 -181.69000000000005 -16.159203 -51.235952000000005 22720 -49.105652819932516 -147.48884279392223 208.113 8213433.85 474775.07
44 195.54 -185.52999999999997 -16.160203 -51.235834999999994 22720 -52.110235705441994 -147.3833569201489 200.635 8213323.25 474787.66
45 203.02 -191.14 -16.1612 -51.235732 22720 -67.01218810795933 -159.19358579189318 181.294 8213212.95 474798.78
46 211.68 -200.24 -16.162192 -51.235649 22720 -83.81949018198219 -172.94053537080458 160.10399999999998 8213103.27 474807.81
47 220.54 -210.65999999999997 -16.163180999999998 -51.235591 22720 -97.002590032255 -183.08984050673791 142.591 8212993.89 474814.18
48 229.8 -220.34000000000003 -16.164167000000003 -51.235552 22720 -108.82566067744195 -191.90174047482066 126.48200000000001 8212884.81 474818.46
49 234.49 -229.11 -16.16515 -51.235535 22720 -116.43057987777642 -196.52038775728863 114.64 8212776.04 474820.36
50 227.02 -237.76 -16.166128 -51.235544 22720 -117.21928889102776 -194.35785628814702 109.679 8212667.88 474819.6
51 192.57 -247.09000000000003 -16.167103 -51.235582 22720 -116.16178379831888 -190.3802206462446 106.62700000000001 8212560.03 474815.56
52 168.57 -256.58000000000004 -16.168067 -51.235649 22720 -118.33292469179304 -189.68473343939283 100.439 8212453.39 474808.56
53 155.2 -266.24 -16.169028 -51.235744 22720 -123.38459253959846 -191.89908607246613 91.429 8212347.07 474798.58
54 147.04 -274.78 -16.169983 -51.235855 22720 -126.36388088082623 -192.06967512980216 84.542 8212241.35 474786.83
55 129.42 -281.45000000000005 -16.170935999999998 -51.235985 22720 -130.2805268569271 -193.20051920299562 76.762 8212135.94 474772.99
56 125.7 -287.24 -16.171889 -51.236121000000004 22720 -143.71130953293255 -203.84957174566367 59.477 8212030.53 474758.56
57 140.39 -291.84000000000003 -16.172844 -51.236238 22720 -148.1092762733441 -205.44325332854632 51.181000000000004 8211924.82 474746.21
58 166.98 -295.24 -16.173810999999997 -51.236340999999996 22720 -143.00058766792458 -197.48637534675927 52.321000000000005 8211817.88 474735.35
59 186.49 -295.02 -16.174785999999997 -51.23643 22720 -138.16739061273034 -189.76962736415902 53.126999999999995 8211710.02 474725.97
60 198.39 -292.27 -16.175775 -51.236499 22720 -129.28740947509442 -177.9496456559797 57.888000000000005 8211600.62 474718.67
61 202.02 -288.38 -16.176778 -51.236552 22720 -115.81752201517749 -161.48558270432312 67.152 8211489.69 474713.16
62 157.76 -283.24 -16.1778 -51.236574 22720 -103.38882498002279 -145.98137401623416 75.241 8211376.61 474710.92
63 137.77 -275.26 -16.178844 -51.236577000000004 22720 -95.55929629133833 -134.99507876766677 78.604 8211261.08 474710.75
64 141.48 -266.03 -16.179906 -51.236552 22720 -80.54905414458028 -116.75693558916927 89.03 8211143.7 474713.56
65 161.56 -257.70000000000005 -16.180985999999997 -51.236509999999996 22720 -54.09646330130569 -87.00566384021191 110.788 8211024.18 474718.15
66 182.25 -252.83000000000004 -16.182089 -51.236452 22720 -29.867990025640154 -59.398913773479336 130.19899999999998 8210902.2 474724.53
67 190.12 -249.45000000000005 -16.183206 -51.236377000000005 22720 -17.53476528701475 -43.633306335638366 137.628 8210778.69 474732.69
68 177.82 -247.14999999999998 -16.184333 -51.236299 22720 -20.4174683210816 -43.048004016933476 129.789 8210653.95 474741.14
