ALTURA GPSALT LAT LONG Line MAGIGRF X Y
203.02 638.7 -16.161581 -51.239999 22710 106.402 8213170.33 474342.7
202.82 638.2 -16.161497 -51.239996 22710 107.494 8213179.55 474342.98
202.42 637.67 -16.161417 -51.239991 22710 108.671 8213188.46 474343.57
202.02 637.13 -16.161336 -51.239988 22710 109.932 8213197.37 474343.85
201.63 636.6 -16.161253 -51.239985 22710 111.28 8213206.59 474344.14
201.23 636.06 -16.161172 -51.239982 22710 112.707 8213215.5 474344.43
200.83 635.53 -16.161092 -51.23998 22710 114.205 8213224.41 474344.71
200.37 635.0 -16.161008 -51.239977 22710 115.772 8213233.63 474345.0
199.98 634.46 -16.160928 -51.239974 22710 117.4 8213242.54 474345.29
199.58 633.93 -16.160845 -51.239969 22710 119.095 8213251.76 474345.87
199.18 633.39 -16.160764 -51.239966 22710 120.845 8213260.67 474346.15
198.78 632.86 -16.160683 -51.239963 22710 122.649 8213269.58 474346.44
198.78 632.29 -16.1606 -51.23996 22710 124.502 8213278.8 474346.73
198.78 631.72 -16.16052 -51.239957 22710 126.405 8213287.71 474347.01
198.78 631.15 -16.160439 -51.239955 22710 128.356 8213296.62 474347.3
198.78 630.58 -16.160356 -51.239952 22710 130.353 8213305.84 474347.59
198.78 630.01 -16.160275 -51.239949 22710 132.388 8213314.75 474347.87
198.78 629.45 -16.160192 -51.239946 22710 134.47 8213323.97 474348.16
198.78 628.88 -16.160111 -51.239944 22710 136.598 8213332.88 474348.45
198.78 628.31 -16.160028 -51.239941 22710 138.764 8213342.1 474348.73
198.78 627.74 -16.159947 -51.239938 22710 140.953 8213351.01 474349.02
198.78 627.17 -16.159867 -51.239935 22710 143.161 8213359.92 474349.31
198.39 626.63 -16.159783 -51.239932 22710 145.388 8213369.14 474349.59
197.99 626.09 -16.159703 -51.23993 22710 147.625 8213378.05 474349.88
197.59 625.54 -16.15962 -51.239927 22710 149.872 8213387.27 474350.16
197.2 625.0 -16.159539 -51.239927 22710 152.12 8213396.18 474350.15
196.8 624.46 -16.159456 -51.239924 22710 154.372 8213405.4 474350.44
196.34 623.92 -16.159375 -51.239921 22710 156.605 8213414.31 474350.73
195.94 623.38 -16.159292 -51.239919 22710 158.807 8213423.53 474351.01
195.54 622.83 -16.159211 -51.239916 22710 160.977 8213432.44 474351.3
195.15 622.29 -16.159128 -51.239913 22710 163.114 8213441.66 474351.59
194.75 621.75 -16.159047 -51.23991 22710 165.202 8213450.57 474351.87
194.75 621.28 -16.158964 -51.239907 22710 167.245 8213459.79 474352.16
194.75 620.82 -16.158883 -51.239905 22710 169.232 8213468.7 474352.45
194.75 620.35 -16.1588 -51.239905 22710 171.163 8213477.92 474352.43
194.75 619.89 -16.15872 -51.239902 22710 173.034 8213486.83 474352.72
194.75 619.42 -16.158636 -51.239902 22710 174.845 8213496.05 474352.71
194.75 618.95 -16.158556 -51.239899 22710 176.597 8213504.96 474353.0
194.75 618.49 -16.158472 -51.239896 22710 178.298 8213514.18 474353.28
194.75 618.02 -16.158392 -51.239896 22710 179.947 8213523.09 474353.27
194.75 617.56 -16.158308 -51.239894 22710 181.559 8213532.3 474353.56
194.75 617.09 -16.158228 -51.239891 22710 183.127 8213541.22 474353.85
194.35 616.53 -16.158145 -51.239891 22710 184.653 8213550.43 474353.83
193.96 615.97 -16.158064 -51.239888 22710 186.139 8213559.35 474354.12
193.56 615.41 -16.157981 -51.239888 22710 187.592 8213568.56 474354.11
193.16 614.85 -16.157897 -51.239885 22710 189.022 8213577.78 474354.4
192.77 614.29 -16.157817 -51.239885 22710 190.433 8213586.69 474354.39
192.3 613.72 -16.157733 -51.239882 22710 191.844 8213595.91 474354.67
191.91 613.16 -16.157653 -51.239882 22710 193.254 8213604.82 474354.66
191.51 612.6 -16.15757 -51.23988 22710 194.679 8213614.04 474354.95
191.11 612.04 -16.157489 -51.23988 22710 196.112 8213622.95 474354.94
190.72 611.48 -16.157406 -51.239877 22710 197.55 8213632.17 474355.22
190.12 610.86 -16.157322 -51.239877 22710 198.982 8213641.39 474355.21
189.53 610.24 -16.157242 -51.239877 22710 200.41 8213650.3 474355.2
188.93 609.62 -16.157158 -51.239877 22710 201.852 8213659.52 474355.19
188.34 609.0 -16.157078 -51.239877 22710 203.3 8213668.43 474355.18
187.68 608.38 -16.156995 -51.239874 22710 204.757 8213677.65 474355.47
187.08 607.77 -16.156911 -51.239874 22710 206.21 8213686.86 474355.46
186.49 607.15 -16.156831 -51.239874 22710 207.654 8213695.77 474355.45
185.89 606.53 -16.156747 -51.239874 22710 209.092 8213704.99 474355.44
185.3 605.91 -16.156664 -51.239874 22710 210.527 8213714.21 474355.43
184.7 605.29 -16.156583 -51.239874 22710 211.959 8213723.12 474355.41
184.5 604.66 -16.1565 -51.239874 22710 213.39 8213732.34 474355.4
184.3 604.03 -16.156417 -51.239874 22710 214.819 8213741.56 474355.39
184.11 603.4 -16.156336 -51.239874 22710 216.246 8213750.47 474355.38
183.91 602.77 -16.156253 -51.239874 22710 217.661 8213759.69 474355.37
183.71 602.14 -16.15617 -51.239874 22710 219.071 8213768.9 474355.36
183.44 601.5 -16.156089 -51.239874 22710 220.472 8213777.81 474355.35
183.25 600.87 -16.156006 -51.239877 22710 221.868 8213787.03 474355.04
183.05 600.24 -16.155922 -51.239877 22710 223.268 8213796.25 474355.03
182.85 599.61 -16.155842 -51.239877 22710 224.672 8213805.16 474355.02
182.65 598.98 -16.155758 -51.239877 22710 226.082 8213814.38 474355.01
182.06 598.4 -16.155675 -51.23988 22710 227.488 8213823.6 474354.7
181.46 597.82 -16.155595 -51.23988 22710 228.892 8213832.51 474354.69
180.87 597.23 -16.155511 -51.239882 22710 230.29 8213841.73 474354.39
180.27 596.65 -16.155428 -51.239885 22710 231.687 8213850.94 474354.08
179.61 596.07 -16.155345 -51.239885 22710 233.081 8213860.16 474354.07
179.01 595.49 -16.155264 -51.239888 22710 234.462 8213869.07 474353.76
178.42 594.91 -16.155181 -51.239891 22710 235.832 8213878.29 474353.45
177.82 594.32 -16.155097 -51.239891 22710 237.174 8213887.51 474353.44
177.23 593.74 -16.155017 -51.239894 22710 238.491 8213896.42 474353.13
176.63 593.16 -16.154933 -51.239896 22710 239.779 8213905.64 474352.83
176.44 592.7 -16.15485 -51.239899 22710 241.036 8213914.85 474352.52
176.24 592.25 -16.154767 -51.239902 22710 242.265 8213924.07 474352.21
