ALTURA GPSALT LAT LONG Line MAGIGRF X Y
203.02 638.7 -16.161581 -51.239999 22710 106.402 8213170.33 474342.7
198.78 630.58 -16.160356 -51.239952 22710 130.353 8213305.84 474347.59
195.15 622.29 -16.159128 -51.239913 22710 163.114 8213441.66 474351.59
193.16 614.85 -16.157897 -51.239885 22710 189.022 8213577.78 474354.4
185.3 605.91 -16.156664 -51.239874 22710 210.527 8213714.21 474355.43
180.27 596.65 -16.155428 -51.239885 22710 231.687 8213850.94 474354.08
174.78 589.05 -16.154189 -51.239921 22710 249.92 8213987.98 474350.06
171.01 582.36 -16.15295 -51.239988 22710 260.657 8214125.01 474342.77
104.79 450.65 -16.120947 -51.23571 22720 266.846 8217665.58 474796.05
105.52 447.67 -16.122097 -51.235721 22720 271.958 8217538.37 474795.01
102.42 447.73 -16.12325 -51.235735 22720 292.993 8217410.85 474793.67
97.91 449.27 -16.1244 -51.235755 22720 301.301 8217283.64 474791.74
97.66 452.01 -16.125547 -51.235774 22720 317.6 8217156.73 474789.8
102.78 455.53 -16.126689 -51.235783 22720 306.486 8217030.45 474789.06
107.16 458.05 -16.127828 -51.235774 22720 316.878 8216904.47 474790.09
102.47 459.36 -16.128967 -51.235741 22720 333.883 8216778.49 474793.8
98.33 461.34 -16.130103 -51.235699 22720 347.361 8216652.82 474798.4
97.84 463.41 -16.131239 -51.235655 22720 353.72 8216527.16 474803.3
98.88 465.55 -16.132375 -51.235613 22720 355.818 8216401.49 474807.89
98.15 466.78 -16.133514 -51.235583 22720 357.689 8216275.51 474811.31
97.66 468.53 -16.134653 -51.235563 22720 357.148 8216149.54 474813.53
100.64 471.55 -16.135789 -51.235555 22720 351.711 8216023.87 474814.56
103.88 475.96 -16.136925 -51.23556 22720 317.904 8215898.19 474814.11
107.35 479.25 -16.138059 -51.235599 22720 300.369 8215772.82 474810.1
107.6 482.2 -16.139192 -51.235655 22720 302.217 8215647.45 474804.3
102.75 483.24 -16.140322 -51.23573 22720 310.071 8215522.38 474796.43
102.78 486.11 -16.141453 -51.23581 22720 322.784 8215397.31 474787.96
111.16 493.1 -16.142572 -51.235899 22720 328.397 8215273.47 474778.6
118.45 501.46 -16.143683 -51.235991 22720 324.954 8215150.56 474768.94
123.17 510.05 -16.144783 -51.236085 22720 313.594 8215028.87 474758.98
128.69 519.25 -16.14587 -51.236174 22720 304.6 8214908.71 474749.61
136.22 529.21 -16.146942 -51.236258 22720 297.036 8214790.1 474740.84
143.5 538.8 -16.148003 -51.236335 22720 298.446 8214672.71 474732.66
148.04 546.93 -16.149053 -51.23641 22720 301.11 8214556.55 474724.77
150.7 553.85 -16.150095 -51.236471 22720 301.147 8214441.32 474718.37
153.89 560.23 -16.151128 -51.236499 22720 295.869 8214327.01 474715.54
156.48 567.24 -16.152153 -51.236496 22720 284.868 8214213.63 474715.96
157.61 573.93 -16.153172 -51.236471 22720 272.296 8214100.87 474718.77
163.34 579.7 -16.154189 -51.236416 22720 260.735 8213988.41 474724.83
167.97 585.35 -16.1552 -51.236346 22720 246.015 8213876.58 474732.39
171.01 591.48 -16.156206 -51.236263 22720 226.504 8213765.36 474741.42
