 index dobs regional res_data tfa_true x y z
0 2843 447.22370648499395 445.6161033949854 1.6076030900085811 -2.4812948427816557 -4920.922962550074 -4629.405631446862 -63.289999999999964
1 2844 449.11628829449955 445.72185435459255 3.394433939907003 -2.7858394100089625 -4818.922962550074 -4630.405631446862 -62.09000000000003
2 2845 443.3563360299404 445.8286459718802 -2.472309941939784 -3.1230559198963115 -4715.922962550074 -4631.405631446862 -63.14999999999998
3 2846 444.28009217186036 445.93583371296813 -1.6557415411077727 -3.5005305959792716 -4612.922962550074 -4631.405631446862 -69.13999999999999
4 2847 439.97184796160985 446.04302145405615 -6.071173492446292 -3.8984351482944892 -4509.922962550074 -4631.405631446862 -73.77999999999997
5 2848 448.20665533234086 446.14956466126404 2.0570906710768213 -4.313463418769331 -4407.922962550074 -4630.405631446862 -77.24000000000001
6 2849 440.9541477292424 446.25610786847193 -5.30196013922955 -4.754913002144915 -4305.922962550074 -4629.405631446862 -80.47000000000003
7 2850 434.06339388171847 446.3630471994802 -12.299653317761738 -5.221854613210178 -4203.922962550074 -4627.405631446862 -83.07000000000005
8 2851 440.011709006255 446.46894587280804 -6.457236866553046 -5.713247326985002 -4102.922962550074 -4625.405631446862 -85.49000000000001
9 2852 435.85312470515237 446.5748445461358 -10.72171984098344 -6.242521856057654 -4001.922962550074 -4623.405631446862 -89.63999999999999
10 2853 439.638492114441 446.681139343264 -7.042647228823 -6.80060845528322 -3900.922962550074 -4620.405631446862 -92.97000000000003
11 2854 433.94677839942784 446.7874341403922 -12.840655740964337 -7.392713799266446 -3799.922962550074 -4617.405631446862 -96.32000000000005
12 2855 429.8422667036089 446.89412506132066 -17.05185835771175 -8.021062447542601 -3698.922962550074 -4613.405631446862 -99.85000000000002
13 2856 438.2368949807758 446.99898307696805 -8.762088096192258 -8.674120699251512 -3598.922962550074 -4611.405631446862 -102.26999999999998
14 2857 443.8067523175681 447.1044856264955 -3.297733308927377 -9.365473420764104 -3497.922962550074 -4610.405631446862 -103.67999999999995
15 2858 438.9870544589765 447.2081552707417 -8.221100811765211 -10.083142533050504 -3397.922962550074 -4611.405631446862 -104.66999999999996
16 2859 439.6016421775131 447.312469448868 -7.710827271354901 -10.844106423043788 -3296.922962550074 -4613.405631446862 -105.80999999999995
17 2860 431.88581489665097 447.41574296931384 -15.52992807266287 -11.629291658284293 -3196.922962550074 -4615.405631446862 -105.87
18 2861 433.03422375281355 447.5204532712405 -14.486229518426967 -12.463899481862795 -3095.922962550074 -4616.405631446862 -106.51999999999998
19 2862 429.27188062425586 447.6245190392871 -18.352638415031265 -13.336472504504762 -2995.922962550074 -4616.405631446862 -108.70000000000005
