 index dobs regional res_data tfa_true x y z
0 2843 449.9415978035331 445.3134426459643 4.628155157568813 -3.511018521236231 -4920.922962550074 -4629.405631446862 -63.289999999999964
1 2844 444.27201891639345 445.43117740941625 -1.159158493022801 -3.890899042044765 -4818.922962550074 -4630.405631446862 -62.09000000000003
2 2845 442.85323504213204 445.55006966231645 -2.6968346201844042 -4.310350862884195 -4715.922962550074 -4631.405631446862 -63.14999999999998
3 2846 436.49920593260146 445.66929107549294 -9.17008514289148 -4.778255529824881 -4612.922962550074 -4631.405631446862 -69.13999999999999
4 2847 441.51255772142855 445.7885124886695 -4.275954767240933 -5.2711445976157405 -4509.922962550074 -4631.405631446862 -73.77999999999997
5 2848 449.9153610190013 445.90690557267396 4.008455446327332 -5.785073804453561 -4407.922962550074 -4630.405631446862 -77.24000000000001
6 2849 437.5534616888924 446.02529865667833 -8.471836967785919 -6.331181425081548 -4305.922962550074 -4629.405631446862 -80.47000000000003
7 2850 441.4492540470589 446.1440209009591 -4.694766853900205 -6.9085845616067845 -4203.922962550074 -4627.405631446862 -83.07000000000005
8 2851 438.6640820622438 446.2615856557916 -7.597503593547799 -7.5157356662745824 -4102.922962550074 -4625.405631446862 -85.49000000000001
9 2852 446.8374994454419 446.37915041062405 0.45834903481784295 -8.16874448860745 -4001.922962550074 -4623.405631446862 -89.63999999999999
10 2853 434.0074255570599 446.4970443257327 -12.489618768672813 -8.857227818500139 -3900.922962550074 -4620.405631446862 -92.97000000000003
11 2854 436.53620093012273 446.61493824084147 -10.078737310718736 -9.587281980671454 -3799.922962550074 -4617.405631446862 -96.32000000000005
12 2855 438.67118097797874 446.7331613162265 -8.061980338247736 -10.36177404407427 -3698.922962550074 -4613.405631446862 -99.85000000000002
13 2856 431.1873660622815 446.8495685816106 -15.662202519329071 -11.166595435613877 -3598.922962550074 -4611.405631446862 -102.26999999999998
14 2857 425.97246604919644 446.96680417616676 -20.99433812697032 -12.018775216024224 -3497.922962550074 -4610.405631446862 -103.67999999999995
15 2858 445.05425871159895 447.08222396072205 -2.027965249123099 -12.903480251443014 -3397.922962550074 -4611.405631446862 -104.66999999999996
16 2859 438.4576160793286 447.1984720744493 -8.740855995120683 -13.841785712979293 -3296.922962550074 -4613.405631446862 -105.80999999999995
17 2860 432.18073007845584 447.3135626987283 -15.132832620272438 -14.810888741467299 -3196.922962550074 -4615.405631446862 -105.87
18 2861 430.7054352800604 447.43013997273187 -16.72470469267148 -15.841549085351158 -3095.922962550074 -4616.405631446862 -106.51999999999998
19 2862 428.2329113822715 447.54588891756345 -19.312977535291964 -16.919406907196645 -2995.922962550074 -4616.405631446862 -108.70000000000005
20 2863 429.44657559642246 447.66163786239497 -18.215062265972506 -18.052580054381412 -2895.922962550074 -4616.405631446862 -112.53999999999996
21 2864 424.4991678066712 447.77622931777825 -23.277061511107036 -19.217572506975266 -2796.922962550074 -4616.405631446862 -115.61000000000001
22 2865 426.1759961890846 447.89049161288517 -21.7144954238006 -20.438638721591307 -2697.922962550074 -4617.405631446862 -122.25
23 2866 432.06007559539495 448.0040955874395 -15.94401999204456 -21.692900360266528 -2598.922962550074 -4620.405631446862 -129.47000000000003
24 2867 420.6802183040402 448.1162129122693 -27.435994608229123 -22.958610614206414 -2500.922962550074 -4624.405631446862 -135.04999999999995
25 2868 427.90683792773467 448.22684358737445 -20.320005659639776 -24.232608975683917 -2403.922962550074 -4629.405631446862 -139.36
26 2869 418.93886097595725 448.33863175192795 -29.399770775970694 -25.54242840200703 -2305.922962550074 -4634.405631446862 -141.47000000000003
27 2870 419.1065704655336 448.45074907675775 -29.34417861122415 -26.88515351954235 -2207.922962550074 -4638.405631446862 -142.35000000000002
28 2871 422.0489936385275 448.5643530513121 -26.515359412784562 -28.27861191313354 -2108.922962550074 -4641.405631446862 -143.24
29 2872 420.0355492976831 448.67861534641906 -28.64306604873599 -29.716243464033866 -2009.9229625500739 -4642.405631446862 -143.26
30 2873 419.35215476806775 448.7932068018023 -29.441052033734536 -31.18934583070876 -1910.9229625500739 -4642.405631446862 -142.39999999999998
31 2874 418.6540712653304 448.9081274174618 -30.254056152131398 -32.697731174812155 -1811.9229625500739 -4641.405631446862 -140.71000000000004
32 2875 420.83204370545104 449.02486384312226 -28.19282013767122 -34.270169882326876 -1711.9229625500739 -4638.405631446862 -139.26
33 2876 418.2744287920749 449.1424285979546 -30.86799980587972 -35.8655085217581 -1610.9229625500739 -4636.405631446862 -138.74
34 2877 412.20098831972615 449.2588358633388 -37.05784754361264 -37.45765831667687 -1510.9229625500739 -4634.405631446862 -138.89999999999998
35 2878 412.7142569154696 449.37607145789497 -36.66181454242536 -39.05479724758901 -1409.9229625500739 -4633.405631446862 -139.11
36 2879 411.58546951162367 449.4929778921748 -37.90750838055112 -40.62996287972118 -1308.9229625500739 -4633.405631446862 -139.95000000000005
37 2880 407.51491147737835 449.6107126556267 -42.09580117824834 -42.184822795663436 -1206.9229625500739 -4634.405631446862 -142.04999999999995
38 2881 410.98546294655847 449.727789098526 -38.74232615196752 -43.67523986121686 -1104.9229625500739 -4637.405631446862 -144.02999999999997
39 2882 401.6901208652267 449.84519470170164 -48.15507383647497 -45.14717786319471 -1002.9229625500739 -4639.405631446862 -146.17999999999995
40 2883 394.11051166102726 449.96260030487724 -55.85208864384998 -46.584422375723086 -900.9229625500739 -4641.405631446862 -146.51999999999998
41 2884 398.5163006068533 450.08232088694945 -51.566020280096154 -48.00550337215761 -796.9229625500739 -4643.405631446862 -145.98000000000002
42 2885 395.4264917926052 450.202370629298 -54.77587883669281 -49.38412088490252 -692.9229625500739 -4644.405631446862 -146.49
43 2886 389.3027323952749 450.32242037164656 -61.01968797637164 -50.700459588254596 -588.9229625500739 -4645.405631446862 -146.49
44 2887 393.9953479305128 450.4439567637197 -56.44860883320689 -51.98664995026967 -483.92296255007386 -4645.405631446862 -145.76
45 2888 401.3467440232355 450.5666506452411 -49.219906622005624 -53.19701265649213 -377.92296255007386 -4645.405631446862 -145.64999999999998
46 2889 394.3598317828967 450.6885161975905 -56.32868441469378 -54.28860344195191 -272.92296255007386 -4644.405631446862 -149.26
47 2890 387.09271423300885 450.81104007049254 -63.71832583748369 -55.31924082586899 -167.92296255007386 -4641.405631446862 -153.63
48 2891 394.28584044888714 450.9320772936699 -56.64623684478278 -56.21646005558593 -63.92296255007386 -4639.405631446862 -156.97000000000003
49 2892 398.9302407079686 451.0516278671227 -52.1213871591541 -56.91830477148325 39.07703744992614 -4638.405631446862 -163.21000000000004
50 2893 398.104421754297 451.1720067697475 -53.067585015450504 -57.47977919098292 143.07703744992614 -4638.405631446862 -168.84000000000003
51 2894 386.73486405590427 451.2900706934757 -64.55520663757142 -57.92469679757893 245.07703744992614 -4638.405631446862 -172.91999999999996
52 2895 392.91344800825 451.4092921066522 -58.49584409840219 -58.23936919503567 348.07703744992614 -4638.405631446862 -177.12
53 2896 388.90588860318115 451.52735603038036 -62.62146742719921 -58.402532965445495 450.07703744992614 -4638.405631446862 -181.90999999999997
54 2897 391.7064746630408 451.64541995410855 -59.93894529106774 -58.42960737052761 552.0770374499261 -4638.405631446862 -186.51999999999998
55 2898 398.9866075694136 451.7611688989401 -52.774561329526534 -58.274852618038196 652.0770374499261 -4638.405631446862 -193.01999999999998
56 2899 397.73388266095236 451.8772470040479 -54.14336434309553 -57.98958415810866 752.0770374499261 -4637.405631446862 -200.17999999999995
57 2900 396.9482891298016 451.9921676197074 -55.04387848990581 -57.57177577656986 851.0770374499261 -4636.405631446862 -206.96000000000004
58 2901 399.14216360474603 452.10741739564327 -52.965253790897236 -57.052508662910824 950.0770374499261 -4634.405631446862 -213.13
59 2902 386.7659586516692 452.2215096821308 -65.45555103046155 -56.37410076189164 1048.0770374499261 -4632.405631446862 -220.21000000000004
60 2903 381.7441763877435 452.335272808342 -70.59109642059849 -55.50388597989483 1146.0770374499261 -4631.405631446862 -228.3599999999999
61 2904 397.17578173851206 452.4490359345532 -55.27325419604114 -54.56993654145226 1244.0770374499261 -4630.405631446862 -233.79999999999995
62 2905 392.1989329933074 452.5624699004881 -60.36353690718073 -53.501512897406975 1342.0770374499261 -4630.405631446862 -238.5999999999999
63 2906 400.892962953675 452.67441721669843 -51.78145426302342 -52.24405760860938 1439.0770374499261 -4631.405631446862 -245.3599999999999
64 2907 400.7234211900526 452.78752202235705 -52.06410083230446 -50.89733090948284 1537.0770374499261 -4632.405631446862 -250.71000000000004
65 2908 407.9090696847355 452.89979849884367 -44.99072881410814 -49.46488188951849 1634.0770374499261 -4632.405631446862 -256.18000000000006
66 2909 406.34059961938294 453.0109174858819 -46.670317866498976 -47.934136812393795 1730.0770374499261 -4632.405631446862 -261.79999999999995
67 2910 401.59029515488453 453.12203647292023 -51.5317413180357 -46.312653094832065 1826.0770374499261 -4632.405631446862 -267.0799999999999
68 2911 400.04863950687593 453.23265629106277 -53.18401678418684 -44.622455607193416 1921.0770374499261 -4630.405631446862 -272.9200000000001
69 2912 413.6048489210175 453.3432761092053 -39.73842718818781 -42.87532845912197 2016.0770374499261 -4628.405631446862 -277.56999999999994
70 2913 408.44550844516726 453.45273843789954 -45.00722999273228 -41.051102358900245 2110.077037449926 -4626.405631446862 -282.52
71 2914 408.2403947049758 453.56385742493785 -45.32346271996204 -39.10081196430849 2206.077037449926 -4626.405631446862 -287.22
72 2915 413.4610434789987 453.6741480828041 -40.21310460380539 -37.140637126003554 2301.077037449926 -4625.405631446862 -290.8699999999999
73 2916 417.90806939399056 453.7849379095661 -35.87686851557555 -35.099040937582835 2397.077037449926 -4626.405631446862 -294.0899999999999
74 2917 412.40576274351383 453.89721438605267 -41.491451642538834 -32.98958389210931 2494.077037449926 -4626.405631446862 -297.26
75 2918 419.2838374040124 454.008333373091 -34.72449596907859 -30.841480004740152 2590.077037449926 -4626.405631446862 -300.78999999999996
76 2919 417.7451733451602 454.1206098495776 -36.375436504417394 -28.56877406752401 2687.077037449926 -4626.405631446862 -306.3900000000001
77 2920 422.5122922354273 454.2313996763396 -31.719107440912296 -26.262405281743206 2783.077037449926 -4627.405631446862 -312.78
78 2921 426.481068827116 454.34334699254987 -27.86227816543385 -23.93201863227813 2880.077037449926 -4628.405631446862 -318.4100000000001
79 2922 429.3367770838173 454.45628178958907 -25.11950470577176 -21.58899043007831 2977.077037449926 -4626.405631446862 -323.3499999999999
80 2923 431.5248345899307 454.5703740760766 -23.045539486145856 -19.240954669304227 3075.077037449926 -4624.405631446862 -326.8299999999999
81 2924 442.8839793571832 454.6839671936683 -11.799987836485116 -16.85492554227641 3172.077037449926 -4620.405631446862 -331.31999999999994
82 2925 433.1823554539422 454.79904696098464 -21.616691507042447 -14.399635679943518 3270.077037449926 -4615.405631446862 -336.53999999999996
83 2926 436.06078608064973 454.9144558885773 -18.853669807927588 -11.93634661390936 3368.077037449926 -4609.405631446862 -341.0999999999999
84 2927 440.91298214708274 455.03168062617084 -14.118698479088096 -9.41619474633379 3467.077037449926 -4601.405631446862 -345.51
85 2928 439.5358619213698 455.14791788293553 -15.612055961565716 -6.967963123948853 3566.077037449926 -4596.405631446862 -348.1500000000001
86 2929 442.0593481033759 455.26647011859677 -13.207122015220875 -4.471500553165354 3667.077037449926 -4591.405631446862 -350.79999999999995
87 2930 441.9648149630387 455.38287738398094 -13.418062420942249 -2.035155697925778 3767.077037449926 -4589.405631446862 -354.22
88 2931 454.11725129409325 455.5004421388134 -1.3831908447201613 0.4001198993703936 3868.077037449926 -4587.405631446862 -357.3800000000001
89 2932 448.6223443454061 455.61734857309324 -6.995004227687161 2.7775334103638776 3969.077037449926 -4587.405631446862 -360.72
90 2933 461.85703198753527 455.7342550073731 6.1227769801621434 5.11424070389874 4070.077037449926 -4587.405631446862 -363.68000000000006
91 2934 452.98055786741463 455.8516606105487 -2.871102743134088 7.328463611449479 4172.077037449926 -4589.405631446862 -363.1700000000001
92 2935 457.7005745068678 455.9702237031726 1.7303508036951598 9.504636627167415 4275.077037449926 -4591.405631446862 -361.52
93 2936 458.2755222565637 456.0892859646923 2.1862362918714098 11.599775471623575 4379.077037449926 -4595.405631446862 -359.0799999999999
94 2937 464.27811201924374 456.20950571566027 8.068606303583465 13.649253163247515 4484.077037449926 -4599.405631446862 -355.6099999999999
95 2938 470.03802727988216 456.3312121163529 13.706815163529257 15.683297419925884 4590.077037449926 -4602.405631446862 -351.70000000000005
96 2939 465.71399631940443 456.4549043356658 9.259091983738642 17.660901506278446 4698.077037449926 -4606.405631446862 -346.9000000000001
97 2940 468.9868802478197 456.57975404442703 12.407126203392693 19.59110995939945 4807.077037449926 -4610.405631446862 -342.04999999999995
98 2941 473.63660758854684 456.7046037531883 16.932003835358557 21.458717412787035 4916.077037449926 -4614.405631446862 -338.1099999999999
99 3137 444.72468289714317 445.5107399350113 -0.7860570378681473 -2.8132501408974844 -4896.922962550074 -4114.405631446862 -65.63999999999999
100 3138 448.8201409572382 445.640707913499 3.179433043739209 -3.281890573180748 -4784.922962550074 -4113.405631446862 -69.49000000000001
101 3139 437.7249816964243 445.7721625417112 -8.047180845286903 -3.7761496887053965 -4671.922962550074 -4111.405631446862 -70.05999999999995
102 3140 452.85127050924154 445.90328800964716 6.947982499594389 -4.273088459846427 -4558.922962550074 -4110.405631446862 -63.08000000000004
103 3141 446.7946731783073 446.03557096703145 0.759102211275831 -4.804202554275585 -4444.922962550074 -4109.405631446862 -53.5
104 3142 434.7563007179224 446.17099723248435 -11.414696514561967 -5.407246277432412 -4327.922962550074 -4109.405631446862 -44.82000000000005
105 3143 447.5728568436707 446.306922666833 1.2659341768377317 -6.078494450391717 -4209.922962550074 -4111.405631446862 -36.860000000000014
106 3144 442.1594942547609 446.44301810980113 -4.283523855040244 -6.832082039625285 -4090.922962550074 -4116.405631446862 -30.74000000000001
