LINE,EAST,NRTH,Bx,By,Bz,Bm
         01,-1000.000000,1000.000000,-5.526604,3.116401,-0.058698,4.193370
         01,-1000.000000,980.000000,-5.720485,3.106404,-0.066301,4.234089
         01,-1000.000000,960.000000,-5.919233,3.090264,-0.073983,4.270445
         01,-1000.000000,940.000000,-6.122694,3.067484,-0.081704,4.301938
         01,-1000.000000,920.000000,-6.330673,3.037549,-0.089417,4.328035
         01,-1000.000000,900.000000,-6.542932,2.999926,-0.097071,4.348178
         01,-1000.000000,880.000000,-6.759184,2.954065,-0.104605,4.361776
         01,-1000.000000,860.000000,-6.979089,2.899401,-0.111953,4.368213
         01,-1000.000000,840.000000,-7.202255,2.835358,-0.119039,4.366844
         01,-1000.000000,820.000000,-7.428224,2.761352,-0.125779,4.356998
         01,-1000.000000,800.000000,-7.656479,2.676794,-0.132081,4.337986
         01,-1000.000000,780.000000,-7.886431,2.581098,-0.137843,4.309094
         01,-1000.000000,760.000000,-8.117422,2.473679,-0.142954,4.269597
         01,-1000.000000,740.000000,-8.348718,2.353969,-0.147291,4.218755
         01,-1000.000000,720.000000,-8.579507,2.221413,-0.150723,4.155825
         01,-1000.000000,700.000000,-8.808896,2.075486,-0.153108,4.080063
         01,-1000.000000,680.000000,-9.035911,1.915694,-0.154294,3.990732
         01,-1000.000000,660.000000,-9.259495,1.741587,-0.154118,3.887111
         01,-1000.000000,640.000000,-9.478510,1.552768,-0.152408,3.768502
         01,-1000.000000,620.000000,-9.691733,1.348901,-0.148984,3.634242
         01,-1000.000000,600.000000,-9.897864,1.129725,-0.143656,3.483712
         01,-1000.000000,580.000000,-10.095530,0.895062,-0.136226,3.316348
         01,-1000.000000,560.000000,-10.283285,0.644830,-0.126493,3.131655
         01,-1000.000000,540.000000,-10.459622,0.379054,-0.114250,2.929217
         01,-1000.000000,520.000000,-10.623006,0.097864,-0.099255,2.708695
         01,-1000.000000,500.000000,-10.771783,-0.198438,-0.081360,2.469910
         01,-1000.000000,480.000000,-10.904344,-0.509452,-0.060326,2.212750
         01,-1000.000000,460.000000,-11.019041,-0.834616,-0.035950,1.937255
         01,-1000.000000,440.000000,-11.114227,-1.173209,-0.008036,1.643609
         01,-1000.000000,420.000000,-11.188274,-1.524346,0.023602,1.332156
         01,-1000.000000,400.000000,-11.239593,-1.886973,0.059133,1.003407
         01,-1000.000000,380.000000,-11.266659,-2.259865,0.098711,0.658049
         01,-1000.000000,360.000000,-11.268029,-2.641622,0.142465,0.296956
         01,-1000.000000,340.000000,-11.242367,-3.030677,0.190500,-0.078812
         01,-1000.000000,320.000000,-11.188472,-3.425301,0.242893,-0.468003
         01,-1000.000000,300.000000,-11.105296,-3.823607,0.299685,-0.869177
         01,-1000.000000,280.000000,-10.991972,-4.223568,0.360883,-1.280707
         01,-1000.000000,260.000000,-10.847832,-4.623031,0.426453,-1.700789
         01,-1000.000000,240.000000,-10.672435,-5.019735,0.496320,-2.127454
         01,-1000.000000,220.000000,-10.465576,-5.411333,0.570364,-2.558580
         01,-1000.000000,200.000000,-10.227310,-5.795420,0.648418,-2.991914
         01,-1000.000000,180.000000,-9.957959,-6.169557,0.730271,-3.425092
         01,-1000.000000,160.000000,-9.658123,-6.531305,0.815663,-3.855663
         01,-1000.000000,140.000000,-9.328681,-6.878253,0.904287,-4.281120
         01,-1000.000000,120.000000,-8.970794,-7.208052,0.995794,-4.698928
         01,-1000.000000,100.000000,-8.585897,-7.518449,1.089792,-5.106557
         01,-1000.000000,80.000000,-8.175688,-7.807316,1.185850,-5.501514
         01,-1000.000000,60.000000,-7.742117,-8.072683,1.283502,-5.881376
         01,-1000.000000,40.000000,-7.287359,-8.312768,1.382253,-6.243825
         01,-1000.000000,20.000000,-6.813796,-8.526000,1.481585,-6.586675
         01,-1000.000000,-0.000000,-6.323985,-8.711044,1.580961,-6.907908
         01,-1000.000000,-20.000000,-5.820628,-8.866820,1.679833,-7.205698
         01,-1000.000000,-40.000000,-5.306535,-8.992517,1.777649,-7.478433
         01,-1000.000000,-60.000000,-4.784595,-9.087602,1.873861,-7.724737
         01,-1000.000000,-80.000000,-4.257729,-9.151824,1.967928,-7.943487
         01,-1000.000000,-100.000000,-3.728861,-9.185218,2.059329,-8.133822
         01,-1000.000000,-120.000000,-3.200879,-9.188094,2.147565,-8.295150
         01,-1000.000000,-140.000000,-2.676595,-9.161031,2.232166,-8.427149
         01,-1000.000000,-160.000000,-2.158721,-9.104860,2.312697,-8.529767
         01,-1000.000000,-180.000000,-1.649831,-9.020649,2.388763,-8.603209
         01,-1000.000000,-200.000000,-1.152337,-8.909678,2.460014,-8.647931
         01,-1000.000000,-220.000000,-0.668470,-8.773417,2.526143,-8.664620
         01,-1000.000000,-240.000000,-0.200252,-8.613497,2.586896,-8.654179
         01,-1000.000000,-260.000000,0.250510,-8.431688,2.642066,-8.617701
         01,-1000.000000,-280.000000,0.682237,-8.229862,2.691500,-8.556452
         01,-1000.000000,-300.000000,1.093586,-8.009972,2.735091,-8.471843
         01,-1000.000000,-320.000000,1.483448,-7.774020,2.772786,-8.365402
         01,-1000.000000,-340.000000,1.850951,-7.524030,2.804576,-8.238753
         01,-1000.000000,-360.000000,2.195449,-7.262026,2.830498,-8.093590
         01,-1000.000000,-380.000000,2.516517,-6.990006,2.850632,-7.931650
         01,-1000.000000,-400.000000,2.813937,-6.709919,2.865094,-7.754691
         01,-1000.000000,-420.000000,3.087688,-6.423651,2.874038,-7.564473
         01,-1000.000000,-440.000000,3.337928,-6.133005,2.877647,-7.362736
         01,-1000.000000,-460.000000,3.564979,-5.839692,2.876130,-7.151182
         01,-1000.000000,-480.000000,3.769308,-5.545315,2.869721,-6.931460
         01,-1000.000000,-500.000000,3.951510,-5.251364,2.858670,-6.705155
         01,-1000.000000,-520.000000,4.112293,-4.959210,2.843245,-6.473775
         01,-1000.000000,-540.000000,4.252483,-4.670086,2.823689,-6.238725
         01,-1000.000000,-560.000000,4.372903,-4.385147,2.800351,-6.001372
         01,-1000.000000,-580.000000,4.474515,-4.105378,2.773488,-5.762932
         01,-1000.000000,-600.000000,4.558302,-3.831658,2.743387,-5.524543
         01,-1000.000000,-620.000000,4.625276,-3.564750,2.710338,-5.287240
         01,-1000.000000,-640.000000,4.676467,-3.305300,2.674623,-5.051959
         01,-1000.000000,-660.000000,4.712915,-3.053848,2.636520,-4.819538
         01,-1000.000000,-680.000000,4.735653,-2.810835,2.596297,-4.590718
         01,-1000.000000,-700.000000,4.745704,-2.576604,2.554214,-4.366151
         01,-1000.000000,-720.000000,4.744071,-2.351411,2.510520,-4.146397
         01,-1000.000000,-740.000000,4.731730,-2.135434,2.465452,-3.931935
         01,-1000.000000,-760.000000,4.709624,-1.928775,2.419235,-3.723165
         01,-1000.000000,-780.000000,4.678662,-1.731472,2.372079,-3.520415
         01,-1000.000000,-800.000000,4.639712,-1.543504,2.324184,-3.323944
         01,-1000.000000,-820.000000,4.593601,-1.364800,2.275734,-3.133952
         01,-1000.000000,-840.000000,4.541110,-1.195240,2.226901,-2.950580
         01,-1000.000000,-860.000000,4.482979,-1.034669,2.177844,-2.773919
