LINE,EAST,NRTH,Bx,By,Bz,Bm
         01,-1000.000000,1000.000000,-4.729620,3.488731,-0.912998,4.629487
         01,-1000.000000,980.000000,-4.916861,3.512995,-0.948382,4.709181
         01,-1000.000000,960.000000,-5.110441,3.532888,-0.984976,4.786864
         01,-1000.000000,940.000000,-5.310385,3.547930,-1.022788,4.862112
         01,-1000.000000,920.000000,-5.516692,3.557611,-1.061820,4.934461
         01,-1000.000000,900.000000,-5.729327,3.561387,-1.102071,5.003410
         01,-1000.000000,880.000000,-5.948218,3.558686,-1.143530,5.068417
         01,-1000.000000,860.000000,-6.173250,3.548900,-1.186181,5.128899
         01,-1000.000000,840.000000,-6.404264,3.531391,-1.229998,5.184228
         01,-1000.000000,820.000000,-6.641046,3.505490,-1.274946,5.233734
         01,-1000.000000,800.000000,-6.883323,3.470501,-1.320979,5.276703
         01,-1000.000000,780.000000,-7.130761,3.425697,-1.368041,5.312374
         01,-1000.000000,760.000000,-7.382951,3.370330,-1.416061,5.339946
         01,-1000.000000,740.000000,-7.639411,3.303630,-1.464955,5.358573
         01,-1000.000000,720.000000,-7.899571,3.224809,-1.514623,5.367369
         01,-1000.000000,700.000000,-8.162774,3.133071,-1.564950,5.365410
         01,-1000.000000,680.000000,-8.428264,3.027613,-1.615801,5.351738
         01,-1000.000000,660.000000,-8.695182,2.907636,-1.667024,5.325369
         01,-1000.000000,640.000000,-8.962559,2.772355,-1.718446,5.285293
         01,-1000.000000,620.000000,-9.229312,2.621004,-1.769872,5.230486
         01,-1000.000000,600.000000,-9.494239,2.452854,-1.821087,5.159920
         01,-1000.000000,580.000000,-9.756015,2.267222,-1.871853,5.072570
         01,-1000.000000,560.000000,-10.013189,2.063487,-1.921907,4.967430
         01,-1000.000000,540.000000,-10.264185,1.841104,-1.970965,4.843525
         01,-1000.000000,520.000000,-10.507306,1.599625,-2.018719,4.699929
         01,-1000.000000,500.000000,-10.740730,1.338714,-2.064840,4.535781
         01,-1000.000000,480.000000,-10.962525,1.058168,-2.108977,4.350305
         01,-1000.000000,460.000000,-11.170652,0.757935,-2.150760,4.142831
         01,-1000.000000,440.000000,-11.362985,0.438136,-2.189803,3.912819
         01,-1000.000000,420.000000,-11.537317,0.099085,-2.225705,3.659878
         01,-1000.000000,400.000000,-11.691392,-0.258692,-2.258056,3.383795
         01,-1000.000000,380.000000,-11.822918,-0.634441,-2.286440,3.084554
         01,-1000.000000,360.000000,-11.929606,-1.027160,-2.310441,2.762362
         01,-1000.000000,340.000000,-12.009191,-1.435590,-2.329649,2.417671
         01,-1000.000000,320.000000,-12.059478,-1.858202,-2.343665,2.051194
         01,-1000.000000,300.000000,-12.078375,-2.293196,-2.352111,1.663928
         01,-1000.000000,280.000000,-12.063934,-2.738496,-2.354634,1.257159
         01,-1000.000000,260.000000,-12.014401,-3.191761,-2.350917,0.832475
         01,-1000.000000,240.000000,-11.928251,-3.650395,-2.340687,0.391769
         01,-1000.000000,220.000000,-11.804240,-4.111566,-2.323721,-0.062773
         01,-1000.000000,200.000000,-11.641443,-4.572238,-2.299852,-0.528674
