LINE,EAST,NRTH,Bx,By,Bz,Bm
         01,-1000.000000,1000.000000,-9.240895,5.584241,0.373701,7.189748
         01,-1000.000000,980.000000,-9.582202,5.592299,0.375540,7.279557
         01,-1000.000000,960.000000,-9.933838,5.591013,0.377487,7.363367
         01,-1000.000000,940.000000,-10.295730,5.579494,0.379589,7.440340
         01,-1000.000000,920.000000,-10.667744,5.556806,0.381901,7.509575
         01,-1000.000000,900.000000,-11.049680,5.521958,0.384487,7.570103
         01,-1000.000000,880.000000,-11.441263,5.473909,0.387417,7.620888
         01,-1000.000000,860.000000,-11.842131,5.411570,0.390777,7.660826
         01,-1000.000000,840.000000,-12.251830,5.333803,0.394658,7.688741
         01,-1000.000000,820.000000,-12.669801,5.239424,0.399167,7.703389
         01,-1000.000000,800.000000,-13.095373,5.127210,0.404424,7.703454
         01,-1000.000000,780.000000,-13.527748,4.995903,0.410562,7.687556
         01,-1000.000000,760.000000,-13.965995,4.844214,0.417729,7.654247
         01,-1000.000000,740.000000,-14.409035,4.670833,0.426091,7.602021
         01,-1000.000000,720.000000,-14.855631,4.474441,0.435830,7.529315
         01,-1000.000000,700.000000,-15.304378,4.253716,0.447147,7.434522
         01,-1000.000000,680.000000,-15.753692,4.007351,0.460259,7.315994
         01,-1000.000000,660.000000,-16.201801,3.734069,0.475406,7.172058
         01,-1000.000000,640.000000,-16.646734,3.432639,0.492846,7.001030
         01,-1000.000000,620.000000,-17.086317,3.101897,0.512857,6.801227
         01,-1000.000000,600.000000,-17.518164,2.740768,0.535735,6.570991
         01,-1000.000000,580.000000,-17.939677,2.348295,0.561797,6.308712
         01,-1000.000000,560.000000,-18.348044,1.923659,0.591377,6.012845
         01,-1000.000000,540.000000,-18.740241,1.466214,0.624825,5.681949
         01,-1000.000000,520.000000,-19.113042,0.975517,0.662504,5.314708
         01,-1000.000000,500.000000,-19.463029,0.451360,0.704789,4.909972
         01,-1000.000000,480.000000,-19.786607,-0.106194,0.752062,4.466788
         01,-1000.000000,460.000000,-20.080029,-0.696778,0.804705,3.984443
         01,-1000.000000,440.000000,-20.339422,-1.319689,0.863099,3.462500
         01,-1000.000000,420.000000,-20.560828,-1.973849,0.927617,2.900843
         01,-1000.000000,400.000000,-20.740236,-2.657778,0.998613,2.299711
         01,-1000.000000,380.000000,-20.873642,-3.369566,1.076418,1.659748
         01,-1000.000000,360.000000,-20.957097,-4.106849,1.161329,0.982030
         01,-1000.000000,340.000000,-20.986773,-4.866795,1.253599,0.268107
         01,-1000.000000,320.000000,-20.959033,-5.646089,1.353429,-0.479974
         01,-1000.000000,300.000000,-20.870500,-6.440940,1.460958,-1.259642
         01,-1000.000000,280.000000,-20.718139,-7.247085,1.576249,-2.067795
         01,-1000.000000,260.000000,-20.499331,-8.059816,1.699283,-2.900793
         01,-1000.000000,240.000000,-20.211954,-8.874008,1.829947,-3.754463
         01,-1000.000000,220.000000,-19.854461,-9.684170,1.968026,-4.624130
         01,-1000.000000,200.000000,-19.425946,-10.484506,2.113198,-5.504641
         01,-1000.000000,180.000000,-18.926212,-11.268985,2.265028,-6.390421
         01,-1000.000000,160.000000,-18.355819,-12.031428,2.422963,-7.275535
         01,-1000.000000,140.000000,-17.716128,-12.765602,2.586335,-8.153765
         01,-1000.000000,120.000000,-17.009319,-13.465327,2.754363,-9.018696
         01,-1000.000000,100.000000,-16.238400,-14.124582,2.926156,-9.863824
         01,-1000.000000,80.000000,-15.407193,-14.737619,3.100727,-10.682656
         01,-1000.000000,60.000000,-14.520295,-15.299072,3.277001,-11.468829
         01,-1000.000000,40.000000,-13.583033,-15.804068,3.453832,-12.216222
         01,-1000.000000,20.000000,-12.601382,-16.248319,3.630020,-12.919070
         01,-1000.000000,-0.000000,-11.581880,-16.628212,3.804330,-13.572072
         01,-1000.000000,-20.000000,-10.531517,-16.940879,3.975514,-14.170488
         01,-1000.000000,-40.000000,-9.457624,-17.184252,4.142331,-14.710224
         01,-1000.000000,-60.000000,-8.367739,-17.357093,4.303574,-15.187900
         01,-1000.000000,-80.000000,-7.269486,-17.459012,4.458084,-15.600904
         01,-1000.000000,-100.000000,-6.170438,-17.490455,4.604775,-15.947421
         01,-1000.000000,-120.000000,-5.077993,-17.452679,4.742653,-16.226447
         01,-1000.000000,-140.000000,-3.999259,-17.347707,4.870826,-16.437779
         01,-1000.000000,-160.000000,-2.940948,-17.178262,4.988523,-16.581991
         01,-1000.000000,-180.000000,-1.909281,-16.947696,5.095099,-16.660389
         01,-1000.000000,-200.000000,-0.909913,-16.659899,5.190042,-16.674952
         01,-1000.000000,-220.000000,0.052122,-16.319207,5.272976,-16.628267
         01,-1000.000000,-240.000000,0.972457,-15.930307,5.343663,-16.523444
         01,-1000.000000,-260.000000,1.847409,-15.498136,5.401995,-16.364036
         01,-1000.000000,-280.000000,2.673993,-15.027787,5.447989,-16.153950
         01,-1000.000000,-300.000000,3.449907,-14.524420,5.481783,-15.897359
         01,-1000.000000,-320.000000,4.173514,-13.993175,5.503621,-15.598619
         01,-1000.000000,-340.000000,4.843806,-13.439100,5.513843,-15.262189
         01,-1000.000000,-360.000000,5.460363,-12.867084,5.512875,-14.892554
         01,-1000.000000,-380.000000,6.023304,-12.281801,5.501212,-14.494160
         01,-1000.000000,-400.000000,6.533231,-11.687667,5.479410,-14.071356
         01,-1000.000000,-420.000000,6.991174,-11.088803,5.448071,-13.628344
         01,-1000.000000,-440.000000,7.398531,-10.489013,5.407830,-13.169136
         01,-1000.000000,-460.000000,7.757013,-9.891761,5.359348,-12.697525
         01,-1000.000000,-480.000000,8.068583,-9.300173,5.303297,-12.217054
         01,-1000.000000,-500.000000,8.335411,-8.717025,5.240353,-11.731008
         01,-1000.000000,-520.000000,8.559817,-8.144757,5.171188,-11.242396
         01,-1000.000000,-540.000000,8.744230,-7.585475,5.096462,-10.753950
         01,-1000.000000,-560.000000,8.891146,-7.040974,5.016819,-10.268125
         01,-1000.000000,-580.000000,9.003092,-6.512746,4.932880,-9.787105
         01,-1000.000000,-600.000000,9.082594,-6.002006,4.845238,-9.312809
         01,-1000.000000,-620.000000,9.132149,-5.509708,4.754459,-8.846906
         01,-1000.000000,-640.000000,9.154205,-5.036572,4.661075,-8.390826
         01,-1000.000000,-660.000000,9.151139,-4.583101,4.565587,-7.945775
         01,-1000.000000,-680.000000,9.125245,-4.149606,4.468462,-7.512753
         01,-1000.000000,-700.000000,9.078718,-3.736226,4.370130,-7.092567
         01,-1000.000000,-720.000000,9.013651,-3.342950,4.270991,-6.685851
         01,-1000.000000,-740.000000,8.932023,-2.969634,4.171408,-6.293080
         01,-1000.000000,-760.000000,8.835700,-2.616021,4.071714,-5.914589
         01,-1000.000000,-780.000000,8.726431,-2.281760,3.972208,-5.550584
         01,-1000.000000,-800.000000,8.605847,-1.966415,3.873161,-5.201160
         01,-1000.000000,-820.000000,8.475465,-1.669486,3.774816,-4.866315
         01,-1000.000000,-840.000000,8.336688,-1.390421,3.677386,-4.545959
         01,-1000.000000,-860.000000,8.190809,-1.128623,3.581061,-4.239932
         01,-1000.000000,-880.000000,8.039017,-0.883465,3.486008,-3.948008
         01,-1000.000000,-900.000000,7.882397,-0.654297,3.392370,-3.669910
         01,-1000.000000,-920.000000,7.721940,-0.440456,3.300270,-3.405319
         01,-1000.000000,-940.000000,7.558546,-0.241267,3.209814,-3.153879
