Scan started at 15:09:45 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0739746	-0.0549316	373.159	0.195622	0.0040669	0.00396661	14.655	0	-30696	-30809.6	-25736.6	0.195622	1355.86	1336.71	1204.96	
0.00499208	-0.0657349	-0.052002	373.157	0.293434	0.00394342	0.00358858	25.2642	0.00499208	-30758.6	-30818.6	-25691	0.293434	2281.92	2275.49	2007.78	
0.00998416	-0.0564779	-0.0464681	373.152	0.391245	0.00231305	0.00203285	14.495	0.00998416	-30842.9	-30724.7	-25681.1	0.391245	1289.22	1290.2	1131.08	
0.0149762	-0.0520935	-0.0414429	373.153	0.489056	0.00323877	0.00303768	15.2352	0.0149762	-30854.7	-30673.7	-25699.2	0.489056	1373.04	1362.34	1196.12	
0.0199683	-0.0484314	-0.0396118	373.15	0.586867	0.00262697	0.00225722	13.4599	0.0199683	-30854.6	-30673.6	-25699.2	0.586867	1214.78	1205.62	1059.19	
0.0249604	-0.045166	-0.0385132	373.15	0.684678	0.00208325	0.00169613	11.0218	0.0249604	-30854.2	-30673.9	-25699.2	0.684678	979.655	974.209	856.777	
0.0299525	-0.0445557	-0.0350952	373.151	0.782489	0.00251631	0.00218603	12.2093	0.0299525	-30854.1	-30674.1	-25699.3	0.782489	1093.77	1091.88	955.954	
0.0349446	-0.0435791	-0.0342102	373.154	0.880301	0.00181763	0.00153786	8.62179	0.0349446	-30854.2	-30674	-25698.9	0.880301	764.723	758.831	661.643	
0.0399366	-0.0440064	-0.0362549	373.155	0.978112	0.00302457	0.00289841	10.6594	0.0399366	-30854.3	-30673.7	-25698.8	0.978112	957.692	953.754	836.407	
0.0449287	-0.0484314	-0.038269	373.156	1.07592	0.00116152	0.00119563	7.08087	0.0449287	-30854.1	-30674.2	-25699.1	1.07592	624.432	622.208	540.368	
0.0499208	-0.0497131	-0.0399475	373.154	1.17373	0.00328327	0.00305772	8.93963	0.0499208	-30854.4	-30674.4	-25699.2	1.17373	802.949	796.917	700.534	
0.0549129	-0.0524292	-0.0439758	373.15	1.27155	0.00242576	0.00207842	5.97282	0.0549129	-30854.7	-30673.9	-25699.1	1.27155	528.515	526.616	457.998	
0.059905	-0.0547791	-0.0415039	373.149	1.36936	0.00175335	0.00175714	7.09527	0.059905	-30854.7	-30673.7	-25699	1.36936	636.417	634.538	556.308	
0.064897	-0.056366	-0.0394287	373.147	1.46717	0.00131263	0.00130136	5.14094	0.064897	-30854.6	-30673.2	-25698.9	1.46717	456.913	456.364	398.274	
0.0698891	-0.0559082	-0.0385132	373.146	1.56498	0.000946155	0.000907853	5.23121	0.0698891	-30854.7	-30673	-25698.8	1.56498	469.355	465.299	409.139	
0.0748812	-0.0532532	-0.0370789	373.149	1.66279	0.00143874	0.00146375	4.49511	0.0748812	-30854.2	-30673.7	-25698.9	1.66279	401.517	402.674	353.358	
0.0798733	-0.0534668	-0.037323	373.15	1.7606	0.0012566	0.00120915	3.40578	0.0798733	-30854.3	-30674	-25699.2	1.7606	305.901	303.206	265.79	
0.0848654	-0.0528565	-0.0374451	373.15	1.85841	0.00185885	0.00170228	3.97997	0.0848654	-30853.6	-30674.3	-25699.4	1.85841	360.272	358.467	317.707	
0.0898574	-0.0526733	-0.0371704	373.156	1.95622	0.00238476	0.00243608	1.72574	0.0898574	-30853.1	-30674.7	-25699.6	1.95622	153.179	151.213	131.945	
0.0948495	-0.0562439	-0.0353699	373.15	2.05403	0.00227906	0.0022028	3.58094	0.0948495	-30854.7	-30674.1	-25699.7	2.05403	325.3	324.781	287.397	
0.0998416	-0.0557556	-0.0362549	373.152	2.15185	0.000905865	0.000936024	0.319644	0.0998416	-30854.8	-30674.3	-25699.8	2.15185	18.0839	15.4025	15.8803	
0.104834	-0.054718	-0.0377502	373.15	2.24966	0.000985416	0.000741624	3.26706	0.104834	-30855	-30674.5	-25700	2.24966	297.991	295.604	262.529	
0.109826	-0.0554199	-0.0370178	373.147	2.34747	0.00107823	0.00107839	1.11377	0.109826	-30855.5	-30674.6	-25700.1	2.34747	98.1222	97.4275	86.5775	
