Scan started at 15:21:28 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0361328	-0.0234375	374.332	0.195622	0.00346179	0.00352793	12.0759	0	-31024	-30378.6	-25780.7	0.195622	1071.86	1062.23	931.349	
0.00499208	-0.0380859	-0.0311279	374.34	0.293434	0.00510168	0.00463331	24.7284	0.00499208	-30908.4	-30455.1	-25805.4	0.293434	2273.18	2265.23	2029.64	
0.00998416	-0.0486247	-0.0394287	374.338	0.391245	0.00339806	0.00338362	11.4342	0.00998416	-30826	-30553.4	-25792	0.391245	1025.87	1026.35	917.526	
0.0149762	-0.0481262	-0.0412293	374.335	0.489056	0.00306878	0.00276053	14.936	0.0149762	-30842.2	-30563.7	-25772.4	0.489056	1369.37	1363.88	1211.71	
0.0199683	-0.046051	-0.0422974	374.336	0.586867	0.0013256	0.00105914	10.9229	0.0199683	-30841.9	-30564.3	-25771.6	0.586867	993.753	988.292	873.521	
0.0249604	-0.0462952	-0.0422974	374.335	0.684678	0.00186777	0.00173769	10.7587	0.0249604	-30841.6	-30563.6	-25771.6	0.684678	975	971.467	863.124	
0.0299525	-0.0447693	-0.041687	374.338	0.782489	0.00191113	0.00171628	10.2861	0.0299525	-30841.2	-30562.9	-25772.2	0.782489	933.048	928.109	826.893	
0.0349446	-0.0451965	-0.0419922	374.338	0.880301	0.00165857	0.0015345	8.44031	0.0349446	-30840.9	-30563.6	-25772.3	0.880301	762.455	758.997	666.366	
0.0399366	-0.0452881	-0.0390625	374.337	0.978112	0.00161354	0.00154937	9.50599	0.0399366	-30842	-30563.6	-25771.8	0.978112	866.269	861.282	761.486	
0.0449287	-0.0463562	-0.0418396	374.333	1.07592	0.00185231	0.00170979	6.94858	0.0449287	-30842.5	-30563.3	-25772.2	1.07592	624.683	620.336	543.902	
0.0499208	-0.0457153	-0.0449219	374.329	1.17373	0.00186953	0.00179281	8.60217	0.0499208	-30842.4	-30562.8	-25772.6	1.17373	782.26	778.087	689.779	
0.0549129	-0.0430908	-0.0426331	374.332	1.27155	0.000879812	0.000864731	5.90046	0.0549129	-30841.7	-30563.6	-25772.1	1.27155	529.325	524.131	459.106	
0.059905	-0.0411377	-0.0403442	374.331	1.36936	0.00289635	0.00287047	7.60598	0.059905	-30840.8	-30564.2	-25771.6	1.36936	690.996	687.653	609.172	
0.064897	-0.0393372	-0.0378113	374.335	1.46717	0.00168509	0.00164914	5.1134	0.064897	-30841.6	-30563.1	-25771.9	1.46717	456.944	455.542	398.217	
0.0698891	-0.0413513	-0.0344543	374.335	1.56498	0.00163905	0.00151069	6.53122	0.0698891	-30841.9	-30562.1	-25772.2	1.56498	593.409	589.933	522.578	
0.0748812	-0.0448608	-0.0341797	374.336	1.66279	0.000647118	0.000626822	4.50075	0.0748812	-30841.2	-30563.1	-25771.9	1.66279	404.175	399.139	352.296	
0.0798733	-0.0481873	-0.0359192	374.337	1.7606	0.00144285	0.00134421	5.41634	0.0798733	-30841.7	-30563.5	-25771.6	1.7606	490.116	488.216	434.154	
0.0848654	-0.0498352	-0.0382996	374.33	1.85841	0.00162205	0.00157002	3.99969	0.0848654	-30842.1	-30562.6	-25771.5	1.85841	360.342	358.204	316.341	
0.0898574	-0.0498657	-0.0395203	374.332	1.95622	0.00108968	0.00103926	4.28826	0.0898574	-30841.7	-30562.2	-25771.5	1.95622	389.34	385.935	341.977	
0.0948495	-0.0508423	-0.0413818	374.332	2.05403	0.00211097	0.00208235	3.59805	0.0948495	-30840.7	-30563.2	-25771.5	2.05403	324.569	324.148	287.875	
0.0998416	-0.0508728	-0.0444336	374.332	2.15185	0.00263257	0.00264311	3.17246	0.0998416	-30840.7	-30563.2	-25770.8	2.15185	287.669	286.292	253.296	
0.104834	-0.051178	-0.0419006	374.335	2.24966	0.00334782	0.00332495	3.26005	0.104834	-30841.1	-30562.3	-25770.5	2.24966	297.427	295.924	262.805	
0.109826	-0.0499573	-0.0446777	374.332	2.34747	0.00215376	0.00200912	2.10084	0.109826	-30841	-30562.4	-25770.9	2.34747	190.379	188.785	167.682	
0.114818	-0.0480957	-0.0415039	374.33	2.44528	0.00162338	0.00150773	2.98038	0.114818	-30840.7	-30562.7	-25770.9	2.44528	272.481	272.165	243.165	
0.11981	-0.0446472	-0.0397339	374.331	2.54309	0.000747017	0.000831272	1.11625	0.11981	-30841	-30562.2	-25770.4	2.54309	100.298	98.6278	87.6853	
0.124802	-0.0433044	-0.0431519	374.332	2.6409	0.00159906	0.00152583	2.74762	0.124802	-30841.2	-30560.7	-25770.5	2.6409	252.76	252.035	225.431	
0.129794	-0.0433044	-0.0424805	374.334	2.73871	0.00101644	0.000995628	0.279804	0.129794	-30841.3	-30560.6	-25771	2.73871	17.9505	17.9476	16.0195	
0.134786	-0.0462952	-0.0438232	374.334	2.83652	0.00111065	0.0010384	2.55563	0.134786	-30840.6	-30562.1	-25771	2.83652	235.941	235.054	209.746	
0.139778	-0.0474548	-0.0431824	374.331	2.93434	0.00129952	0.00141583	0.636012	0.139778	-30839.9	-30563.2	-25771.3	2.93434	55.029	55.1168	48.9366	
0.14477	-0.0499878	-0.0409851	374.333	3.03215	0.000934139	0.000857466	2.39554	0.14477	-30840.6	-30562.4	-25771.6	3.03215	220.741	219.815	196.102	
0.149762	-0.0513916	-0.0392151	374.337	3.12996	0.0015513	0.00141507	1.28721	0.149762	-30840.2	-30562.4	-25771.7	3.12996	116.91	115.773	101.598	
0.154754	-0.0500794	-0.0436096	374.336	3.22777	0.00169921	0.00167824	2.26293	0.154754	-30839.5	-30563.4	-25771.6	3.22777	206.976	206.037	183.998	
