LINE,EAST,NRTH,Bx,By,Bz,Bm
         01,-1000.000000,1000.000000,-0.522302,0.322862,-0.156018,0.501800
         01,-1000.000000,950.000000,-0.568760,0.320086,-0.170221,0.517348
         01,-1000.000000,900.000000,-0.617912,0.313204,-0.185239,0.530142
         01,-1000.000000,850.000000,-0.669406,0.301419,-0.200954,0.539311
         01,-1000.000000,800.000000,-0.722708,0.283889,-0.217190,0.543863
         01,-1000.000000,750.000000,-0.777071,0.259743,-0.233699,0.542697
         01,-1000.000000,700.000000,-0.831497,0.228134,-0.250153,0.534636
         01,-1000.000000,650.000000,-0.884718,0.188286,-0.266136,0.518463
         01,-1000.000000,600.000000,-0.935180,0.139574,-0.281137,0.492988
         01,-1000.000000,550.000000,-0.981048,0.081610,-0.294555,0.457130
         01,-1000.000000,500.000000,-1.020247,0.014340,-0.305712,0.410020
         01,-1000.000000,450.000000,-1.050524,-0.061854,-0.313870,0.351126
         01,-1000.000000,400.000000,-1.069563,-0.146063,-0.318276,0.280378
         01,-1000.000000,350.000000,-1.075130,-0.236785,-0.318207,0.198286
         01,-1000.000000,300.000000,-1.065260,-0.331903,-0.313030,0.106040
         01,-1000.000000,250.000000,-1.038453,-0.428719,-0.302274,0.005549
         01,-1000.000000,200.000000,-0.993879,-0.524057,-0.285696,-0.100572
         01,-1000.000000,150.000000,-0.931541,-0.614451,-0.263334,-0.209105
         01,-1000.000000,100.000000,-0.852382,-0.696376,-0.235543,-0.316410
         01,-1000.000000,50.000000,-0.758304,-0.766533,-0.203001,-0.418676
         01,-1000.000000,-0.000000,-0.652083,-0.822131,-0.166677,-0.512216
         01,-1000.000000,-50.000000,-0.537188,-0.861130,-0.127766,-0.593766
         01,-1000.000000,-100.000000,-0.417523,-0.882412,-0.087600,-0.660745
         01,-1000.000000,-150.000000,-0.297115,-0.885855,-0.047542,-0.711446
         01,-1000.000000,-200.000000,-0.179816,-0.872294,-0.008881,-0.745122
         01,-1000.000000,-250.000000,-0.069029,-0.843394,0.027257,-0.761971
         01,-1000.000000,-300.000000,0.032492,-0.801445,0.059978,-0.763028
         01,-1000.000000,-350.000000,0.122749,-0.749122,0.088652,-0.749988
         01,-1000.000000,-400.000000,0.200533,-0.689251,0.112920,-0.724996
         01,-1000.000000,-450.000000,0.265368,-0.624591,0.132675,-0.690428
         01,-1000.000000,-500.000000,0.317418,-0.557670,0.148022,-0.648695
         01,-1000.000000,-550.000000,0.357343,-0.490675,0.159231,-0.602090
         01,-1000.000000,-600.000000,0.386164,-0.425387,0.166688,-0.552674
         01,-1000.000000,-650.000000,0.405123,-0.363175,0.170846,-0.502209
         01,-1000.000000,-700.000000,0.415569,-0.305011,0.172190,-0.452135
         01,-1000.000000,-750.000000,0.418859,-0.251516,0.171198,-0.403565
         01,-1000.000000,-800.000000,0.416295,-0.203013,0.168324,-0.357317
         01,-1000.000000,-850.000000,0.409072,-0.159592,0.163982,-0.313947
         01,-1000.000000,-900.000000,0.398258,-0.121159,0.158537,-0.273793
         01,-1000.000000,-950.000000,0.384778,-0.087493,0.152305,-0.237015
         01,-1000.000000,-1000.000000,0.369417,-0.058284,0.145549,-0.203638
         02,-950.000000,1000.000000,-0.549357,0.370611,-0.175619,0.558505
         02,-950.000000,950.000000,-0.601752,0.371083,-0.192745,0.579565
         02,-950.000000,900.000000,-0.657764,0.367207,-0.211054,0.598024
         02,-950.000000,850.000000,-0.717100,0.358014,-0.230443,0.612871
         02,-950.000000,800.000000,-0.779260,0.342443,-0.250738,0.622924
         02,-950.000000,750.000000,-0.843487,0.319369,-0.271673,0.626842
         02,-950.000000,700.000000,-0.908715,0.287648,-0.292879,0.623141
         02,-950.000000,650.000000,-0.973528,0.246180,-0.313864,0.610243
         02,-950.000000,600.000000,-1.036126,0.194003,-0.334003,0.586542
         02,-950.000000,550.000000,-1.094317,0.130406,-0.352535,0.550510
         02,-950.000000,500.000000,-1.145542,0.055061,-0.368571,0.500826
         02,-950.000000,450.000000,-1.186949,-0.031829,-0.381122,0.436546
         02,-950.000000,400.000000,-1.215516,-0.129392,-0.389139,0.357278
         02,-950.000000,350.000000,-1.228246,-0.235969,-0.391587,0.263365
         02,-950.000000,300.000000,-1.222409,-0.349056,-0.387525,0.156042
         02,-950.000000,250.000000,-1.195824,-0.465323,-0.376211,0.037529
         02,-950.000000,200.000000,-1.147150,-0.580731,-0.357205,-0.088967
         02,-950.000000,150.000000,-1.076145,-0.690770,-0.330463,-0.219360
         02,-950.000000,100.000000,-0.983834,-0.790784,-0.296390,-0.348927
         02,-950.000000,50.000000,-0.872561,-0.876373,-0.255866,-0.472653
         02,-950.000000,-0.000000,-0.745884,-0.943798,-0.210199,-0.585651
         02,-950.000000,-50.000000,-0.608327,-0.990340,-0.161036,-0.683596
         02,-950.000000,-100.000000,-0.465010,-1.014554,-0.110224,-0.763105
         02,-950.000000,-150.000000,-0.321205,-1.016362,-0.059651,-0.822001
         02,-950.000000,-200.000000,-0.181907,-0.996998,-0.011088,-0.859436
         02,-950.000000,-250.000000,-0.051453,-0.958803,0.033948,-0.875854
         02,-950.000000,-300.000000,0.066743,-0.904925,0.074284,-0.872811
         02,-950.000000,-350.000000,0.170327,-0.838965,0.109136,-0.852713
         02,-950.000000,-400.000000,0.258009,-0.764646,0.138110,-0.818502
         02,-950.000000,-450.000000,0.329475,-0.685517,0.161158,-0.773349
         02,-950.000000,-500.000000,0.385214,-0.604747,0.178518,-0.720391
         02,-950.000000,-550.000000,0.426323,-0.524985,0.190637,-0.662528
         02,-950.000000,-600.000000,0.454300,-0.448313,0.198097,-0.602293
         02,-950.000000,-650.000000,0.470865,-0.376251,0.201551,-0.541784
         02,-950.000000,-700.000000,0.477803,-0.309801,0.201665,-0.482647
         02,-950.000000,-750.000000,0.476856,-0.249530,0.199079,-0.426102
         02,-950.000000,-800.000000,0.469641,-0.195644,0.194384,-0.372990
         02,-950.000000,-850.000000,0.457606,-0.148082,0.188103,-0.323830
         02,-950.000000,-900.000000,0.442008,-0.106584,0.180685,-0.278886
         02,-950.000000,-950.000000,0.423908,-0.070764,0.172509,-0.238221
         02,-950.000000,-1000.000000,0.404180,-0.040154,0.163882,-0.201751
         03,-900.000000,1000.000000,-0.575288,0.424050,-0.197386,0.620472
         03,-900.000000,950.000000,-0.634069,0.428739,-0.217975,0.648187
         03,-900.000000,900.000000,-0.697580,0.428930,-0.240233,0.673622
         03,-900.000000,850.000000,-0.765633,0.423459,-0.264092,0.695625
         03,-900.000000,800.000000,-0.837808,0.411015,-0.289395,0.712815
         03,-900.000000,750.000000,-0.913382,0.390163,-0.315877,0.723575
         03,-900.000000,700.000000,-0.991258,0.359389,-0.343136,0.726063
         03,-900.000000,650.000000,-1.069897,0.317172,-0.370605,0.718255
         03,-900.000000,600.000000,-1.147252,0.262092,-0.397532,0.698018
         03,-900.000000,550.000000,-1.220736,0.192974,-0.422965,0.663227
         03,-900.000000,500.000000,-1.287225,0.109069,-0.445749,0.611936
         03,-900.000000,450.000000,-1.343122,0.010256,-0.464557,0.542591
         03,-900.000000,400.000000,-1.384503,-0.102740,-0.477937,0.454289
         03,-900.000000,350.000000,-1.407349,-0.228160,-0.484401,0.347044
         03,-900.000000,300.000000,-1.407871,-0.363086,-0.482550,0.222039
         03,-900.000000,250.000000,-1.382908,-0.503419,-0.471222,0.081799
         03,-900.000000,200.000000,-1.330349,-0.644009,-0.449654,-0.069754
         03,-900.000000,150.000000,-1.249526,-0.778951,-0.417632,-0.227417
         03,-900.000000,100.000000,-1.141498,-0.902038,-0.375601,-0.385012
         03,-900.000000,50.000000,-1.009153,-1.007335,-0.324701,-0.535877
         03,-900.000000,-0.000000,-0.857087,-1.089776,-0.266720,-0.673463
         03,-900.000000,-50.000000,-0.691260,-1.145695,-0.203957,-0.791971
         03,-900.000000,-100.000000,-0.518454,-1.173202,-0.139012,-0.886916
         03,-900.000000,-150.000000,-0.345641,-1.172318,-0.074535,-0.955507
         03,-900.000000,-200.000000,-0.179352,-1.144875,-0.012989,-0.996814
         03,-900.000000,-250.000000,-0.025144,-1.094200,0.043561,-1.011683
         03,-900.000000,-300.000000,0.112753,-1.024653,0.093571,-1.002456
         03,-900.000000,-350.000000,0.231597,-0.941116,0.136078,-0.972562
         03,-900.000000,-400.000000,0.330102,-0.848513,0.170680,-0.926053
         03,-900.000000,-450.000000,0.408261,-0.751418,0.197456,-0.867174
         03,-900.000000,-500.000000,0.467083,-0.653782,0.216866,-0.800003
         03,-900.000000,-550.000000,0.508295,-0.558797,0.229632,-0.728199
         03,-900.000000,-600.000000,0.534057,-0.468850,0.236623,-0.654851
         03,-900.000000,-650.000000,0.546717,-0.385572,0.238770,-0.582421
         03,-900.000000,-700.000000,0.548618,-0.309936,0.236987,-0.512757
         03,-900.000000,-750.000000,0.541970,-0.242371,0.232125,-0.447146
         03,-900.000000,-800.000000,0.528761,-0.182889,0.224947,-0.386405
         03,-900.000000,-850.000000,0.510719,-0.131201,0.216107,-0.330960
         03,-900.000000,-900.000000,0.489301,-0.086820,0.206152,-0.280947
         03,-900.000000,-950.000000,0.465703,-0.049136,0.195528,-0.236280
         03,-900.000000,-1000.000000,0.440882,-0.017481,0.184588,-0.196726
         04,-850.000000,1000.000000,-0.599288,0.483507,-0.221435,0.687755
         04,-850.000000,950.000000,-0.664826,0.493561,-0.246102,0.723418
         04,-850.000000,900.000000,-0.736415,0.499103,-0.273075,0.757345
         04,-850.000000,850.000000,-0.814030,0.498761,-0.302342,0.788256
         04,-850.000000,800.000000,-0.897392,0.490944,-0.333799,0.814564
         04,-850.000000,750.000000,-0.985880,0.473851,-0.367206,0.834355
         04,-850.000000,700.000000,-1.078430,0.445515,-0.402150,0.845377
         04,-850.000000,650.000000,-1.173427,0.403877,-0.438004,0.845072
         04,-850.000000,600.000000,-1.268604,0.346905,-0.473884,0.830643
         04,-850.000000,550.000000,-1.360960,0.272776,-0.508615,0.799187
         04,-850.000000,500.000000,-1.446725,0.180106,-0.540718,0.747897
         04,-850.000000,450.000000,-1.521403,0.068240,-0.568418,0.674345
         04,-850.000000,400.000000,-1.579917,-0.062433,-0.589710,0.576830
         04,-850.000000,350.000000,-1.616893,-0.210174,-0.602461,0.454783
         04,-850.000000,300.000000,-1.627083,-0.371657,-0.604586,0.309149
