Scan started at 14:54:06 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0428467	-0.0316162	374.742	0.195622	0.00481434	0.00453906	12.054	0	-31188.1	-30670.6	-25559.2	0.195622	1053.98	1043.35	919.013	
0.00499208	-0.0371704	-0.0316772	374.753	0.293434	0.00535094	0.00433198	24.7656	0.00499208	-31111.4	-30691.9	-25607.1	0.293434	2286.97	2276.76	2002.5	
0.00998416	-0.0481771	-0.0398356	374.748	0.391245	0.00207564	0.001804	11.4382	0.00998416	-31036.2	-30792.9	-25610.8	0.391245	1061.57	1041.67	889.351	
0.0149762	-0.0508423	-0.0402222	374.751	0.489056	0.00273295	0.00214517	14.9759	0.0149762	-31034.9	-30833.8	-25588.7	0.489056	1393.46	1376.32	1199.3	
0.0199683	-0.0482788	-0.0367127	374.755	0.586867	0.00199003	0.00143644	10.9345	0.0199683	-31032.7	-30835.2	-25588.4	0.586867	1015.68	1004.85	873.946	
0.0249604	-0.0486145	-0.0371399	374.75	0.684678	0.00142353	0.00101593	10.7964	0.0249604	-31032.9	-30835.5	-25588.5	0.684678	990.009	987.098	867.223	
0.0299525	-0.047699	-0.0352173	374.754	0.782489	0.00208103	0.00161521	10.3058	0.0299525	-31033	-30834.7	-25589.1	0.782489	941.652	940.396	830.443	
0.0349446	-0.0465698	-0.0357361	374.755	0.880301	0.00158724	0.001243	8.46835	0.0349446	-31033.3	-30834.5	-25588.7	0.880301	764.333	766.47	672.268	
0.0399366	-0.0468445	-0.0350342	374.752	0.978112	0.00229231	0.00205311	9.52971	0.0399366	-31032.4	-30836.1	-25589.1	0.978112	868.42	865.202	764.069	
0.0449287	-0.0499573	-0.0342102	374.756	1.07592	0.000845748	0.000975202	6.97127	0.0449287	-31032.9	-30835.4	-25589.2	1.07592	625.582	625.115	546.357	
0.0499208	-0.0495911	-0.0339356	374.754	1.17373	0.00223594	0.00200101	8.63118	0.0499208	-31033.9	-30833.4	-25588.4	1.17373	786.921	782.535	688.167	
0.0549129	-0.0528565	-0.0340881	374.752	1.27155	0.00132718	0.00112315	5.92091	0.0549129	-31033	-30834.4	-25588.5	1.27155	530.542	529.761	460.592	
0.059905	-0.0515442	-0.0348816	374.755	1.36936	0.00312554	0.00289056	7.62604	0.059905	-31033.4	-30835.6	-25588.8	1.36936	694.803	692.292	607.153	
0.064897	-0.0518799	-0.0332336	374.753	1.46717	0.001501	0.00131144	5.13049	0.064897	-31034	-30834.6	-25589	1.46717	460.937	458.772	398.824	
0.0698891	-0.0523682	-0.0345459	374.75	1.56498	0.00130133	0.000870317	6.55084	0.0698891	-31035	-30834.1	-25589	1.56498	598.208	593.402	520.859	
0.0748812	-0.0499573	-0.0354919	374.747	1.66279	0.00106442	0.00100185	4.51212	0.0748812	-31034.4	-30834.9	-25588.9	1.66279	404.699	406.304	352.65	
0.0798733	-0.0474548	-0.0332336	374.745	1.7606	0.00151146	0.00151349	5.42453	0.0798733	-31033.6	-30836.2	-25589.1	1.7606	494.78	492.516	431.651	
0.0848654	-0.0437012	-0.0328369	374.748	1.85841	0.000917613	0.000965432	4.02043	0.0848654	-31034.3	-30836.5	-25589.1	1.85841	363.483	361.918	314.785	
0.0898574	-0.0462952	-0.0318909	374.753	1.95622	0.00175056	0.00157748	4.29107	0.0898574	-31034.8	-30836.6	-25589.2	1.95622	390.586	389.643	342.068	
0.0948495	-0.0442505	-0.030304	374.756	2.05403	0.00147336	0.00124656	3.60852	0.0948495	-31034.6	-30837.9	-25589.4	2.05403	327.846	326.112	286.387	
0.0998416	-0.0495606	-0.0323181	374.761	2.15185	0.00184894	0.00178192	3.17902	0.0998416	-31035.7	-30837.9	-25589.1	2.15185	289.711	287.623	252.285	
0.104834	-0.0530701	-0.030426	374.757	2.24966	0.001003	0.00108365	3.26932	0.104834	-31036.2	-30836.1	-25588.7	2.24966	298.237	298.027	262.25	
0.109826	-0.0483093	-0.0292358	374.76	2.34747	0.00110711	0.00118527	2.11244	0.109826	-31034.5	-30835.7	-25588.7	2.34747	190.755	190.541	167.342	
0.114818	-0.052063	-0.0307312	374.76	2.44528	0.000858321	0.000797675	2.98381	0.114818	-31033.7	-30836.4	-25588.6	2.44528	274.827	273.344	241.542	
0.11981	-0.0524292	-0.0322571	374.755	2.54309	0.00110123	0.00113068	1.11736	0.11981	-31034	-30836.6	-25587.9	2.54309	99.2831	100.09	87.1181	
0.124802	-0.0488892	-0.0327454	374.755	2.6409	0.00174656	0.00174375	2.75211	0.124802	-31035.2	-30835.7	-25587.6	2.6409	253.86	253.148	223.996	
0.129794	-0.0516968	-0.0344238	374.754	2.73871	0.000702763	0.000674556	0.281728	0.129794	-31034.2	-30836.4	-25588.5	2.73871	17.1448	17.383	15.3361	
0.134786	-0.0493469	-0.0338745	374.755	2.83652	0.000588593	0.000519919	2.56072	0.134786	-31033.6	-30837.4	-25588.9	2.83652	236.214	235.99	208.454	
0.139778	-0.0467224	-0.0316772	374.758	2.93434	0.000509989	0.000504613	0.637033	0.139778	-31034.8	-30836.9	-25588.5	2.93434	56.1145	55.4758	48.8728	
0.14477	-0.0488281	-0.0313721	374.763	3.03215	0.000529545	0.00060407	2.40195	0.14477	-31035.7	-30836.8	-25588.4	3.03215	221.013	220.974	194.862	
0.149762	-0.0465393	-0.0308838	374.762	3.12996	0.00100599	0.00084261	1.28893	0.149762	-31036	-30836.3	-25588.5	3.12996	116.36	116.32	102.184	
0.154754	-0.0485535	-0.0324707	374.757	3.22777	0.000458374	0.0004491	2.27092	0.154754	-31034.3	-30837.2	-25588.1	3.22777	208.08	207.743	182.721	
0.159747	-0.0485535	-0.0338135	374.752	3.32558	0.000519151	0.000492671	1.81386	0.159747	-31034.2	-30837.7	-25587.4	3.32558	164.849	164.504	144.18	
0.164739	-0.0487671	-0.0358887	374.748	3.42339	0.000569538	0.000466394	2.15859	0.164739	-31033.9	-30836.9	-25587.2	3.42339	196.486	196.283	172.1	
0.169731	-0.0474854	-0.0368347	374.749	3.5212	0.000604337	0.000551354	2.20225	0.169731	-31033.7	-30836.4	-25587.5	3.5212	200.492	200.172	174.826	
0.174723	-0.045929	-0.0318909	374.754	3.61901	0.00117139	0.00105573	2.05656	0.174723	-31033.9	-30836.1	-25587.8	3.61901	186.909	185.345	162.389	
0.179715	-0.0475159	-0.0317993	374.754	3.71683	0.00122667	0.00103976	2.44809	0.179715	-31034	-30836.8	-25587.9	3.71683	222.732	222.542	194.941	
0.184707	-0.0462647	-0.0318604	374.75	3.81464	0.00153668	0.00156462	1.96524	0.184707	-31035.2	-30836.1	-25587.9	3.81464	177.024	176.651	153.778	
0.189699	-0.0491943	-0.0309753	374.745	3.91245	0.0006043	0.000628794	2.55657	0.189699	-31035.1	-30835.7	-25588	3.91245	233.1	232.107	203.586	
0.194691	-0.0505066	-0.0324707	374.743	4.01026	0.000289657	0.000260197	1.87725	0.194691	-31033.8	-30836.4	-25588.3	4.01026	168.465	168.253	146.214	
0.199683	-0.0502319	-0.0313416	374.75	4.10807	0.00117092	0.00108315	2.5384	0.199683	-31034.3	-30836.4	-25588.2	4.10807	231.237	230.62	202.121	
0.204675	-0.050354	-0.0332336	374.753	4.20588	0.00037341	0.00049221	1.79283	0.204675	-31034.5	-30836.4	-25588.3	4.20588	161.491	159.889	139.046	
0.209667	-0.0505371	-0.0327759	374.758	4.30369	0.000817534	0.000789784	2.40148	0.209667	-31034.2	-30835.6	-25588.8	4.30369	218.749	218.348	191.453	
0.214659	-0.0509338	-0.0369873	374.762	4.4015	0.000524564	0.000515833	1.70676	0.214659	-31033.8	-30835.2	-25588.6	4.4015	153.691	152.935	133.254	
0.219652	-0.0509949	-0.0377808	374.759	4.49931	0.000643479	0.000583271	2.16847	0.219652	-31033.7	-30834.9	-25587.8	4.49931	197.72	196.968	172.361	
