Scan started at 14:46:48 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0307617	-0.0318604	374.123	0.195622	0.00406575	0.0036291	11.8476	0	-30832.4	-30547.2	-25733.4	0.195622	1061.38	1048.77	944.594	
0.00499208	-0.027832	-0.0209351	374.122	0.293434	0.00457764	0.00368063	24.8424	0.00499208	-30855.6	-30465.4	-25774.2	0.293434	2267.06	2266.51	2026.1	
0.00998416	-0.0349935	-0.0297445	374.116	0.391245	0.00325445	0.00289395	11.3958	0.00998416	-30791.8	-30525.2	-25793.4	0.391245	1028.57	1027.12	918.997	
0.0149762	-0.0421143	-0.0358582	374.119	0.489056	0.00238806	0.00225329	15.0336	0.0149762	-30748	-30595.7	-25782	0.489056	1365.23	1360.66	1207.72	
0.0199683	-0.0420837	-0.033783	374.117	0.586867	0.00254668	0.00220244	10.9666	0.0199683	-30747.4	-30597.3	-25781.7	0.586867	988.423	985.973	876.254	
0.0249604	-0.0426331	-0.0370483	374.113	0.684678	0.001628	0.00148251	10.8152	0.0249604	-30748.7	-30597.2	-25781	0.684678	975.35	972.22	862.255	
0.0299525	-0.0452576	-0.038147	374.116	0.782489	0.00268676	0.00251755	10.3337	0.0299525	-30749.9	-30596.3	-25780.7	0.782489	932.105	931.238	823.263	
0.0349446	-0.0434265	-0.0391846	374.111	0.880301	0.00286743	0.0026599	8.47885	0.0349446	-30750.2	-30597	-25781.2	0.880301	759.514	756.214	667.847	
0.0399366	-0.0434876	-0.0395508	374.112	0.978112	0.000997125	0.000939033	9.55086	0.0399366	-30750.1	-30598.4	-25781.3	0.978112	860.739	861.853	761.733	
0.0449287	-0.0436707	-0.0348511	374.112	1.07592	0.00313531	0.00287276	6.98091	0.0449287	-30751	-30598.3	-25780.6	1.07592	622.335	618.954	544.407	
0.0499208	-0.0443726	-0.0337524	374.109	1.17373	0.00187677	0.00190432	8.65251	0.0499208	-30751.5	-30596.8	-25780.9	1.17373	778.478	780.087	688.944	
0.0549129	-0.0491638	-0.0311279	374.11	1.27155	0.00347472	0.00341003	5.92026	0.0549129	-30750.7	-30596.2	-25781.4	1.27155	527.03	523.918	460.178	
0.059905	-0.052063	-0.0317383	374.108	1.36936	0.00246028	0.00228394	7.64531	0.059905	-30750.7	-30597.7	-25780.9	1.36936	689.523	687.619	608.308	
0.064897	-0.0507507	-0.0362854	374.111	1.46717	0.00148303	0.00159457	5.14116	0.064897	-30750.4	-30597.6	-25780.5	1.46717	456.233	454.601	398.544	
0.0698891	-0.0489502	-0.0362244	374.114	1.56498	0.00264568	0.00245737	6.55497	0.0698891	-30750.4	-30596.3	-25780.7	1.56498	590.992	591.096	522.75	
0.0748812	-0.0472717	-0.0392151	374.113	1.66279	0.00197284	0.00196239	4.5293	0.0748812	-30750.3	-30597.2	-25781	1.66279	404.026	400.206	351.103	
0.0798733	-0.0459595	-0.038269	374.116	1.7606	0.00256711	0.00244735	5.43609	0.0798733	-30750.6	-30598.5	-25781.2	1.7606	490.374	488.38	433.862	
0.0848654	-0.0461121	-0.0354919	374.12	1.85841	0.00194433	0.00206808	4.02344	0.0848654	-30751.3	-30599.8	-25781.3	1.85841	359.756	359.098	315.748	
0.0898574	-0.0452271	-0.0327454	374.116	1.95622	0.00211464	0.0019803	4.30531	0.0898574	-30751.2	-30597.9	-25781.3	1.95622	388.686	385.742	342.055	
0.0948495	-0.0445862	-0.0326538	374.116	2.05403	0.00255448	0.00243639	3.61068	0.0948495	-30750	-30596.8	-25781.5	2.05403	324.136	324.792	287.502	
0.0998416	-0.0439758	-0.0337524	374.116	2.15185	0.00215953	0.00210458	3.18315	0.0998416	-30748.6	-30598.1	-25781.2	2.15185	287.265	285.439	253.111	
0.104834	-0.0436401	-0.0349426	374.111	2.24966	0.00189688	0.00173383	3.27259	0.104834	-30749.8	-30598.4	-25780.8	2.24966	297.002	295.599	262.818	
0.109826	-0.0430298	-0.0375366	374.114	2.34747	0.00166466	0.00164602	2.11772	0.109826	-30750.8	-30597.6	-25781.3	2.34747	188.72	189.903	167.812	
0.114818	-0.0429382	-0.0366821	374.116	2.44528	0.00113046	0.00113048	2.99007	0.114818	-30750.8	-30597.6	-25782	2.44528	273.022	271.591	242.815	
0.11981	-0.0441589	-0.0368652	374.111	2.54309	0.00143614	0.00150718	1.11964	0.11981	-30751.2	-30598.6	-25781.9	2.54309	98.5543	99.4099	87.4766	
0.124802	-0.04422	-0.0356445	374.115	2.6409	0.000955515	0.0008302	2.75799	0.124802	-30749.8	-30599.7	-25781.9	2.6409	252.272	251.7	225.247	
0.129794	-0.045044	-0.0363159	374.112	2.73871	0.00102381	0.000926102	0.277479	0.129794	-30749.6	-30599.6	-25782.3	2.73871	16.5225	17.4795	16.0747	
0.134786	-0.0488281	-0.0335083	374.112	2.83652	0.00099672	0.000933866	2.56574	0.134786	-30749.1	-30599.6	-25782.6	2.83652	234.512	234.604	209.833	
0.139778	-0.0482483	-0.0308228	374.117	2.93434	0.00181529	0.00168618	0.637759	0.139778	-30748.3	-30600	-25782.3	2.93434	55.557	54.4424	48.8003	
0.14477	-0.0498657	-0.0349121	374.112	3.03215	0.00140689	0.0014292	2.40506	0.14477	-30748.4	-30601.1	-25782.3	3.03215	219.363	219.76	196.122	
0.149762	-0.0498657	-0.0326843	374.112	3.12996	0.000577114	0.000768089	1.29192	0.149762	-30748	-30600.2	-25782.3	3.12996	115.389	115.192	102.369	
