Line,X,Y,Bx,By,Bz,Bm,Bm_res
1,0.0,-3.0,228.466201001,25711.9,-43574.9604159,50595.7624081,138.09507045
1,0.0,-3.01989691852,246.002449175,25752.1,-43540.3121836,50586.4602108,143.244272888
1,0.0,-3.00284241693,136.542319447,25766.1,-43546.6761446,50598.6517237,148.455828775
1,0.0,-3.0,72.4077343935,25753.0,-43566.8286879,50609.196929,148.837373322
1,0.0,-2.98863033227,71.9834703248,25752.3,-43565.9801598,50608.1096682,147.298844963
1,0.0,-2.97441824761,72.4077343935,25751.8,-43565.8387384,50607.7341036,146.549411496
1,0.0,-2.97441824761,73.0441304966,25752.0,-43565.7680277,50607.7759172,146.558966104
1,0.0,-2.97157583068,74.1755013465,25751.7,-43564.9194996,50606.8944503,144.814801481
1,0.0,-2.98010308148,73.3976838872,25751.9,-43565.1316316,50607.1777015,144.259015982
1,0.0,-2.97726066455,71.7006276123,25752.3,-43565.4144743,50607.6222973,144.573437306
1,0.0,-2.96589099682,72.3370237154,25752.3,-43565.2023423,50607.4405899,144.843279612
1,0.0,-2.96873341375,72.124891681,25752.2,-43565.5558957,50607.6937564,145.692300933
1,0.0,-2.97441824761,71.488495578,25752.3,-43565.6266064,50607.8046106,145.149105815
1,0.0,-2.98863033227,71.2056528655,25752.6,-43565.9094491,50608.2003546,145.992652486
1,0.0,-3.00852725079,71.3470742217,25752.6,-43566.0508704,50608.3222959,146.800654795
1,0.0,-3.01136966773,72.2663130373,25752.5,-43565.9801598,50608.211843,146.052169379
1,0.0,-3.0,72.6198664279,25752.7,-43566.1922918,50608.4967346,145.263821458
1,0.0,-2.98578791534,72.9734198185,25753.0,-43566.4044238,50608.8325151,144.333692448
1,0.0,-2.9914727492,73.5391052434,25752.8,-43566.2630025,50608.6098193,145.32400137
1,0.0,-2.98294549841,73.1855518528,25752.2,-43565.7680277,50607.8778928,145.888113437
1,0.0,-2.98010308148,71.7713382904,25751.8,-43564.6366569,50606.6983848,144.926725353
1,0.0,-2.98863033227,71.1349421874,25751.9,-43564.5659462,50606.6875015,144.207070546
1,0.0,-2.97441824761,71.6299169342,25752.1,-43564.7780782,50606.9725854,144.112419834
1,0.0,-2.98294549841,71.1349421874,25752.1,-43565.4144743,50607.5197269,144.301930186
1,0.0,-2.99431516614,70.8520994749,25752.5,-43566.5458452,50608.6968134,144.680019147
1,0.0,-3.0,71.488495578,25752.7,-43566.1922918,50608.4951238,144.664435517
1,0.0,-3.01421208466,71.7713382904,25752.6,-43566.4751345,50608.688123,144.835578718
1,0.0,-3.01136966773,71.0642315092,25752.7,-43566.3337131,50608.6162686,144.915118839
