Scan started at 15:15:46 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0582275	-0.0385742	374.21	0.195622	0.00448642	0.00452253	11.5608	0	-30381.4	-30203.5	-25750.2	0.195622	1041.7	1057.3	959.609	
0.00499208	-0.0654907	-0.0529785	374.21	0.293434	0.00410722	0.00386231	25.2644	0.00499208	-30316.5	-30313.1	-25716.4	0.293434	2273.23	2258.35	2010.76	
0.00998416	-0.0629883	-0.0479329	374.209	0.391245	0.00244488	0.00217808	11.637	0.00998416	-30371.2	-30298.4	-25684.8	0.391245	1030.24	1019.06	901.758	
0.0149762	-0.0537415	-0.0409546	374.212	0.489056	0.00298968	0.00273031	15.1959	0.0149762	-30432.3	-30237.8	-25686.5	0.489056	1363.04	1353.72	1202.24	
0.0199683	-0.0495911	-0.0392456	374.217	0.586867	0.00260191	0.00226699	11.0744	0.0199683	-30432.9	-30238.1	-25686.4	0.586867	987.448	984.394	875.554	
0.0249604	-0.0477295	-0.0350952	374.22	0.684678	0.0020594	0.0018145	10.9508	0.0249604	-30432.6	-30238.4	-25686.6	0.684678	972.534	964.266	857.626	
0.0299525	-0.0447998	-0.0354919	374.223	0.782489	0.00116556	0.000827497	10.4641	0.0299525	-30432.6	-30239.2	-25686.4	0.782489	928.521	925.112	818.306	
0.0349446	-0.0420837	-0.0325623	374.225	0.880301	0.00227068	0.00211934	8.58098	0.0349446	-30432.8	-30239.3	-25686	0.880301	757.391	753.659	663.877	
0.0399366	-0.0428467	-0.0332031	374.221	0.978112	0.00231741	0.00226295	9.663	0.0399366	-30432.5	-30238.8	-25686.1	0.978112	861.42	852.904	758.847	
0.0449287	-0.0422669	-0.0333252	374.222	1.07592	0.00239599	0.0022754	7.05848	0.0449287	-30432.8	-30238.4	-25686.3	1.07592	618.992	617.057	541.569	
0.0499208	-0.0434265	-0.0354919	374.218	1.17373	0.00232246	0.00219954	8.75092	0.0499208	-30432.6	-30238.8	-25686.7	1.17373	776.887	774.856	685.756	
0.0549129	-0.0477905	-0.0389404	374.214	1.27155	0.00172113	0.00170625	5.99663	0.0549129	-30432.2	-30238.7	-25686.6	1.27155	525.688	519.863	457.446	
0.059905	-0.0493469	-0.0398865	374.216	1.36936	0.00311051	0.003063	7.73372	0.059905	-30432.2	-30238.3	-25686.6	1.36936	687.442	683.488	605.439	
0.064897	-0.0499268	-0.0423889	374.213	1.46717	0.00151209	0.00142732	5.1986	0.064897	-30431.6	-30237.8	-25686.7	1.46717	454.023	452.565	396.529	
0.0698891	-0.0490112	-0.0408325	374.217	1.56498	0.00103801	0.00097779	6.63723	0.0698891	-30431.1	-30237.5	-25686.3	1.56498	590.553	586.644	520.206	
