Line,X,Y,Bx,By,Bz,Bm,Bm_res
1,0.0,-3.0,-124.521504167,25806.2,-43372.5864551,50469.3641712,-106.386430103
1,0.0,-2.99716349311,-35.8503138062,25770.0,-43411.3359067,50484.0397596,-75.4237353667
1,0.0,-2.99716349311,90.8632213825,25772.7,-43393.2339731,50469.9224891,-95.700795655
1,0.0,-2.98865397242,108.753022946,25792.1,-43363.3233563,50454.1580262,-122.254334136
1,0.0,-2.99149047932,107.833784131,25792.6,-43362.5455388,50453.7431564,-121.081957306
1,0.0,-2.98865397242,108.328758878,25792.6,-43362.7576708,50453.926534,-119.55030533
1,0.0,-2.98298095863,109.318708371,25792.7,-43363.0405136,50454.2228803,-118.049911962
1,0.0,-2.99432698621,110.662211256,25792.9,-43362.8283815,50454.1457343,-117.048848565
1,0.0,-2.98014445174,110.662211256,25792.9,-43362.9698029,50454.267279,-116.75014344
1,0.0,-2.98865397242,108.965154981,25792.8,-43362.9698029,50454.2124641,-115.792879904
1,0.0,-2.99149047932,109.318708371,25792.3,-43362.7576708,50453.7753066,-115.286997331
1,0.0,-2.99149047932,109.247997693,25792.4,-43362.9698029,50454.0085921,-114.522087481
1,0.0,-2.99716349311,108.2580482,25793.2,-43362.6869602,50454.1723394,-114.76139124
1,0.0,-2.99149047932,108.540890912,25792.7,-43361.9798534,50453.3096161,-115.463520274
1,0.0,-2.99432698621,108.965154981,25791.6,-43362.1212747,50452.869744,-115.50184749
1,0.0,-2.98014445174,110.025815153,25791.5,-43361.2020359,50452.0308801,-116.220067471
1,0.0,-2.97730794485,110.237947187,25791.8,-43361.838432,50452.7316589,-115.273168312
1,0.0,-2.97447143795,108.823733625,25792.1,-43362.9698029,50453.854314,-114.354733961
1,0.0,-2.98298095863,109.106576337,25792.1,-43363.5354883,50454.3411086,-113.911535653
1,0.0,-2.98865397242,109.318708371,25792.2,-43364.1718844,50454.9396456,-114.012116337
1,0.0,-2.98865397242,108.399469556,25792.8,-43363.2526456,50454.4543355,-115.894984067
1,0.0,-2.98865397242,108.116626843,25792.7,-43363.2526456,50454.4026077,-116.973610571
1,0.0,-2.97730794485,108.2580482,25791.5,-43363.1112242,50453.6679251,-117.32555146
1,0.0,-2.98014445174,109.318708371,25791.4,-43363.1819349,50453.6798664,-117.323141066
1,0.0,-2.98014445174,109.601551084,25791.5,-43363.4647776,50453.9746925,-117.818617323
1,0.0,-2.98581746553,109.74297244,25791.2,-43363.0405136,50453.4570029,-119.006785841
1,0.0,-2.98014445174,109.318708371,25791.0,-43363.1819349,50453.4753917,-118.877340409
1,0.0,-2.97730794485,108.470180234,25791.2,-43363.606199,50453.9404388,-118.878551661
1,0.0,-2.97447143795,108.753022946,25792.1,-43364.1718844,50454.8873039,-118.598517519
1,0.0,-2.96312541037,107.692362775,25792.1,-43365.0911232,50455.675084,-117.901873757
1,0.0,-2.96312541037,106.985255994,25791.6,-43365.79823,50456.0257306,-117.472926374
1,0.0,-2.97163493106,108.399469556,25791.2,-43365.79823,50455.8242823,-116.870807801
1,0.0,-2.97163493106,109.106576337,25791.0,-43365.9396514,50455.8451231,-117.84370396
1,0.0,-2.98298095863,107.904494809,25791.0,-43366.4346261,50456.2679611,-117.733327826
1,0.0,-2.99432698621,108.2580482,25790.4,-43366.9296008,50456.3874546,-117.778044187
1,0.0,-2.98298095863,108.61160159,25790.5,-43367.0003115,50456.5001041,-118.163200909
1,0.0,-2.98581746553,109.177287015,25790.6,-43366.8588902,50456.4308888,-118.971223356
1,0.0,-2.97730794485,109.38941905,25790.3,-43367.4952863,50456.8249847,-120.088708374
1,0.0,-2.97447143795,108.045916165,25790.5,-43367.0003115,50456.4988895,-120.242601091
1,0.0,-2.97730794485,108.187337522,25790.6,-43366.4346261,50456.0641057,-121.98795731
1,0.0,-2.98014445174,109.247997693,25790.1,-43366.3639154,50455.7500428,-123.733268633
1,0.0,-2.97163493106,108.682312268,25790.0,-43366.0810727,50455.4546055,-124.547423045
1,0.0,-2.97447143795,107.763073453,25790.1,-43366.4346261,50455.8076248,-124.278255819
1,0.0,-2.96312541037,108.823733625,25789.7,-43366.5053368,50455.6662211,-123.699235033
1,0.0,-2.96879842416,110.025815153,25789.8,-43367.2831542,50456.3884746,-122.986695125
1,0.0,-2.98014445174,108.965154981,25790.0,-43367.0710222,50456.3060722,-123.970533128
1,0.0,-2.97447143795,108.399469556,25789.6,-43366.7881795,50455.8572973,-125.008259801
1,0.0,-2.98865397242,108.894444303,25789.4,-43367.1417329,50456.060017,-126.013349946
1,0.0,-2.98298095863,108.116626843,25789.9,-43366.5053368,50455.7669285,-126.743210412
1,0.0,-2.97730794485,108.328758878,25790.0,-43367.990261,50457.0947876,-126.259005371
1,0.0,-2.97447143795,107.975205487,25790.3,-43368.4852358,50457.6727999,-125.863607629
1,0.0,-2.97730794485,107.975205487,25790.6,-43368.0609717,50457.4614844,-125.240479806
1,0.0,-2.98298095863,108.894444303,25790.5,-43368.5559464,50457.837777,-124.791978876
1,0.0,-2.98581746553,107.550941418,25790.1,-43368.0609717,50457.2050124,-125.77916611
1,0.0,-2.99149047932,107.338809384,25789.6,-43368.2731037,50457.1313273,-126.360640044
1,0.0,-2.99432698621,108.399469556,25789.6,-43368.4852358,50457.315924,-127.060269291
1,0.0,-2.98581746553,109.106576337,25789.3,-43368.2023931,50456.9210073,-128.593580247
1,0.0,-2.98581746553,109.106576337,25789.3,-43368.2023931,50456.9210073,-129.688487772
1,0.0,-2.99149047932,107.975205487,25789.3,-43367.6367076,50456.4323624,-130.319286045
1,0.0,-2.97730794485,108.116626843,25789.0,-43367.4952863,50456.1577769,-130.107157936
1,0.0,-2.97163493106,108.470180234,25789.2,-43367.2831542,50456.0784307,-130.238175325
1,0.0,-2.97730794485,108.894444303,25789.5,-43367.565997,50456.4757861,-130.055881067
1,0.0,-2.95745239659,108.045916165,25789.8,-43368.5559464,50457.4781657,-129.2361192
1,0.0,-2.97447143795,107.692362775,25789.9,-43368.9094998,50457.8324035,-129.104406112
1,0.0,-2.98298095863,108.965154981,25789.9,-43368.6266571,50457.5920307,-129.221706247
1,0.0,-2.98014445174,108.045916165,25789.7,-43368.2731037,50457.1839485,-129.315437233
1,0.0,-2.98014445174,107.197388028,25789.5,-43368.5559464,50457.3230206,-128.759846678
1,0.0,-2.98581746553,109.460129728,25789.8,-43368.5559464,50457.4812138,-128.540365496
1,0.0,-2.99149047932,111.369318037,25789.1,-43368.6266571,50457.1883884,-128.407766064
1,0.0,-2.99432698621,110.945053968,25789.2,-43369.1923425,50457.7247792,-128.370898797
1,0.0,-3.00283650689,110.025815153,25789.7,-43368.9802105,50457.795991,-128.565325163
1,0.0,-2.99716349311,108.894444303,25789.7,-43368.5559464,50457.4288779,-129.524220387
1,0.0,-2.99149047932,108.399469556,25790.0,-43368.0609717,50457.1557154,-130.588577246
1,0.0,-3.0,108.328758878,25790.1,-43368.1316824,50457.2674523,-131.096247892
1,0.0,-2.98865397242,106.490281247,25791.0,-43367.990261,50457.6020086,-130.606544958
1,0.0,-2.98298095863,107.550941418,25791.5,-43368.0609717,50457.9206062,-129.899082353
1,0.0,-2.96879842416,110.167236509,25790.8,-43367.2831542,50456.899921,-130.774441514
1,0.0,-2.96028890348,110.308657865,25790.2,-43366.1517834,50455.6211392,-132.685999728
1,0.0,-2.96312541037,109.813683118,25789.8,-43365.5153873,50454.8686242,-133.951904898
1,0.0,-2.96879842416,110.379368543,25789.6,-43364.1011737,50453.5521284,-135.015432791
1,0.0,-2.98014445174,110.732921934,25789.6,-43363.1819349,50452.7628328,-136.006572502
1,0.0,-2.98014445174,108.328758878,25789.9,-43363.4647776,50453.1540605,-134.568516846
1,0.0,-2.98865397242,106.914545315,25790.3,-43363.606199,50453.4770595,-133.272498299
1,0.0,-2.99149047932,108.045916165,25790.0,-43364.3133058,50453.9338645,-132.858425715
1,0.0,-2.98865397242,107.975205487,25790.5,-43364.5254378,50454.3716177,-133.099198866
1,0.0,-3.0,108.187337522,25790.5,-43364.030463,50453.9466519,-134.083651847
1,0.0,-2.99432698621,108.894444303,25790.5,-43365.0204125,50454.7990149,-132.735377418
1,0.0,-2.99149047932,109.813683118,25790.9,-43365.0911232,50455.0662469,-132.375738232
1,0.0,-2.99149047932,109.601551084,25791.0,-43364.3133058,50454.4483864,-132.574004979
1,0.0,-2.98581746553,108.116626843,25791.7,-43365.2325446,50455.593067,-131.471406961
1,0.0,-2.98298095863,108.399469556,25792.0,-43365.6568086,50456.1116703,-129.920688996
1,0.0,-2.96879842416,108.753022946,25792.0,-43365.586098,50456.0516573,-128.95358382
1,0.0,-2.98014445174,108.2580482,25792.3,-43364.8082805,50455.5354377,-129.202380589
1,0.0,-2.97447143795,108.116626843,25792.0,-43363.818331,50454.5309506,-129.751417889
1,0.0,-2.98298095863,108.540890912,25791.0,-43363.5354883,50453.7775808,-129.888651916
1,0.0,-2.99716349311,109.813683118,25791.0,-43362.4041174,50452.8079584,-130.878568851
1,0.0,-2.98865397242,110.237947187,25791.2,-43362.5455388,50453.0326685,-130.923037818
1,0.0,-2.99716349311,108.682312268,25791.2,-43363.1112242,50453.5154804,-130.6827659
1,0.0,-2.98865397242,109.247997693,25790.8,-43363.6769097,50453.7984189,-130.940882741
1,0.0,-2.99149047932,109.813683118,25790.4,-43364.2425951,50454.0813716,-129.996087735
1,0.0,-2.98581746553,109.38941905,25790.8,-43364.1011737,50454.1633692,-130.399973443
1,0.0,-2.97163493106,108.965154981,25790.9,-43364.3840164,50454.4566648,-128.998315067
1,0.0,-2.98014445174,107.763073453,25790.9,-43364.3133058,50454.3933089,-127.886876647
1,0.0,-2.98298095863,108.187337522,25790.8,-43364.7375698,50454.7077451,-127.16924314
1,0.0,-2.98298095863,107.833784131,25791.0,-43364.6668591,50454.7484478,-126.628613434
1,0.0,-3.0,107.197388028,25791.2,-43365.4446766,50455.5178422,-126.510116202
1,0.0,-2.98865397242,108.470180234,25790.8,-43366.2932047,50456.0453934,-126.491998183
1,0.0,-2.98865397242,109.247997693,25790.8,-43366.7881795,50456.4724963,-126.217496423
1,0.0,-2.99149047932,110.025815153,25791.0,-43366.5760475,50456.3940919,-126.476466888
1,0.0,-2.98298095863,109.38941905,25790.8,-43365.9396514,50455.7435039,-126.922510174
1,0.0,-2.98298095863,109.318708371,25791.0,-43366.4346261,50456.2710053,-126.041424543
1,0.0,-2.97163493106,109.884393796,25791.0,-43366.010362,50455.9075857,-125.844514901
1,0.0,-2.96879842416,109.955104475,25791.2,-43366.0810727,50456.0707464,-124.946908899
1,0.0,-2.97163493106,109.74297244,25791.5,-43366.2932047,50456.4059569,-124.380377908
1,0.0,-2.97447143795,108.682312268,25791.5,-43366.2224941,50456.3428867,-123.266713417
1,0.0,-2.96879842416,108.965154981,25791.4,-43366.9296008,50456.9001264,-122.244789321
1,0.0,-2.96312541037,108.2580482,25791.5,-43366.2224941,50456.3419746,-123.381071773
1,0.0,-2.96312541037,108.045916165,25791.4,-43366.1517834,50456.2296291,-123.560851432
1,0.0,-2.96312541037,108.399469556,25790.8,-43366.6467581,50456.3491161,-123.038232757
1,0.0,-2.98298095863,109.38941905,25790.4,-43366.2224941,50455.7821425,-123.064954003
1,0.0,-2.98581746553,109.530840406,25790.6,-43366.0810727,50455.7631294,-122.885741642
1,0.0,-2.99716349311,108.753022946,25790.8,-43366.010362,50455.8029029,-122.723704508
1,0.0,-2.99716349311,109.460129728,25790.8,-43366.4346261,50456.1690811,-121.914441811
1,0.0,-2.98014445174,109.247997693,25790.7,-43366.9296008,50456.5429317,-120.976501132
1,0.0,-2.98298095863,109.035865659,25791.1,-43366.5760475,50456.4430584,-120.485007721
1,0.0,-2.97447143795,108.116626843,25790.9,-43366.0810727,50455.9134257,-120.88036564
1,0.0,-2.97447143795,107.621652097,25791.1,-43365.586098,50455.5891775,-121.308126394
1,0.0,-2.97730794485,108.116626843,25791.2,-43365.6568086,50455.7021266,-121.366182548
1,0.0,-2.98014445174,107.550941418,25791.5,-43365.6568086,50455.8542679,-121.495699685
1,0.0,-2.97447143795,107.692362775,25791.8,-43365.2325446,50455.6432773,-121.859304541
1,0.0,-2.98014445174,109.106576337,25790.7,-43366.3639154,50456.0564252,-120.66586671
1,0.0,-2.99149047932,110.308657865,25791.0,-43366.7174688,50456.5162593,-120.145740233
1,0.0,-2.98014445174,110.308657865,25791.4,-43366.4346261,50456.4776232,-121.321498257
1,0.0,-2.98298095863,109.177287015,25791.6,-43366.5760475,50456.6989439,-121.454559024
1,0.0,-2.99432698621,108.682312268,25791.4,-43365.6568086,50455.8055753,-122.755886079
1,0.0,-2.98014445174,108.2580482,25790.9,-43365.9396514,50455.7921795,-122.372962198
1,0.0,-2.98581746553,108.045916165,25791.2,-43365.586098,50455.6412008,-122.370127878
1,0.0,-2.99149047932,107.621652097,25791.4,-43364.5961485,50454.8916905,-123.251876658
1,0.0,-2.97447143795,108.045916165,25791.3,-43365.0204125,50455.2061237,-123.050536203
1,0.0,-2.98014445174,109.74297244,25791.0,-43365.586098,50455.5426305,-122.53347969
1,0.0,-2.98865397242,109.672261762,25791.1,-43366.2224941,50456.1405641,-122.319090225
1,0.0,-2.98581746553,109.38941905,25791.3,-43366.3639154,50456.3637312,-122.825444143
1,0.0,-2.98014445174,109.318708371,25790.9,-43366.2932047,50456.0983401,-122.796777388
1,0.0,-2.98581746553,109.035865659,25790.8,-43366.8588902,50456.5328125,-122.280469435
1,0.0,-2.98298095863,109.177287015,25791.1,-43366.5760475,50456.4433643,-122.421071597
1,0.0,-2.98298095863,108.399469556,25791.2,-43366.6467581,50456.5535776,-122.311202951
1,0.0,-2.99149047932,108.682312268,25791.4,-43367.0710222,50457.021066,-122.394298403
1,0.0,-2.99149047932,109.74297244,25791.2,-43367.2831542,50457.1034557,-122.486959696
1,0.0,-2.98865397242,109.74297244,25791.1,-43367.1417329,50456.9307906,-122.241674333
1,0.0,-2.99149047932,110.025815153,25791.3,-43366.5760475,50456.5474389,-123.40773006
1,0.0,-2.98865397242,109.460129728,25791.1,-43366.1517834,50456.0793288,-123.803508986
1,0.0,-2.98865397242,109.318708371,25791.3,-43366.7174688,50456.6674513,-123.029616803
1,0.0,-2.98014445174,109.672261762,25791.3,-43367.2124436,50457.0936422,-123.323373259
1,0.0,-2.97447143795,108.2580482,25791.5,-43367.2124436,50457.1928191,-123.264511611
1,0.0,-2.97163493106,108.045916165,25791.3,-43367.565997,50457.3940083,-123.27871695
1,0.0,-2.95461588969,108.965154981,25790.8,-43367.4952863,50457.0796366,-123.98191626
1,0.0,-2.97163493106,108.965154981,25790.9,-43367.778129,50457.3738522,-122.947347854
1,0.0,-2.97163493106,108.116626843,25791.2,-43367.778129,50457.5253703,-122.295117464
1,0.0,-2.97163493106,108.116626843,25791.3,-43368.3438144,50458.0626868,-121.862146033
1,0.0,-2.99149047932,109.035865659,25791.3,-43369.2630532,50458.8547461,-120.573914256
1,0.0,-2.98581746553,109.035865659,25790.9,-43369.2630532,50458.6502932,-121.09073561
1,0.0,-2.97447143795,108.540890912,25790.8,-43369.758028,50459.0235455,-121.346313323
1,0.0,-2.97447143795,108.187337522,25790.8,-43369.4044746,50458.7189059,-120.99927535
1,0.0,-2.96879842416,108.540890912,25790.4,-43369.758028,50458.8190973,-121.130851905
1,0.0,-2.96312541037,108.965154981,25790.5,-43370.6065561,50459.6004413,-120.176499743
1,0.0,-2.97163493106,108.399469556,25790.6,-43370.0408707,50459.1641224,-120.868931279
1,0.0,-2.97447143795,108.187337522,25790.4,-43370.3944241,50459.3653266,-120.579513853
1,0.0,-2.97163493106,108.894444303,25790.4,-43370.5358454,50459.4884009,-120.378226945
1,0.0,-2.96312541037,109.460129728,25790.5,-43370.3944241,50459.4191828,-120.496144685
1,0.0,-2.96596191727,108.045916165,25790.4,-43370.5358454,50459.4865769,-120.335999938
1,0.0,-2.97163493106,107.692362775,25790.1,-43370.6065561,50459.3932653,-120.948351896
1,0.0,-2.97730794485,108.823733625,25789.5,-43370.182292,50458.7243685,-122.134655604
1,0.0,-2.99716349311,108.894444303,25789.1,-43370.1115814,50458.4593046,-123.920736319
1,0.0,-2.99432698621,108.753022946,25789.5,-43370.2530027,50458.7849932,-123.887481374
1,0.0,-2.98298095863,107.763073453,25789.5,-43369.6873173,50458.2966531,-123.963569257
1,0.0,-2.97730794485,108.328758878,25789.4,-43370.9601095,50459.3407438,-121.486727278
1,0.0,-2.97730794485,108.965154981,25789.6,-43372.0207697,50460.3559957,-120.153818781
1,0.0,-2.98014445174,107.975205487,25789.8,-43372.5864551,50460.9423068,-119.235519995
1,0.0,-2.99432698621,107.833784131,25790.1,-43372.7278765,50461.2168856,-118.666888837
