LINE,X,Y,Bm
         10,18.000000,-35.069000,47.548723
         10,18.000000,-35.129000,47.875539
         10,18.000000,-35.176000,48.133399
         10,18.000000,-35.227000,48.415058
         10,18.000000,-35.268000,48.642898
         10,18.000000,-35.307000,48.860797
         10,18.000000,-35.355000,49.130556
         10,18.000000,-35.387000,49.311368
         10,18.000000,-35.429000,49.549870
         10,18.000000,-35.471000,49.789726
         10,18.000000,-35.509000,50.007912
         10,18.000000,-35.560000,50.302501
         10,18.000000,-35.604000,50.558288
         10,18.000000,-35.652000,50.839063
         10,18.000000,-35.714000,51.204427
         10,18.000000,-35.771000,51.543027
         10,18.000000,-35.827000,51.878226
         10,18.000000,-35.884000,52.222014
         10,18.000000,-35.925000,52.470935
         10,18.000000,-35.958000,52.672285
         10,18.000000,-36.006000,52.966757
         10,18.000000,-36.047000,53.219794
         10,18.000000,-36.104000,53.573899
         10,18.000000,-36.166000,53.962156
         10,18.000000,-36.217000,54.283958
         10,18.000000,-36.270000,54.620720
         10,18.000000,-36.321000,54.947040
         10,18.000000,-36.374000,55.288528
         10,18.000000,-36.434000,55.678052
         10,18.000000,-36.490000,56.044438
         10,18.000000,-36.552000,56.453292
         10,18.000000,-36.591000,56.712213
         10,18.000000,-36.642000,57.052842
         10,18.000000,-36.695000,57.409292
         10,18.000000,-36.734000,57.673197
         10,18.000000,-36.787000,58.034041
         10,18.000000,-36.844000,58.424966
         10,18.000000,-36.900000,58.811927
         10,18.000000,-36.948000,59.145903
         10,18.000000,-37.013000,59.601564
         10,18.000000,-37.070000,60.004381
         10,18.000000,-37.132000,60.445994
         10,18.000000,-37.191000,60.869608
         10,18.000000,-37.230000,61.151437
         10,18.000000,-37.284000,61.544059
         10,18.000000,-37.322000,61.822025
         10,18.000000,-37.376000,62.219422
         10,18.000000,-37.432000,62.634520
         10,18.000000,-37.471000,62.925409
         10,18.000000,-37.527000,63.345698
         10,18.000000,-37.602000,63.913417
         10,18.000000,-37.673000,64.455989
         10,18.000000,-37.744000,65.003587
         10,18.000000,-37.810000,65.517157
         10,18.000000,-37.860000,65.909151
         10,18.000000,-37.929000,66.454268
         10,18.000000,-38.006000,67.068321
         10,18.000000,-38.086000,67.712747
         10,18.000000,-38.163000,68.339253
         10,18.000000,-38.232000,68.905903
         10,18.000000,-38.297000,69.444256
         10,18.000000,-38.377000,70.112936
         10,18.000000,-38.452000,70.745963
         10,18.000000,-38.517000,71.299414
         10,18.000000,-38.585000,71.883230
         10,18.000000,-38.633000,72.298315
         10,18.000000,-38.689000,72.785706
         10,18.000000,-38.755000,73.364467
         10,18.000000,-38.805000,73.806055
         10,18.000000,-38.859000,74.286013
         10,18.000000,-38.912000,74.760161
         10,18.000000,-38.957000,75.165140
         10,18.000000,-39.016000,75.699459
         10,18.000000,-39.097000,76.439215
         10,18.000000,-39.147000,76.899442
         10,18.000000,-39.213000,77.511145
         10,18.000000,-39.269000,78.033921
         10,18.000000,-39.299000,78.315400
         10,18.000000,-39.340000,78.701690
         10,18.000000,-39.376000,79.042400
         10,18.000000,-39.427000,79.527518
         10,18.000000,-39.492000,80.149966
         10,18.000000,-39.566000,80.864275
         10,18.000000,-39.652000,81.702009
         10,18.000000,-39.721000,82.380042
         10,18.000000,-39.780000,82.963969
         10,18.000000,-39.831000,83.471806
         10,18.000000,-39.866000,83.821975
         10,18.000000,-39.917000,84.334628
         10,18.000000,-39.964000,84.809597
         10,18.000000,-40.015000,85.327720
         10,18.000000,-40.068000,85.869167
         10,18.000000,-40.107000,86.269543
         10,18.000000,-40.164000,86.857674
         10,18.000000,-40.208000,87.314073
         10,18.000000,-40.262000,87.877049
         10,18.000000,-40.306000,88.338084
         10,18.000000,-40.345000,88.748459
         10,18.000000,-40.398000,89.308743
         10,18.000000,-40.446000,89.818737
         10,18.000000,-40.491000,90.299062
         10,18.000000,-40.541000,90.835245
         10,18.000000,-40.595000,91.417246
         10,18.000000,-40.639000,91.893700
         10,18.000000,-40.699000,92.546611
         10,18.000000,-40.752000,93.126397
         10,18.000000,-40.803000,93.686979
         10,18.000000,-40.856000,94.272298
         10,18.000000,-40.913000,94.904891
         10,18.000000,-40.966000,95.495941
         10,18.000000,-41.017000,96.067248
         10,18.000000,-41.082000,96.798976
         10,18.000000,-41.133000,97.375879
         10,18.000000,-41.192000,98.046275
         10,18.000000,-41.260000,98.822855
         10,18.000000,-41.314000,99.442484
         10,18.000000,-41.376000,100.157044
         10,18.000000,-41.433000,100.816871
         10,18.000000,-41.489000,101.467758
         10,18.000000,-41.537000,102.027693
         10,18.000000,-41.593000,102.683263
         10,18.000000,-41.647000,103.317717
         10,18.000000,-41.697000,103.907128
         10,18.000000,-41.766000,104.723500
         10,18.000000,-41.831000,105.495592
         10,18.000000,-41.876000,106.031779
         10,18.000000,-41.932000,106.700855
         10,18.000000,-41.968000,107.132004
         10,18.000000,-42.021000,107.768154
         10,18.000000,-42.098000,108.695197
         10,18.000000,-42.140000,109.202185
         10,18.000000,-42.202000,109.952192
         10,18.000000,-42.247000,110.497670
         10,18.000000,-42.286000,110.971126
         10,18.000000,-42.345000,111.688539
         10,18.000000,-42.408000,112.455986
         10,18.000000,-42.479000,113.322392
         10,18.000000,-42.547000,114.153445
         10,18.000000,-42.627000,115.132381
         10,18.000000,-42.678000,115.756961
         10,18.000000,-42.743000,116.553353
         10,18.000000,-42.821000,117.509227
         10,18.000000,-42.886000,118.305650
         10,18.000000,-42.981000,119.468827
         10,18.000000,-43.050000,120.312593
         10,18.000000,-43.109000,121.033053
         10,18.000000,-43.186000,121.971488
         10,18.000000,-43.249000,122.737410
         10,18.000000,-43.329000,123.707036
         10,18.000000,-43.406000,124.636580
         10,18.000000,-43.480000,125.525881
         10,18.000000,-43.567000,126.565568
         10,18.000000,-43.647000,127.515225
         10,18.000000,-43.721000,128.387500
         10,18.000000,-43.796000,129.264826
         10,18.000000,-43.855000,129.949754
         10,18.000000,-43.906000,130.537790
         10,18.000000,-43.959000,131.144661
         10,18.000000,-44.018000,131.814832
         10,18.000000,-44.075000,132.456517
         10,18.000000,-44.137000,133.147614
         10,18.000000,-44.203000,133.874886
         10,18.000000,-44.265000,134.549641
         10,18.000000,-44.322000,135.162303
         10,18.000000,-44.378000,135.756635
         10,18.000000,-44.432000,136.322234
         10,18.000000,-44.470000,136.715622
         10,18.000000,-44.524000,137.267776
         10,18.000000,-44.586000,137.891312
         10,18.000000,-44.649000,138.512886
         10,18.000000,-44.717000,139.169424
         10,18.000000,-44.788000,139.838087
         10,18.000000,-44.836000,140.279886
         10,18.000000,-44.895000,140.811042
         10,18.000000,-44.949000,141.285200
         10,18.000000,-44.984000,141.586168
         10,18.000000,-45.029000,141.965526
         10,18.000000,-45.065000,142.262674
         10,18.000000,-45.109000,142.617961
         10,18.000000,-45.163000,143.041733
         10,18.000000,-45.213000,143.421625
         10,18.000000,-45.270000,143.839480
         10,18.000000,-45.335000,144.295374
         10,18.000000,-45.389000,144.656724
         10,18.000000,-45.460000,145.106749
         10,18.000000,-45.516000,145.440767
         10,18.000000,-45.573000,145.761009
         10,18.000000,-45.641000,146.115957
         10,18.000000,-45.689000,146.348090
         10,18.000000,-45.763000,146.674877
         10,18.000000,-45.811000,146.865961
         10,18.000000,-45.882000,147.117255
         10,18.000000,-45.989000,147.422002
         10,18.000000,-46.087000,147.618728
         10,18.000000,-46.176000,147.725155
         10,18.000000,-46.248000,147.758425
         10,18.000000,-46.298000,147.752622
         10,18.000000,-46.340000,147.728881
         10,18.000000,-46.408000,147.652853
         10,18.000000,-46.485000,147.508754
         10,18.000000,-46.551000,147.334364
         10,18.000000,-46.637000,147.033836
         10,18.000000,-46.690000,146.805868
         10,18.000000,-46.756000,146.474823
         10,18.000000,-46.809000,146.170035
         10,18.000000,-46.842000,145.962302
         10,18.000000,-46.907000,145.511841
         10,18.000000,-46.943000,145.238287
         10,18.000000,-46.985000,144.896971
         10,18.000000,-47.032000,144.486166
         10,18.000000,-47.071000,144.121697
         10,18.000000,-47.124000,143.591383
         10,18.000000,-47.178000,143.008672
         10,18.000000,-47.231000,142.394171
         10,18.000000,-47.297000,141.568497
         10,18.000000,-47.338000,141.021049
         10,18.000000,-47.404000,140.082865
         10,18.000000,-47.460000,139.230529
         10,18.000000,-47.502000,138.556610
         10,18.000000,-47.567000,137.453802
         10,18.000000,-47.609000,136.701808
         10,18.000000,-47.659000,135.765432
         10,18.000000,-47.707000,134.823701
         10,18.000000,-47.763000,133.671011
         10,18.000000,-47.844000,131.898545
         10,18.000000,-47.912000,130.312208
         10,18.000000,-47.980000,128.633896
         10,18.000000,-48.046000,126.915034
         10,18.000000,-48.090000,125.718983
         10,18.000000,-48.144000,124.195344
         10,18.000000,-48.218000,122.005863
         10,18.000000,-48.266000,120.521805
         10,18.000000,-48.319000,118.823819
         10,18.000000,-48.373000,117.028835
         10,18.000000,-48.414000,115.621609
         10,18.000000,-48.465000,113.817038
         10,18.000000,-48.524000,111.653594
         10,18.000000,-48.581000,109.485221
         10,18.000000,-48.631000,107.518997
         10,18.000000,-48.691000,105.079419
         10,18.000000,-48.717000,103.994866
         10,18.000000,-48.744000,102.850927
         10,18.000000,-48.777000,101.428185
         10,18.000000,-48.801000,100.376380
         10,18.000000,-48.851000,98.138601
         10,18.000000,-48.905000,95.650650
         10,18.000000,-48.949000,93.568335
         10,18.000000,-49.003000,90.944591
         10,18.000000,-49.047000,88.750772
         10,18.000000,-49.092000,86.454766
         10,18.000000,-49.136000,84.158313
         10,18.000000,-49.178000,81.918509
         10,18.000000,-49.211000,80.125803
         10,18.000000,-49.246000,78.192722
         10,18.000000,-49.291000,75.659161
         10,18.000000,-49.330000,73.419411
         10,18.000000,-49.377000,70.665743
         10,18.000000,-49.443000,66.697993
         10,18.000000,-49.511000,62.486286
         10,18.000000,-49.591000,57.370056
         10,18.000000,-49.668000,52.280667
         10,18.000000,-49.734000,47.789406
         10,18.000000,-49.802000,43.037643
         10,18.000000,-49.862000,38.740232
         10,18.000000,-49.918000,34.641004
         10,18.000000,-49.978000,30.154680
         10,18.000000,-50.028000,26.341872
         10,18.000000,-50.105000,20.338969
         10,18.000000,-50.180000,14.340209
         10,18.000000,-50.251000,8.524731
         10,18.000000,-50.331000,1.814710
         10,18.000000,-50.412000,-5.146688
