LINE,EAST,NRTH,res_TMI
2,4,-89.58,-15.50
2,4,-89.38,-15.74
2,4,-89.18,-15.98
2,4,-88.98,-16.22
2,4,-88.78,-16.45
2,4,-88.58,-16.67
2,4,-88.38,-16.88
2,4,-88.18,-17.08
2,4,-87.98,-17.36
2,4,-87.78,-17.70
2,4,-87.58,-18.04
2,4,-87.38,-18.40
2,4,-87.18,-18.66
2,4,-86.98,-18.85
2,4,-86.78,-19.01
2,4,-86.58,-19.16
2,4,-86.38,-19.24
2,4,-86.18,-19.29
2,4,-85.98,-19.35
2,4,-85.78,-19.43
2,4,-85.58,-19.63
2,4,-85.38,-19.92
2,4,-85.18,-20.23
2,4,-84.98,-20.57
2,4,-84.78,-20.86
2,4,-84.58,-21.11
2,4,-84.38,-21.38
2,4,-84.18,-21.64
2,4,-83.98,-21.99
2,4,-83.78,-22.39
2,4,-83.58,-22.84
2,4,-83.38,-23.33
2,4,-83.18,-23.95
2,4,-82.98,-24.66
2,4,-82.78,-25.39
2,4,-82.58,-26.15
2,4,-82.38,-26.68
2,4,-82.18,-27.05
2,4,-81.98,-27.30
2,4,-81.78,-27.47
2,4,-81.58,-27.47
2,4,-81.38,-27.37
2,4,-81.18,-27.26
2,4,-80.98,-27.17
2,4,-80.78,-27.27
2,4,-80.58,-27.50
2,4,-80.38,-27.87
2,4,-80.18,-28.32
2,4,-79.98,-28.93
2,4,-79.78,-29.64
2,4,-79.58,-30.34
2,4,-79.38,-31.04
2,4,-79.18,-31.59
2,4,-78.98,-32.04
2,4,-78.78,-32.51
2,4,-78.58,-32.98
2,4,-78.38,-33.68
2,4,-78.18,-34.52
2,4,-77.98,-35.34
2,4,-77.78,-36.15
2,4,-77.58,-36.78
2,4,-77.38,-37.29
2,4,-77.18,-37.78
2,4,-76.98,-38.26
2,4,-76.78,-38.71
2,4,-76.58,-39.15
2,4,-76.38,-39.56
2,4,-76.18,-39.97
2,4,-75.98,-40.53
2,4,-75.78,-41.19
2,4,-75.58,-41.88
2,4,-75.38,-42.61
2,4,-75.18,-43.05
2,4,-74.98,-43.31
2,4,-74.78,-43.63
2,4,-74.58,-43.98
2,4,-74.38,-44.56
2,4,-74.18,-45.30
2,4,-73.98,-46.05
2,4,-73.78,-46.82
2,4,-73.58,-47.57
2,4,-73.38,-48.32
2,4,-73.18,-49.07
2,4,-72.98,-49.82
2,4,-72.78,-50.55
2,4,-72.58,-51.26
2,4,-72.38,-51.96
2,4,-72.18,-52.65
2,4,-71.98,-53.40
2,4,-71.78,-54.18
2,4,-71.58,-54.97
2,4,-71.38,-55.76
2,4,-71.18,-56.46
2,4,-70.98,-57.09
2,4,-70.78,-57.64
2,4,-70.58,-58.14
2,4,-70.38,-58.58
2,4,-70.18,-58.96
2,4,-69.98,-59.35
2,4,-69.78,-59.73
2,4,-69.58,-60.16
2,4,-69.38,-60.61
2,4,-69.18,-61.13
2,4,-68.98,-61.68
2,4,-68.78,-62.31
2,4,-68.58,-62.99
2,4,-68.38,-63.69
2,4,-68.18,-64.40
2,4,-67.98,-65.07
2,4,-67.78,-65.72
2,4,-67.58,-66.35
2,4,-67.38,-66.96
2,4,-67.18,-67.44
2,4,-66.98,-67.84
2,4,-66.78,-68.09
2,4,-66.58,-68.24
2,4,-66.38,-68.35
2,4,-66.18,-68.43
2,4,-65.98,-68.51
2,4,-65.78,-68.60
2,4,-65.58,-68.79
2,4,-65.38,-69.04
2,4,-65.18,-69.27
2,4,-64.98,-69.48
2,4,-64.78,-69.45
2,4,-64.58,-69.26
2,4,-64.38,-68.99
2,4,-64.18,-68.67
2,4,-63.98,-68.39
2,4,-63.78,-68.13
2,4,-63.58,-67.87
2,4,-63.38,-67.59
2,4,-63.18,-67.28
2,4,-62.98,-66.95
2,4,-62.78,-66.61
2,4,-62.58,-66.25
2,4,-62.38,-65.86
2,4,-62.18,-65.45
2,4,-61.98,-65.01
2,4,-61.78,-64.55
2,4,-61.58,-64.08
2,4,-61.38,-63.61
2,4,-61.18,-63.07
2,4,-60.98,-62.48
2,4,-60.78,-61.77
2,4,-60.58,-60.98
2,4,-60.38,-60.11
2,4,-60.18,-59.18
2,4,-59.98,-58.19
2,4,-59.78,-57.17
2,4,-59.58,-56.15
2,4,-59.38,-55.13
2,4,-59.18,-54.17
2,4,-58.98,-53.23
2,4,-58.78,-52.28
2,4,-58.58,-51.32
2,4,-58.38,-50.34
2,4,-58.18,-49.33
2,4,-57.98,-48.31
2,4,-57.78,-47.28
2,4,-57.58,-45.75
2,4,-57.38,-43.90
2,4,-57.18,-42.01
2,4,-56.98,-40.12
2,4,-56.78,-38.66
2,4,-56.58,-37.49
2,4,-56.38,-36.32
2,4,-56.18,-35.16
2,4,-55.98,-33.99
2,4,-55.78,-32.82
2,4,-55.58,-31.63
2,4,-55.38,-30.43
2,4,-55.18,-29.20
2,4,-54.98,-27.96
2,4,-54.78,-26.71
2,4,-54.58,-25.44
2,4,-54.38,-24.16
2,4,-54.18,-22.85
2,4,-53.98,-21.60
2,4,-53.78,-20.38
2,4,-53.58,-19.32
2,4,-53.38,-18.37
2,4,-53.18,-17.51
2,4,-52.98,-16.70
2,4,-52.78,-15.89
2,4,-52.58,-15.08
2,4,-52.38,-14.32
2,4,-52.18,-13.59
2,4,-51.98,-12.94
2,4,-51.78,-12.34
2,4,-51.58,-11.74
2,4,-51.38,-11.16
2,4,-51.18,-10.54
2,4,-50.98,-9.89
2,4,-50.78,-9.23
