,LINE,EAST,NRTH,res_TMI,fit_TMI
0,2,4.0,-89.58,-15.5,-10.9393102596
1,2,4.0,-89.18,-15.98,-11.3040710866
2,2,4.0,-88.78,-16.45,-11.6828623187
3,2,4.0,-88.38,-16.88,-12.0762334168
4,2,4.0,-87.98,-17.36,-12.4847506191
5,2,4.0,-87.58,-18.04,-12.9089966807
6,2,4.0,-87.18,-18.66,-13.3495704825
7,2,4.0,-86.78,-19.01,-13.8070864918
8,2,4.0,-86.38,-19.24,-14.2821740532
9,2,4.0,-85.98,-19.35,-14.7754764903
10,2,4.0,-85.58,-19.63,-15.287649992
11,2,4.0,-85.18,-20.23,-15.8193622601
12,2,4.0,-84.78,-20.86,-16.371290888
13,2,4.0,-84.38,-21.38,-16.944121442
14,2,4.0,-83.98,-21.99,-17.5385452108
15,2,4.0,-83.58,-22.84,-18.1552565896
16,2,4.0,-83.18,-23.95,-18.7949500606
17,2,4.0,-82.78,-25.39,-19.4583167295
18,2,4.0,-82.38,-26.68,-20.1460403765
19,2,4.0,-81.98,-27.3,-20.8587929766
20,2,4.0,-81.58,-27.47,-21.5972296426
21,2,4.0,-81.18,-27.26,-22.3619829419
22,2,4.0,-80.78,-27.27,-23.1536565365
23,2,4.0,-80.38,-27.87,-23.9728180949
24,2,4.0,-79.98,-28.93,-24.8199914232
25,2,4.0,-79.58,-30.34,-25.6956477622
26,2,4.0,-79.18,-31.59,-26.6001961982
27,2,4.0,-78.78,-32.51,-27.5339731373
28,2,4.0,-78.38,-33.68,-28.4972307925
29,2,4.0,-77.98,-35.34,-29.49012464
30,2,4.0,-77.58,-36.78,-30.5126998032
31,2,4.0,-77.18,-37.78,-31.5648763309
32,2,4.0,-76.78,-38.71,-32.6464333429
33,2,4.0,-76.38,-39.56,-33.75699203
34,2,4.0,-75.98,-40.53,-34.8959975037
35,2,4.0,-75.58,-41.88,-36.0626995117
36,2,4.0,-75.18,-43.05,-37.2561320507
37,2,4.0,-74.78,-43.63,-38.4750919341
38,2,4.0,-74.38,-44.56,-39.7181163963
39,2,4.0,-73.98,-46.05,-40.9834598516
40,2,4.0,-73.58,-47.57,-42.2690699587
41,2,4.0,-73.18,-49.07,-43.5725631913
42,2,4.0,-72.78,-50.55,-44.89120016
43,2,4.0,-72.38,-51.96,-46.2218609955
44,2,4.0,-71.98,-53.4,-47.5610211641
45,2,4.0,-71.58,-54.97,-48.9047281664
46,2,4.0,-71.18,-56.46,-50.2485796499
47,2,4.0,-70.78,-57.64,-51.5877035639
48,2,4.0,-70.38,-58.58,-52.9167410806
49,2,4.0,-69.98,-59.35,-54.2298331202
50,2,4.0,-69.58,-60.16,-55.5206114243
51,2,4.0,-69.18,-61.13,-56.7821952406
52,2,4.0,-68.78,-62.31,-58.0071947886
53,2,4.0,-68.38,-63.69,-59.1877227795
54,2,4.0,-67.98,-65.07,-60.3154153452
55,2,4.0,-67.58,-66.35,-61.3814637866
56,2,4.0,-67.18,-67.44,-62.3766585705
57,2,4.0,-66.78,-68.09,-63.2914469679
58,2,4.0,-66.38,-68.35,-64.1160056246
59,2,4.0,-65.98,-68.51,-64.8403291748
60,2,4.0,-65.58,-68.79,-65.4543357287
61,2,4.0,-65.18,-69.27,-65.9479896799
62,2,4.0,-64.78,-69.45,-66.3114417776
63,2,4.0,-64.38,-68.99,-66.5351857831
64,2,4.0,-63.98,-68.39,-66.6102302899
65,2,4.0,-63.58,-67.87,-66.5282834416
66,2,4.0,-63.18,-67.28,-66.2819473526
67,2,4.0,-62.78,-66.61,-65.864918066
68,2,4.0,-62.38,-65.86,-65.2721859117
69,2,4.0,-61.98,-65.01,-64.5002302252
70,2,4.0,-61.58,-64.08,-63.5472016209
71,2,4.0,-61.18,-63.07,-62.413084461
72,2,4.0,-60.78,-61.77,-61.0998319059
73,2,4.0,-60.38,-60.11,-59.6114660444
74,2,4.0,-59.98,-58.19,-57.9541361368
75,2,4.0,-59.58,-56.15,-56.1361290056
76,2,4.0,-59.18,-54.17,-54.16782706
77,2,4.0,-58.78,-52.28,-52.0616113251
78,2,4.0,-58.38,-50.34,-49.831709066
79,2,4.0,-57.98,-48.31,-47.4939880406
80,2,4.0,-57.58,-45.75,-45.0657019352
81,2,4.0,-57.18,-42.01,-42.5651939497
82,2,4.0,-56.78,-38.66,-40.0115676423
83,2,4.0,-56.38,-36.32,-37.4243358451
84,2,4.0,-55.98,-33.99,-34.8230595973
85,2,4.0,-55.58,-31.63,-32.2269895219
86,2,4.0,-55.18,-29.2,-29.6547218595
87,2,4.0,-54.78,-26.71,-27.1238804979
88,2,4.0,-54.38,-24.16,-24.6508348701
89,2,4.0,-53.98,-21.6,-22.2504616536
90,2,4.0,-53.58,-19.32,-19.9359559469
91,2,4.0,-53.18,-17.51,-17.7186951807
92,2,4.0,-52.78,-15.89,-15.6081566125
93,2,4.0,-52.38,-14.32,-13.6118869972
94,2,4.0,-51.98,-12.94,-11.735521044
95,2,4.0,-51.58,-11.74,-9.98284365778
96,2,4.0,-51.18,-10.54,-8.35588975964
97,2,4.0,-50.78,-9.23,-6.85507472088
98,2,4.0,-50.38,-8.01,-5.4793480957
99,2,4.0,-49.98,-7.14,-4.22636337658
100,2,4.0,-49.58,-6.48,-3.09265685479
101,2,4.0,-49.18,-5.88,-2.07382928348
102,2,4.0,-48.78,-5.53,-1.16472483895
103,2,4.0,-48.38,-5.52,-0.359602785111
104,2,4.0,-47.98,-5.5,0.347701796666
105,2,4.0,-47.58,-5.33,0.963630902772
106,2,4.0,-47.18,-5.08,1.49477192319
107,2,4.0,-46.78,-4.69,1.94774236619
108,2,4.0,-46.38,-4.42,2.32909128059
109,2,4.0,-45.98,-4.38,2.64521708425
110,2,4.0,-45.58,-4.41,2.90230105061
111,2,4.0,-45.18,-4.51,3.10625536418
112,2,4.0,-44.78,-4.8,3.26268442481
113,2,4.0,-44.38,-5.36,3.37685794322
114,2,4.0,-43.98,-5.84,3.45369431361
115,2,4.0,-43.58,-6.0,3.49775275693
