,LINE,EAST,NRTH,res_TMI
0,2,4.0,-89.58,-15.5
1,2,4.0,-89.18,-15.98
2,2,4.0,-88.78,-16.45
3,2,4.0,-88.38,-16.88
4,2,4.0,-87.98,-17.36
5,2,4.0,-87.58,-18.04
6,2,4.0,-87.18,-18.66
7,2,4.0,-86.78,-19.01
8,2,4.0,-86.38,-19.24
9,2,4.0,-85.98,-19.35
10,2,4.0,-85.58,-19.63
11,2,4.0,-85.18,-20.23
12,2,4.0,-84.78,-20.86
13,2,4.0,-84.38,-21.38
14,2,4.0,-83.98,-21.99
15,2,4.0,-83.58,-22.84
16,2,4.0,-83.18,-23.95
17,2,4.0,-82.78,-25.39
18,2,4.0,-82.38,-26.68
19,2,4.0,-81.98,-27.3
20,2,4.0,-81.58,-27.47
21,2,4.0,-81.18,-27.26
22,2,4.0,-80.78,-27.27
23,2,4.0,-80.38,-27.87
24,2,4.0,-79.98,-28.93
25,2,4.0,-79.58,-30.34
26,2,4.0,-79.18,-31.59
27,2,4.0,-78.78,-32.51
28,2,4.0,-78.38,-33.68
29,2,4.0,-77.98,-35.34
30,2,4.0,-77.58,-36.78
31,2,4.0,-77.18,-37.78
32,2,4.0,-76.78,-38.71
33,2,4.0,-76.38,-39.56
34,2,4.0,-75.98,-40.53
35,2,4.0,-75.58,-41.88
36,2,4.0,-75.18,-43.05
37,2,4.0,-74.78,-43.63
38,2,4.0,-74.38,-44.56
39,2,4.0,-73.98,-46.05
40,2,4.0,-73.58,-47.57
41,2,4.0,-73.18,-49.07
42,2,4.0,-72.78,-50.55
43,2,4.0,-72.38,-51.96
44,2,4.0,-71.98,-53.4
45,2,4.0,-71.58,-54.97
46,2,4.0,-71.18,-56.46
47,2,4.0,-70.78,-57.64
48,2,4.0,-70.38,-58.58
49,2,4.0,-69.98,-59.35
50,2,4.0,-69.58,-60.16
51,2,4.0,-69.18,-61.13
52,2,4.0,-68.78,-62.31
53,2,4.0,-68.38,-63.69
54,2,4.0,-67.98,-65.07
55,2,4.0,-67.58,-66.35
56,2,4.0,-67.18,-67.44
57,2,4.0,-66.78,-68.09
58,2,4.0,-66.38,-68.35
59,2,4.0,-65.98,-68.51
60,2,4.0,-65.58,-68.79
61,2,4.0,-65.18,-69.27
62,2,4.0,-64.78,-69.45
