LINE,EAST,NRTH,res_TMI,MAG_MOD
         01,2.000000,-29.780000,-999999,-1.239200
         01,2.000000,-29.980000,-999999,-1.258279
         01,2.000000,-30.180000,-999999,-1.277902
         01,2.000000,-30.380000,-999999,-1.298090
         01,2.000000,-30.580000,-999999,-1.318866
         01,2.000000,-30.780000,-999999,-1.340252
         01,2.000000,-30.980000,-999999,-1.362270
         01,2.000000,-31.180000,-999999,-1.384946
         01,2.000000,-31.380000,-999999,-1.408305
         01,2.000000,-31.580000,-999999,-1.432373
         01,2.000000,-31.780000,-999999,-1.457179
         01,2.000000,-31.980000,-999999,-1.482749
         01,2.000000,-32.180000,-999999,-1.509115
         01,2.000000,-32.380000,-999999,-1.536308
         01,2.000000,-32.580000,-999999,-1.564359
         01,2.000000,-32.780000,-999999,-1.593301
         01,2.000000,-32.980000,-999999,-1.623171
         01,2.000000,-33.180000,-999999,-1.654004
         01,2.000000,-33.380000,-999999,-1.685837
         01,2.000000,-33.580000,-999999,-1.718710
         01,2.000000,-33.780000,-999999,-1.752664
         01,2.000000,-33.980000,-999999,-1.787740
         01,2.000000,-34.180000,-999999,-1.823983
         01,2.000000,-34.380000,-999999,-1.861438
         01,2.000000,-34.580000,-999999,-1.900153
         01,2.000000,-34.780000,-999999,-1.940176
         01,2.000000,-34.980000,-999999,-1.981560
         01,2.000000,-35.180000,-999999,-2.024356
         01,2.000000,-35.380000,-999999,-2.068619
         01,2.000000,-35.580000,-999999,-2.114408
         01,2.000000,-35.780000,-999999,-2.161780
         01,2.000000,-35.980000,-999999,-2.210797
         01,2.000000,-36.180000,-999999,-2.261522
         01,2.000000,-36.380000,-999999,-2.314022
         01,2.000000,-36.580000,-999999,-2.368365
         01,2.000000,-36.780000,-999999,-2.424620
         01,2.000000,-36.980000,-999999,-2.482861
         01,2.000000,-37.180000,-999999,-2.543164
         01,2.000000,-37.380000,-999999,-2.605607
         01,2.000000,-37.580000,-999999,-2.670271
         01,2.000000,-37.780000,-999999,-2.737238
         01,2.000000,-37.980000,-999999,-2.806596
         01,2.000000,-38.180000,-999999,-2.878434
         01,2.000000,-38.380000,-999999,-2.952843
         01,2.000000,-38.580000,-999999,-3.029919
         01,2.000000,-38.780000,-999999,-3.109758
         01,2.000000,-38.980000,-999999,-3.192463
         01,2.000000,-39.180000,-999999,-3.278137
         01,2.000000,-39.380000,-999999,-3.366886
         01,2.000000,-39.580000,-999999,-3.458821
         01,2.000000,-39.780000,-999999,-3.554055
         01,2.000000,-39.980000,-999999,-3.652704
         01,2.000000,-40.180000,-999999,-3.754887
         01,2.000000,-40.380000,-999999,-3.860726
         01,2.000000,-40.580000,-999999,-3.970347
         01,2.000000,-40.780000,-999999,-4.083879
         01,2.000000,-40.980000,-999999,-4.201452
         01,2.000000,-41.180000,-999999,-4.323201
         01,2.000000,-41.380000,-999999,-4.449264
         01,2.000000,-41.580000,-999999,-4.579780
         01,2.000000,-41.780000,-999999,-4.714893
         01,2.000000,-41.980000,-999999,-4.854748
         01,2.000000,-42.180000,-999999,-4.999493
         01,2.000000,-42.380000,-999999,-5.149279
         01,2.000000,-42.580000,-999999,-5.304257
         01,2.000000,-42.780000,-999999,-5.464583
         01,2.000000,-42.980000,-999999,-5.630413
         01,2.000000,-43.180000,-999999,-5.801905
         01,2.000000,-43.380000,-999999,-5.979218
         01,2.000000,-43.580000,-999999,-6.162514
         01,2.000000,-43.780000,-999999,-6.351952
         01,2.000000,-43.980000,-999999,-6.547695
         01,2.000000,-44.180000,-999999,-6.749906
         01,2.000000,-44.380000,-999999,-6.958744
         01,2.000000,-44.580000,-999999,-7.174373
         01,2.000000,-44.780000,-999999,-7.396950
         01,2.000000,-44.980000,-999999,-7.626635
         01,2.000000,-45.180000,-999999,-7.863584
         01,2.000000,-45.380000,-999999,-8.107950
         01,2.000000,-45.580000,-999999,-8.359885
         01,2.000000,-45.780000,-999999,-8.619534
         01,2.000000,-45.980000,-999999,-8.887040
         01,2.000000,-46.180000,-999999,-9.162540
         01,2.000000,-46.380000,-999999,-9.446167
         01,2.000000,-46.580000,-999999,-9.738044
         01,2.000000,-46.780000,-999999,-10.038291
         01,2.000000,-46.980000,-999999,-10.347016
         01,2.000000,-47.180000,-999999,-10.664322
         01,2.000000,-47.380000,-999999,-10.990299
         01,2.000000,-47.580000,-999999,-11.325029
         01,2.000000,-47.780000,-999999,-11.668581
         01,2.000000,-47.980000,-999999,-12.021012
         01,2.000000,-48.180000,-999999,-12.382367
         01,2.000000,-48.380000,-999999,-12.752675
         01,2.000000,-48.580000,-999999,-13.131951
         01,2.000000,-48.780000,-999999,-13.520195
         01,2.000000,-48.980000,-999999,-13.917387
         01,2.000000,-49.180000,-999999,-14.323492
         01,2.000000,-49.380000,-999999,-14.738456
         01,2.000000,-49.580000,-999999,-15.162202
         01,2.000000,-49.780000,-999999,-15.594637
         01,2.000000,-49.980000,-999999,-16.035643
         01,2.000000,-50.180000,-999999,-16.485080
         01,2.000000,-50.380000,-999999,-16.942788
         01,2.000000,-50.580000,-999999,-17.408578
         01,2.000000,-50.780000,-999999,-17.882241
         01,2.000000,-50.980000,-999999,-18.363541
         01,2.000000,-51.180000,-999999,-18.852215
         01,2.000000,-51.380000,-999999,-19.347977
         01,2.000000,-51.580000,-999999,-19.850510
         01,2.000000,-51.780000,-999999,-20.359475
         01,2.000000,-51.980000,-999999,-20.874502
         01,2.000000,-52.180000,-999999,-21.395196
         01,2.000000,-52.380000,-999999,-21.921133
         01,2.000000,-52.580000,-999999,-22.451864
         01,2.000000,-52.780000,-999999,-22.986913
         01,2.000000,-52.980000,-999999,-23.525776
         01,2.000000,-53.180000,-999999,-24.067924
         01,2.000000,-53.380000,-999999,-24.612804
         01,2.000000,-53.580000,-999999,-25.159837
         01,2.000000,-53.780000,-999999,-25.708423
         01,2.000000,-53.980000,-999999,-26.257936
         01,2.000000,-54.180000,-999999,-26.807732
         01,2.000000,-54.380000,-999999,-27.357147
         01,2.000000,-54.580000,-999999,-27.905498
         01,2.000000,-54.780000,-999999,-28.452085
         01,2.000000,-54.980000,-999999,-28.996195
         01,2.000000,-55.180000,-999999,-29.537100
         01,2.000000,-55.380000,-999999,-30.074064
         01,2.000000,-55.580000,-999999,-30.606341
         01,2.000000,-55.780000,-999999,-31.133176
         01,2.000000,-55.980000,-999999,-31.653815
         01,2.000000,-56.180000,-999999,-32.167498
         01,2.000000,-56.380000,-999999,-32.673467
         01,2.000000,-56.580000,-999999,-33.170968
         01,2.000000,-56.780000,-999999,-33.659253
         01,2.000000,-56.980000,-999999,-34.137581
         01,2.000000,-57.180000,-999999,-34.605221
         01,2.000000,-57.380000,-999999,-35.061459
         01,2.000000,-57.580000,-999999,-35.505594
         01,2.000000,-57.780000,-999999,-35.936944
