Scan started at 15:36:41 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0946045	-0.0766602	369.63	0.195622	0.00243825	0.00187647	11.5799	0	-31685.9	-29827.7	-25930.1	0.195622	1078.39	1010.01	927.978	
0.00499208	-0.100891	-0.0831909	369.62	0.293434	0.00454015	0.00321707	25.042	0.00499208	-31699.7	-29755.3	-25954.5	0.293434	2331.27	2181.07	1967.83	
0.00998416	-0.103597	-0.0866699	369.611	0.391245	0.0041984	0.00375922	11.4961	0.00998416	-31629.3	-29808.7	-25979.3	0.391245	1058.91	991.334	890.206	
0.0149762	-0.103241	-0.0855103	369.604	0.489056	0.00457899	0.00437222	15.0508	0.0149762	-31585.7	-29870.9	-25978.1	0.489056	1397.53	1310.67	1182.23	
0.0199683	-0.102692	-0.0848084	369.589	0.586867	0.00194809	0.00202791	10.9561	0.0199683	-31583.2	-29873.7	-25977	0.586867	1015.78	949.182	856.865	
0.0249604	-0.102844	-0.0850525	369.57	0.684678	0.00475645	0.00426352	10.8221	0.0249604	-31581.5	-29876.6	-25976.7	0.684678	999.033	938.037	841.88	
0.0299525	-0.102997	-0.0835266	369.557	0.782489	0.00294532	0.00267177	10.3504	0.0299525	-31580	-29876.9	-25976	0.782489	955.582	897.56	805.351	
0.0349446	-0.102844	-0.0843201	369.542	0.880301	0.00235321	0.00243856	8.46108	0.0349446	-31579.9	-29876.6	-25975.6	0.880301	778.19	730.233	654.179	
0.0399366	-0.102386	-0.0856323	369.526	0.978112	0.00286424	0.00241839	9.55329	0.0399366	-31579.3	-29876.1	-25975.1	0.978112	882.803	829.39	745.742	
0.0449287	-0.100861	-0.082428	369.52	1.07592	0.00209026	0.00184284	6.95148	0.0449287	-31580.1	-29875	-25974.4	1.07592	637.526	597.979	534.403	
0.0499208	-0.097992	-0.0812378	369.504	1.17373	0.00173716	0.00172543	8.66524	0.0499208	-31579.1	-29875.3	-25974.5	1.17373	798.811	751.728	673.965	
0.0549129	-0.0952759	-0.0760498	369.484	1.27155	0.0013889	0.00138781	5.89872	0.0549129	-31577.3	-29875.7	-25974.2	1.27155	538.826	506.931	452.142	
0.059905	-0.0861817	-0.0645447	369.469	1.36936	0.00218057	0.00192698	7.64251	0.059905	-31577.1	-29875.5	-25973.9	1.36936	707.371	662.056	595.553	
0.064897	-0.0681152	-0.0500183	369.441	1.46717	0.00100541	0.00095004	5.1132	0.064897	-31576.1	-29875.6	-25973.4	1.46717	466.858	439.459	391.931	
0.0698891	-0.0502014	-0.030426	369.412	1.56498	0.00116905	0.000932619	6.56289	0.0698891	-31574.7	-29877	-25972.9	1.56498	605.297	570.52	511.066	
0.0748812	-0.0306702	-0.0138855	369.388	1.66279	0.00151326	0.00133429	4.50204	0.0748812	-31572.6	-29878.2	-25972.5	1.66279	412.545	387.014	345.884	
0.0798733	-0.0188904	-0.00378418	369.358	1.7606	0.00168102	0.00143832	5.44249	0.0798733	-31572.3	-29878.1	-25971.8	1.7606	502.631	471.434	423.775	
0.0848654	-0.0169678	-3.05176e-005	369.335	1.85841	0.001106	0.000950966	4.01031	0.0848654	-31573	-29876.9	-25970.8	1.85841	368.141	346.413	310.187	
0.0898574	-0.0227661	-0.00970459	369.316	1.95622	0.00130714	0.00122606	4.31117	0.0898574	-31574.5	-29875	-25969.7	1.95622	398.227	372.286	334.686	
0.0948495	-0.0386047	-0.0233154	369.299	2.05403	0.00119532	0.00120471	3.61206	0.0948495	-31577.7	-29874.2	-25969	2.05403	333.964	312.079	280.75	
0.0998416	-0.0567932	-0.0415649	369.281	2.15185	0.000615863	0.000641327	3.1846	0.0998416	-31577.2	-29873.9	-25968.9	2.15185	293.161	276.291	247.716	
