Scan started at 15:51:17 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0584717	-0.0385742	371.597	0.195622	0.00187581	0.00160302	11.916	0	-31401.2	-30033.4	-26048.3	0.195622	1076.05	1045.12	883.586	
0.00499208	-0.0596924	-0.0296021	371.594	0.293434	0.00549284	0.00400537	25.2193	0.00499208	-31455.6	-30062.7	-26029	0.293434	2329.59	2210.73	1964.83	
0.00998416	-0.0575765	-0.0296224	371.589	0.391245	0.00558908	0.00544968	11.5196	0.00998416	-31540.2	-29986.4	-26027.6	0.391245	1058.12	1026.82	920.313	
0.0149762	-0.0596619	-0.0316467	371.589	0.489056	0.00393173	0.00390761	15.2148	0.0149762	-31554.9	-29934.6	-26035.8	0.489056	1396.58	1313.42	1193.82	
0.0199683	-0.0569458	-0.0314331	371.587	0.586867	0.00346388	0.00330756	11.0729	0.0199683	-31555.3	-29934	-26035.6	0.586867	1015.72	933.126	853.983	
0.0249604	-0.0558472	-0.0345154	371.587	0.684678	0.00678633	0.00654356	10.9299	0.0249604	-31556.3	-29931.1	-26035.7	0.684678	999.962	931.357	830.038	
0.0299525	-0.0550232	-0.0342712	371.595	0.782489	0.00626428	0.00569406	10.4444	0.0299525	-31555.7	-29931.4	-26035.6	0.782489	958.591	901.372	799.899	
0.0349446	-0.0536804	-0.0333252	371.594	0.880301	0.00341021	0.00308157	8.55337	0.0349446	-31554.8	-29933.7	-26036.6	0.880301	777.025	743.525	656.923	
0.0399366	-0.0562744	-0.0339356	371.591	0.978112	0.00696391	0.00667901	9.66167	0.0399366	-31554.9	-29932.6	-26036.9	0.978112	883.529	837.071	747.897	
0.0449287	-0.0537415	-0.0317688	371.591	1.07592	0.0033881	0.00336594	7.03105	0.0449287	-31555.1	-29932.6	-26036.3	1.07592	636.393	601.923	537.192	
0.0499208	-0.0559998	-0.0340881	371.585	1.17373	0.00188353	0.00215037	8.75752	0.0499208	-31555.3	-29933.7	-26036.5	1.17373	798.246	753.887	672.364	
0.0549129	-0.0552063	-0.0366211	371.584	1.27155	0.00481754	0.00469203	5.95926	0.0549129	-31554.5	-29934	-26037	1.27155	540.161	507.136	451.75	
0.059905	-0.0550842	-0.0378113	371.59	1.36936	0.00367612	0.00376991	7.71611	0.059905	-31554.9	-29933.6	-26037.4	1.36936	706.732	665.251	594.734	
0.064897	-0.0568237	-0.0401306	371.592	1.46717	0.00204673	0.00188651	5.1629	0.064897	-31556.4	-29932.4	-26036.5	1.46717	467.477	442.087	393.114	
0.0698891	-0.055481	-0.0414734	371.591	1.56498	0.00283932	0.0027229	6.62503	0.0698891	-31555.7	-29933.3	-26036.3	1.56498	606.409	572.089	510.937	
0.0748812	-0.0555115	-0.0397339	371.593	1.66279	0.00433235	0.00439737	4.54133	0.0748812	-31556.9	-29932.9	-26037	1.66279	412.511	389.306	347.008	
0.0798733	-0.0585022	-0.0376282	371.59	1.7606	0.00265309	0.0023994	5.49959	0.0798733	-31557.1	-29932.2	-26036.6	1.7606	501.389	474.886	423.296	
0.0848654	-0.058136	-0.0371399	371.591	1.85841	0.00212434	0.00205291	4.05173	0.0848654	-31555.4	-29932.2	-26035.5	1.85841	367.343	348.885	310.106	
0.0898574	-0.0584107	-0.0348816	371.592	1.95622	0.00272405	0.00257895	4.34927	0.0898574	-31555	-29932.7	-26035.2	1.95622	397.324	374.631	334.401	
0.0948495	-0.0588989	-0.032959	371.595	2.05403	0.0023579	0.00204398	3.6577	0.0948495	-31554.3	-29932.5	-26036.2	2.05403	333.091	314.407	280.44	
0.0998416	-0.0561524	-0.0338135	371.594	2.15185	0.00204856	0.00189652	3.21691	0.0998416	-31555.2	-29932	-26036.4	2.15185	294.744	276.431	247.189	
0.104834	-0.0560303	-0.0335388	371.592	2.24966	0.00254773	0.00252731	3.31097	0.104834	-31554.4	-29933.5	-26036.6	2.24966	304.801	285.765	256.062	
0.109826	-0.0540161	-0.0314331	371.594	2.34747	0.000944137	0.00111252	2.13403	0.109826	-31553	-29934.1	-26036.8	2.34747	193.315	184.376	163.832	
0.114818	-0.0553589	-0.0336914	371.589	2.44528	0.00102461	0.00110279	3.03821	0.114818	-31555.7	-29932.2	-26036.2	2.44528	279.5	262.916	235.626	
0.11981	-0.0572815	-0.0321045	371.591	2.54309	0.000665908	0.000798675	1.12366	0.11981	-31556.4	-29931.4	-26036.3	2.54309	101.433	95.9981	85.6002	
0.124802	-0.057312	-0.0330505	371.588	2.6409	0.00103876	0.000893103	2.80028	0.124802	-31554.3	-29932.8	-26036.9	2.6409	258.321	243.589	218.251	
