Scan started at 15:58:34 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0473633	-0.0280762	371.547	0.195622	0.00228598	0.00201536	11.7522	0	-31633.8	-29906.6	-25966.6	0.195622	1079.09	1017.1	921.239	
0.00499208	-0.0510864	-0.0330811	371.548	0.293434	0.00540654	0.00424937	25.1611	0.00499208	-31663.5	-29822.3	-25997.2	0.293434	2329.42	2185.05	1965.3	
0.00998416	-0.0542399	-0.0351969	371.548	0.391245	0.00525241	0.00524238	11.4589	0.00998416	-31602	-29860	-26027.3	0.391245	1055.02	994.249	893.498	
0.0149762	-0.054596	-0.0354004	371.547	0.489056	0.00480255	0.00462936	15.203	0.0149762	-31554.5	-29921	-26027	0.489056	1399.32	1314.33	1176	
0.0199683	-0.0553894	-0.0351563	371.545	0.586867	0.00426469	0.00385743	11.061	0.0199683	-31554.6	-29921.6	-26027.1	0.586867	1015.46	954.025	852.852	
0.0249604	-0.0558167	-0.0328064	371.546	0.684678	0.00624913	0.00592394	10.9182	0.0249604	-31555.1	-29922	-26027.2	0.684678	999.057	941.787	839.908	
0.0299525	-0.0569153	-0.031189	371.546	0.782489	0.00428217	0.00419035	10.4369	0.0299525	-31554	-29921.3	-26027.2	0.782489	955.83	900.678	803.43	
0.0349446	-0.0556641	-0.0295105	371.551	0.880301	0.00317603	0.00295739	8.52524	0.0349446	-31554.3	-29920.5	-26026.5	0.880301	778.001	733.129	653.627	
0.0399366	-0.0541382	-0.0297546	371.554	0.978112	0.00540551	0.00524044	9.63131	0.0399366	-31553.5	-29919.6	-26025.9	0.978112	884.311	831.429	743.8	
0.0449287	-0.0535584	-0.0291748	371.552	1.07592	0.00408317	0.00397372	7.00037	0.0449287	-31552.1	-29919	-26025.8	1.07592	636.867	601.029	534.719	
0.0499208	-0.0506897	-0.0273132	371.552	1.17373	0.0045995	0.00429145	8.702	0.0499208	-31553	-29919	-26025.5	1.17373	801.684	751.25	673.009	
0.0549129	-0.0533142	-0.0292969	371.548	1.27155	0.00510458	0.00488457	5.94686	0.0549129	-31553.6	-29918.5	-26025.4	1.27155	537.764	510.635	451.902	
0.059905	-0.0558167	-0.0296631	371.545	1.36936	0.00255628	0.00251088	7.70672	0.059905	-31554	-29918.6	-26025.5	1.36936	706.002	666.009	594.147	
0.064897	-0.0524597	-0.0334168	371.547	1.46717	0.0019756	0.00201434	5.16236	0.064897	-31553.7	-29919.4	-26025.8	1.46717	466.73	441.741	391.76	
0.0698891	-0.0545044	-0.0396729	371.546	1.56498	0.00218075	0.00202245	6.61044	0.0698891	-31553.3	-29919.7	-26025.9	1.56498	607.026	570.84	509.8	
0.0748812	-0.0531006	-0.0421448	371.549	1.66279	0.00485726	0.0047605	4.53666	0.0748812	-31553.1	-29919.6	-26025.8	1.66279	412.852	388.279	345.747	
0.0798733	-0.0523987	-0.0439453	371.55	1.7606	0.0036562	0.00342472	5.48353	0.0798733	-31552.5	-29918.9	-26025.4	1.7606	503.736	472.196	422.64	
0.0848654	-0.0563049	-0.0431213	371.548	1.85841	0.00213331	0.00194169	4.04178	0.0848654	-31553.4	-29918.5	-26025.5	1.85841	367.949	348.307	309.576	
0.0898574	-0.0581665	-0.0418701	371.544	1.95622	0.00233024	0.00224186	4.33404	0.0898574	-31553.7	-29918.5	-26025.6	1.95622	396.864	374.9	334.658	
0.0948495	-0.0593262	-0.0415344	371.539	2.05403	0.001731	0.0016573	3.64662	0.0948495	-31553.3	-29918.3	-26025.4	2.05403	333.258	313.989	280.43	
0.0998416	-0.0560608	-0.0389099	371.54	2.15185	0.00153809	0.00163076	3.21011	0.0998416	-31553.8	-29918.9	-26025.8	2.15185	294.961	275.764	246.883	
0.104834	-0.0552368	-0.0379334	371.538	2.24966	0.00216953	0.00215653	3.30222	0.104834	-31553.6	-29918.9	-26025.6	2.24966	305.072	285.132	255.982	
0.109826	-0.0539856	-0.0362549	371.541	2.34747	0.0011087	0.00130352	2.12986	0.109826	-31553.4	-29919.1	-26025.2	2.34747	193.505	183.905	163.498	
0.114818	-0.0525513	-0.032959	371.54	2.44528	0.00168676	0.00163685	3.02794	0.114818	-31552.6	-29920.1	-26025.7	2.44528	279.708	262.505	235.735	
0.11981	-0.0524292	-0.0333557	371.543	2.54309	0.00145244	0.00146646	1.12135	0.11981	-31552.2	-29919.8	-26025.6	2.54309	101.16	96.2192	85.4594	
0.124802	-0.0531616	-0.0346069	371.543	2.6409	0.000824051	0.000703835	2.79389	0.124802	-31552.2	-29919.3	-26025.4	2.6409	258.643	243.106	218.376	
0.129794	-0.0494995	-0.034668	371.546	2.73871	0.00109229	0.00110569	0.263955	0.129794	-31551.9	-29918.6	-26025.7	2.73871	17.8692	16.7975	15.1438	
0.134786	-0.0497131	-0.03479	371.546	2.83652	0.00181344	0.00166431	2.60269	0.134786	-31552.2	-29917.9	-26025.4	2.83652	241.526	225.687	203.375	
0.139778	-0.0508118	-0.032196	371.546	2.93434	0.00147725	0.00162268	0.640698	0.139778	-31551.9	-29917.7	-26025.1	2.93434	56.6555	52.8918	47.6484	
0.14477	-0.050415	-0.0320129	371.546	3.03215	0.00096574	0.000840341	2.43627	0.14477	-31552.2	-29917.8	-26025.2	3.03215	225.352	212.053	190.166	
0.149762	-0.0511169	-0.0313416	371.543	3.12996	0.00140496	0.00132757	1.29727	0.149762	-31552.6	-29918.6	-26025.3	3.12996	118.524	111.445	99.6714	
0.154754	-0.050415	-0.032135	371.545	3.22777	0.00114667	0.000974129	2.29884	0.154754	-31553.2	-29918.9	-26025.4	3.22777	211.721	199.425	178.527	
0.159747	-0.0527344	-0.0376587	371.54	3.32558	0.000535681	0.000647823	1.83221	0.159747	-31553.5	-29919.3	-26025.6	3.32558	167.782	157.749	141.082	
0.164739	-0.0513306	-0.0352783	371.542	3.42339	0.00113184	0.00111391	2.17935	0.164739	-31552.2	-29919.9	-26025.9	3.42339	200.251	187.872	168.191	
0.169731	-0.0515747	-0.0338135	371.544	3.5212	0.000747676	0.000579624	2.22203	0.169731	-31552.5	-29919.7	-26025.9	3.5212	204.088	191.504	171.449	
0.174723	-0.0500488	-0.0334168	371.543	3.61901	0.000595905	0.0005921	2.07219	0.174723	-31553.2	-29919	-26025.5	3.61901	188.866	178.841	159.02	
0.179715	-0.0480347	-0.0298462	371.546	3.71683	0.00065747	0.000626442	2.47294	0.179715	-31553.3	-29918.8	-26025.7	3.71683	225.791	214.33	190.663	
0.184707	-0.0500183	-0.031189	371.547	3.81464	0.00112431	0.00093219	1.97518	0.184707	-31554.4	-29918.9	-26025.5	3.81464	179.879	169.479	150.783	
0.189699	-0.0508423	-0.0324402	371.547	3.91245	0.000912207	0.000881115	2.5819	0.189699	-31554	-29919.1	-26025.2	3.91245	236.951	223.069	199.188	
0.194691	-0.0531616	-0.0341187	371.549	4.01026	0.000677753	0.000568906	1.88502	0.194691	-31553.6	-29919.6	-26025.8	4.01026	171.397	161.086	143.447	
0.199683	-0.0565796	-0.0374756	371.548	4.10807	0.00101768	0.000884157	2.56428	0.199683	-31553.2	-29919.9	-26025.7	4.10807	235.415	221.081	197.769	
0.204675	-0.0569458	-0.0383606	371.546	4.20588	0.000551793	0.000593217	1.79808	0.204675	-31553.3	-29920	-26025.9	4.20588	162.997	154.144	136.729	
0.209667	-0.059967	-0.0396118	371.544	4.30369	0.000680329	0.000501572	2.42527	0.209667	-31553.1	-29920.1	-26025.9	4.30369	222.911	209.19	187.309	
0.214659	-0.0588074	-0.0371704	371.545	4.4015	0.000364361	0.000176257	1.71593	0.214659	-31552	-29920.3	-26025.8	4.4015	155.463	147.455	130.713	
0.219652	-0.0552368	-0.035553	371.546	4.49931	0.000318803	0.000239515	2.19304	0.219652	-31552.5	-29920.4	-26025.7	4.49931	201.406	188.589	168.833	
0.224644	-0.0552673	-0.0343018	371.542	4.59713	0.000634845	0.000499485	1.63807	0.224644	-31553.1	-29919.8	-26025.4	4.59713	149.206	140.616	125.17	
0.229636	-0.054596	-0.0352478	371.544	4.69494	0.00080267	0.00069473	1.87201	0.229636	-31552.9	-29919.2	-26025.5	4.69494	171.428	161.68	144.324	
0.234628	-0.0574341	-0.0378418	371.54	4.79275	0.000743259	0.000712272	1.5637	0.234628	-31553.3	-29919.5	-26025.9	4.79275	143.247	134.453	120.158	
0.23962	-0.0591431	-0.0369263	371.54	4.89056	0.000341683	0.000381055	1.49071	0.23962	-31553.9	-29920	-26025.9	4.89056	136.336	128.846	114.972	
0.244612	-0.0567932	-0.0352783	371.547	4.98837	0.000378732	0.000402061	1.4934	0.244612	-31553.6	-29920.4	-26026	4.98837	137.233	129.181	115.556	
0.249604	-0.0532227	-0.0319824	371.546	5.08618	0.000321527	0.000283673	1.07232	0.249604	-31553.9	-29920.8	-26025.8	5.08618	97.7745	92.3824	82.4366	
0.254596	-0.0509338	-0.0303955	371.546	5.18399	0.000433501	0.000359961	1.43109	0.254596	-31554.2	-29920.9	-26025.7	5.18399	131.924	124.16	111.294	
0.259588	-0.0506287	-0.0311279	371.544	5.2818	0.000479822	0.000383736	0.633046	0.259588	-31553.6	-29920.7	-26025.7	5.2818	57.9282	53.8968	48.3924	
0.26458	-0.0522461	-0.0340576	371.538	5.37962	0.000462041	0.000537021	1.37383	0.26458	-31553	-29920.9	-26026.1	5.37962	127.364	119.256	107.256	
0.269572	-0.052002	-0.0368347	371.539	5.47743	0.000590234	0.000581692	0.210405	0.269572	-31552.7	-29920.9	-26026.1	5.47743	17.3294	16.518	14.7359	
0.274564	-0.0518799	-0.0374146	371.544	5.57524	0.000505517	0.000458199	1.32446	0.274564	-31552.6	-29920.2	-26025.4	5.57524	122.813	115.057	103.557	
0.279556	-0.0528565	-0.0366821	371.547	5.67305	0.00048919	0.000579989	0.244813	0.279556	-31553	-29920	-26025.4	5.67305	21.0557	19.6803	17.6452	
0.284549	-0.0500794	-0.03125	371.551	5.77086	0.00058378	0.000608631	1.28111	0.284549	-31552.5	-29919.8	-26025.3	5.77086	118.629	111.262	100.037	
0.289541	-0.0486755	-0.0289612	371.551	5.86867	0.000476277	0.000493119	0.612492	0.289541	-31552.7	-29919.7	-26025.2	5.86867	55.5237	52.4611	46.8121	
0.294533	-0.0499573	-0.0280457	371.55	5.96648	0.000750285	0.00065034	1.24363	0.294533	-31552.9	-29919.5	-26025.2	5.96648	114.841	107.805	96.7522	
0.299525	-0.0510254	-0.0281677	371.547	6.06429	0.000623955	0.000502778	0.935137	0.299525	-31552.8	-29919.3	-26025.3	6.06429	85.4593	80.6684	71.9349	
0.304517	-0.0533753	-0.0317383	371.545	6.1621	0.000480744	0.000506457	1.21012	0.304517	-31554.4	-29919.7	-26025.6	6.1621	111.32	104.513	93.5902	
0.309509	-0.0557861	-0.0315552	371.545	6.25992	0.000569405	0.000490007	1.19451	0.309509	-31554.8	-29919.6	-26026	6.25992	109.776	102.784	92.152	
0.314501	-0.0552368	-0.0323181	371.544	6.35773	0.000438413	0.000483446	1.1794	0.314501	-31554.5	-29920.2	-26026.3	6.35773	107.696	101.765	90.678	
0.319493	-0.0551453	-0.0350952	371.545	6.45554	0.000296462	0.000313248	1.38356	0.319493	-31554.2	-29920.5	-26026.1	6.45554	126.792	119.556	106.676	
0.324485	-0.0569458	-0.0386047	371.547	6.55335	0.000592812	0.000462351	1.15018	0.324485	-31553.5	-29920.1	-26025.9	6.55335	104.867	98.6038	87.9218	
0.329477	-0.0583496	-0.0409546	371.546	6.65116	0.000668991	0.00061986	1.49608	0.329477	-31553	-29919.8	-26026.1	6.65116	136.726	129.743	115.48	
0.334469	-0.059906	-0.0418701	371.548	6.74897	0.000743333	0.000792142	1.12091	0.334469	-31552.3	-29919.7	-26026.1	6.74897	102.183	95.6617	85.2773	
0.339461	-0.0577698	-0.040863	371.547	6.84678	0.000906285	0.000773734	1.53234	0.339461	-31552.9	-29919.6	-26025.9	6.84678	140.892	131.992	118.243	
0.344454	-0.0573425	-0.0393982	371.541	6.94459	0.00100889	0.000857356	1.09147	0.344454	-31552.8	-29918.7	-26025.3	6.94459	98.5653	93.8354	82.8969	
0.349446	-0.0552368	-0.0386658	371.543	7.04241	0.000922958	0.000944573	1.49327	0.349446	-31552.8	-29918.9	-26025	7.04241	137.063	129.067	115.324	
0.354438	-0.0519409	-0.0357666	371.542	7.14022	0.000593176	0.000605041	1.06022	0.354438	-31554.2	-29919.3	-26025.3	7.14022	96.1888	90.8029	80.662	
0.35943	-0.0531616	-0.0340881	371.542	7.23803	0.000453447	0.000419283	1.38702	0.35943	-31553.9	-29919.7	-26025.5	7.23803	127.017	119.994	107.027	
0.364422	-0.0515747	-0.032898	371.545	7.33584	0.000762109	0.000749401	1.02822	0.364422	-31554.1	-29921.1	-26026.2	7.33584	93.5845	88.3029	78.5147	
0.369414	-0.0531006	-0.0357361	371.544	7.43365	0.000939968	0.000874143	1.22129	0.369414	-31554.8	-29921.4	-26026.3	7.43365	111.874	105.352	94.1856	
0.374406	-0.0525208	-0.0383301	371.542	7.53146	0.00106586	0.000985321	0.997508	0.374406	-31554.5	-29920.6	-26025.9	7.53146	91.1677	85.8171	76.5636	
0.379398	-0.0498657	-0.0375671	371.546	7.62927	0.00117974	0.00098929	1.00492	0.379398	-31554.2	-29920.2	-26025.9	7.62927	92.0686	86.7862	77.4463	
0.38439	-0.0483398	-0.0357361	371.546	7.72708	0.000718943	0.000758549	0.966454	0.38439	-31553.2	-29920	-26026	7.72708	88.9039	83.3943	74.6801	
0.389382	-0.0450745	-0.0350342	371.545	7.82489	0.000739905	0.00066662	0.753255	0.389382	-31552.7	-29920.1	-26025.6	7.82489	68.9502	64.892	57.9275	
0.394374	-0.0448914	-0.0318604	371.546	7.92271	0.000650039	0.000654044	0.938421	0.394374	-31553.1	-29919.5	-26025.4	7.92271	86.6012	81.2854	72.8972	
0.399366	-0.0476074	-0.0341797	371.544	8.02052	0.000671395	0.000649339	0.477947	0.399366	-31553.2	-29919.2	-26025.5	8.02052	43.262	41.311	36.6718	
0.404358	-0.04953	-0.0362549	371.542	8.11833	0.00113744	0.00115246	0.911802	0.404358	-31554.3	-29918.9	-26025.2	8.11833	84.1911	79.4821	71.2261	
