Scan started at 17:47:23 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0490723	-0.0421143	376.158	0.195622	0.0157079	0.0150229	51.4265	0	-31444.2	-29869	-25843.4	0.195622	4833.07	4619.8	4152.12	
0.00499208	-0.0510864	-0.0442505	376.15	0.293434	0.00719553	0.00682489	24.7634	0.00499208	-31373.9	-30021.3	-25821.7	0.293434	2323	2220.66	1995.78	
0.00998416	-0.044515	-0.0419922	376.144	0.391245	0.00961229	0.00945665	10.1363	0.00998416	-31410.6	-30064.5	-25806.7	0.391245	943.379	900.983	810.584	
0.0149762	-0.0457764	-0.043457	376.145	0.489056	0.0033856	0.00312866	14.8534	0.0149762	-31464.6	-30010.8	-25809.7	0.489056	1393.86	1332.29	1197.5	
0.0199683	-0.0445557	-0.0411377	376.142	0.586867	0.00444456	0.00403674	14.5401	0.0199683	-31463.9	-30010.7	-25809.4	0.586867	1365.66	1305.72	1173.48	
0.0249604	-0.0436401	-0.0331726	376.138	0.684678	0.00571271	0.00549257	10.6078	0.0249604	-31464.6	-30010.1	-25808.9	0.684678	995.613	951.685	855.357	
0.0299525	-0.0498352	-0.0360718	376.141	0.782489	0.00353847	0.00348665	9.28225	0.0299525	-31463.7	-30010.1	-25808.7	0.782489	871.3	832.528	748.393	
0.0349446	-0.0507202	-0.0339356	376.143	0.880301	0.00431658	0.00415217	8.2496	0.0349446	-31463.4	-30010.8	-25809.2	0.880301	774.101	740.5	665.369	
0.0399366	-0.0523377	-0.0371399	376.148	0.978112	0.00369143	0.00359869	5.84429	0.0399366	-31463.5	-30010.7	-25809.7	0.978112	547.281	523.785	470.597	
0.0449287	-0.0518494	-0.0432129	376.155	1.07592	0.00500377	0.00507398	6.74989	0.0449287	-31463.7	-30010.1	-25809.5	1.07592	633.654	605.549	544.315	
0.0499208	-0.0496521	-0.0429382	376.154	1.17373	0.00253941	0.00225198	8.07364	0.0499208	-31463.9	-30010.4	-25809	1.17373	758.726	725.471	651.945	
0.0549129	-0.039917	-0.0437012	376.152	1.27155	0.0039096	0.00390153	5.71118	0.0549129	-31464.5	-30010.7	-25809	1.27155	535.81	512.823	460.727	
0.059905	-0.0379944	-0.0422058	376.148	1.36936	0.00292535	0.00286687	1.5216	0.059905	-31464.9	-30010.3	-25808.6	1.36936	137.252	131.576	118.373	
0.064897	-0.0394898	-0.0435791	376.148	1.46717	0.00310534	0.00306202	4.95114	0.064897	-31464.9	-30009.8	-25808.3	1.46717	464.62	444.168	399.194	
0.0698891	-0.04599	-0.0390625	376.147	1.56498	0.00374893	0.00365833	6.55276	0.0698891	-31464.3	-30008.9	-25808.4	1.56498	615.83	589.106	529.286	
0.0748812	-0.0508728	-0.0388794	376.149	1.66279	0.00245131	0.00231895	4.36843	0.0748812	-31463	-30009.4	-25808.4	1.66279	409.821	392.127	352.309	
0.0798733	-0.0522766	-0.0366516	376.148	1.7606	0.00156458	0.0015106	1.18579	0.0798733	-31462.2	-30009.8	-25808.6	1.7606	106.882	102.154	91.9607	
0.0848654	-0.0490418	-0.0437012	376.149	1.85841	0.00556701	0.00549919	3.90816	0.0848654	-31462.2	-30008.9	-25808.1	1.85841	366.671	350.898	315.238	
0.0898574	-0.0455322	-0.0498962	376.154	1.95622	0.00192666	0.00200395	4.84458	0.0898574	-31462.3	-30009.2	-25807.7	1.95622	455.13	435.44	391.247	
0.0948495	-0.0473938	-0.0478211	376.154	2.05403	0.0042214	0.00419902	3.53601	0.0948495	-31461.8	-30009.8	-25808.4	2.05403	331.909	317.299	285.184	
0.0998416	-0.0416565	-0.0515747	376.15	2.15185	0.00398312	0.00412746	2.65675	0.0998416	-31462.3	-30009.8	-25808.4	2.15185	248.853	238.037	213.931	
0.104834	-0.0450745	-0.0439453	376.147	2.24966	0.0036065	0.00366363	3.22864	0.104834	-31462.6	-30010	-25808.3	2.24966	302.84	290	260.491	
0.109826	-0.0452271	-0.0419006	376.143	2.34747	0.00255631	0.0026164	3.09374	0.109826	-31462.9	-30010.2	-25808.6	2.34747	290.35	277.769	249.582	
0.114818	-0.0462341	-0.0341187	376.145	2.44528	0.00461677	0.00473752	2.9709	0.114818	-31463.6	-30010.4	-25808.1	2.44528	278.838	266.535	239.553	
0.11981	-0.0512695	-0.0306702	376.15	2.54309	0.00498067	0.004918	3.35628	0.11981	-31463.4	-30010.6	-25808.4	2.54309	315.126	301.538	270.907	
0.124802	-0.0510559	-0.0329285	376.146	2.6409	0.0015611	0.00141751	2.75122	0.124802	-31463.3	-30010.4	-25808.7	2.6409	258.03	246.984	221.876	
0.129794	-0.046875	-0.0362549	376.146	2.73871	0.00189611	0.00187814	1.44769	0.129794	-31463.3	-30011	-25808.4	2.73871	134.78	128.817	115.824	
0.134786	-0.0462647	-0.0453186	376.14	2.83652	0.00156434	0.00156605	2.56135	0.134786	-31463	-30011.2	-25808.9	2.83652	240.321	229.867	206.554	
0.139778	-0.0443115	-0.0458679	376.141	2.93434	0.00170694	0.0016902	3.42855	0.139778	-31462.8	-30011.2	-25808.8	2.93434	322.245	308.236	276.95	
0.14477	-0.0439148	-0.0453796	376.149	3.03215	0.00310197	0.00304031	2.39605	0.14477	-31462.9	-30011.2	-25809	3.03215	224.881	215.019	193.246	
0.149762	-0.0443115	-0.042572	376.157	3.12996	0.0011205	0.0012577	0.181971	0.149762	-31463.2	-30010	-25808.8	3.12996	2.02252	1.87152	3.88077	
0.154754	-0.0469055	-0.0420532	376.158	3.22777	0.00100976	0.00119024	2.25078	0.154754	-31464.2	-30009.5	-25808.1	3.22777	211.177	202.081	181.567	
0.159747	-0.0532227	-0.0346985	376.162	3.32558	0.00111787	0.000898699	3.02569	0.159747	-31465.3	-30009	-25808.7	3.32558	284.425	271.976	244.408	
0.164739	-0.0536499	-0.0361633	376.156	3.42339	0.000991185	0.000827069	2.12253	0.164739	-31463.8	-30008.7	-25808.9	3.42339	199.25	190.404	171.142	
0.169731	-0.0533447	-0.0368958	376.152	3.5212	0.00146813	0.00137857	1.12536	0.169731	-31462.8	-30010.4	-25808.8	3.5212	104.788	100.302	90.1379	
0.174723	-0.0465393	-0.0386353	376.147	3.61901	0.000967977	0.00103929	2.00783	0.174723	-31462.5	-30010.8	-25808.7	3.61901	188.436	180.214	161.959	
0.179715	-0.0387878	-0.0438232	376.142	3.71683	0.00109039	0.00102354	2.29733	0.179715	-31461.3	-30011.6	-25808.3	3.71683	215.78	206.24	185.366	
0.184707	-0.0380249	-0.0415344	376.141	3.81464	0.00209416	0.00194726	1.90516	0.184707	-31460.4	-30011.9	-25808.8	3.81464	178.805	170.903	153.608	
0.189699	-0.043396	-0.0414429	376.134	3.91245	0.000974742	0.00106697	1.85735	0.189699	-31462.6	-30010.1	-25808.5	3.91245	174.331	166.661	149.806	
0.194691	-0.0484009	-0.0392151	376.138	4.01026	0.00057179	0.000717164	1.81222	0.194691	-31463.8	-30009.1	-25807.7	4.01026	170.087	162.573	146.134	
0.199683	-0.0513001	-0.0447083	376.136	4.10807	0.000942919	0.00109148	1.39303	0.199683	-31464.2	-30008.6	-25808.2	4.10807	130.503	124.694	112.088	
0.204675	-0.0501404	-0.0370789	376.136	4.20588	0.00102257	0.00117067	1.72818	0.204675	-31463	-30008	-25808.3	4.20588	162.203	155.044	139.349	
0.209667	-0.0489197	-0.0357666	376.141	4.30369	0.00104234	0.00105361	2.20354	0.209667	-31462.1	-30009.5	-25808.6	4.30369	207.133	197.963	177.915	
0.214659	-0.0489807	-0.0363159	376.139	4.4015	0.00170845	0.00168496	1.65127	0.214659	-31462.7	-30009.6	-25808.3	4.4015	154.995	148.153	133.142	
0.219652	-0.0479736	-0.0359192	376.138	4.49931	0.00105249	0.00120013	0.463587	0.219652	-31462.2	-30009.5	-25808.1	4.49931	41.8096	40.0188	36.0114	
0.224644	-0.0477905	-0.0440064	376.141	4.59713	0.0012152	0.00127683	1.58112	0.224644	-31461.7	-30010.1	-25809.1	4.59713	148.433	141.836	127.503	
0.229636	-0.0456238	-0.043396	376.14	4.69494	0.00107304	0.00100396	2.18602	0.229636	-31461.9	-30009.9	-25808.8	4.69494	205.517	196.443	176.55	
0.234628	-0.0462647	-0.0474243	376.14	4.79275	0.000846213	0.000797186	1.51691	0.234628	-31463.6	-30009.2	-25807.9	4.79275	142.331	136.092	122.302	
0.23962	-0.0496216	-0.0457764	376.141	4.89056	0.000806189	0.00094415	0.426596	0.23962	-31464.8	-30008.5	-25807.9	4.89056	38.5742	36.7532	33.1599	
