Scan started at 17:21:29 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.043457	-0.0383301	373.585	0.195622	0.0128233	0.0121009	51.4825	0	-31556.3	-29812.3	-25838.8	0.195622	4828.48	4627.01	4147.21	
0.00499208	-0.0501099	-0.0449829	373.581	0.293434	0.00663547	0.00614054	24.7915	0.00499208	-31424.1	-29923.8	-25867.5	0.293434	2320.89	2224.36	1993.33	
0.00998416	-0.053304	-0.0496012	373.585	0.391245	0.0109075	0.0106209	10.1077	0.00998416	-31350.3	-30034.7	-25860	0.391245	941.859	902.281	809.931	
0.0149762	-0.0532227	-0.0469666	373.585	0.489056	0.00555748	0.00548532	14.8635	0.0149762	-31380.4	-30035.2	-25842.2	0.489056	1392.23	1335.04	1196.25	
0.0199683	-0.0525513	-0.0470276	373.583	0.586867	0.00472295	0.00448998	14.5628	0.0199683	-31381.2	-30035.3	-25841.6	0.586867	1364.54	1308.02	1171.59	
0.0249604	-0.0478821	-0.0400696	373.589	0.684678	0.00514499	0.0052169	10.6214	0.0249604	-31381.1	-30036.5	-25841.3	0.684678	994.78	953.071	854.32	
0.0299525	-0.0455627	-0.0366821	373.586	0.782489	0.00385929	0.00380809	9.28797	0.0299525	-31381.3	-30036.2	-25841.6	0.782489	870.042	834.292	747.747	
0.0349446	-0.0430298	-0.0351868	373.583	0.880301	0.0050128	0.00518678	8.2714	0.0349446	-31381.3	-30036.3	-25841.4	0.880301	773.783	741.773	664.072	
0.0399366	-0.0455322	-0.0312195	373.58	0.978112	0.00290482	0.0027096	5.86242	0.0399366	-31379.8	-30037.1	-25840.9	0.978112	547.5	524.231	469.412	
0.0449287	-0.0499268	-0.0386047	373.574	1.07592	0.00288595	0.00279931	6.75406	0.0449287	-31380	-30036.1	-25841.2	1.07592	632.909	606.581	543.822	
0.0499208	-0.0505676	-0.0361328	373.574	1.17373	0.00347859	0.00331006	8.08837	0.0499208	-31379.4	-30035	-25841	1.17373	758.282	726.544	650.896	
0.0549129	-0.0528259	-0.0439148	373.581	1.27155	0.00407733	0.00421494	5.73248	0.0549129	-31379	-30034.1	-25840.5	1.27155	536.048	513.231	459.471	
0.059905	-0.0543518	-0.0471802	373.58	1.36936	0.00348138	0.00349262	1.5235	0.059905	-31379.9	-30034.2	-25840.3	1.36936	137.5	131.6	117.827	
0.064897	-0.055542	-0.0454712	373.578	1.46717	0.00400434	0.00399263	4.95737	0.064897	-31379.6	-30035.1	-25840.5	1.46717	464.323	444.748	398.615	
0.0698891	-0.0524597	-0.0449829	373.583	1.56498	0.003058	0.00270507	6.56917	0.0698891	-31380.6	-30035.6	-25841.3	1.56498	615.711	589.781	528.203	
0.0748812	-0.0502625	-0.0414429	373.578	1.66279	0.00184183	0.00190337	4.3789	0.0748812	-31381.5	-30036.6	-25841.5	1.66279	409.707	392.707	351.586	
0.0798733	-0.0474854	-0.0396118	373.583	1.7606	0.00354753	0.0034741	1.17853	0.0798733	-31382.1	-30037.5	-25841.2	1.7606	106.839	102.136	91.801	
0.0848654	-0.0484314	-0.0335083	373.588	1.85841	0.00187684	0.00205449	3.92028	0.0848654	-31382.1	-30035.5	-25841.8	1.85841	366.624	351.336	314.499	
0.0898574	-0.0530396	-0.0354309	373.583	1.95622	0.00237867	0.00233161	4.85806	0.0898574	-31382.2	-30034.3	-25842.1	1.95622	454.895	436.267	390.524	
0.0948495	-0.0563355	-0.0332947	373.58	2.05403	0.00406068	0.00420948	3.54096	0.0948495	-31380.6	-30034.8	-25841.2	2.05403	331.63	317.797	284.818	
0.0998416	-0.0513001	-0.0417481	373.575	2.15185	0.00420634	0.00428941	2.66236	0.0998416	-31380.5	-30036.1	-25841.1	2.15185	248.703	238.469	213.534	
0.104834	-0.0514526	-0.0458069	373.573	2.24966	0.00298504	0.00292614	3.24065	0.104834	-31382	-30034.8	-25841.2	2.24966	302.733	290.57	259.835	
0.109826	-0.049469	-0.04599	373.572	2.34747	0.00191481	0.00180835	3.10152	0.109826	-31382.1	-30034.4	-25841.2	2.34747	290.213	278.246	249.159	
0.114818	-0.0502014	-0.0454102	373.569	2.44528	0.00310271	0.00306076	2.97342	0.114818	-31381.6	-30037	-25841.2	2.44528	278.576	266.959	239.314	
0.11981	-0.0543518	-0.0389404	373.572	2.54309	0.00234187	0.00245462	3.36387	0.11981	-31381.6	-30037.4	-25840.9	2.54309	314.864	302.099	270.438	
0.124802	-0.0512695	-0.0379944	373.576	2.6409	0.00197062	0.00190944	2.75993	0.124802	-31382.4	-30034.8	-25840.6	2.6409	258.036	247.371	221.351	
0.129794	-0.0539246	-0.0303955	373.573	2.73871	0.00209119	0.00197504	1.44924	0.129794	-31382.7	-30033.8	-25841.1	2.73871	134.761	128.941	115.599	
0.134786	-0.0486755	-0.0281677	373.58	2.83652	0.00157489	0.00177471	2.56495	0.134786	-31380.8	-30035.9	-25841.2	2.83652	240.113	230.276	206.279	
0.139778	-0.0489807	-0.0305786	373.58	2.93434	0.00127952	0.00128029	3.43653	0.139778	-31380.5	-30036.6	-25841.2	2.93434	322.026	308.747	276.457	
0.14477	-0.0464478	-0.0325012	373.58	3.03215	0.00142961	0.00163117	2.40194	0.14477	-31382.3	-30033.5	-25840.8	3.03215	224.799	215.286	192.85	
0.149762	-0.0402222	-0.0385742	373.581	3.12996	0.0022601	0.00250175	0.184024	0.149762	-31382.2	-30032.8	-25840.6	3.12996	2.33746	0.974108	3.40043	
0.154754	-0.0454102	-0.0404968	373.579	3.22777	0.00146882	0.00135833	2.25561	0.154754	-31380.6	-30035.5	-25841.5	3.22777	210.967	202.453	181.214	
0.159747	-0.0492859	-0.0420227	373.576	3.32558	0.00164323	0.00159835	3.03259	0.159747	-31380.1	-30036.5	-25841.2	3.32558	284.205	272.344	243.95	
0.164739	-0.0491638	-0.0393372	373.576	3.42339	0.00143137	0.00146932	2.12592	0.164739	-31380.8	-30034.4	-25840.2	3.42339	199.157	190.61	170.897	
0.169731	-0.0513306	-0.039978	373.577	3.5212	0.00226073	0.00235358	1.12638	0.169731	-31382	-30033.2	-25840	3.5212	104.515	100.539	89.9523	
0.174723	-0.0482483	-0.0366821	373.582	3.61901	0.000970872	0.000923865	2.01368	0.174723	-31381	-30034.1	-25840.6	3.61901	188.317	180.526	161.624	
0.179715	-0.0469971	-0.0350342	373.582	3.71683	0.00116015	0.0011486	2.30259	0.179715	-31382	-30034.4	-25840.7	3.71683	215.84	206.452	185.051	
0.184707	-0.0463562	-0.0346985	373.583	3.81464	0.000735067	0.00069452	1.90699	0.184707	-31382.9	-30033.4	-25840	3.81464	178.701	171.127	153.433	
0.189699	-0.0475769	-0.0294189	373.582	3.91245	0.00108606	0.00101441	1.86082	0.189699	-31381.4	-30033.6	-25840.4	3.91245	174.176	166.972	149.575	
0.194691	-0.0476379	-0.0333862	373.577	4.01026	0.00102723	0.00105972	1.81864	0.194691	-31380.4	-30033.9	-25841.1	4.01026	170.188	162.7	145.787	
0.199683	-0.0458984	-0.030365	373.576	4.10807	0.000727101	0.000862261	1.39638	0.199683	-31379.4	-30035.5	-25840.8	4.10807	130.589	124.757	111.844	
0.204675	-0.0488281	-0.0403442	373.571	4.20588	0.0013487	0.00121894	1.72986	0.204675	-31378.9	-30036.4	-25840.8	4.20588	162.043	155.275	139.174	
0.209667	-0.0473938	-0.0451965	373.572	4.30369	0.00104671	0.000948877	2.20868	0.209667	-31379.7	-30035.4	-25840.8	4.30369	207.067	198.2	177.601	
0.214659	-0.048645	-0.0433044	373.572	4.4015	0.00161062	0.00153021	1.65664	0.214659	-31379.5	-30034.6	-25840.7	4.4015	155.099	148.269	132.84	
0.219652	-0.0442505	-0.043396	373.577	4.49931	0.00113695	0.00129116	0.46383	0.219652	-31379.7	-30034.7	-25840.8	4.49931	41.8759	40.0637	35.9424	
0.224644	-0.0431824	-0.035614	373.58	4.59713	0.00150901	0.00123833	1.58412	0.224644	-31380.5	-30036.3	-25840.3	4.59713	148.336	142.046	127.294	
0.229636	-0.0447998	-0.0349731	373.579	4.69494	0.00124513	0.00110427	2.19139	0.229636	-31380.2	-30035.6	-25840.7	4.69494	205.443	196.714	176.235	
0.234628	-0.0479736	-0.0329285	373.582	4.79275	0.00108887	0.00118868	1.51993	0.234628	-31380	-30034.1	-25840.4	4.79275	142.322	136.295	122.113	
0.23962	-0.0535584	-0.0334778	373.579	4.89056	0.0009405	0.000867707	0.424788	0.23962	-31379.9	-30035.1	-25840.5	4.89056	38.4719	36.8644	33.0818	
0.244612	-0.0541077	-0.034668	373.576	4.98837	0.000990307	0.00105693	1.46146	0.244612	-31379.8	-30035.9	-25840.8	4.98837	136.754	131	117.296	
0.249604	-0.052063	-0.0438232	373.58	5.08618	0.00109608	0.00115518	1.86966	0.249604	-31378.8	-30036.1	-25841.3	5.08618	175.215	167.825	150.319	
0.254596	-0.0487061	-0.0462341	373.578	5.18399	0.000686799	0.000623079	1.40423	0.254596	-31380	-30035	-25841.6	5.18399	131.552	126.003	112.944	
0.259588	-0.0498352	-0.0464783	373.576	5.2818	0.000504277	0.000508813	1.08562	0.259588	-31380.2	-30034.9	-25841.2	5.2818	101.431	97.2147	87.0773	
0.26458	-0.0456238	-0.0465088	373.58	5.37962	0.000747108	0.000578405	1.3562	0.26458	-31378.9	-30036.2	-25841.3	5.37962	126.849	121.522	108.763	
0.269572	-0.0475159	-0.0385437	373.577	5.47743	0.000874927	0.000990268	1.33071	0.269572	-31380.2	-30035.5	-25841.6	5.47743	124.569	119.25	106.843	
0.274564	-0.0475159	-0.0379944	373.578	5.57524	0.000689166	0.000750797	1.30564	0.274564	-31380.2	-30035.2	-25841.3	5.57524	122.304	117.202	105.063	
0.279556	-0.0509949	-0.0320435	373.579	5.67305	0.000398217	0.000310632	1.50937	0.279556	-31379.8	-30036.1	-25841.5	5.67305	141.371	135.488	121.344	
0.284549	-0.0535278	-0.0289001	373.579	5.77086	0.00079345	0.000618652	1.26452	0.284549	-31380.1	-30036.6	-25841.8	5.77086	118.313	113.257	101.394	
0.289541	-0.0534363	-0.0290833	373.581	5.86867	0.0007936	0.000682602	0.677046	0.289541	-31380.5	-30036.2	-25841.6	5.86867	62.981	60.2131	53.9911	
0.294533	-0.0476074	-0.0316162	373.584	5.96648	0.000687348	0.000685741	1.22068	0.294533	-31381.4	-30036.1	-25841.4	5.96648	114.304	109.567	98.1558	
0.299525	-0.0419922	-0.0381165	373.586	6.06429	0.000483753	0.000497629	1.66494	0.299525	-31382.2	-30036.5	-25840.8	6.06429	156.046	149.503	133.886	
0.304517	-0.0444641	-0.0397949	373.58	6.1621	0.000281892	0.000492895	1.18359	0.304517	-31383.1	-30036.4	-25840.8	6.1621	110.793	106.027	95.0171	
0.309509	-0.0425415	-0.044342	373.581	6.25992	0.000469251	0.00064988	0.0885837	0.309509	-31381.3	-30036.2	-25841.5	6.25992	0.741214	0.975481	1.75746	
0.314501	-0.0461731	-0.041626	373.576	6.35773	0.000392394	0.000548739	1.14693	0.314501	-31380.5	-30036.2	-25841.3	6.35773	107.308	102.862	92.1022	
0.319493	-0.0487061	-0.0420227	373.574	6.45554	0.000526386	0.000593914	1.56439	0.319493	-31380.8	-30035.8	-25840.5	6.45554	146.699	140.423	125.829	
0.324485	-0.04953	-0.0371704	373.584	6.55335	0.000777128	0.000826428	1.11197	0.324485	-31380.5	-30035.3	-25840.5	6.55335	104.194	99.7028	89.4068	
0.329477	-0.0513306	-0.030365	373.584	6.65116	0.00038677	0.000412304	0.597368	0.329477	-31380.6	-30034.3	-25840.3	6.65116	55.4965	53.254	47.6883	
0.334469	-0.0517273	-0.0299988	373.584	6.74897	0.000222223	0.000232628	1.08173	0.334469	-31379.6	-30034.7	-25840.5	6.74897	101.232	96.8523	86.77	
0.339461	-0.0451965	-0.0221558	373.585	6.84678	0.000385129	0.00031095	1.25161	0.339461	-31379.3	-30034.6	-25840.4	6.84678	117.318	112.2	100.587	
0.344454	-0.0414734	-0.0256348	373.579	6.94459	0.000502358	0.000352406	1.04894	0.344454	-31380.9	-30034.5	-25840.8	6.94459	98.2681	94.1365	84.3939	
0.349446	-0.0384827	-0.0240173	373.576	7.04241	0.000422355	0.000492377	1.03566	0.349446	-31380.5	-30034.7	-25841.6	7.04241	96.9801	92.8096	83.1866	
0.354438	-0.0365295	-0.0273743	373.58	7.14022	0.000215669	0.000242116	1.02312	0.354438	-31379.8	-30036	-25841.5	7.14022	95.7569	91.501	81.9939	
0.35943	-0.0407105	-0.0357361	373.58	7.23803	0.000230513	0.000166163	0.793467	0.35943	-31379.9	-30037	-25841.3	7.23803	74.1494	70.9836	63.6002	
0.364422	-0.0375671	-0.0342102	373.581	7.33584	0.000396833	0.000397368	0.993276	0.364422	-31380.9	-30036.4	-25841.3	7.33584	93.0551	89.1485	79.9095	
0.369414	-0.0410461	-0.0397644	373.587	7.43365	0.000878212	0.000763201	1.28078	0.369414	-31381.1	-30036.3	-25841.5	7.43365	120.037	114.935	102.976	
0.374406	-0.0437012	-0.0375366	373.584	7.53146	0.000565395	0.000524448	0.969532	0.374406	-31381.2	-30036.4	-25841.6	7.53146	90.7301	86.8561	77.7906	
0.379398	-0.0431824	-0.0356445	373.585	7.62927	0.000850967	0.000815831	0.27356	0.379398	-31382.6	-30034.5	-25840.7	7.62927	24.7114	23.6622	21.2379	
0.38439	-0.0426636	-0.0340881	373.585	7.72708	0.000671618	0.000754497	0.944197	0.38439	-31382.7	-30033.8	-25840.7	7.72708	88.3714	84.6761	75.8694	
0.389382	-0.039917	-0.0300903	373.579	7.82489	0.000314639	0.000402243	1.31709	0.389382	-31381.2	-30033.4	-25840.7	7.82489	123.421	118.233	105.919	
0.394374	-0.0393982	-0.0296021	373.579	7.92271	0.000404011	0.000279606	0.920942	0.394374	-31381	-30034.9	-25841	7.92271	86.2365	82.5585	73.9902	
0.399366	-0.0330811	-0.0230713	373.575	8.02052	0.000379291	0.000517514	0.25962	0.399366	-31380.7	-30035.5	-25841.1	8.02052	23.4267	22.5736	20.226	
0.404358	-0.0350647	-0.0237732	373.575	8.11833	0.000437249	0.000402037	0.899733	0.404358	-31381.5	-30034.8	-25840.8	8.11833	84.1578	80.6023	72.1856	
0.409351	-0.0302734	-0.0213013	373.577	8.21614	0.000551817	0.000466985	1.15944	0.409351	-31380.7	-30034.6	-25841.3	8.21614	108.753	103.997	93.2012	
0.414343	-0.0278931	-0.0149536	373.573	8.31395	0.000350628	0.000229946	0.877094	0.414343	-31380.1	-30034.6	-25841.2	8.31395	82.1963	78.6837	70.5448	
0.419335	-0.0257263	-0.0136414	373.576	8.41176	0.000237606	0.000130282	0.683132	0.419335	-31380.3	-30034.7	-25840.5	8.41176	63.8362	61.124	54.7728	
0.424327	-0.0190125	-0.00613403	373.576	8.50957	0.000488222	0.000378213	0.859204	0.424327	-31380.9	-30033.6	-25840.6	8.50957	80.4297	76.858	68.8584	
0.429319	-0.0231323	-0.00158691	373.568	8.60738	0.000471291	0.000529705	0.848358	0.429319	-31380.8	-30034.3	-25841.1	8.60738	79.4398	76.0191	68.1259	
0.434311	-0.0174866	-0.00164795	373.574	8.7052	0.00037208	0.000362965	0.837763	0.434311	-31380.2	-30036.3	-25841.2	8.7052	78.4798	75.2036	67.41	
0.439303	-0.0222168	-0.00128174	373.573	8.80301	0.000399975	0.000457671	0.974751	0.439303	-31380.7	-30035.4	-25840.5	8.80301	91.3373	87.4254	78.3349	
0.444295	-0.025116	-0.00668335	373.576	8.90082	0.00059019	0.000511473	0.82128	0.444295	-31380.7	-30034.9	-25840.2	8.90082	76.8634	73.5073	65.8532	
0.449287	-0.0211792	-0.00970459	373.584	8.99863	0.000409283	0.000299323	0.442442	0.449287	-31380	-30035.4	-25841.2	8.99863	41.153	39.3716	35.2961	
0.454279	-0.0272522	-0.0134888	373.582	9.09644	0.000434341	0.000455627	0.802485	0.454279	-31379.8	-30035.6	-25841.2	9.09644	75.1446	71.9738	64.513	
0.459271	-0.0282898	-0.0252075	373.576	9.19425	0.000162232	0.000449391	1.10047	0.459271	-31380.2	-30035.9	-25841	9.19425	103.2	98.7821	88.5032	
0.464263	-0.0335388	-0.0262756	373.575	9.29206	0.00050789	0.000559332	0.786272	0.464263	-31380.2	-30034.9	-25841.1	9.29206	73.6296	70.4806	63.1401	
0.469256	-0.0412903	-0.0319824	373.569	9.38987	0.00063514	0.000699159	0.0596759	0.469256	-31380	-30034.8	-25841.5	9.38987	0.452295	0.615259	1.11669	
0.474248	-0.0454102	-0.036438	373.567	9.48768	0.000510684	0.000575877	0.770119	0.474248	-31379.5	-30036	-25841.7	9.48768	72.0936	69.0313	61.8479	
0.47924	-0.0451355	-0.0302124	373.577	9.5855	0.00036895	0.000526461	1.05565	0.47924	-31379.7	-30035.7	-25841	9.5855	98.9891	94.7827	84.9227	
0.484232	-0.0466309	-0.0326843	373.574	9.68331	0.000634321	0.000665584	0.754241	0.484232	-31380.7	-30035	-25841	9.68331	70.6383	67.6481	60.6209	
0.489224	-0.0476685	-0.0278015	373.579	9.78112	0.000429791	0.000412802	0.407211	0.489224	-31380.4	-30034.6	-25841.2	9.78112	37.8561	36.2919	32.5035	
0.494216	-0.0481262	-0.0276184	373.58	9.87893	0.000261071	0.000321678	0.740501	0.494216	-31380.2	-30034.8	-25840.8	9.87893	69.2803	66.2997	59.3959	
0.499208	-0.0522766	-0.0334473	373.578	9.97674	0.000352226	0.000433158	0.860903	0.499208	-31380.8	-30034.8	-25840.3	9.97674	80.6404	77.1905	69.1646	
0.5042	-0.0466309	-0.0342102	373.58	10.0746	0.000412906	0.000566404	0.72466	0.5042	-31380	-30034.4	-25840.9	10.0746	67.8657	65.0251	58.2959	
0.509192	-0.0464783	-0.0408936	373.58	10.1724	0.000275643	0.000329002	0.718808	0.509192	-31381.7	-30034.4	-25841.4	10.1724	67.2329	64.4189	57.7074	
0.514184	-0.048584	-0.0426025	373.58	10.2702	0.000737553	0.000765675	0.712806	0.514184	-31382	-30034.8	-25841.1	10.2702	66.6792	63.7974	57.1318	
0.519176	-0.0533447	-0.0445862	373.583	10.368	0.000335785	0.000331485	0.554948	0.519176	-31380.6	-30035.7	-25840.5	10.368	51.9233	49.6398	44.5017	
0.524168	-0.0559082	-0.0447693	373.587	10.4658	0.000535709	0.000439277	0.697845	0.524168	-31381.2	-30034.3	-25840.2	10.4658	65.3794	62.6314	56.1482	
0.52916	-0.0560303	-0.0442505	373.587	10.5636	0.000581167	0.000320189	0.903298	0.52916	-31381.6	-30033	-25840	10.5636	84.6744	81.07	72.628	
0.534153	-0.0491638	-0.0377808	373.589	10.6614	0.000286294	0.000437698	0.686463	0.534153	-31380.6	-30033.9	-25839.9	10.6614	64.2873	61.4533	55.0685	
0.539145	-0.0444946	-0.0352783	373.585	10.7592	0.000356628	0.000335236	0.194073	0.539145	-31379.5	-30036	-25840.5	10.7592	17.6118	16.774	15.099	
0.544137	-0.0487061	-0.0356445	373.583	10.857	0.00041598	0.000480684	0.673437	0.544137	-31380.1	-30035.9	-25841	10.857	63.0367	60.4032	54.1148	
0.549129	-0.0500794	-0.0308838	373.579	10.9549	0.000552465	0.000569249	0.943078	0.549129	-31381.7	-30035.3	-25841.2	10.9549	88.4487	84.6132	75.8508	
0.554121	-0.059906	-0.0388794	373.572	11.0527	0.000404155	0.000550124	0.661745	0.554121	-31381.2	-30036.3	-25841.1	11.0527	62.0343	59.2872	53.1725	
0.559113	-0.0631409	-0.0413818	373.569	11.1505	0.000223464	0.000290591	0.187471	0.559113	-31380	-30037.2	-25841.4	11.1505	16.9338	16.262	14.5875	
0.564105	-0.0647278	-0.0490418	373.567	11.2483	0.000266803	0.000234766	0.650909	0.564105	-31380.7	-30036.4	-25841.4	11.2483	60.9763	58.2739	52.2183	
0.569097	-0.0615234	-0.059021	373.573	11.3461	0.000300564	0.000184999	0.84154	0.569097	-31381	-30035.8	-25841.2	11.3461	78.9648	75.466	67.6642	
0.574089	-0.0605469	-0.0596008	373.58	11.4439	0.000541379	0.000349821	0.638767	0.574089	-31381	-30035.6	-25840.8	11.4439	59.8648	57.2989	51.3783	
0.579081	-0.0583801	-0.0492249	373.587	11.5417	0.00022397	0.000281575	0.499134	0.579081	-31380.9	-30035.3	-25840.8	11.5417	46.6831	44.6132	40.0121	
0.584073	-0.0586548	-0.0470276	373.587	11.6395	0.000489043	0.000590755	0.629668	0.584073	-31380.9	-30033.7	-25841	11.6395	59.0096	56.276	50.4624	
0.589065	-0.062439	-0.0441589	373.584	11.7373	0.000325217	0.000296113	0.62349	0.589065	-31381.9	-30033.2	-25841	11.7373	58.4197	55.8795	50.095	
0.594058	-0.0588074	-0.051239	373.58	11.8352	0.000745176	0.000702025	0.617747	0.594058	-31381.5	-30035.1	-25840.7	11.8352	57.8835	55.4604	49.7134	
0.59905	-0.058075	-0.054657	373.574	11.933	0.000361181	0.000361194	0.720875	0.59905	-31380.6	-30036.4	-25841.2	11.933	67.5759	64.6263	57.9474	
0.604042	-0.0570068	-0.0519714	373.571	12.0308	0.000518667	0.000811814	0.609249	0.604042	-31380.7	-30035.9	-25841.4	12.0308	57.0928	54.4914	48.859	
0.609034	-0.0545654	-0.0480957	373.574	12.1286	0.00048529	0.000539526	0.328865	0.609034	-31381.3	-30035.8	-25841.1	12.1286	30.6197	29.2878	26.2559	
0.614026	-0.0585938	-0.0411987	373.574	12.2264	0.000659185	0.0007637	0.598527	0.614026	-31380.5	-30036.5	-25841.2	12.2264	56.0945	53.6715	48.1221	
0.619018	-0.0579224	-0.0434876	373.576	12.3242	0.000443667	0.000662866	0.822955	0.619018	-31380.7	-30036.1	-25840.9	12.3242	77.2423	73.8356	66.2114	
0.62401	-0.0600586	-0.0412903	373.569	12.422	0.000136978	0.000270013	0.589823	0.62401	-31380.4	-30034.9	-25840.8	12.422	55.2608	52.8429	47.3658	
0.629002	-0.0625	-0.0438232	373.567	12.5198	0.000151644	0.00016396	0.0449856	0.629002	-31381.9	-30034.9	-25840.9	12.5198	0.632008	0.476867	0.841245	
0.633994	-0.0631714	-0.0437622	373.569	12.6176	0.000383456	0.000502232	0.580746	0.633994	-31381.7	-30036	-25840.9	12.6176	54.4565	51.9656	46.6303	
0.638986	-0.0618286	-0.0515137	373.568	12.7155	0.000440123	0.000424754	0.798222	0.638986	-31381.9	-30036.9	-25841.4	12.7155	74.8706	71.6132	64.2098	
0.643978	-0.0605164	-0.0546265	373.578	12.8133	0.000769041	0.000618911	0.57157	0.643978	-31383.2	-30036.2	-25841.6	12.8133	53.5249	51.2894	45.9493	
0.64897	-0.0587769	-0.0567627	373.576	12.9111	0.000335484	0.000406878	0.309427	0.64897	-31383.9	-30036.6	-25841.5	12.9111	28.8651	27.4691	24.7022	
0.653962	-0.0594177	-0.0501404	373.576	13.0089	0.000390384	0.000433123	0.564002	0.653962	-31384.7	-30037.1	-25841.6	13.0089	52.8487	50.4257	45.2311	
0.658955	-0.0610352	-0.0446167	373.576	13.1067	0.000500813	0.00036124	0.657139	0.658955	-31383.5	-30036.8	-25841.8	13.1067	61.5641	58.9625	52.8012	
0.663947	-0.060791	-0.0404663	373.576	13.2045	0.000330928	0.000290018	0.55446	0.663947	-31383.3	-30035.9	-25842	13.2045	51.9477	49.7816	44.6137	
0.668939	-0.0567017	-0.0368042	373.569	13.3023	0.000372026	0.000303514	0.551196	0.668939	-31383.6	-30035.2	-25841.4	13.3023	51.6763	49.3535	44.2673	
0.673931	-0.0516968	-0.04245	373.571	13.4001	0.000300586	0.000317721	0.547838	0.673931	-31381.1	-30037.2	-25841.2	13.4001	51.283	49.0576	43.9154	
0.678923	-0.0466614	-0.0381165	373.573	13.4979	0.000478153	0.00045941	0.427431	0.678923	-31380.5	-30037.1	-25841.4	13.4979	39.8934	38.3321	34.2874	
0.683915	-0.0494385	-0.0439148	373.572	13.5958	0.000414263	0.000682927	0.538792	0.683915	-31381.6	-30035.4	-25841.3	13.5958	50.5127	48.3319	43.3493	
0.688907	-0.0528259	-0.0428162	373.58	13.6936	0.000246568	0.000306887	0.69895	0.688907	-31381.9	-30035.7	-25840.9	13.6936	65.5445	62.7135	56.2011	
0.693899	-0.0500183	-0.0448303	373.58	13.7914	0.000351766	0.000328971	0.532328	0.693899	-31381.5	-30035.5	-25840.7	13.7914	49.7504	47.7588	42.7155	
