Scan started at 17:26:05 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0601807	-0.0400391	374.33	0.195622	0.0139837	0.0137221	53.5787	0	-31270	-30177.4	-25870.5	0.195622	4761.93	4559.33	4089.08	
0.00499208	-0.0594482	-0.041687	374.323	0.293434	0.00486659	0.00482597	26.223	0.00499208	-31343.2	-30167.6	-25819.4	0.293434	2321.38	2222.73	1993.51	
0.00998416	-0.0519613	-0.0337728	374.324	0.391245	0.00790799	0.0075741	13.6384	0.00998416	-31432.2	-30057.1	-25804.1	0.391245	1213.67	1162.13	1042.57	
0.0149762	-0.0486755	-0.0336914	374.321	0.489056	0.00470772	0.00464893	15.4601	0.0149762	-31440.6	-30006.1	-25822	0.489056	1392.86	1333.62	1196.17	
0.0199683	-0.0439148	-0.0353699	374.316	0.586867	0.00387353	0.00370791	13.2486	0.0199683	-31440.7	-30005.4	-25822.1	0.586867	1174.88	1124.99	1009.04	
0.0249604	-0.0471191	-0.0345154	374.32	0.684678	0.00399646	0.00411862	11.2195	0.0249604	-31440.1	-30006.9	-25822.6	0.684678	994.922	952.616	854.406	
0.0299525	-0.0494385	-0.0380249	374.315	0.782489	0.00365553	0.00367714	11.8171	0.0299525	-31439.3	-30007.2	-25822.8	0.782489	1055.95	1011.11	906.864	
0.0349446	-0.0494995	-0.0378418	374.316	0.880301	0.00473394	0.00493338	8.65582	0.0349446	-31439.6	-30008.2	-25822.9	0.880301	773.853	740.92	664.574	
0.0399366	-0.0526123	-0.0389404	374.318	0.978112	0.00548903	0.00533253	3.15383	0.0399366	-31439.5	-30007.9	-25822.8	0.978112	274.413	262.683	235.778	
0.0449287	-0.0479736	-0.0404358	374.316	1.07592	0.0035419	0.00344987	7.10488	0.0449287	-31440.2	-30006.3	-25822.6	1.07592	633.112	606.232	543.731	
0.0499208	-0.049469	-0.0412598	374.319	1.17373	0.00145447	0.00136976	9.17592	0.0499208	-31439.8	-30006	-25822.5	1.17373	820.499	785.679	704.595	
0.0549129	-0.0539246	-0.0402222	374.315	1.27155	0.00306209	0.00291227	6.02865	0.0549129	-31441.4	-30003.9	-25822.4	1.27155	535.776	512.958	460.095	
0.059905	-0.0534668	-0.0367737	374.316	1.36936	0.00207728	0.00202875	1.88401	0.059905	-31441.3	-30003.3	-25822.2	1.36936	162.647	155.703	139.922	
0.064897	-0.0557251	-0.0343323	374.314	1.46717	0.00426458	0.00412145	5.18388	0.064897	-31439.6	-30005.6	-25822.6	1.46717	464.375	444.555	398.726	
0.0698891	-0.0509033	-0.0285645	374.317	1.56498	0.00237914	0.0019998	6.0789	0.0698891	-31439.4	-30006.3	-25822.4	1.56498	542.94	519.838	466.199	
0.0748812	-0.0488586	-0.0273132	374.324	1.66279	0.0025757	0.00247867	4.61788	0.0748812	-31438.9	-30006.8	-25822.1	1.66279	409.696	392.296	351.842	
0.0798733	-0.0502319	-0.0303345	374.322	1.7606	0.00282604	0.00283475	4.1787	0.0798733	-31439.3	-30006.7	-25822.1	1.7606	372.449	356.644	319.868	
