Scan started at 17:26:58 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0407715	-0.0241699	373.676	0.195622	0.0119236	0.0120384	51.7733	0	-31459	-29894.7	-25880.3	0.195622	4836.07	4626.84	4137.55	
0.00499208	-0.104004	-0.0886231	373.662	0.293434	0.0112023	0.0108598	24.9261	0.00499208	-31342.4	-30036.5	-25892.3	0.293434	2325	2222.65	1988.52	
0.00998416	-0.135905	-0.114705	373.656	0.391245	0.00753537	0.00754684	10.1895	0.00998416	-31342.4	-30076.7	-25866.9	0.391245	944.356	902.681	807.839	
0.0149762	-0.152802	-0.134338	373.645	0.489056	0.00504922	0.00508521	15.0589	0.0149762	-31398.7	-30024.3	-25848.3	0.489056	1397.26	1333.67	1189.93	
0.0199683	-0.130096	-0.115784	373.614	0.586867	0.00563864	0.00573158	14.6411	0.0199683	-31396.3	-30025.8	-25848.5	0.586867	1365.61	1307.63	1169.18	
0.0249604	-0.120544	-0.107452	373.586	0.684678	0.00730905	0.00714889	10.6188	0.0249604	-31395.9	-30026.1	-25848.4	0.684678	994.838	952.488	854.343	
0.0299525	-0.113556	-0.109344	373.55	0.782489	0.00308616	0.00316811	9.33946	0.0299525	-31400.7	-30022	-25847.4	0.782489	871.253	833.922	746.01	
0.0349446	-0.102051	-0.0995484	373.524	0.880301	0.00487169	0.00465416	8.38	0.0349446	-31402.5	-30021.5	-25847.3	0.880301	776.511	741.268	660.313	
0.0399366	-0.0922852	-0.0963745	373.489	0.978112	0.00521882	0.00493954	5.89139	0.0399366	-31402.9	-30020.8	-25847.2	0.978112	547.724	524.366	468.567	
0.0449287	-0.0984802	-0.103882	373.461	1.07592	0.00408399	0.00392607	6.76154	0.0449287	-31404	-30020.2	-25847.1	1.07592	633.289	606.075	543.593	
0.0499208	-0.0812073	-0.0848999	373.44	1.17373	0.00329893	0.00320914	8.13149	0.0499208	-31397.3	-30026.8	-25846.9	1.17373	758.998	726.47	649.565	
0.0549129	-0.0649414	-0.0736084	373.41	1.27155	0.00513209	0.00524659	5.78363	0.0549129	-31390.4	-30033.2	-25846.4	1.27155	536.914	513.354	457.762	
0.059905	-0.112701	-0.114288	373.402	1.36936	0.0035908	0.00364852	1.53301	0.059905	-31383.2	-30039.8	-25847.3	1.36936	137.555	131.552	117.673	
0.064897	-0.0954895	-0.0954285	373.383	1.46717	0.00510866	0.00513022	4.982	0.064897	-31381	-30040.6	-25846.4	1.46717	464.803	444.701	397.769	
0.0698891	-0.09375	-0.0873108	373.359	1.56498	0.00407227	0.00393958	6.60549	0.0698891	-31383.9	-30037.1	-25845.3	1.56498	616.347	589.726	527.198	
0.0748812	-0.0889893	-0.0774536	373.343	1.66279	0.00389954	0.00403581	4.39977	0.0748812	-31384.9	-30036	-25845.1	1.66279	410.173	392.238	351.01	
0.0798733	-0.0832825	-0.0699768	373.322	1.7606	0.00415711	0.00407211	1.18312	0.0798733	-31387.5	-30033	-25845.2	1.7606	106.981	102.181	91.7003	
0.0848654	-0.076416	-0.0719299	373.308	1.85841	0.00455498	0.00455248	3.95672	0.0848654	-31386.4	-30034.3	-25845.1	1.85841	367.356	351.173	313.348	
0.0898574	-0.0699158	-0.0700684	373.298	1.95622	0.00252605	0.00248008	4.88609	0.0898574	-31384.6	-30036.5	-25843.6	1.95622	455.551	435.904	389.67	
0.0948495	-0.0699768	-0.0695801	373.286	2.05403	0.0047142	0.00446277	3.54387	0.0948495	-31383	-30037	-25843.3	2.05403	331.759	317.458	284.733	
0.0998416	-0.0695496	-0.0613709	373.274	2.15185	0.0041698	0.00381708	2.67769	0.0998416	-31380.2	-30037.6	-25842.8	2.15185	249.225	238.107	213.102	
0.104834	-0.0719605	-0.0570984	373.264	2.24966	0.00342529	0.00327133	3.27768	0.104834	-31378.5	-30038.2	-25842.1	2.24966	303.842	289.975	258.636	
0.109826	-0.0699768	-0.0566101	373.256	2.34747	0.00114038	0.00118994	3.11948	0.109826	-31377.3	-30039.1	-25841.4	2.34747	290.322	278.336	248.55	
0.114818	-0.0635986	-0.0583496	373.246	2.44528	0.00427153	0.00436096	2.97346	0.114818	-31377.4	-30041	-25841	2.44528	278.623	266.726	239.299	
0.11981	-0.0572205	-0.0612183	373.243	2.54309	0.00297084	0.00311775	3.38277	0.11981	-31377.4	-30041.2	-25841.2	2.54309	315.233	301.981	269.859	
0.124802	-0.0545044	-0.0567627	373.243	2.6409	0.00166894	0.001723	2.78604	0.124802	-31378.6	-30041.6	-25840.9	2.6409	258.842	247.013	220.353	
0.129794	-0.055481	-0.0476685	373.243	2.73871	0.00265342	0.00250034	1.45753	0.129794	-31378.2	-30042.1	-25840	2.73871	134.789	129.043	115.293	
0.134786	-0.057251	-0.0420532	373.244	2.83652	0.00233714	0.00232914	2.5701	0.134786	-31378.3	-30041.9	-25839.7	2.83652	240.516	229.822	206.029	
0.139778	-0.0576172	-0.0380859	373.25	2.93434	0.00188529	0.00185321	3.45524	0.139778	-31378.6	-30041.5	-25840	2.93434	322.352	308.757	275.802	
