Scan started at 17:28:10 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.055542	-0.0478516	374.102	0.195622	0.0158537	0.0155927	56.8663	0	-31344.8	-30036	-25844.4	0.195622	4827.84	4623.81	4148.25	
0.00499208	-0.0493164	-0.0422363	374.1	0.293434	0.00435267	0.00405018	27.9113	0.00499208	-31308.7	-30134	-25814.6	0.293434	2320.68	2222.4	1993.9	
0.00998416	-0.0494792	-0.0452067	374.1	0.391245	0.00837835	0.00816798	11.4311	0.00998416	-31382.7	-30082.1	-25789.8	0.391245	942.082	902.094	809.761	
0.0149762	-0.0479126	-0.0417786	374.098	0.489056	0.00551198	0.00521627	15.9926	0.0149762	-31436.1	-30006.4	-25791.9	0.489056	1392.38	1333.34	1196.41	
0.0199683	-0.0499268	-0.0342712	374.099	0.586867	0.00412997	0.00382547	15.8399	0.0199683	-31437.2	-30006.7	-25792.2	0.586867	1364.25	1306.7	1172.4	
0.0249604	-0.0503235	-0.0354919	374.099	0.684678	0.00516413	0.00508668	11.8708	0.0249604	-31436.2	-30006.6	-25792.3	0.684678	994.601	952.424	854.587	
0.0299525	-0.0507202	-0.0343628	374.102	0.782489	0.00301272	0.00291654	10.1765	0.0299525	-31435.6	-30007	-25792.6	0.782489	870.249	833.326	747.809	
0.0349446	-0.0466919	-0.0397949	374.103	0.880301	0.00466838	0.00473893	8.82929	0.0349446	-31435.9	-30007.7	-25792.9	0.880301	773.466	740.886	664.705	
0.0399366	-0.0421448	-0.0470581	374.102	0.978112	0.00411247	0.00422374	6.39524	0.0399366	-31435.1	-30007.2	-25792.7	0.978112	546.974	523.928	470.034	
0.0449287	-0.0417175	-0.0488586	374.105	1.07592	0.00366869	0.00373413	7.53326	0.0449287	-31436.3	-30007.8	-25792.8	1.07592	632.982	606.054	543.758	
0.0499208	-0.0400085	-0.0457459	374.101	1.17373	0.00255214	0.00238219	8.84521	0.0499208	-31436.5	-30007.2	-25792.6	1.17373	758.003	725.928	651.246	
0.0549129	-0.04599	-0.0420532	374.099	1.27155	0.00330514	0.00323337	6.20767	0.0549129	-31436.6	-30007.9	-25792.8	1.27155	535.414	513.023	460.185	
0.059905	-0.0471802	-0.0417786	374.098	1.36936	0.00298211	0.00280744	1.68006	0.059905	-31436.2	-30008.1	-25792.8	1.36936	137.24	131.546	118.225	
0.064897	-0.0510864	-0.0369568	374.098	1.46717	0.0038672	0.00367626	5.45626	0.064897	-31436.8	-30008.4	-25792.8	1.46717	464.192	444.467	398.807	
0.0698891	-0.0530701	-0.039093	374.099	1.56498	0.0031926	0.00301833	7.18375	0.0698891	-31436.9	-30008.9	-25792.9	1.56498	615.329	589.368	528.749	
0.0748812	-0.0503235	-0.0377502	374.1	1.66279	0.00227113	0.00229619	4.81951	0.0748812	-31436.9	-30008.4	-25792.8	1.66279	409.475	392.334	351.949	
0.0798733	-0.0492859	-0.0396423	374.098	1.7606	0.00261122	0.00256636	1.31895	0.0798733	-31436.8	-30007.6	-25792.9	1.7606	106.851	102.127	91.9146	
0.0848654	-0.0482483	-0.0430298	374.098	1.85841	0.00485542	0.0048661	4.22748	0.0848654	-31436.4	-30007.4	-25793	1.85841	366.393	350.947	314.882	
0.0898574	-0.0477295	-0.0419312	374.102	1.95622	0.00219052	0.00211436	5.30136	0.0898574	-31435.7	-30007	-25793	1.95622	454.821	435.75	390.844	
0.0948495	-0.0544128	-0.0446472	374.106	2.05403	0.00454461	0.00472981	3.94863	0.0948495	-31434.7	-30007.7	-25793.2	2.05403	331.55	317.594	284.905	
0.0998416	-0.0557861	-0.045044	374.107	2.15185	0.00284434	0.00294493	2.91175	0.0998416	-31434.9	-30008.9	-25793.3	2.15185	248.688	238.127	213.677	
0.104834	-0.0559387	-0.0446777	374.102	2.24966	0.0027142	0.00280592	3.46035	0.104834	-31434.6	-30008.8	-25793.2	2.24966	302.645	290.064	260.145	
0.109826	-0.0562134	-0.0367737	374.105	2.34747	0.00223715	0.00219937	3.39514	0.109826	-31435.2	-30008.7	-25793.5	2.34747	290.082	277.951	249.331	
0.114818	-0.0501404	-0.0350342	374.101	2.44528	0.0042021	0.00408051	3.33289	0.114818	-31437.1	-30008.6	-25793.3	2.44528	278.583	266.727	239.318	
0.11981	-0.0511169	-0.0341187	374.102	2.54309	0.00382079	0.00369867	3.68157	0.11981	-31437.4	-30008.1	-25793.1	2.54309	314.932	301.611	270.589	
0.124802	-0.0455017	-0.0366821	374.106	2.6409	0.000880943	0.000870716	2.96247	0.124802	-31438	-30008	-25793.8	2.6409	257.798	247.134	221.643	
0.129794	-0.0444641	-0.046051	374.105	2.73871	0.00156745	0.00161896	1.58725	0.129794	-31437.8	-30008	-25793.6	2.73871	134.554	129.011	115.732	
0.134786	-0.0453491	-0.0461121	374.105	2.83652	0.00190083	0.00199911	2.84485	0.134786	-31437.6	-30008.1	-25793.6	2.83652	240.158	229.967	206.319	
0.139778	-0.0501099	-0.0462952	374.108	2.93434	0.00163738	0.00168091	3.75596	0.139778	-31436.1	-30008.7	-25793.5	2.93434	321.91	308.411	276.625	
0.14477	-0.0543518	-0.0449219	374.104	3.03215	0.00279957	0.00289225	2.61709	0.14477	-31435.6	-30009.3	-25792.8	3.03215	224.565	215.237	193.059	
0.149762	-0.0552673	-0.0443115	374.102	3.12996	0.00195605	0.00206697	0.231389	0.149762	-31435.6	-30009.7	-25792.8	3.12996	2.72688	1.01502	3.80752	
0.154754	-0.0491028	-0.0400085	374.1	3.22777	0.00136897	0.00141289	2.45509	0.154754	-31435.4	-30009.8	-25793	3.22777	211.014	202.142	181.347	
0.159747	-0.0434265	-0.0387573	374.1	3.32558	0.00117827	0.00104799	3.31432	0.159747	-31436.3	-30009.1	-25793	3.32558	284.066	272.209	244.14	
0.164739	-0.0431824	-0.0368652	374.101	3.42339	0.00110535	0.00112674	2.35747	0.164739	-31437.1	-30008.2	-25792.9	3.42339	198.993	190.621	171.014	
0.169731	-0.042572	-0.0391846	374.109	3.5212	0.00151793	0.00121393	1.2369	0.169731	-31437.6	-30007.4	-25792.9	3.5212	104.728	100.257	89.9941	
0.174723	-0.0479431	-0.0431519	374.114	3.61901	0.000950043	0.000866364	2.15958	0.174723	-31437.7	-30007.1	-25792.7	3.61901	188.186	180.38	161.78	
0.179715	-0.0481873	-0.0444946	374.113	3.71683	0.000829759	0.000851672	2.51969	0.179715	-31437.6	-30007.3	-25792.6	3.71683	215.474	206.551	185.243	
0.184707	-0.0491028	-0.0473938	374.123	3.81464	0.000914627	0.000954058	2.13665	0.184707	-31437	-30008.2	-25792.5	3.81464	178.631	171.069	153.48	
0.189699	-0.0482483	-0.0454407	374.113	3.91245	0.000794494	0.000740577	2.03747	0.189699	-31436	-30008.2	-25792.4	3.91245	174.128	166.841	149.663	
0.194691	-0.0513916	-0.0444336	374.112	4.01026	0.00109782	0.000982917	1.94102	0.194691	-31435.9	-30007.6	-25792.3	4.01026	169.796	162.81	146.012	
0.199683	-0.0471802	-0.036499	374.111	4.10807	0.00107596	0.000899076	1.5275	0.199683	-31437.1	-30007.4	-25792.5	4.10807	130.31	124.907	112.026	
0.204675	-0.0454102	-0.0343933	374.103	4.20588	0.00147393	0.0016361	1.93049	0.204675	-31437	-30007.1	-25792.5	4.20588	162.048	155.161	139.213	
0.209667	-0.0473328	-0.033905	374.104	4.30369	0.000905894	0.00108276	2.41412	0.209667	-31437.4	-30007.6	-25793	4.30369	206.834	198.207	177.774	
0.214659	-0.0461731	-0.0356751	374.098	4.4015	0.00118124	0.00107323	1.78818	0.214659	-31437.1	-30008.9	-25793.6	4.4015	154.769	148.366	133.09	
0.219652	-0.048645	-0.0412903	374.1	4.49931	0.000542798	0.000748553	0.513268	0.219652	-31436	-30009.2	-25793.6	4.49931	41.8012	40.0653	35.996	
0.224644	-0.0507507	-0.0427856	374.096	4.59713	0.000776203	0.000666133	1.74138	0.224644	-31436.9	-30009.2	-25793.8	4.59713	148.225	142.007	127.38	
0.229636	-0.0470886	-0.0455322	374.094	4.69494	0.000918535	0.00107664	2.39607	0.229636	-31435.8	-30009.1	-25793.4	4.69494	205.244	196.701	176.425	
0.234628	-0.0472107	-0.0461121	374.095	4.79275	0.000971293	0.000917265	1.67083	0.234628	-31436.5	-30008.8	-25792.9	4.79275	142.181	136.261	122.215	
0.23962	-0.0485535	-0.045929	374.094	4.89056	0.000884564	0.000993079	0.472737	0.23962	-31436.9	-30007.7	-25792.9	4.89056	38.4843	36.8802	33.1255	
0.244612	-0.0450745	-0.0396118	374.093	4.98837	0.00107857	0.00118469	1.57811	0.244612	-31436	-30007.6	-25792.9	4.98837	136.552	130.929	117.436	
0.249604	-0.0470886	-0.0368347	374.094	5.08618	0.000898506	0.00084602	2.04412	0.249604	-31437	-30007.4	-25793.1	5.08618	175.065	167.763	150.457	
0.254596	-0.0454102	-0.0398865	374.093	5.18399	0.000817569	0.000827503	1.56802	0.254596	-31436	-30006.8	-25792.9	5.18399	131.513	125.958	112.99	
0.259588	-0.0463257	-0.0384216	374.104	5.2818	0.000649647	0.000711893	1.19162	0.259588	-31435.8	-30007.4	-25792.9	5.2818	101.401	97.1805	87.1427	
0.26458	-0.0497437	-0.0447083	374.104	5.37962	0.00109203	0.0009689	1.44415	0.26458	-31435.6	-30006.7	-25792.5	5.37962	126.681	121.441	108.904	
0.269572	-0.049469	-0.043396	374.105	5.47743	0.000385933	0.000495771	1.4572	0.269572	-31436	-30006.5	-25792.3	5.47743	124.463	119.226	106.974	
0.274564	-0.0479126	-0.0463867	374.109	5.57524	0.000636933	0.000564923	1.46288	0.274564	-31436	-30006.4	-25792.1	5.57524	122.323	117.105	105.078	
0.279556	-0.0486755	-0.0460815	374.102	5.67305	0.000438566	0.000445105	1.65189	0.279556	-31435.9	-30006.5	-25792.1	5.67305	141.329	135.38	121.43	
0.284549	-0.0462341	-0.0448608	374.105	5.77086	0.000486328	0.000440548	1.35565	0.284549	-31436.1	-30007.1	-25792.7	5.77086	118.061	113.24	101.55	
0.289541	-0.0466614	-0.0422058	374.106	5.86867	0.000606772	0.000639888	0.74196	0.289541	-31436.4	-30006.9	-25792.7	5.86867	62.8684	60.239	54.0793	
