Scan started at 18:09:02 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0499268	-0.0421143	374.422	0.195622	0.0152981	0.0146455	12.1119	0	-31521.1	-29821.5	-25859	0.195622	1084.58	1030.66	921.116	
0.00499208	-0.0493774	-0.0367432	374.425	0.293434	0.00855123	0.0082213	24.8061	0.00499208	-31432.1	-29971	-25869.9	0.293434	2322.3	2221.39	1993.4	
0.00998416	-0.0531413	-0.0386963	374.416	0.391245	0.0106902	0.0106147	11.4701	0.00998416	-31438.1	-30022.8	-25843.3	0.391245	1056.77	1006.21	897.859	
0.0149762	-0.0509033	-0.0397339	374.418	0.489056	0.00329495	0.00314311	14.9859	0.0149762	-31485.9	-29974.2	-25824.5	0.489056	1395.34	1333.21	1192.09	
0.0199683	-0.0568543	-0.0384827	374.417	0.586867	0.00433223	0.00448463	10.9712	0.0199683	-31485.2	-29975.7	-25824.4	0.586867	1013.89	966.645	861.333	
0.0249604	-0.0571594	-0.0386963	374.413	0.684678	0.0060568	0.00614665	10.7899	0.0249604	-31485.3	-29975.7	-25824.6	0.684678	997.894	953.831	848.961	
0.0299525	-0.0548096	-0.0389099	374.416	0.782489	0.00407386	0.00413848	10.3297	0.0299525	-31486.1	-29974.4	-25824.5	0.782489	955.919	911.402	812.241	
0.0349446	-0.0514221	-0.0353088	374.408	0.880301	0.00394514	0.00405794	8.46988	0.0349446	-31486.6	-29973.8	-25824.1	0.880301	777.948	742.066	658.551	
0.0399366	-0.0445252	-0.0320435	374.407	0.978112	0.00265745	0.00268485	9.5416	0.0399366	-31486.7	-29974.4	-25824.3	0.978112	881.812	844.502	751.255	
0.0449287	-0.0446167	-0.0375671	374.409	1.07592	0.00319624	0.00335114	6.97956	0.0449287	-31486.2	-29974.2	-25824.2	1.07592	636.843	607.954	537.584	
0.0499208	-0.0465698	-0.0322876	374.41	1.17373	0.00313506	0.00277264	8.6357	0.0499208	-31485.6	-29974.8	-25824.1	1.17373	799.266	762.882	680.101	
0.0549129	-0.0497131	-0.0321045	374.418	1.27155	0.00365429	0.00357829	5.92945	0.0549129	-31485.2	-29975.5	-25824.5	1.27155	538.91	514.672	454.4	
0.059905	-0.0484009	-0.0331421	374.417	1.36936	0.0023771	0.00243847	7.63039	0.059905	-31485.4	-29974.5	-25824.1	1.36936	705.252	674.534	600.786	
0.064897	-0.0500183	-0.039856	374.414	1.46717	0.00342376	0.00333939	5.13928	0.064897	-31486.2	-29974.1	-25824.1	1.46717	467.856	445.336	393.662	
0.0698891	-0.0498657	-0.0434265	374.413	1.56498	0.00211749	0.00217362	6.55467	0.0698891	-31486.7	-29973.7	-25824.2	1.56498	606.373	578.047	515.554	
0.0748812	-0.052002	-0.0452271	374.413	1.66279	0.00274633	0.00300126	4.52337	0.0748812	-31486.6	-29973.9	-25823.8	1.66279	411.939	393.448	347.867	
0.0798733	-0.0487671	-0.0436096	374.42	1.7606	0.00378219	0.00372604	5.43324	0.0798733	-31487.4	-29973.4	-25824.3	1.7606	502.176	479.31	426.906	
0.0848654	-0.0466614	-0.0361939	374.416	1.85841	0.00507265	0.00518862	4.01851	0.0848654	-31487.1	-29974.1	-25824.5	1.85841	368.522	351.657	312.008	
0.0898574	-0.0428772	-0.0361328	374.419	1.95622	0.00264647	0.00281817	4.29548	0.0898574	-31486.2	-29974.9	-25824.6	1.95622	397.223	378.815	337.585	
0.0948495	-0.0456543	-0.029541	374.415	2.05403	0.00448242	0.00435364	3.60989	0.0948495	-31485.8	-29975	-25825.4	2.05403	332.723	318.203	283.117	
0.0998416	-0.050415	-0.0328369	374.408	2.15185	0.0044889	0.00452158	3.18422	0.0998416	-31484.9	-29976.7	-25825	2.15185	293.481	280.281	249.461	
0.104834	-0.0541382	-0.032959	374.411	2.24966	0.00477262	0.00478435	3.26983	0.104834	-31485	-29977.2	-25825	2.24966	303.835	289.852	259.16	
0.109826	-0.0523987	-0.0391541	374.409	2.34747	0.00249757	0.00272425	2.11574	0.109826	-31485.8	-29976.3	-25825	2.34747	194.429	185.16	165.049	
0.114818	-0.0474243	-0.0465088	374.409	2.44528	0.00436589	0.0044751	2.98627	0.114818	-31486.7	-29975.8	-25824.5	2.44528	279.301	266.446	238.946	
0.11981	-0.0469055	-0.0481262	374.409	2.54309	0.00312607	0.00334756	1.1168	0.11981	-31487	-29975.2	-25825	2.54309	101.785	96.5576	86.2496	
0.124802	-0.0419617	-0.0491333	374.414	2.6409	0.00194279	0.00206029	2.75576	0.124802	-31487	-29975.1	-25825.5	2.6409	258.436	246.638	221.51	
0.129794	-0.0434265	-0.0430603	374.414	2.73871	0.00185746	0.00162549	0.281043	0.129794	-31487.2	-29975.2	-25825.7	2.73871	17.2468	17.1304	15.2607	
0.134786	-0.0476074	-0.0426941	374.416	2.83652	0.00247401	0.00220031	2.56357	0.134786	-31486.8	-29975.9	-25825.7	2.83652	240.504	229.785	206.288	
0.139778	-0.0498047	-0.0354614	374.419	2.93434	0.00224906	0.00227477	0.637144	0.139778	-31486.7	-29976.8	-25825.6	2.93434	56.8432	53.2625	48.13	
0.14477	-0.0537109	-0.0314331	374.414	3.03215	0.00410867	0.00416973	2.40534	0.14477	-31486.9	-29976	-25825.4	3.03215	225.113	215.019	192.804	
0.149762	-0.0560913	-0.0320435	374.413	3.12996	0.00138279	0.00138165	1.28931	0.149762	-31486	-29975.7	-25824.9	3.12996	118.259	112.756	100.661	
0.154754	-0.0484619	-0.0309753	374.411	3.22777	0.00162234	0.00168846	2.27415	0.154754	-31486.2	-29975	-25825.1	3.22777	211.611	202.201	180.814	
0.159747	-0.0456848	-0.0376587	374.412	3.32558	0.00112903	0.00103732	1.81518	0.159747	-31485.7	-29975.4	-25825	3.32558	167.547	159.792	142.45	
0.164739	-0.0446777	-0.0373535	374.41	3.42339	0.00160972	0.00161151	2.16027	0.164739	-31485.8	-29975.9	-25824.9	3.42339	199.57	191.02	169.994	
0.169731	-0.0484619	-0.0444946	374.41	3.5212	0.00116296	0.000941906	2.20392	0.169731	-31486.4	-29975.2	-25824.8	3.5212	203.712	194.11	173.114	
0.174723	-0.0503235	-0.0430908	374.41	3.61901	0.00191578	0.00178165	2.05997	0.174723	-31487	-29975.8	-25824.3	3.61901	189.04	180.731	160.378	
0.179715	-0.0516052	-0.0426025	374.406	3.71683	0.00162201	0.00176572	2.44926	0.179715	-31487.7	-29974.8	-25824	3.71683	226.692	215.973	192.622	
0.184707	-0.0484314	-0.0416565	374.408	3.81464	0.00210926	0.00203252	1.96847	0.184707	-31487.4	-29974.5	-25823.9	3.81464	179.359	171.848	151.792	
0.189699	-0.0426941	-0.0326843	374.408	3.91245	0.00130265	0.00147959	2.55989	0.189699	-31487.3	-29974.6	-25824	3.91245	236.75	225.929	201.282	
0.194691	-0.0465088	-0.0350037	374.41	4.01026	0.0013909	0.00132229	1.87838	0.194691	-31486.5	-29974.2	-25824.1	4.01026	170.888	163.216	144.205	
0.199683	-0.0403748	-0.0315247	374.415	4.10807	0.00160137	0.00161269	2.54055	0.199683	-31484.9	-29975.5	-25824.3	4.10807	235.134	224.104	199.707	
0.204675	-0.0427246	-0.0325317	374.418	4.20588	0.000845699	0.000868278	1.79404	0.204675	-31484.8	-29975.7	-25824	4.20588	162.995	155.7	137.402	
0.209667	-0.0431213	-0.0354919	374.418	4.30369	0.000845546	0.000725058	2.40488	0.209667	-31483.9	-29976.6	-25823.9	4.30369	222.795	212.004	189.057	
0.214659	-0.0444641	-0.0428772	374.409	4.4015	0.00095879	0.00085907	1.70822	0.214659	-31484.6	-29976.5	-25823.5	4.4015	155.707	148.76	131.488	
0.219652	-0.0500488	-0.0450134	374.406	4.49931	0.00084201	0.000791825	2.17098	0.219652	-31485.9	-29975.6	-25822.9	4.49931	200.729	191.546	170.563	
0.224644	-0.0491028	-0.0460815	374.403	4.59713	0.00127023	0.00109008	1.63066	0.224644	-31485.5	-29974.9	-25823.1	4.59713	148.971	142.41	126.101	
0.229636	-0.0484619	-0.0448608	374.404	4.69494	0.000967145	0.000880399	1.85484	0.229636	-31485.7	-29973.2	-25823.4	4.69494	171.623	163.484	145.652	
0.234628	-0.0464172	-0.0389099	374.411	4.79275	0.00136403	0.00133742	1.55157	0.234628	-31485.6	-29972.9	-25823.6	4.79275	142.69	136.552	121.304	
0.23962	-0.0465698	-0.0412293	374.414	4.89056	0.000741241	0.000684695	1.47903	0.23962	-31485	-29973.8	-25824	4.89056	136.585	130.18	115.96	
0.244612	-0.0512085	-0.0383911	374.412	4.98837	0.000655649	0.000684697	1.47879	0.244612	-31485.9	-29974.7	-25824.4	4.98837	137.232	130.839	116.844	
0.249604	-0.0529785	-0.0397644	374.413	5.08618	0.000938876	0.00102508	1.06281	0.249604	-31486.4	-29975.7	-25824.2	5.08618	97.7321	93.4777	83.1934	
0.254596	-0.0537415	-0.038208	374.411	5.18399	0.00103211	0.000792313	1.41321	0.254596	-31486	-29976.1	-25824.2	5.18399	131.865	125.866	112.71	
0.259588	-0.0531311	-0.0394898	374.412	5.2818	0.00080666	0.000707217	0.6306	0.259588	-31487	-29977	-25824.3	5.2818	57.3689	55.0366	48.9748	
0.26458	-0.0501404	-0.0421448	374.413	5.37962	0.000890123	0.000832673	1.35515	0.26458	-31486.5	-29976.7	-25824.3	5.37962	126.896	121.353	108.81	
0.269572	-0.0514526	-0.0430298	374.41	5.47743	0.000550281	0.000546694	0.21481	0.269572	-31486.3	-29976.6	-25824.4	5.47743	17.2179	16.7168	14.9128	
0.274564	-0.0467224	-0.04953	374.412	5.57524	0.000442579	0.000398937	1.30554	0.274564	-31486.4	-29976.5	-25824.4	5.57524	122.396	117.1	105.085	
0.279556	-0.048584	-0.0478821	374.407	5.67305	0.000636789	0.000702085	0.247199	0.279556	-31485.7	-29975.9	-25824.4	5.67305	21.0218	19.8275	17.8794	
0.284549	-0.0486145	-0.0487366	374.406	5.77086	0.000444943	0.000372254	1.26402	0.284549	-31485.6	-29975.7	-25824.2	5.77086	118.227	113.247	101.477	
0.289541	-0.0507813	-0.0393066	374.407	5.86867	0.000861086	0.00083017	0.607481	0.289541	-31485.8	-29975.9	-25824	5.86867	55.6315	53.027	47.3028	
0.294533	-0.0554199	-0.0340881	374.407	5.96648	0.000521614	0.00058498	1.22876	0.294533	-31485.5	-29976	-25823.9	5.96648	114.571	109.483	97.9923	
0.299525	-0.0550842	-0.0335693	374.409	6.06429	0.000312277	0.000331483	0.928018	0.299525	-31485.9	-29975.4	-25823.5	6.06429	85.3814	81.6159	72.6949	
0.304517	-0.0519409	-0.0310974	374.409	6.1621	0.000401688	0.000657165	1.19836	0.304517	-31485.6	-29975	-25823.4	6.1621	110.923	106.181	94.6402	
0.309509	-0.0493774	-0.0376587	374.408	6.25992	0.00053695	0.000517868	1.18421	0.309509	-31485.5	-29974	-25823.6	6.25992	109.425	104.457	93.0183	
0.314501	-0.0482483	-0.0379639	374.404	6.35773	0.000565035	0.000332849	1.17129	0.314501	-31485.8	-29973.9	-25823.7	6.35773	107.801	102.874	91.4333	
0.319493	-0.0476074	-0.0431519	374.404	6.45554	0.000612982	0.000527715	1.37126	0.319493	-31486.3	-29975.3	-25824.2	6.45554	126.773	121.039	107.809	
0.324485	-0.0499268	-0.0431213	374.41	6.55335	0.000187497	0.000284595	1.14448	0.324485	-31486.8	-29976.2	-25824.8	6.55335	104.766	99.7985	88.4917	
0.329477	-0.0532532	-0.0470581	374.408	6.65116	0.000670329	0.000697817	1.48366	0.329477	-31486.8	-29977	-25825.2	6.65116	137.004	131.074	116.622	
0.334469	-0.0556641	-0.0418396	374.408	6.74897	0.000449542	0.000528362	1.11717	0.334469	-31487.3	-29977.2	-25825.1	6.74897	101.636	97.1477	85.8261	
0.339461	-0.0564575	-0.0350647	374.406	6.84678	0.000696281	0.000837364	1.51776	0.339461	-31486.9	-29976	-25824.4	6.84678	140.309	134.227	119.42	
0.344454	-0.056488	-0.0372925	374.399	6.94459	0.00084407	0.000594444	1.08793	0.344454	-31486.3	-29975.7	-25824	6.94459	99.019	94.2917	83.3034	
0.349446	-0.0500183	-0.0306397	374.397	7.04241	0.00068898	0.000650462	1.48053	0.349446	-31487.4	-29975.3	-25824.1	7.04241	136.897	130.758	116.383	
0.354438	-0.0463257	-0.0346375	374.404	7.14022	0.000246053	0.000464588	1.0565	0.354438	-31487.8	-29975.5	-25824.6	7.14022	96.2311	91.7113	81.1477	
0.35943	-0.0465393	-0.0361023	374.404	7.23803	0.000420949	0.000572834	1.37493	0.35943	-31487.5	-29976	-25825	7.23803	126.999	121.445	108.057	
0.364422	-0.0502319	-0.0409241	374.41	7.33584	0.00032295	0.000479939	1.02416	0.364422	-31487.6	-29976.2	-25825.4	7.33584	93.4136	89.4581	79.0905	
0.369414	-0.0522156	-0.0454712	374.415	7.43365	0.000519612	0.000402279	1.20993	0.369414	-31486.6	-29976	-25825	7.43365	111.859	106.705	95.0678	
0.374406	-0.0522766	-0.0428467	374.411	7.53146	0.000768293	0.000818005	0.990174	0.374406	-31486.2	-29975.8	-25824.8	7.53146	91.1077	86.8655	77.2525	
0.379398	-0.0493164	-0.0426331	374.421	7.62927	0.000243874	0.000388358	0.996141	0.379398	-31486	-29975.6	-25824.8	7.62927	92.0843	87.7518	78.2206	
0.38439	-0.0488281	-0.0387878	374.416	7.72708	0.000615993	0.000827668	0.957632	0.38439	-31485.6	-29974.9	-25824.4	7.72708	88.6216	84.7004	75.491	
0.389382	-0.0501709	-0.038269	374.415	7.82489	0.000484306	0.000790289	0.746667	0.389382	-31485.8	-29974.7	-25824.8	7.82489	68.8717	65.6823	58.5435	
0.394374	-0.0488892	-0.0292664	374.41	7.92271	0.000555467	0.000503747	0.927231	0.394374	-31485.5	-29974.9	-25824.3	7.92271	86.3139	82.6271	73.8443	
0.399366	-0.0490418	-0.0289917	374.404	8.02052	0.000477455	0.000589912	0.47517	0.399366	-31485.7	-29975.5	-25823.8	8.02052	43.4038	41.6366	36.9605	
0.404358	-0.0483093	-0.0283203	374.404	8.11833	0.000403534	0.000573638	0.899728	0.404358	-31485.5	-29974.9	-25823.4	8.11833	84.1967	80.5394	72.2012	
0.409351	-0.0518494	-0.0289307	374.401	8.21614	0.00038537	0.000352894	0.19958	0.409351	-31485.1	-29974.9	-25823	8.21614	17.443	16.4382	14.7896	
0.414343	-0.0534363	-0.0402527	374.408	8.31395	0.000363093	0.000380864	0.876865	0.414343	-31485.7	-29974.8	-25823.4	8.31395	82.2331	78.6139	70.5735	
0.419335	-0.0556641	-0.039032	374.405	8.41176	0.000677976	0.000821787	0.113773	0.419335	-31485.7	-29974.3	-25823.2	8.41176	8.38167	8.23979	7.36749	
0.424327	-0.053894	-0.0419617	374.401	8.50957	0.000415218	0.00029004	0.857572	0.424327	-31486.4	-29975.1	-25823.5	8.50957	80.3755	76.8348	68.9292	
0.429319	-0.0495606	-0.0399475	374.406	8.60738	0.000649632	0.000591755	0.35891	0.429319	-31486.7	-29974.9	-25824	8.60738	32.6715	31.2856	27.8248	
0.434311	-0.0500183	-0.0398865	374.405	8.7052	0.000604379	0.000412037	0.842663	0.434311	-31486.2	-29975.1	-25824	8.7052	78.5923	75.1845	67.2844	
0.439303	-0.0527039	-0.0339966	374.406	8.80301	0.000334629	0.000300252	0.590189	0.439303	-31485.7	-29976.5	-25824	8.80301	54.5202	51.6465	46.1672	
0.444295	-0.0543213	-0.0293274	374.414	8.90082	0.000343296	0.000307224	0.829957	0.444295	-31485.6	-29976.3	-25824.2	8.90082	76.9881	73.545	65.659	
0.449287	-0.053772	-0.0307922	374.414	8.99863	0.00037637	0.000426299	0.784165	0.449287	-31484.7	-29975.9	-25823.8	8.99863	72.4805	69.0559	61.5621	
0.454279	-0.0535889	-0.029541	374.414	9.09644	0.000849306	0.000712728	0.81833	0.454279	-31484.3	-29975.7	-25823.4	9.09644	75.3557	72.1212	64.0826	
0.459271	-0.0496826	-0.0352783	374.414	9.19425	0.000499613	0.000434925	0.933088	0.459271	-31485.2	-29974.4	-25823.3	9.19425	86.3698	82.2604	73.3902	
0.464263	-0.0478516	-0.0359497	374.414	9.29206	0.000492991	0.000498756	0.807676	0.464263	-31485	-29974	-25823.5	9.29206	73.9596	70.5506	62.5802	
0.469256	-0.0445252	-0.0385742	374.418	9.38987	0.000274209	0.000292292	1.0329	0.469256	-31485.1	-29974.4	-25823.9	9.38987	95.4812	91.1774	81.1639	
0.474248	-0.0452881	-0.0389404	374.418	9.48768	0.000307058	0.000486387	0.794996	0.474248	-31485.2	-29974.4	-25824	9.48768	72.5617	69.1205	61.1256	
0.47924	-0.047699	-0.0448608	374.42	9.5855	0.000296039	0.000513601	1.07922	0.47924	-31485.3	-29974.8	-25824	9.5855	99.9787	95.0337	84.8265	
0.484232	-0.0525513	-0.0443726	374.421	9.68331	0.000464144	0.000482658	0.781652	0.484232	-31485.3	-29974.5	-25823.8	9.68331	71.1445	67.7041	59.8801	
0.489224	-0.0555115	-0.0409546	374.413	9.78112	0.000319608	0.000262112	1.07214	0.489224	-31485.6	-29973.8	-25823.8	9.78112	98.9935	94.7572	84.2607	
0.494216	-0.0549011	-0.0386047	374.416	9.87893	0.000608162	0.000468036	0.765393	0.494216	-31486.2	-29973.9	-25823.8	9.87893	69.6884	66.4356	58.6959	
0.499208	-0.0513306	-0.0296021	374.408	9.97674	0.000478836	0.000375172	1.01478	0.499208	-31485.1	-29973.7	-25823.5	9.97674	93.6722	89.6537	79.7313	
0.5042	-0.0450134	-0.0305786	374.408	10.0746	0.000400521	0.00030046	0.747478	0.5042	-31486.2	-29974.3	-25823.6	10.0746	68.1903	65.2148	57.7022	
0.509192	-0.045929	-0.0305176	374.411	10.1724	0.000322956	0.000379825	0.911395	0.509192	-31485.8	-29974.6	-25823.6	10.1724	84.1471	80.4192	71.5782	
0.514184	-0.0455322	-0.0377502	374.408	10.2702	0.000421501	0.000317079	0.728566	0.514184	-31485.3	-29974.8	-25823.4	10.2702	66.9663	63.8328	56.7399	
0.519176	-0.0493164	-0.0436096	374.414	10.368	0.000482125	0.000580268	0.768283	0.519176	-31485.8	-29976.3	-25823.6	10.368	70.9319	67.7391	60.289	
0.524168	-0.0497437	-0.0446472	374.41	10.4658	0.000494427	0.000501463	0.709786	0.524168	-31485.2	-29976.3	-25823.7	10.4658	65.5086	62.7158	55.8384	
0.52916	-0.052063	-0.0444336	374.405	10.5636	0.000607814	0.000531842	0.59411	0.52916	-31486.3	-29975.3	-25823.3	10.5636	54.7962	52.3069	46.5664	
0.534153	-0.0519714	-0.0431213	374.405	10.6614	0.000469563	0.000789974	0.691544	0.534153	-31486	-29975.5	-25824	10.6614	64.3033	61.4853	54.9605	
0.539145	-0.0496521	-0.0418396	374.406	10.7592	0.000462618	0.000516828	0.398679	0.539145	-31486.7	-29974.2	-25824	10.7592	36.5904	35.0054	31.1233	
0.544137	-0.0448914	-0.0416565	374.416	10.857	0.00044085	0.000427814	0.675083	0.544137	-31487.2	-29973.8	-25823.9	10.857	63.1814	60.3049	54.09	
0.549129	-0.0403137	-0.0432739	374.415	10.9549	0.000375489	0.000343542	0.194228	0.549129	-31486.4	-29975	-25824.5	10.9549	17.3723	16.4953	14.7336	
0.554121	-0.0405579	-0.039978	374.416	11.0527	0.000347703	0.000261259	0.66125	0.554121	-31487.2	-29975.2	-25824.5	11.0527	61.9693	59.3096	53.2018	
0.559113	-0.0408325	-0.0436707	374.418	11.1505	0.000370651	0.000298325	0.0565081	0.559113	-31486.9	-29975.7	-25824.1	11.1505	2.15499	2.18053	2.0496	
0.564105	-0.0450134	-0.0397339	374.412	11.2483	0.000496729	0.000528976	0.650052	0.564105	-31486.5	-29976.2	-25824.2	11.2483	60.9037	58.252	52.2765	
0.569097	-0.046051	-0.0382385	374.419	11.3461	0.000424345	0.000395877	0.230379	0.569097	-31485.8	-29976	-25824.1	11.3461	20.7785	19.8803	17.7317	
0.574089	-0.0480347	-0.0451965	374.415	11.4439	0.000322828	0.000384033	0.641459	0.574089	-31484.3	-29975.6	-25823.5	11.4439	59.9778	57.2415	51.3211	
0.579081	-0.0473938	-0.0414124	374.412	11.5417	0.00032288	0.000486905	0.412148	0.579081	-31484.9	-29975.7	-25823.8	11.5417	37.7115	36.2187	32.2182	
0.584073	-0.0487976	-0.0452881	374.412	11.6395	0.000365514	0.000445779	0.634907	0.584073	-31485.1	-29975.6	-25823.6	11.6395	59.0041	56.4181	50.3567	
0.589065	-0.045044	-0.0406494	374.411	11.7373	0.000280136	0.000195458	0.569275	0.589065	-31484.8	-29975.5	-25823.7	11.7373	52.6052	50.1496	44.7102	
0.594058	-0.0441895	-0.0348816	374.414	11.8352	0.000321261	0.000398053	0.62973	0.594058	-31485.1	-29975.9	-25824	11.8352	58.1454	55.459	49.3699	
0.59905	-0.045166	-0.0340881	374.413	11.933	0.000317702	0.000428838	0.695448	0.59905	-31485	-29976.9	-25823.8	11.933	64.1952	61.42	54.6202	
0.604042	-0.0500183	-0.0285645	374.407	12.0308	0.000525418	0.000231153	0.624061	0.604042	-31485.3	-29976.3	-25823.9	12.0308	57.2506	54.6092	48.4629	
0.609034	-0.0558777	-0.0351868	374.406	12.1286	0.000227654	0.000419056	0.784655	0.609034	-31485.9	-29975.5	-25823.9	12.1286	72.4594	69.2891	61.6342	
0.614026	-0.0561218	-0.0386353	374.405	12.2264	0.000224061	0.000450926	0.618014	0.614026	-31486.1	-29975.3	-25823.7	12.2264	56.5546	53.6296	47.5801	
0.619018	-0.0522766	-0.0401611	374.406	12.3242	0.000368524	0.000425471	0.833187	0.619018	-31486.4	-29974.9	-25823.7	12.3242	76.825	73.7633	65.4922	
0.62401	-0.0462036	-0.0443726	374.41	12.422	0.000213244	0.000185596	0.610678	0.62401	-31485.7	-29975	-25823.9	12.422	55.6047	52.9064	46.7952	
0.629002	-0.0439758	-0.0423584	374.412	12.5198	0.000314718	0.000325859	0.840601	0.629002	-31484.7	-29975.3	-25824	12.5198	77.7601	74.214	66.0745	
0.633994	-0.0442505	-0.0383606	374.419	12.6176	0.000279893	0.000421338	0.600973	0.633994	-31484.4	-29975.3	-25823.9	12.6176	54.7581	52.1019	46.0866	
0.638986	-0.0468445	-0.0393372	374.416	12.7155	0.000349054	0.000420975	0.807881	0.638986	-31483.8	-29975.6	-25823.5	12.7155	74.587	71.4134	63.4683	
0.643978	-0.0456238	-0.0379944	374.414	12.8133	0.000211552	0.000299563	0.590283	0.643978	-31484.4	-29975.5	-25823.1	12.8133	53.7411	51.5008	45.443	
0.64897	-0.0505676	-0.0345154	374.418	12.9111	0.000104007	0.000314837	0.737636	0.64897	-31485.1	-29973.7	-25822.9	12.9111	68.1386	65.1369	57.9622	
0.653962	-0.0519409	-0.0350037	374.409	13.0089	0.000200805	0.000365208	0.577917	0.653962	-31485.1	-29973.5	-25823	13.0089	53.1651	50.431	44.8669	
0.658955	-0.0524902	-0.033783	374.415	13.1067	0.000201154	0.000300691	0.633856	0.658955	-31485.8	-29972	-25822.9	13.1067	58.5595	55.9344	49.7995	
0.663947	-0.0487671	-0.0446167	374.412	13.2045	0.000428915	0.000394165	0.565354	0.663947	-31485.6	-29972	-25823.3	13.2045	52.1809	49.7619	44.3264	
0.668939	-0.0456543	-0.0513001	374.407	13.3023	0.000406786	0.000296937	0.503507	0.668939	-31484.9	-29973.4	-25823.6	13.3023	46.351	44.4357	39.5121	
