Scan started at 17:54:46 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0466309	-0.0445557	374.148	0.195622	0.0124934	0.0122705	12.116	0	-31646.8	-29789.9	-25823.7	0.195622	1086.59	1031.47	920.617	
0.00499208	-0.0465088	-0.0428467	374.144	0.293434	0.00685606	0.00658181	24.7991	0.00499208	-31549.2	-29827.1	-25843.9	0.293434	2322.38	2220.54	1994.42	
0.00998416	-0.0500081	-0.0409342	374.15	0.391245	0.0066691	0.00677027	11.4786	0.00998416	-31480	-29918.3	-25837.3	0.391245	1056.71	1008.5	898.725	
0.0149762	-0.0495606	-0.0453796	374.147	0.489056	0.0042367	0.00412089	14.9602	0.0149762	-31492.1	-29945.9	-25824.1	0.489056	1394.5	1332.96	1194.01	
0.0199683	-0.0490112	-0.0441589	374.147	0.586867	0.00478185	0.00466075	10.9805	0.0199683	-31490.2	-29947.5	-25824.7	0.586867	1014.14	966.578	861.979	
0.0249604	-0.04776	-0.04245	374.15	0.684678	0.00499999	0.00513635	10.7681	0.0249604	-31490.4	-29947.2	-25824.6	0.684678	996.516	953.031	850.723	
0.0299525	-0.046875	-0.0380554	374.148	0.782489	0.00370072	0.00347057	10.3209	0.0299525	-31491.1	-29947.1	-25824.4	0.782489	954.596	911.351	812.536	
0.0349446	-0.0492859	-0.0342712	374.151	0.880301	0.00341601	0.00326531	8.44403	0.0349446	-31491.1	-29947.5	-25823.9	0.880301	776.918	740.812	659.768	
0.0399366	-0.0499878	-0.034668	374.148	0.978112	0.00380214	0.00348655	9.53765	0.0399366	-31491	-29947.3	-25823.5	0.978112	883.622	841.049	751.267	
0.0449287	-0.052002	-0.0362549	374.144	1.07592	0.00440787	0.00456747	6.95106	0.0449287	-31491.9	-29946.2	-25824.4	1.07592	635.335	607.409	538.519	
0.0499208	-0.0501099	-0.0429382	374.142	1.17373	0.00306224	0.00303331	8.62938	0.0499208	-31492.7	-29944.7	-25824.2	1.17373	798.292	762.65	679.837	
0.0549129	-0.0493469	-0.0416565	374.142	1.27155	0.00423591	0.00435172	5.90438	0.0549129	-31492.5	-29946.4	-25824.4	1.27155	538.848	513.248	454.965	
0.059905	-0.0436707	-0.0453186	374.148	1.36936	0.00316566	0.00328628	7.62134	0.059905	-31490.7	-29948	-25825.2	1.36936	706.015	672.911	600.465	
0.064897	-0.0406799	-0.0448608	374.148	1.46717	0.00289386	0.00298706	5.12268	0.064897	-31490	-29948.3	-25825.2	1.46717	466.384	445.4	394.297	
0.0698891	-0.043457	-0.0447693	374.146	1.56498	0.00205646	0.00203329	6.54284	0.0698891	-31490.6	-29947.9	-25824.7	1.56498	605.417	578.42	515.525	
0.0748812	-0.0473633	-0.0428772	374.147	1.66279	0.00344974	0.00308919	4.50378	0.0748812	-31490.3	-29948.1	-25823.9	1.66279	411.295	393.1	348.237	
0.0798733	-0.0513001	-0.0358276	374.14	1.7606	0.00327652	0.00313006	5.42155	0.0798733	-31490.6	-29947.6	-25823.8	1.7606	502.072	478.749	427.195	
0.0848654	-0.0509338	-0.0378113	374.14	1.85841	0.00598899	0.00604507	4.00811	0.0848654	-31490.6	-29946.6	-25823.7	1.85841	367.954	351.297	312.354	
0.0898574	-0.0479126	-0.0352478	374.152	1.95622	0.00194244	0.00201703	4.29305	0.0898574	-31491.2	-29945.9	-25824.2	1.95622	396.643	378.915	337.759	
0.0948495	-0.0443115	-0.0382385	374.148	2.05403	0.00394041	0.00395769	3.60549	0.0948495	-31492.1	-29946.5	-25824.4	2.05403	332.726	317.65	283.222	
0.0998416	-0.0446167	-0.039856	374.149	2.15185	0.00385474	0.00393412	3.17723	0.0998416	-31492.2	-29947.1	-25824.7	2.15185	293.27	280.091	249.777	
0.104834	-0.0426331	-0.0403748	374.162	2.24966	0.00375144	0.00367547	3.26542	0.104834	-31493	-29946.6	-25825.1	2.24966	303.822	289.489	259.357	
0.109826	-0.0441895	-0.0428772	374.152	2.34747	0.00234705	0.0024146	2.10897	0.109826	-31492.7	-29947.2	-25824.5	2.34747	194.08	185.232	165.276	
0.114818	-0.041687	-0.0402527	374.152	2.44528	0.00440777	0.00440316	2.9829	0.114818	-31492	-29947.7	-25824.3	2.44528	279.099	266.404	239.129	
0.11981	-0.0457153	-0.035614	374.154	2.54309	0.00380809	0.00387514	1.11428	0.11981	-31492.5	-29947.4	-25824.4	2.54309	101.672	96.5058	86.3924	
0.124802	-0.0509644	-0.0328369	374.145	2.6409	0.00138292	0.00127342	2.75308	0.124802	-31492	-29946.4	-25824.2	2.6409	258.222	246.694	221.743	
0.129794	-0.0510864	-0.0332031	374.145	2.73871	0.0014283	0.00143754	0.278606	0.129794	-31492.2	-29946.2	-25824.2	2.73871	17.3236	16.9165	15.3031	
0.134786	-0.0495911	-0.0329895	374.144	2.83652	0.000979664	0.00116577	2.56072	0.134786	-31491.3	-29947.5	-25823.7	2.83652	240.34	229.728	206.5	
0.139778	-0.0439453	-0.0386047	374.144	2.93434	0.00125813	0.00116727	0.634382	0.139778	-31489.7	-29948.5	-25824.2	2.93434	56.3082	53.8129	48.2145	
0.14477	-0.0437317	-0.037323	374.145	3.03215	0.0029726	0.00278462	2.4017	0.14477	-31490.7	-29947.2	-25824.4	3.03215	225.12	214.74	192.963	
0.149762	-0.0467529	-0.0430603	374.146	3.12996	0.000745446	0.000748098	1.2847	0.149762	-31492.7	-29946.2	-25824.1	3.12996	118.1	112.792	100.717	
0.154754	-0.0483704	-0.0474243	374.149	3.22777	0.00135965	0.0014765	2.26953	0.154754	-31492.9	-29946.5	-25824.3	3.22777	211.556	201.951	180.975	
0.159747	-0.053009	-0.0461426	374.146	3.32558	0.00114519	0.00131212	1.81233	0.159747	-31492.7	-29945.4	-25823.9	3.32558	167.438	159.695	142.606	
0.164739	-0.0527649	-0.0455933	374.153	3.42339	0.000647192	0.000553142	2.15492	0.164739	-31493.2	-29945.1	-25824.3	3.42339	199.643	190.529	170.17	
0.169731	-0.050354	-0.0386658	374.151	3.5212	0.00101988	0.00118315	2.19911	0.169731	-31493	-29945.6	-25824.2	3.5212	203.311	194.3	173.209	
0.174723	-0.052887	-0.0371704	374.149	3.61901	0.0011535	0.00124092	2.05453	0.174723	-31491.9	-29946.9	-25824.2	3.61901	189.238	180.24	160.521	
0.179715	-0.0509338	-0.0313416	374.145	3.71683	0.00125878	0.00118401	2.4461	0.179715	-31491	-29947.6	-25825	3.71683	226.104	216.232	192.705	
0.184707	-0.0525818	-0.0340271	374.135	3.81464	0.00201987	0.00205081	1.95964	0.184707	-31491.3	-29946.7	-25824.9	3.81464	179.891	170.803	151.989	
0.189699	-0.053833	-0.0365906	374.135	3.91245	0.00126351	0.000995423	2.55439	0.189699	-31491.8	-29946.3	-25824.1	3.91245	236.451	225.789	201.357	
0.194691	-0.054657	-0.0393982	374.137	4.01026	0.000946227	0.000804755	1.87465	0.194691	-31491.1	-29946.1	-25823.9	4.01026	170.916	162.906	144.271	
0.199683	-0.0555725	-0.0457764	374.143	4.10807	0.00093485	0.000999865	2.53558	0.199683	-31490.3	-29945.3	-25823.4	4.10807	234.643	224.138	199.866	
0.204675	-0.0531921	-0.0447998	374.147	4.20588	0.00101217	0.000923951	1.78821	0.204675	-31490.7	-29944.3	-25823.6	4.20588	162.916	155.383	137.582	
0.209667	-0.0500183	-0.0421448	374.15	4.30369	0.00119047	0.000959917	2.40098	0.209667	-31491.9	-29944	-25822.8	4.30369	222.104	212.247	189.242	
0.214659	-0.0483093	-0.0393066	374.15	4.4015	0.000986669	0.00102578	1.70767	0.214659	-31490.8	-29945.8	-25822.9	4.4015	155.427	148.738	131.583	
0.219652	-0.0488586	-0.0397339	374.148	4.49931	0.000803963	0.000877576	2.16806	0.219652	-31490.6	-29945.8	-25823.7	4.49931	200.576	191.399	170.717	
0.224644	-0.0462647	-0.0356445	374.142	4.59713	0.0012452	0.00116881	1.62516	0.224644	-31491.3	-29945.4	-25823.5	4.59713	149.098	141.983	126.202	
0.229636	-0.0473938	-0.0361939	374.139	4.69494	0.000902656	0.000870415	1.85051	0.229636	-31491.1	-29945.5	-25823.5	4.69494	171.233	163.494	145.849	
0.234628	-0.0452881	-0.0365601	374.139	4.79275	0.000898426	0.000873029	1.54925	0.234628	-31491.1	-29945.3	-25823.4	4.79275	142.612	136.372	121.412	
0.23962	-0.0440064	-0.0386963	374.145	4.89056	0.00136125	0.00110814	1.47545	0.23962	-31488.6	-29946.4	-25824.6	4.89056	136.591	129.976	116.109	
0.244612	-0.0479431	-0.0445252	374.147	4.98837	0.000918491	0.000921892	1.47636	0.244612	-31489.2	-29945.3	-25824.9	4.98837	136.976	130.864	116.972	
0.249604	-0.0486755	-0.0437622	374.147	5.08618	0.00105733	0.0011825	1.06069	0.249604	-31490.7	-29944.7	-25823.8	5.08618	97.6983	93.4306	83.2835	
0.254596	-0.0467835	-0.0449219	374.149	5.18399	0.00117333	0.00130062	1.41114	0.254596	-31489.8	-29946.1	-25823.8	5.18399	131.684	125.888	112.843	
0.259588	-0.0458679	-0.0437012	374.144	5.2818	0.00048653	0.000524851	0.629371	0.259588	-31489.1	-29947.1	-25825	5.2818	57.3696	54.905	48.9717	
0.26458	-0.0458374	-0.0438843	374.141	5.37962	0.000898087	0.000604316	1.3535	0.26458	-31489.3	-29947.1	-25825	5.37962	126.823	121.297	108.926	
0.269572	-0.046051	-0.0354004	374.141	5.47743	0.0005689	0.000553513	0.214114	0.269572	-31489.5	-29947.4	-25824.1	5.47743	17.2381	16.6426	14.8785	
0.274564	-0.0487976	-0.0334168	374.141	5.57524	0.000587198	0.00049769	1.30401	0.274564	-31489.7	-29948.5	-25824.3	5.57524	122.392	116.987	105.178	
0.279556	-0.0500183	-0.0317993	374.146	5.67305	0.000535174	0.000412116	0.245657	0.279556	-31489.5	-29949.4	-25826.1	5.67305	21.0594	19.8542	17.9565	
0.284549	-0.0541382	-0.0324097	374.158	5.77086	0.000449695	0.000337875	1.26249	0.284549	-31490.8	-29948.5	-25825.8	5.77086	118.23	113.048	101.521	
0.289541	-0.0542603	-0.0418091	374.157	5.86867	0.000398271	0.000370441	0.606767	0.289541	-31491.4	-29948	-25824.3	5.86867	55.5682	53.0356	47.3128	
0.294533	-0.0562744	-0.0410767	374.155	5.96648	0.000574259	0.000449839	1.22667	0.294533	-31491.2	-29948.3	-25824.5	5.96648	114.435	109.429	98.044	
0.299525	-0.0505676	-0.0434876	374.148	6.06429	0.000412621	0.00035474	0.925638	0.299525	-31491.2	-29947.6	-25825.4	6.06429	85.5584	81.2809	72.6831	
0.304517	-0.0462036	-0.0410767	374.137	6.1621	0.000487873	0.000236561	1.19711	0.304517	-31491.3	-29947.1	-25825.6	6.1621	110.887	106.092	94.742	
0.309509	-0.0449219	-0.040741	374.136	6.25992	0.000202856	0.000406706	1.18236	0.309509	-31490.9	-29947.3	-25825.4	6.25992	109.316	104.328	93.1214	
0.314501	-0.0448608	-0.0385437	374.14	6.35773	0.000368066	0.000371162	1.1686	0.314501	-31490.9	-29947.3	-25825.1	6.35773	107.544	102.908	91.5353	
0.319493	-0.0511169	-0.0349121	374.145	6.45554	0.000505211	0.00056449	1.36907	0.319493	-31493	-29946.2	-25824.5	6.45554	126.685	120.891	107.819	
0.324485	-0.0517578	-0.036377	374.147	6.55335	0.000510849	0.000624386	1.14169	0.324485	-31493.2	-29946.3	-25824.7	6.55335	104.471	99.8981	88.6223	
0.329477	-0.0517883	-0.039032	374.154	6.65116	0.000686728	0.000577867	1.48036	0.329477	-31490.4	-29949	-25825.4	6.65116	137.087	130.725	116.673	
0.334469	-0.0505066	-0.0418091	374.151	6.74897	0.000445064	0.000417395	1.11345	0.334469	-31489	-29950.2	-25825.6	6.74897	101.685	96.9177	85.8791	
