LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-35.069000,964.918000,25861.400000,-43274.086000,50422.115000,0.000000,50369.019190,50427.132394,53.095810
         10,18.000000,-35.129000,965.625000,25862.300000,-43274.369000,50422.832000,0.060000,50368.427256,50427.182725,54.404744
         10,18.000000,-35.176000,967.605000,25863.400000,-43274.228000,50423.313000,0.107000,50367.963692,50427.228119,55.349308
         10,18.000000,-35.227000,969.585000,25863.300000,-43273.804000,50422.936000,0.158000,50367.460793,50427.283383,55.475207
         10,18.000000,-35.268000,966.332000,25863.600000,-43271.824000,50421.328000,0.199000,50367.056589,50427.332396,54.271411
         10,18.000000,-35.307000,961.241000,25864.300000,-43272.107000,50421.833000,0.238000,50366.672175,50427.382851,55.160825
         10,18.000000,-35.355000,954.453000,25865.600000,-43271.824000,50422.128000,0.286000,50366.199148,50427.450133,55.928852
         10,18.000000,-35.387000,952.614000,25865.800000,-43270.834000,50421.346000,0.318000,50365.883856,50427.498196,55.462144
         10,18.000000,-35.429000,949.857000,25867.200000,-43271.046000,50422.194000,0.360000,50365.470107,50427.565212,56.723893
         10,18.000000,-35.471000,945.190000,25868.300000,-43270.622000,50422.307000,0.402000,50365.056441,50427.636736,57.250559
         10,18.000000,-35.509000,943.775000,25868.000000,-43270.905000,50422.369000,0.440000,50364.682243,50427.705371,57.686757
         10,18.000000,-35.560000,942.573000,25868.700000,-43269.844000,50421.796000,0.491000,50364.180135,50427.803407,57.615865
         10,18.000000,-35.604000,939.462000,25870.600000,-43268.005000,50421.135000,0.535000,50363.747042,50427.893499,57.387958
         10,18.000000,-35.652000,942.432000,25871.200000,-43267.298000,50420.891000,0.583000,50363.274679,50427.997672,57.616321
         10,18.000000,-35.714000,944.907000,25871.100000,-43268.076000,50421.554000,0.645000,50362.664703,50428.141443,58.889297
         10,18.000000,-35.771000,942.432000,25871.900000,-43267.298000,50421.250000,0.702000,50362.104076,50428.282909,59.145924
         10,18.000000,-35.827000,945.119000,25873.100000,-43265.884000,50420.703000,0.758000,50361.553433,50428.430686,59.149567
         10,18.000000,-35.884000,944.270000,25873.300000,-43265.601000,50420.547000,0.815000,50360.993107,50428.590176,59.553893
         10,18.000000,-35.925000,945.331000,25873.800000,-43265.106000,50420.399000,0.856000,50360.590159,50428.710631,59.808841
         10,18.000000,-35.958000,949.079000,25874.400000,-43265.177000,50420.838000,0.889000,50360.265892,50428.811105,60.572108
         10,18.000000,-36.006000,949.008000,25875.600000,-43264.682000,50421.027000,0.937000,50359.794321,50428.962913,61.232679
         10,18.000000,-36.047000,943.139000,25877.300000,-43264.611000,50421.729000,0.978000,50359.391607,50429.097954,62.337393
         10,18.000000,-36.104000,936.846000,25878.700000,-43263.692000,50421.541000,1.035000,50358.831865,50429.294015,62.709135
         10,18.000000,-36.166000,941.159000,25878.900000,-43262.490000,50420.693000,1.097000,50358.223196,50429.518412,62.469804
         10,18.000000,-36.217000,948.089000,25879.000000,-43262.773000,50421.117000,1.148000,50357.722650,50429.711820,63.394350
         10,18.000000,-36.270000,954.523000,25879.200000,-43262.561000,50421.159000,1.201000,50357.202604,50429.921370,63.956396
         10,18.000000,-36.321000,957.423000,25879.400000,-43262.207000,50421.013000,1.252000,50356.702306,50430.131352,64.310694
         10,18.000000,-36.374000,955.655000,25880.200000,-43262.419000,50421.572000,1.305000,50356.182517,50430.358351,65.389483
         10,18.000000,-36.434000,956.998000,25879.600000,-43262.773000,50421.593000,1.365000,50355.594234,50430.626282,65.998766
         10,18.000000,-36.490000,957.847000,25879.600000,-43261.217000,50420.274000,1.421000,50355.045322,50430.886993,65.228678
         10,18.000000,-36.552000,957.776000,25881.300000,-43260.298000,50420.357000,1.483000,50354.437768,50431.187803,65.919232
         10,18.000000,-36.591000,959.615000,25883.400000,-43260.581000,50421.713000,1.522000,50354.055689,50431.383658,67.657311
         10,18.000000,-36.642000,955.726000,25883.900000,-43260.369000,50421.713000,1.573000,50353.556155,50431.647610,68.156845
         10,18.000000,-36.695000,943.634000,25884.700000,-43261.146000,50422.564000,1.626000,50353.037159,50431.931433,69.526841
         10,18.000000,-36.734000,937.624000,25885.300000,-43262.773000,50424.155000,1.665000,50352.655340,50432.146556,71.499660
         10,18.000000,-36.787000,926.734000,25885.100000,-43262.914000,50423.972000,1.718000,50352.136571,50432.447532,71.835429
         10,18.000000,-36.844000,918.956000,25885.200000,-43261.924000,50423.032000,1.775000,50351.578796,50432.782459,71.453204
