 index dobs regional res_data x y z
0 2843 -54.83679582619786 -54.154714259347 -0.6820815668508544 -4920.922962550074 -4629.405631446862 -63.289999999999964
1 2844 -56.325329776654286 -54.0362828995448 -2.2890468771094845 -4818.922962550074 -4630.405631446862 -62.09000000000003
2 2845 -58.47638513613826 -53.91668718876705 -4.5596979473712125 -4715.922962550074 -4631.405631446862 -63.14999999999998
3 2846 -55.59823732834722 -53.79675903828555 -1.8014782900616666 -4612.922962550074 -4631.405631446862 -69.13999999999999
4 2847 -67.16664398229028 -53.67683088780405 -13.48981309448623 -4509.922962550074 -4631.405631446862 -73.77999999999997
5 2848 -63.602250910596176 -53.55773464859435 -10.044516262001828 -4407.922962550074 -4630.405631446862 -77.24000000000001
6 2849 -56.444623786232306 -53.43863840938465 -3.0059853768476543 -4305.922962550074 -4629.405631446862 -80.47000000000003
7 2850 -60.70544845605115 -53.319209730471215 -7.386238725579936 -4203.922962550074 -4627.405631446862 -83.07000000000005
8 2851 -67.5062611918608 -53.20094540253332 -14.30531578932748 -4102.922962550074 -4625.405631446862 -85.49000000000001
9 2852 -61.50733376704658 -53.08268107459543 -8.424652692451154 -4001.922962550074 -4623.405631446862 -89.63999999999999
10 2853 -52.91093425897613 -52.96408430695379 0.053150047977659653 -3900.922962550074 -4620.405631446862 -92.97000000000003
11 2854 -70.84071423415068 -52.845487539312145 -17.995226694838536 -3799.922962550074 -4617.405631446862 -96.32000000000005
12 2855 -54.10838439644837 -52.726558331966764 -1.3818260644816078 -3698.922962550074 -4613.405631446862 -99.85000000000002
13 2856 -67.29166522490478 -52.60945835500441 -14.682206869900362 -3598.922962550074 -4611.405631446862 -102.26999999999998
14 2857 -67.38187081075033 -52.491526466770274 -14.890344343980054 -3497.922962550074 -4610.405631446862 -103.67999999999995
15 2858 -74.34010503037115 -52.37542380891916 -21.96468122145199 -3397.922962550074 -4611.405631446862 -104.66999999999996
16 2859 -61.12495872548893 -52.25848923979625 -8.866469485692683 -3296.922962550074 -4613.405631446862 -105.80999999999995
17 2860 -53.628726882409104 -52.142719021648894 -1.4860078607602105 -3196.922962550074 -4615.405631446862 -105.87
18 2861 -57.373017341776006 -52.02545201282223 -5.3475653289537775 -3095.922962550074 -4616.405631446862 -106.51999999999998
19 2862 -66.10839798095357 -51.90901691526738 -14.19938106568619 -2995.922962550074 -4616.405631446862 -108.70000000000005
20 2863 -73.68616233652416 -51.792581817712524 -21.89358051881164 -2895.922962550074 -4616.405631446862 -112.53999999999996
21 2864 -69.95394694689227 -51.67731107113322 -18.276635875759055 -2796.922962550074 -4616.405631446862 -115.61000000000001
22 2865 -68.25717129993224 -51.56237276425766 -16.69479853567458 -2697.922962550074 -4617.405631446862 -122.25
23 2866 -82.96732989469169 -51.44809933678959 -31.519230557902098 -2598.922962550074 -4620.405631446862 -129.47000000000003
24 2867 -68.64083128511263 -51.33532270000082 -17.305508585111802 -2500.922962550074 -4624.405631446862 -135.04999999999995
25 2868 -77.88397576156818 -51.22404285389134 -26.65993290767684 -2403.922962550074 -4629.405631446862 -139.36
26 2869 -76.41292079125098 -51.111598656806315 -25.301322134444668 -2305.922962550074 -4634.405631446862 -141.47000000000003
27 2870 -83.68906549220767 -50.99882202001754 -32.69024347219013 -2207.922962550074 -4638.405631446862 -142.35000000000002
28 2871 -83.81194796907742 -50.88454859254948 -32.927399376527944 -2108.922962550074 -4641.405631446862 -143.24
29 2872 -90.13531408192951 -50.76961028567391 -39.365703796255595 -2009.9229625500739 -4642.405631446862 -143.26
30 2873 -77.56456427392351 -50.65433953909461 -26.9102247348289 -1910.9229625500739 -4642.405631446862 -142.39999999999998
31 2874 -89.24354106737643 -50.53873635281156 -38.704804714564865 -1811.9229625500739 -4641.405631446862 -140.71000000000004
32 2875 -85.2208341075155 -50.42130393614546 -34.79953017137004 -1711.9229625500739 -4638.405631446862 -139.26
33 2876 -79.90038072387772 -50.30303960820758 -29.59734111567014 -1610.9229625500739 -4636.405631446862 -138.74
34 2877 -88.02540055571725 -50.185939631245226 -37.83946092447203 -1510.9229625500739 -4634.405631446862 -138.89999999999998
35 2878 -93.85603643813701 -50.06800774301108 -43.78802869512593 -1409.9229625500739 -4633.405631446862 -139.11
36 2879 -89.37187036456893 -49.950408294480674 -39.42146207008826 -1308.9229625500739 -4633.405631446862 -139.95000000000005
37 2880 -99.45986508076923 -49.83197693467847 -49.62788814609076 -1206.9229625500739 -4634.405631446862 -142.04999999999995
38 2881 -95.19320236374288 -49.714210454283766 -45.47899190945912 -1104.9229625500739 -4637.405631446862 -144.02999999999997
39 2882 -101.70057832761186 -49.5961115341853 -52.10446679342657 -1002.9229625500739 -4639.405631446862 -146.17999999999995
